,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHARLOTTE_ACTION,MILWAUKEE_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,,K. Walker misses 2-pt jump shot from 19 ft,0,0
1,1,11:41.0,Defensive rebound by B. Knight,,0,0
2,1,11:25.0,J. Parker misses 2-pt jump shot from 19 ft,,0,0
3,1,11:23.0,,Defensive rebound by L. Stephenson,0,0
4,1,11:07.0,,L. Stephenson misses 2-pt jump shot from 18 ft,0,0
5,1,11:05.0,Defensive rebound by L. Sanders,,0,0
6,1,10:49.0,K. Middleton makes 2-pt jump shot from 19 ft,,2,0
7,1,10:33.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by A. Jefferson),2,2
8,1,10:24.0,Shooting foul by A. Jefferson (drawn by B. Knight),,2,2
9,1,10:24.0,B. Knight makes 2-pt layup from 1 ft,,4,2
10,1,10:24.0,B. Knight makes free throw 1 of 1,,5,2
11,1,10:12.0,,L. Stephenson misses 2-pt layup at rim,5,2
12,1,10:12.0,,Offensive rebound by Team,5,2
13,1,10:04.0,,M. Williams misses 3-pt jump shot from 26 ft,5,2
14,1,10:02.0,Defensive rebound by L. Sanders,,5,2
15,1,9:54.0,B. Knight misses 2-pt jump shot from 19 ft,,5,2
16,1,9:53.0,,Defensive rebound by A. Jefferson,5,2
17,1,9:42.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),5,5
18,1,9:25.0,B. Knight makes 2-pt layup at rim (assist by L. Sanders),,7,5
19,1,9:09.0,,A. Jefferson makes 2-pt jump shot from 18 ft (assist by M. Williams),7,7
20,1,8:56.0,L. Sanders makes 2-pt layup from 1 ft (assist by B. Knight),,9,7
21,1,8:36.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by L. Stephenson),9,9
22,1,8:14.0,J. Parker misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),,9,9
23,1,8:12.0,,Defensive rebound by A. Jefferson,9,9
24,1,8:06.0,,Turnover by M. Kidd-Gilchrist (lost ball; steal by L. Sanders),9,9
25,1,7:53.0,B. Knight misses 3-pt jump shot from 25 ft,,9,9
26,1,7:51.0,,Defensive rebound by A. Jefferson,9,9
27,1,7:44.0,,Shooting foul by L. Sanders (drawn by K. Walker),9,9
28,1,7:44.0,,K. Walker misses free throw 1 of 2,9,9
29,1,7:44.0,,Offensive rebound by Team,9,9
30,1,7:44.0,Z. Pachulia enters the game for L. Sanders,,9,9
31,1,7:44.0,,K. Walker makes free throw 2 of 2,9,10
32,1,7:32.0,Turnover by Z. Pachulia (bad pass; steal by A. Jefferson),,9,10
33,1,7:25.0,,K. Walker misses 3-pt jump shot from 26 ft,9,10
34,1,7:23.0,,Offensive rebound by L. Stephenson,9,10
35,1,7:18.0,,A. Jefferson misses 2-pt jump shot from 18 ft,9,10
36,1,7:17.0,Defensive rebound by Z. Pachulia,,9,10
37,1,7:11.0,K. Middleton misses 2-pt layup from 2 ft (block by A. Jefferson),,9,10
38,1,7:08.0,,Defensive rebound by A. Jefferson,9,10
39,1,7:04.0,,K. Walker misses 2-pt layup at rim,9,10
40,1,7:02.0,Defensive rebound by J. Parker,,9,10
41,1,6:59.0,J. Parker makes 2-pt layup at rim,,11,10
42,1,6:32.0,,K. Walker makes 2-pt jump shot from 19 ft,11,12
43,1,6:32.0,,Technical foul by K. Walker,11,12
44,1,6:32.0,B. Knight makes technical free throw,,12,12
45,1,6:15.0,B. Knight misses 2-pt layup from 1 ft,,12,12
46,1,6:13.0,,Defensive rebound by A. Jefferson,12,12
47,1,6:08.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),12,15
48,1,5:52.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Dudley),,12,15
49,1,5:52.0,,Charlotte full timeout,12,15
50,1,5:44.0,K. Middleton makes 2-pt jump shot from 18 ft (assist by B. Knight),,14,15
51,1,5:26.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by L. Stephenson),14,17
52,1,5:13.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by B. Knight),,16,17
53,1,4:55.0,,K. Walker misses 3-pt jump shot from 26 ft,16,17
54,1,4:53.0,,Offensive rebound by M. Kidd-Gilchrist,16,17
55,1,4:53.0,,M. Kidd-Gilchrist misses 2-pt layup at rim (block by Z. Pachulia),16,17
56,1,4:50.0,,Offensive rebound by L. Stephenson,16,17
57,1,4:48.0,Violation by B. Knight (kicked ball),,16,17
58,1,4:48.0,G. Antetokounmpo enters the game for J. Dudley,,16,17
59,1,4:48.0,,C. Zeller enters the game for M. Williams,16,17
60,1,4:41.0,,Turnover by L. Stephenson (bad pass; steal by J. Parker),16,17
61,1,4:37.0,Shooting foul by M. Kidd-Gilchrist (drawn by B. Knight),,16,17
62,1,4:37.0,B. Knight makes free throw 1 of 2,,17,17
63,1,4:37.0,,G. Henderson enters the game for M. Kidd-Gilchrist,17,17
64,1,4:37.0,B. Knight makes free throw 2 of 2,,18,17
65,1,4:22.0,,Turnover by A. Jefferson (lost ball; steal by Z. Pachulia),18,17
66,1,4:16.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by B. Knight),,20,17
67,1,3:56.0,,A. Jefferson misses 2-pt jump shot from 13 ft,20,17
68,1,3:53.0,Defensive rebound by B. Knight,,20,17
69,1,3:46.0,Z. Pachulia misses 2-pt jump shot from 13 ft,,20,17
70,1,3:45.0,,Defensive rebound by L. Stephenson,20,17
71,1,3:41.0,,Shooting foul by K. Middleton (drawn by C. Zeller),20,17
72,1,3:41.0,,C. Zeller makes 2-pt layup from 1 ft (assist by L. Stephenson),20,19
73,1,3:41.0,,G. Neal enters the game for L. Stephenson,20,19
74,1,3:41.0,O. Mayo enters the game for K. Middleton,,20,19
75,1,3:41.0,,C. Zeller makes free throw 1 of 1,20,20
76,1,3:22.0,Turnover by B. Knight (bad pass),,20,20
77,1,3:07.0,,G. Henderson misses 2-pt jump shot from 18 ft,20,20
78,1,3:06.0,Defensive rebound by Team,,20,20
79,1,2:50.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,20,20
80,1,2:49.0,,Defensive rebound by A. Jefferson,20,20
81,1,2:29.0,,G. Henderson misses 2-pt jump shot from 10 ft,20,20
82,1,2:28.0,Defensive rebound by B. Knight,,20,20
83,1,2:20.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft,,20,20
84,1,2:18.0,,Defensive rebound by K. Walker,20,20
85,1,2:08.0,,K. Walker misses 2-pt layup from 2 ft (block by O. Mayo),20,20
86,1,2:06.0,Defensive rebound by B. Knight,,20,20
87,1,1:59.0,B. Knight misses 3-pt jump shot from 23 ft,,20,20
88,1,1:57.0,,Defensive rebound by G. Neal,20,20
89,1,1:50.0,,Turnover by G. Henderson (bad pass; steal by Z. Pachulia),20,20
90,1,1:46.0,Milwaukee full timeout,,20,20
91,1,1:46.0,,J. Maxiell enters the game for A. Jefferson,20,20
92,1,1:29.0,J. Parker misses 2-pt jump shot from 19 ft,,20,20
93,1,1:28.0,,Defensive rebound by G. Neal,20,20
94,1,1:16.0,,K. Walker makes 2-pt jump shot from 18 ft (assist by G. Neal),20,22
95,1,0:59.0,Z. Pachulia misses 2-pt jump shot from 18 ft,,20,22
96,1,0:58.0,,Defensive rebound by C. Zeller,20,22
97,1,0:49.0,,Shooting foul by G. Antetokounmpo (drawn by G. Neal),20,22
98,1,0:49.0,,G. Neal makes free throw 1 of 2,20,23
99,1,0:49.0,E. İlyasova enters the game for J. Parker,,20,23
100,1,0:49.0,,G. Neal makes free throw 2 of 2,20,24
101,1,0:37.0,O. Mayo makes 2-pt jump shot from 18 ft (assist by B. Knight),,22,24
102,1,0:30.0,,Shooting foul by E. İlyasova (drawn by K. Walker),22,24
103,1,0:30.0,,K. Walker misses free throw 1 of 2,22,24
104,1,0:30.0,,Offensive rebound by Team,22,24
105,1,0:30.0,J. Henson enters the game for Z. Pachulia,,22,24
106,1,0:30.0,,K. Walker makes free throw 2 of 2,22,25
107,1,0:21.0,E. İlyasova makes 2-pt jump shot from 18 ft (assist by B. Knight),,24,25
108,1,0:02.0,,K. Walker misses 3-pt jump shot from 26 ft,24,25
109,1,0:00.0,,Offensive rebound by G. Henderson,24,25
110,2,11:43.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by J. Maxiell),,24,25
111,2,11:40.0,Offensive rebound by O. Mayo,,24,25
112,2,11:40.0,O. Mayo makes 2-pt layup from 1 ft,,26,25
113,2,11:23.0,,G. Neal misses 2-pt jump shot from 10 ft,26,25
114,2,11:22.0,Defensive rebound by G. Antetokounmpo,,26,25
115,2,11:02.0,E. İlyasova makes 2-pt layup from 2 ft,,28,25
116,2,10:41.0,,J. Maxiell makes 2-pt jump shot from 18 ft (assist by G. Henderson),28,27
117,2,10:24.0,Shooting foul by G. Henderson (drawn by G. Antetokounmpo),,28,27
118,2,10:24.0,G. Antetokounmpo makes free throw 1 of 2,,29,27
119,2,10:24.0,G. Antetokounmpo makes free throw 2 of 2,,30,27
120,2,10:02.0,,J. Maxiell misses 2-pt jump shot from 12 ft,30,27
121,2,9:59.0,,Offensive rebound by C. Zeller,30,27
122,2,9:54.0,,Turnover by C. Zeller (bad pass; steal by E. İlyasova),30,27
123,2,9:51.0,Shooting foul by J. Maxiell (drawn by J. Henson),,30,27
124,2,9:51.0,J. Henson misses free throw 1 of 2,,30,27
125,2,9:51.0,Offensive rebound by Team,,30,27
126,2,9:51.0,J. Henson makes free throw 2 of 2,,31,27
127,2,9:41.0,,Shooting foul by E. İlyasova (drawn by C. Zeller),31,27
128,2,9:41.0,,C. Zeller makes free throw 1 of 2,31,28
129,2,9:41.0,,C. Zeller makes free throw 2 of 2,31,29
130,2,9:25.0,E. İlyasova makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),,33,29
