,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
0,1,11:40.0,Turnover by B. Beal (bad pass; steal by J. Teague),,0,0
1,1,11:37.0,,J. Teague makes 2-pt layup at rim,0,2
2,1,11:14.0,P. Pierce makes 2-pt jump shot from 14 ft (assist by J. Wall),,2,2
3,1,10:56.0,,J. Teague makes 2-pt layup from 1 ft (assist by P. Millsap),2,4
4,1,10:38.0,B. Beal misses 2-pt jump shot from 18 ft,,2,4
5,1,10:37.0,,Defensive rebound by D. Carroll,2,4
6,1,10:21.0,,D. Carroll misses 3-pt jump shot from 24 ft,2,4
7,1,10:20.0,Defensive rebound by B. Beal,,2,4
8,1,10:07.0,N. Hilário misses 2-pt layup from 1 ft,,2,4
9,1,10:05.0,,Defensive rebound by D. Carroll,2,4
10,1,9:56.0,,J. Teague misses 3-pt jump shot from 25 ft,2,4
11,1,9:55.0,Defensive rebound by M. Gortat,,2,4
12,1,9:41.0,N. Hilário makes 2-pt jump shot from 17 ft (assist by J. Wall),,4,4
13,1,9:24.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),4,7
14,1,9:10.0,P. Pierce makes 2-pt jump shot from 18 ft (assist by M. Gortat),,6,7
15,1,8:55.0,,A. Horford makes 2-pt hook shot from 6 ft,6,9
16,1,8:35.0,M. Gortat misses 2-pt jump shot from 15 ft,,6,9
17,1,8:34.0,,Defensive rebound by P. Millsap,6,9
18,1,8:21.0,,P. Millsap makes 2-pt dunk at rim (assist by K. Korver),6,11
19,1,8:09.0,Turnover by J. Wall (bad pass; steal by D. Carroll),,6,11
20,1,7:58.0,,P. Millsap makes 2-pt layup from 2 ft (assist by J. Teague),6,13
21,1,7:52.0,Washington full timeout,,6,13
22,1,7:44.0,Turnover by N. Hilário (bad pass; steal by J. Teague),,6,13
23,1,7:31.0,,Turnover by P. Millsap (bad pass),6,13
24,1,7:24.0,Turnover by B. Beal (lost ball; steal by K. Korver),,6,13
25,1,7:18.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by P. Millsap),6,16
26,1,7:00.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,8,16
27,1,6:38.0,,Shooting foul by N. Hilário (drawn by P. Millsap),8,16
28,1,6:38.0,,P. Millsap makes free throw 1 of 2,8,17
29,1,6:38.0,,P. Millsap makes free throw 2 of 2,8,18
30,1,6:28.0,P. Pierce misses 2-pt dunk at rim,,8,18
31,1,6:27.0,,Defensive rebound by J. Teague,8,18
32,1,6:23.0,,K. Korver misses 3-pt jump shot from 24 ft,8,18
33,1,6:21.0,,Offensive rebound by A. Horford,8,18
34,1,6:15.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by D. Carroll),8,21
35,1,5:46.0,Turnover by Team (shot clock),,8,21
36,1,5:46.0,,P. Antić enters the game for A. Horford,8,21
37,1,5:22.0,,P. Millsap misses 2-pt jump shot from 15 ft,8,21
38,1,5:20.0,Defensive rebound by J. Wall,,8,21
39,1,5:16.0,J. Wall makes 2-pt layup at rim,,10,21
40,1,4:53.0,,P. Millsap makes 2-pt layup at rim (assist by J. Teague),10,23
41,1,4:53.0,,Shooting foul by P. Pierce (drawn by P. Millsap),10,23
42,1,4:53.0,,T. Sefolosha enters the game for K. Korver,10,23
43,1,4:53.0,,P. Millsap makes free throw 1 of 1,10,24
44,1,4:41.0,J. Wall makes 2-pt jump shot from 15 ft,,12,24
45,1,4:41.0,Shooting foul by P. Antić (drawn by J. Wall),,12,24
46,1,4:41.0,K. Humphries enters the game for N. Hilário,,12,24
47,1,4:41.0,R. Butler enters the game for P. Pierce,,12,24
48,1,4:41.0,J. Wall makes free throw 1 of 1,,13,24
