,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ORLANDO_ACTION,GOLDEN STATE_SCORE,ORLANDO_SCORE
0,1,11:42.0,H. Barnes makes 2-pt dunk at rim (assist by A. Bogut),,2,0
1,1,11:23.0,,Turnover by V. Oladipo (bad pass; steal by A. Bogut),2,0
2,1,11:19.0,H. Barnes makes 2-pt layup from 1 ft (assist by S. Curry),,4,0
3,1,11:03.0,,V. Oladipo misses 2-pt jump shot from 17 ft,4,0
4,1,11:01.0,Defensive rebound by H. Barnes,,4,0
5,1,10:49.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),,6,0
6,1,10:34.0,,E. Fournier misses 3-pt jump shot from 26 ft,6,0
7,1,10:32.0,Defensive rebound by K. Thompson,,6,0
8,1,10:28.0,D. Green makes 2-pt dunk at rim (assist by K. Thompson),,8,0
9,1,10:15.0,,Personal foul by A. Bogut (drawn by N. Vučević),8,0
10,1,10:05.0,,V. Oladipo misses 2-pt layup from 2 ft,8,0
11,1,10:03.0,Defensive rebound by A. Bogut,,8,0
12,1,9:55.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by A. Bogut),,10,0
13,1,9:48.0,,Orlando full timeout,10,0
14,1,9:39.0,,E. Fournier makes 2-pt layup from 2 ft,10,2
15,1,9:27.0,K. Thompson misses 2-pt jump shot from 19 ft,,10,2
16,1,9:26.0,,Defensive rebound by T. Harris,10,2
17,1,9:18.0,,T. Harris makes 2-pt jump shot from 6 ft,10,4
18,1,9:08.0,D. Green misses 3-pt jump shot from 26 ft,,10,4
19,1,9:07.0,,Defensive rebound by N. Vučević,10,4
20,1,8:50.0,,C. Frye makes 2-pt jump shot from 16 ft (assist by N. Vučević),10,6
21,1,8:23.0,S. Curry makes 2-pt jump shot from 9 ft (assist by A. Bogut),,12,6
22,1,8:08.0,,N. Vučević misses 2-pt jump shot from 17 ft,12,6
23,1,8:07.0,Defensive rebound by A. Bogut,,12,6
24,1,7:58.0,Turnover by H. Barnes (bad pass),,12,6
25,1,7:40.0,,N. Vučević misses 2-pt jump shot from 16 ft,12,6
26,1,7:39.0,Defensive rebound by H. Barnes,,12,6
27,1,7:38.0,Personal foul by E. Fournier (drawn by H. Barnes),,12,6
28,1,7:18.0,K. Thompson misses 2-pt jump shot from 5 ft,,12,6
29,1,7:17.0,Offensive rebound by A. Bogut,,12,6
30,1,7:17.0,A. Bogut misses 2-pt tip-in at rim,,12,6
31,1,7:14.0,,Defensive rebound by N. Vučević,12,6
32,1,6:57.0,,C. Frye misses 2-pt jump shot from 6 ft,12,6
33,1,6:56.0,,Offensive rebound by N. Vučević,12,6
34,1,6:56.0,,N. Vučević misses 2-pt tip-in from 1 ft,12,6
35,1,6:54.0,Defensive rebound by A. Bogut,,12,6
36,1,6:51.0,Turnover by K. Thompson (bad pass),,12,6
37,1,6:33.0,,Turnover by E. Fournier (traveling),12,6
38,1,6:24.0,S. Curry makes 3-pt jump shot from 28 ft,,15,6
39,1,6:06.0,,V. Oladipo misses 2-pt jump shot from 8 ft,15,6
40,1,6:05.0,,Offensive rebound by N. Vučević,15,6
