,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
0,1,11:41.0,T. Young misses 2-pt jump shot from 9 ft,,0,0
1,1,11:39.0,Offensive rebound by T. Young,,0,0
2,1,11:39.0,T. Young misses 2-pt tip-in at rim,,0,0
3,1,11:38.0,,Defensive rebound by K. Korver,0,0
4,1,11:16.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by D. Carroll),0,2
5,1,10:55.0,Turnover by D. Williams (bad pass; steal by A. Horford),,0,2
6,1,10:49.0,,A. Horford makes 2-pt jump shot from 3 ft (assist by J. Teague),0,4
7,1,10:33.0,Turnover by M. Brown (bad pass; steal by D. Carroll),,0,4
8,1,10:19.0,,P. Millsap misses 2-pt jump shot from 17 ft,0,4
9,1,10:17.0,Defensive rebound by J. Johnson,,0,4
10,1,10:11.0,Turnover by J. Johnson (lost ball),,0,4
11,1,9:57.0,,Shooting foul by J. Johnson (drawn by D. Carroll),0,4
12,1,9:57.0,,D. Carroll makes free throw 1 of 2,0,5
13,1,9:57.0,,D. Carroll makes free throw 2 of 2,0,6
14,1,9:46.0,B. Lopez makes 2-pt jump shot from 7 ft (assist by D. Williams),,2,6
15,1,9:37.0,,Turnover by J. Teague (traveling),2,6
16,1,9:23.0,M. Brown misses 3-pt jump shot from 22 ft,,2,6
17,1,9:22.0,,Defensive rebound by D. Carroll,2,6
18,1,9:03.0,,A. Horford makes 2-pt layup at rim (assist by J. Teague),2,8
19,1,8:45.0,Turnover by B. Lopez (lost ball; steal by P. Millsap),,2,8
20,1,8:38.0,,A. Horford makes 2-pt layup from 1 ft,2,10
21,1,8:36.0,Brooklyn full timeout,,2,10
22,1,8:25.0,D. Williams makes 3-pt jump shot from 24 ft (assist by J. Johnson),,5,10
23,1,8:10.0,,P. Millsap misses 3-pt jump shot from 24 ft,5,10
24,1,8:09.0,Defensive rebound by J. Johnson,,5,10
25,1,8:02.0,Brooklyn full timeout,,5,10
26,1,7:55.0,Personal foul by P. Millsap (drawn by M. Brown),,5,10
27,1,7:47.0,B. Lopez misses 2-pt jump shot from 13 ft,,5,10
28,1,7:46.0,Offensive rebound by T. Young,,5,10
29,1,7:46.0,T. Young misses 2-pt tip-in at rim,,5,10
30,1,7:44.0,,Defensive rebound by D. Carroll,5,10
31,1,7:23.0,,P. Millsap misses 2-pt jump shot from 15 ft,5,10
32,1,7:22.0,Defensive rebound by B. Lopez,,5,10
33,1,7:08.0,J. Johnson misses 2-pt jump shot from 20 ft,,5,10
34,1,7:07.0,,Defensive rebound by J. Teague,5,10
35,1,6:53.0,,P. Millsap misses 2-pt layup from 1 ft,5,10
36,1,6:51.0,Defensive rebound by T. Young,,5,10
37,1,6:41.0,Shooting foul by A. Horford (drawn by B. Lopez),,5,10
38,1,6:41.0,B. Lopez misses free throw 1 of 2,,5,10
39,1,6:41.0,Offensive rebound by Team,,5,10
40,1,6:41.0,B. Lopez makes free throw 2 of 2,,6,10
41,1,6:23.0,,J. Teague misses 3-pt jump shot from 24 ft,6,10
42,1,6:21.0,Defensive rebound by D. Williams,,6,10
43,1,6:15.0,T. Young misses 2-pt layup from 2 ft (block by A. Horford),,6,10
44,1,6:14.0,Offensive rebound by B. Lopez,,6,10
45,1,6:14.0,B. Lopez makes 2-pt layup at rim,,8,10
46,1,5:46.0,,A. Horford misses 2-pt jump shot from 12 ft,8,10
47,1,5:45.0,,Offensive rebound by P. Millsap,8,10
48,1,5:41.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by P. Millsap),8,13
49,1,5:28.0,B. Lopez misses 2-pt jump shot from 19 ft,,8,13
50,1,5:27.0,,Defensive rebound by P. Millsap,8,13
51,1,5:22.0,,Shooting foul by J. Johnson (drawn by D. Carroll),8,13
52,1,5:22.0,,D. Carroll misses free throw 1 of 2,8,13
53,1,5:22.0,,Offensive rebound by Team,8,13
54,1,5:22.0,,P. Antić enters the game for A. Horford,8,13
55,1,5:22.0,,K. Bazemore enters the game for K. Korver,8,13
56,1,5:22.0,B. Bogdanović enters the game for J. Johnson,,8,13
57,1,5:22.0,,D. Carroll misses free throw 2 of 2,8,13
58,1,5:21.0,Defensive rebound by B. Lopez,,8,13
59,1,5:06.0,D. Williams misses 3-pt jump shot from 24 ft,,8,13
60,1,5:04.0,Offensive rebound by T. Young,,8,13
61,1,4:57.0,T. Young makes 2-pt layup at rim,,10,13
62,1,4:45.0,,J. Teague makes 2-pt layup from 4 ft,10,15
63,1,4:25.0,D. Williams makes 2-pt jump shot from 14 ft,,12,15
64,1,4:06.0,,P. Millsap makes 2-pt layup from 1 ft (assist by D. Carroll),12,17
65,1,3:56.0,D. Williams misses 2-pt layup from 1 ft,,12,17
66,1,3:55.0,Offensive rebound by T. Young,,12,17
