,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. McCallum),0,3
1,1,11:26.0,Turnover by D. Exum (bad pass; steal by C. Landry),,0,3
2,1,11:21.0,,Turnover by R. McCallum (bad pass; steal by R. Gobert),0,3
3,1,11:14.0,R. Hood misses 3-pt jump shot from 25 ft,,0,3
4,1,11:13.0,Offensive rebound by D. Favors,,0,3
5,1,10:49.0,R. Hood misses 3-pt jump shot from 25 ft,,0,3
6,1,10:48.0,,Defensive rebound by R. McCallum,0,3
7,1,10:42.0,,D. Cousins misses 2-pt jump shot from 19 ft,0,3
8,1,10:41.0,Defensive rebound by R. Gobert,,0,3
9,1,10:31.0,G. Hayward misses 2-pt jump shot from 17 ft,,0,3
10,1,10:30.0,,Defensive rebound by O. Casspi,0,3
11,1,10:22.0,,D. Cousins misses 2-pt jump shot from 6 ft,0,3
12,1,10:21.0,,Offensive rebound by C. Landry,0,3
13,1,10:07.0,,R. McCallum makes 3-pt jump shot from 22 ft (assist by D. Cousins),0,6
14,1,9:45.0,D. Favors misses 2-pt jump shot from 21 ft,,0,6
15,1,9:45.0,Offensive rebound by R. Gobert,,0,6
16,1,9:30.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Gobert),,3,6
17,1,9:09.0,,Turnover by D. Cousins (bad pass; steal by D. Exum),3,6
18,1,9:06.0,D. Exum makes 2-pt dunk at rim,,5,6
19,1,9:06.0,Shooting foul by B. McLemore (drawn by D. Exum),,5,6
20,1,9:06.0,D. Exum misses free throw 1 of 1,,5,6
21,1,9:03.0,,Defensive rebound by O. Casspi,5,6
22,1,8:51.0,,O. Casspi makes 2-pt layup from 2 ft (assist by D. Cousins),5,8
23,1,8:32.0,D. Favors makes 2-pt dunk at rim (assist by R. Gobert),,7,8
24,1,8:15.0,,O. Casspi misses 3-pt jump shot from 22 ft,7,8
25,1,8:14.0,Defensive rebound by D. Exum,,7,8
26,1,8:11.0,Turnover by D. Exum (lost ball; steal by O. Casspi),,7,8
27,1,8:04.0,,D. Cousins misses 2-pt jump shot from 5 ft (block by D. Favors),7,8
28,1,8:03.0,,Offensive rebound by D. Cousins,7,8
29,1,7:55.0,,O. Casspi makes 3-pt jump shot from 23 ft (assist by B. McLemore),7,11
30,1,7:45.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,9,11
31,1,7:29.0,,D. Cousins makes 2-pt jump shot from 18 ft (assist by R. McCallum),9,13
32,1,7:19.0,D. Exum makes 3-pt jump shot from 24 ft (assist by G. Hayward),,12,13
33,1,7:03.0,,C. Landry makes 2-pt layup from 2 ft (assist by R. McCallum),12,15
34,1,6:47.0,D. Favors misses 2-pt jump shot from 14 ft,,12,15
35,1,6:46.0,,Defensive rebound by D. Cousins,12,15
36,1,6:25.0,Offensive charge foul by D. Cousins (drawn by D. Exum),,12,15
37,1,6:25.0,,Turnover by D. Cousins (offensive foul),12,15
38,1,6:10.0,G. Hayward misses 3-pt jump shot from 25 ft,,12,15
39,1,6:10.0,,Defensive rebound by R. McCallum,12,15
40,1,6:03.0,,B. McLemore misses 3-pt jump shot from 24 ft,12,15
41,1,6:03.0,Defensive rebound by G. Hayward,,12,15
42,1,5:58.0,Personal foul by C. Landry (drawn by G. Hayward),,12,15
43,1,5:58.0,,Sacramento full timeout,12,15
44,1,5:47.0,D. Favors makes 2-pt layup from 2 ft (assist by G. Hayward),,14,15
45,1,5:33.0,,C. Landry misses 2-pt jump shot from 18 ft,14,15
46,1,5:33.0,Defensive rebound by R. Hood,,14,15
47,1,5:23.0,D. Favors misses 2-pt jump shot from 20 ft,,14,15
48,1,5:23.0,Offensive rebound by R. Gobert,,14,15
49,1,5:15.0,Shooting foul by O. Casspi (drawn by R. Hood),,14,15
50,1,5:15.0,R. Hood makes free throw 1 of 2,,15,15
51,1,5:15.0,J. Ingles enters the game for G. Hayward,,15,15
52,1,5:15.0,T. Booker enters the game for D. Favors,,15,15
53,1,5:15.0,,N. Stauskas enters the game for C. Landry,15,15
54,1,5:15.0,,J. Thompson enters the game for B. McLemore,15,15
55,1,5:15.0,R. Hood makes free throw 2 of 2,,16,15
56,1,4:59.0,,Turnover by O. Casspi (lost ball; steal by R. Hood),16,15
57,1,4:55.0,R. Hood makes 2-pt dunk at rim,,18,15
58,1,4:39.0,,D. Cousins makes 2-pt jump shot from 6 ft,18,17
59,1,4:27.0,,D. Williams enters the game for O. Casspi,18,17
