,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
0,1,11:37.0,M. Gortat misses 2-pt jump shot from 13 ft,,0,0
1,1,11:36.0,,Defensive rebound by G. Hill,0,0
2,1,11:19.0,,S. Hill misses 2-pt layup from 2 ft,0,0
3,1,11:18.0,Defensive rebound by M. Gortat,,0,0
4,1,11:08.0,B. Beal misses 3-pt jump shot from 24 ft,,0,0
5,1,11:07.0,,Defensive rebound by G. Hill,0,0
6,1,10:50.0,,R. Hibbert misses 2-pt jump shot from 10 ft,0,0
7,1,10:49.0,Defensive rebound by B. Beal,,0,0
8,1,10:31.0,J. Wall misses 3-pt jump shot from 27 ft,,0,0
9,1,10:31.0,,Defensive rebound by Team,0,0
10,1,10:14.0,,Turnover by D. West (bad pass),0,0
11,1,10:05.0,Turnover by J. Wall (bad pass),,0,0
12,1,9:48.0,,D. West misses 2-pt jump shot from 19 ft,0,0
13,1,9:46.0,Defensive rebound by P. Pierce,,0,0
14,1,9:35.0,D. Gooden misses 2-pt jump shot from 19 ft,,0,0
15,1,9:34.0,,Defensive rebound by Team,0,0
16,1,9:20.0,,G. Hill misses 2-pt jump shot from 14 ft,0,0
17,1,9:19.0,Defensive rebound by M. Gortat,,0,0
18,1,9:10.0,B. Beal makes 2-pt jump shot from 12 ft,,2,0
19,1,8:55.0,,C. Miles misses 3-pt jump shot from 26 ft,2,0
20,1,8:53.0,,Offensive rebound by D. West,2,0
21,1,8:51.0,,G. Hill misses 2-pt jump shot from 15 ft,2,0
22,1,8:50.0,Defensive rebound by M. Gortat,,2,0
23,1,8:39.0,J. Wall makes 2-pt jump shot from 13 ft,,4,0
24,1,8:20.0,,R. Hibbert misses 2-pt jump shot from 4 ft,4,0
25,1,8:19.0,Defensive rebound by D. Gooden,,4,0
26,1,8:11.0,M. Gortat makes 2-pt jump shot from 5 ft (assist by B. Beal),,6,0
27,1,8:11.0,,Indiana full timeout,6,0
28,1,8:05.0,,S. Hill misses 2-pt layup from 1 ft,6,0
29,1,8:04.0,,Offensive rebound by S. Hill,6,0
30,1,8:02.0,,G. Hill misses 3-pt jump shot from 25 ft,6,0
31,1,8:00.0,Defensive rebound by P. Pierce,,6,0
32,1,7:54.0,B. Beal makes 2-pt jump shot from 10 ft,,8,0
33,1,7:34.0,,G. Hill makes 2-pt jump shot from 20 ft,8,2
34,1,7:13.0,B. Beal misses 2-pt jump shot from 19 ft,,8,2
35,1,7:12.0,,Defensive rebound by G. Hill,8,2
36,1,6:56.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by G. Hill),8,5
37,1,6:40.0,J. Wall misses 2-pt jump shot from 18 ft,,8,5
38,1,6:39.0,,Defensive rebound by C. Miles,8,5
39,1,6:33.0,,C. Miles makes 2-pt layup from 1 ft,8,7
40,1,6:15.0,B. Beal misses 3-pt jump shot from 25 ft,,8,7
41,1,6:14.0,,Defensive rebound by C. Miles,8,7
42,1,6:05.0,,C. Miles misses 2-pt layup from 1 ft,8,7
43,1,6:05.0,,Offensive rebound by R. Hibbert,8,7
44,1,5:48.0,,G. Hill makes 2-pt jump shot from 14 ft,8,9
45,1,5:39.0,P. Pierce misses 3-pt jump shot from 26 ft,,8,9
46,1,5:38.0,,Defensive rebound by D. West,8,9
47,1,5:22.0,,D. West misses 2-pt jump shot from 13 ft,8,9
48,1,5:20.0,,Offensive rebound by R. Hibbert,8,9
49,1,5:20.0,,R. Hibbert misses 2-pt tip-in from 1 ft,8,9
50,1,5:19.0,Defensive rebound by P. Pierce,,8,9
51,1,5:14.0,J. Wall makes 2-pt layup at rim,,10,9
