,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,GOLDEN STATE_ACTION,OKLAHOMA CITY_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,S. Adams misses 2-pt hook shot from 11 ft,,0,0
1,1,11:45.0,,Defensive rebound by M. Speights,0,0
2,1,11:31.0,,H. Barnes misses 2-pt layup from 2 ft,0,0
3,1,11:30.0,,Offensive rebound by H. Barnes,0,0
4,1,11:29.0,,H. Barnes misses 2-pt layup from 1 ft,0,0
5,1,11:28.0,Defensive rebound by S. Adams,,0,0
6,1,11:24.0,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),,2,0
7,1,11:15.0,,S. Curry makes 2-pt layup from 1 ft,2,2
8,1,10:52.0,R. Westbrook misses 2-pt jump shot from 12 ft,,2,2
9,1,10:51.0,,Defensive rebound by S. Curry,2,2
10,1,10:45.0,,S. Curry makes 2-pt jump shot from 9 ft,2,4
11,1,10:25.0,S. Adams misses 2-pt jump shot from 4 ft (block by K. Thompson),,2,4
12,1,10:23.0,,Defensive rebound by K. Thompson,2,4
13,1,10:15.0,,D. Green misses 3-pt jump shot from 24 ft,2,4
14,1,10:14.0,Defensive rebound by K. Durant,,2,4
15,1,10:07.0,,Violation by D. Green (kicked ball),2,4
16,1,10:05.0,Shooting foul by S. Curry (drawn by R. Westbrook),,2,4
17,1,10:05.0,R. Westbrook makes free throw 1 of 2,,3,4
18,1,10:05.0,R. Westbrook makes free throw 2 of 2,,4,4
19,1,9:48.0,,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),4,6
20,1,9:48.0,,Shooting foul by A. Roberson (drawn by K. Thompson),4,6
21,1,9:48.0,,K. Thompson makes free throw 1 of 1,4,7
22,1,9:36.0,R. Westbrook misses 2-pt jump shot from 3 ft,,4,7
23,1,9:35.0,Offensive rebound by R. Westbrook,,4,7
24,1,9:33.0,R. Westbrook misses 2-pt jump shot from 3 ft,,4,7
25,1,9:32.0,,Defensive rebound by D. Green,4,7
26,1,9:26.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),4,10
27,1,9:19.0,Oklahoma City full timeout,,4,10
28,1,9:08.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,6,10
29,1,8:56.0,,Shooting foul by A. Roberson (drawn by K. Thompson),6,10
30,1,8:56.0,,K. Thompson makes free throw 1 of 2,6,11
31,1,8:56.0,P. Jones enters the game for A. Roberson,,6,11
32,1,8:56.0,,K. Thompson makes free throw 2 of 2,6,12
33,1,8:53.0,Personal foul by D. Green (drawn by R. Westbrook),,6,12
34,1,8:45.0,Turnover by K. Durant (lost ball; steal by S. Curry),,6,12
35,1,8:40.0,,K. Thompson makes 2-pt layup at rim (assist by D. Green),6,14
36,1,8:30.0,K. Durant misses 2-pt jump shot from 17 ft,,6,14
37,1,8:29.0,,Defensive rebound by D. Green,6,14
38,1,8:23.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),6,17
39,1,8:13.0,Oklahoma City full timeout,,6,17
40,1,8:08.0,Def 3 sec tech foul by M. Speights,,6,17
41,1,8:08.0,K. Durant makes technical free throw,,7,17
42,1,8:01.0,Turnover by S. Ibaka (bad pass; steal by K. Thompson),,7,17
43,1,7:51.0,,M. Speights misses 2-pt jump shot from 7 ft,7,17
44,1,7:50.0,Defensive rebound by S. Ibaka,,7,17
45,1,7:46.0,Shooting foul by D. Green (drawn by R. Westbrook),,7,17
46,1,7:46.0,R. Westbrook makes free throw 1 of 2,,8,17
47,1,7:46.0,,D. Lee enters the game for D. Green,8,17
48,1,7:46.0,R. Westbrook makes free throw 2 of 2,,9,17
49,1,7:30.0,,Shooting foul by S. Ibaka (drawn by H. Barnes),9,17
50,1,7:30.0,,H. Barnes makes free throw 1 of 2,9,18
51,1,7:30.0,,H. Barnes makes free throw 2 of 2,9,19
52,1,7:18.0,K. Durant misses 2-pt jump shot from 19 ft,,9,19
53,1,7:17.0,Offensive rebound by S. Adams,,9,19
54,1,7:17.0,S. Adams makes 2-pt dunk at rim,,11,19
55,1,7:11.0,,Shooting foul by S. Adams (drawn by M. Speights),11,19
56,1,7:11.0,,M. Speights makes free throw 1 of 2,11,20
57,1,7:11.0,,M. Speights misses free throw 2 of 2,11,20
58,1,7:10.0,Defensive rebound by K. Durant,,11,20
59,1,7:02.0,Personal foul by K. Thompson (drawn by K. Durant),,11,20
60,1,6:50.0,K. Durant misses 2-pt jump shot from 12 ft,,11,20
61,1,6:48.0,,Defensive rebound by D. Lee,11,20
62,1,6:38.0,,D. Lee misses 2-pt dunk at rim,11,20
63,1,6:37.0,,Offensive rebound by D. Lee,11,20
64,1,6:37.0,,D. Lee makes 2-pt tip-in at rim,11,22
65,1,6:25.0,,Violation by D. Lee (kicked ball),11,22
66,1,6:17.0,R. Westbrook misses 2-pt jump shot from 8 ft,,11,22
67,1,6:16.0,,Defensive rebound by M. Speights,11,22
68,1,6:09.0,,M. Speights misses 2-pt layup from 2 ft (block by S. Adams),11,22
69,1,6:08.0,Defensive rebound by S. Adams,,11,22
70,1,6:04.0,Shooting foul by D. Lee (drawn by S. Adams),,11,22
71,1,6:04.0,S. Adams makes free throw 1 of 2,,12,22
72,1,6:04.0,S. Adams makes free throw 2 of 2,,13,22
73,1,5:46.0,,D. Lee misses 2-pt jump shot from 4 ft,13,22
74,1,5:45.0,,Offensive rebound by M. Speights,13,22
75,1,5:45.0,,M. Speights misses 2-pt tip-in from 1 ft,13,22
76,1,5:44.0,,Offensive rebound by Team,13,22
77,1,5:41.0,,K. Thompson misses 3-pt jump shot from 26 ft,13,22
78,1,5:40.0,Defensive rebound by K. Durant,,13,22
79,1,5:33.0,K. Durant misses 2-pt layup from 2 ft,,13,22
80,1,5:31.0,,Defensive rebound by D. Lee,13,22
81,1,5:28.0,,Turnover by D. Lee (bad pass; steal by R. Westbrook),13,22
82,1,5:25.0,Shooting foul by M. Speights (drawn by K. Durant),,13,22
83,1,5:25.0,K. Durant makes free throw 1 of 2,,14,22
84,1,5:25.0,K. Durant makes free throw 2 of 2,,15,22
85,1,5:21.0,,Golden State full timeout,15,22
86,1,5:21.0,,A. Iguodala enters the game for H. Barnes,15,22
87,1,5:13.0,,K. Thompson misses 2-pt jump shot from 3 ft,15,22
88,1,5:12.0,Defensive rebound by S. Adams,,15,22
89,1,5:07.0,K. Durant misses 3-pt jump shot from 26 ft,,15,22
90,1,5:06.0,Offensive rebound by R. Westbrook,,15,22
91,1,5:05.0,R. Westbrook misses 2-pt layup from 2 ft,,15,22
92,1,5:02.0,,Defensive rebound by M. Speights,15,22
93,1,4:53.0,,M. Speights misses 2-pt jump shot from 16 ft,15,22
94,1,4:52.0,Defensive rebound by P. Jones,,15,22
95,1,4:43.0,Turnover by K. Durant (bad pass; steal by S. Curry),,15,22
96,1,4:34.0,,Shooting foul by P. Jones (drawn by S. Curry),15,22
97,1,4:34.0,,S. Curry makes free throw 1 of 2,15,23
98,1,4:34.0,,H. Barnes enters the game for M. Speights,15,23
99,1,4:34.0,K. Perkins enters the game for S. Adams,,15,23
100,1,4:34.0,,S. Curry makes free throw 2 of 2,15,24
101,1,4:21.0,Personal foul by K. Thompson (drawn by K. Durant),,15,24
102,1,4:21.0,K. Durant misses free throw 1 of 2,,15,24
103,1,4:21.0,Offensive rebound by Team,,15,24
104,1,4:21.0,,J. Holiday enters the game for K. Thompson,15,24
105,1,4:21.0,K. Durant makes free throw 2 of 2,,16,24
106,1,4:10.0,,J. Holiday misses 2-pt jump shot from 20 ft,16,24
107,1,4:09.0,,Offensive rebound by Team,16,24
108,1,4:09.0,A. Morrow enters the game for S. Ibaka,,16,24
109,1,4:08.0,Violation by K. Perkins (def goaltending),,16,24
110,1,4:08.0,,S. Curry makes 2-pt layup from 1 ft (assist by A. Iguodala),16,26
111,1,3:58.0,R. Westbrook makes 2-pt jump shot from 18 ft,,18,26
112,1,3:42.0,,S. Curry misses 2-pt jump shot from 22 ft,18,26
113,1,3:41.0,Defensive rebound by K. Perkins,,18,26
114,1,3:33.0,R. Westbrook makes 2-pt layup from 2 ft (assist by K. Durant),,20,26
