,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MILWAUKEE_ACTION,HOUSTON_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,,J. Parker makes 2-pt layup from 2 ft,0,2
1,1,11:14.0,T. Ariza misses 3-pt jump shot from 24 ft,,0,2
2,1,11:11.0,,Defensive rebound by J. Parker,0,2
3,1,11:06.0,,L. Sanders makes 2-pt layup from 2 ft (assist by J. Parker),0,4
4,1,11:06.0,,Shooting foul by T. Black (drawn by L. Sanders),0,4
5,1,11:06.0,,L. Sanders misses free throw 1 of 1,0,4
6,1,10:59.0,Defensive rebound by T. Black,,0,4
7,1,10:51.0,J. Terry misses 2-pt jump shot from 11 ft,,0,4
8,1,10:50.0,Offensive rebound by J. Terry,,0,4
9,1,10:39.0,T. Black makes 2-pt layup from 2 ft (assist by T. Ariza),,2,4
10,1,10:24.0,,B. Knight makes 2-pt jump shot from 19 ft (assist by J. Parker),2,6
11,1,10:13.0,Turnover by T. Ariza (lost ball),,2,6
12,1,10:03.0,,J. Parker misses 2-pt jump shot from 19 ft,2,6
13,1,10:02.0,Defensive rebound by T. Ariza,,2,6
14,1,9:51.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by T. Black),,5,6
15,1,9:30.0,,O. Mayo misses 3-pt jump shot from 24 ft,5,6
16,1,9:29.0,Defensive rebound by J. Harden,,5,6
17,1,9:25.0,J. Harden misses 2-pt layup from 2 ft (block by L. Sanders),,5,6
18,1,9:24.0,Offensive rebound by T. Black,,5,6
19,1,9:23.0,T. Black makes 2-pt tip-in from 1 ft,,7,6
20,1,9:11.0,,O. Mayo misses 2-pt jump shot from 17 ft,7,6
21,1,9:05.0,Defensive rebound by D. Motiejūnas,,7,6
22,1,8:47.0,T. Black makes 2-pt dunk at rim (assist by J. Terry),,9,6
23,1,8:40.0,,Shooting foul by J. Terry (drawn by L. Sanders),9,6
24,1,8:40.0,,L. Sanders makes free throw 1 of 2,9,7
25,1,8:40.0,,L. Sanders makes free throw 2 of 2,9,8
26,1,8:26.0,T. Ariza misses 3-pt jump shot from 22 ft,,9,8
27,1,8:25.0,Offensive rebound by J. Terry,,9,8
28,1,8:22.0,T. Black misses 2-pt jump shot from 9 ft (block by L. Sanders),,9,8
29,1,8:18.0,,Defensive rebound by O. Mayo,9,8
30,1,8:07.0,,G. Antetokounmpo misses 2-pt layup at rim,9,8
31,1,8:03.0,,Offensive rebound by J. Parker,9,8
32,1,8:00.0,,B. Knight misses 2-pt layup at rim,9,8
33,1,7:59.0,Defensive rebound by T. Ariza,,9,8
34,1,7:59.0,Shooting foul by L. Sanders (drawn by D. Motiejūnas),,9,8
35,1,7:59.0,D. Motiejūnas makes free throw 1 of 2,,10,8
36,1,7:59.0,D. Motiejūnas misses free throw 2 of 2,,10,8
37,1,7:57.0,,Defensive rebound by G. Antetokounmpo,10,8
38,1,7:47.0,,Shooting foul by T. Black (drawn by J. Parker),10,8
39,1,7:47.0,,J. Parker makes free throw 1 of 2,10,9
40,1,7:47.0,J. Dorsey enters the game for T. Black,,10,9
41,1,7:47.0,,J. Parker makes free throw 2 of 2,10,10
42,1,7:32.0,J. Terry misses 3-pt jump shot from 26 ft,,10,10
43,1,7:31.0,Offensive rebound by J. Dorsey,,10,10
44,1,7:13.0,J. Dorsey makes 2-pt jump shot from 6 ft,,12,10
45,1,7:10.0,,Turnover by L. Sanders (lost ball; steal by T. Ariza),12,10
46,1,7:06.0,Turnover by J. Dorsey (bad pass; steal by J. Parker),,12,10
47,1,6:58.0,,J. Parker misses 2-pt jump shot from 11 ft,12,10
48,1,6:56.0,Defensive rebound by J. Dorsey,,12,10
49,1,6:51.0,Turnover by J. Harden (bad pass; steal by B. Knight),,12,10
50,1,6:43.0,,O. Mayo misses 3-pt jump shot from 22 ft,12,10
51,1,6:40.0,Defensive rebound by D. Motiejūnas,,12,10
52,1,6:35.0,T. Ariza misses 2-pt jump shot from 16 ft,,12,10
53,1,6:34.0,Offensive rebound by J. Dorsey,,12,10
54,1,6:32.0,,K. Middleton enters the game for G. Antetokounmpo,12,10
55,1,6:32.0,,E. İlyasova enters the game for L. Sanders,12,10
56,1,6:26.0,J. Terry makes 2-pt dunk at rim,,14,10
57,1,6:13.0,,Turnover by J. Parker (traveling),14,10
58,1,6:06.0,Personal block foul by E. İlyasova,,14,10
