,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by C. Lee),,2,0
1,1,11:20.0,,M. Bonner misses 2-pt jump shot from 5 ft,2,0
2,1,11:19.0,Defensive rebound by Z. Randolph,,2,0
3,1,11:06.0,Z. Randolph makes 2-pt jump shot from 14 ft (assist by M. Conley),,4,0
4,1,10:43.0,,K. Anderson misses 2-pt jump shot from 6 ft,4,0
5,1,10:42.0,Defensive rebound by Z. Randolph,,4,0
6,1,10:33.0,C. Lee makes 2-pt jump shot from 16 ft (assist by Q. Pondexter),,6,0
7,1,10:12.0,,Shooting foul by M. Gasol (drawn by T. Duncan),6,0
8,1,10:12.0,,T. Duncan makes free throw 1 of 2,6,1
9,1,10:12.0,,T. Duncan misses free throw 2 of 2,6,1
10,1,10:11.0,Defensive rebound by M. Gasol,,6,1
11,1,9:53.0,Z. Randolph makes 2-pt jump shot from 17 ft,,8,1
12,1,9:39.0,,C. Joseph makes 2-pt jump shot from 8 ft,8,3
13,1,9:22.0,M. Gasol misses 2-pt jump shot from 16 ft,,8,3
14,1,9:20.0,,Defensive rebound by D. Green,8,3
15,1,9:13.0,,D. Green misses 3-pt jump shot from 24 ft,8,3
16,1,9:10.0,Defensive rebound by M. Conley,,8,3
17,1,9:06.0,Personal foul by T. Duncan (drawn by M. Gasol),,8,3
18,1,8:59.0,Turnover by M. Conley (bad pass; steal by D. Green),,8,3
19,1,8:44.0,,T. Duncan makes 2-pt layup from 1 ft,8,5
20,1,8:21.0,M. Gasol makes 2-pt jump shot from 6 ft,,10,5
21,1,8:11.0,,C. Joseph misses 2-pt jump shot from 16 ft,10,5
22,1,8:09.0,Defensive rebound by M. Conley,,10,5
23,1,7:49.0,Shooting foul by T. Duncan (drawn by M. Gasol),,10,5
24,1,7:49.0,M. Gasol misses free throw 1 of 2,,10,5
25,1,7:49.0,Offensive rebound by Team,,10,5
26,1,7:49.0,V. Carter enters the game for Q. Pondexter,,10,5
27,1,7:49.0,,M. Ginóbili enters the game for K. Anderson,10,5
28,1,7:49.0,,B. Diaw enters the game for M. Bonner,10,5
29,1,7:49.0,M. Gasol makes free throw 2 of 2,,11,5
30,1,7:34.0,,T. Duncan misses 2-pt layup from 1 ft,11,5
31,1,7:32.0,,Offensive rebound by T. Duncan,11,5
32,1,7:32.0,,T. Duncan misses 2-pt tip-in from 1 ft,11,5
33,1,7:31.0,,Offensive rebound by T. Duncan,11,5
34,1,7:27.0,,M. Ginóbili misses 2-pt jump shot from 15 ft,11,5
35,1,7:25.0,Defensive rebound by M. Conley,,11,5
36,1,7:05.0,Z. Randolph misses 2-pt jump shot from 11 ft,,11,5
37,1,7:02.0,,Defensive rebound by T. Duncan,11,5
38,1,6:51.0,,Shooting foul by V. Carter (drawn by T. Duncan),11,5
39,1,6:51.0,,T. Duncan makes free throw 1 of 2,11,6
40,1,6:51.0,K. Koufos enters the game for M. Gasol,,11,6
41,1,6:51.0,,T. Duncan misses free throw 2 of 2,11,6
42,1,6:49.0,Defensive rebound by Z. Randolph,,11,6
43,1,6:37.0,Shooting foul by B. Diaw (drawn by V. Carter),,11,6
44,1,6:37.0,V. Carter misses free throw 1 of 2,,11,6
45,1,6:37.0,Offensive rebound by Team,,11,6
46,1,6:37.0,,T. Splitter enters the game for T. Duncan,11,6
47,1,6:37.0,V. Carter makes free throw 2 of 2,,12,6
48,1,6:27.0,,Personal foul by Z. Randolph (drawn by T. Splitter),12,6
49,1,6:12.0,,B. Diaw misses 2-pt jump shot from 19 ft,12,6
50,1,6:09.0,Defensive rebound by K. Koufos,,12,6
51,1,6:00.0,C. Lee makes 2-pt jump shot from 16 ft (assist by M. Conley),,14,6
52,1,6:00.0,,San Antonio full timeout,14,6
53,1,5:46.0,,B. Diaw misses 3-pt jump shot from 22 ft,14,6
54,1,5:45.0,Defensive rebound by M. Conley,,14,6
55,1,5:24.0,M. Conley makes 3-pt jump shot from 24 ft (assist by C. Lee),,17,6
56,1,5:07.0,,C. Joseph makes 2-pt jump shot from 14 ft (assist by B. Diaw),17,8
57,1,4:49.0,K. Koufos misses 2-pt jump shot from 8 ft,,17,8
58,1,4:48.0,,Defensive rebound by D. Green,17,8
59,1,4:37.0,,Personal foul by C. Lee (drawn by M. Ginóbili),17,8
60,1,4:37.0,B. Udrih enters the game for M. Conley,,17,8
61,1,4:37.0,Q. Pondexter enters the game for C. Lee,,17,8
62,1,4:37.0,,M. Belinelli enters the game for C. Joseph,17,8
63,1,4:30.0,,T. Splitter misses 2-pt layup from 1 ft (block by K. Koufos),17,8
64,1,4:30.0,,Offensive rebound by Team,17,8
65,1,4:24.0,,M. Ginóbili makes 3-pt jump shot from 25 ft,17,11
66,1,3:57.0,Q. Pondexter makes 2-pt layup from 1 ft,,19,11
67,1,3:52.0,,Shooting foul by K. Koufos (drawn by B. Diaw),19,11
68,1,3:52.0,,B. Diaw makes free throw 1 of 2,19,12
69,1,3:52.0,,B. Diaw makes free throw 2 of 2,19,13
70,1,3:33.0,Z. Randolph makes 2-pt jump shot from 5 ft,,21,13
71,1,3:22.0,,T. Splitter makes 2-pt layup from 1 ft (assist by B. Diaw),21,15
72,1,3:02.0,K. Koufos misses 2-pt jump shot from 7 ft,,21,15
73,1,3:00.0,Offensive rebound by Z. Randolph,,21,15
74,1,2:58.0,Memphis full timeout,,21,15
75,1,2:58.0,,T. Duncan enters the game for B. Diaw,21,15
76,1,2:58.0,,C. Joseph enters the game for D. Green,21,15
77,1,2:47.0,V. Carter makes 3-pt jump shot from 24 ft (assist by B. Udrih),,24,15
78,1,2:34.0,,C. Joseph misses 2-pt jump shot from 8 ft (block by B. Udrih),24,15
79,1,2:32.0,Defensive rebound by B. Udrih,,24,15
80,1,2:28.0,K. Koufos makes 2-pt layup from 2 ft (assist by B. Udrih),,26,15
81,1,2:12.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,26,15
82,1,2:11.0,Defensive rebound by Z. Randolph,,26,15
83,1,2:02.0,Z. Randolph misses 2-pt layup at rim,,26,15
84,1,2:01.0,,Defensive rebound by T. Duncan,26,15
85,1,1:52.0,,M. Ginóbili misses 2-pt layup at rim,26,15
86,1,1:51.0,Defensive rebound by Q. Pondexter,,26,15
87,1,1:44.0,V. Carter makes 3-pt jump shot from 24 ft (assist by Q. Pondexter),,29,15
88,1,1:16.0,,T. Splitter misses 2-pt jump shot from 13 ft,29,15
89,1,1:16.0,,Offensive rebound by Team,29,15
90,1,1:16.0,,Turnover by Team (shot clock),29,15
91,1,1:16.0,J. Leuer enters the game for Z. Randolph,,29,15
92,1,1:16.0,,A. Daye enters the game for M. Belinelli,29,15
93,1,1:04.0,K. Koufos makes 2-pt layup at rim (assist by V. Carter),,31,15
94,1,0:46.0,,T. Duncan makes 2-pt jump shot from 8 ft,31,17
95,1,0:46.0,,Shooting foul by K. Koufos (drawn by T. Duncan),31,17
96,1,0:46.0,,T. Duncan misses free throw 1 of 1,31,17
97,1,0:46.0,Defensive rebound by K. Koufos,,31,17
98,1,0:29.0,V. Carter makes 3-pt jump shot from 24 ft (assist by B. Udrih),,34,17
99,1,0:08.0,,T. Duncan makes 2-pt layup at rim (assist by M. Ginóbili),34,19
100,1,0:00.0,B. Udrih misses 3-pt jump shot from 24 ft,,34,19
101,1,0:00.0,,Defensive rebound by T. Splitter,34,19
102,2,11:43.0,,Turnover by C. Joseph (bad pass),34,19
103,2,11:28.0,Q. Pondexter misses 3-pt jump shot from 25 ft,,34,19
104,2,11:27.0,,Defensive rebound by C. Joseph,34,19
105,2,11:08.0,,T. Duncan misses 2-pt jump shot from 10 ft,34,19
106,2,11:07.0,,Offensive rebound by C. Joseph,34,19
107,2,11:02.0,,Turnover by T. Duncan (lost ball; steal by V. Carter),34,19
108,2,10:57.0,V. Carter misses 2-pt layup at rim (block by D. Green),,34,19
109,2,10:56.0,Offensive rebound by Q. Pondexter,,34,19
110,2,10:55.0,Q. Pondexter misses 2-pt layup at rim (block by K. Anderson),,34,19
111,2,10:55.0,Offensive rebound by Team,,34,19
112,2,10:55.0,M. Conley enters the game for Q. Pondexter,,34,19
113,2,10:55.0,N. Calathes enters the game for B. Udrih,,34,19
114,2,10:47.0,M. Conley misses 2-pt jump shot from 11 ft,,34,19
115,2,10:45.0,,Defensive rebound by T. Duncan,34,19
116,2,10:39.0,,Turnover by D. Green (lost ball; steal by J. Leuer),34,19
117,2,10:31.0,N. Calathes misses 3-pt jump shot from 23 ft,,34,19
118,2,10:30.0,Offensive rebound by M. Gasol,,34,19
119,2,10:23.0,V. Carter makes 3-pt jump shot from 25 ft (assist by M. Conley),,37,19
120,2,9:58.0,,D. Green misses 3-pt jump shot from 25 ft,37,19
121,2,9:57.0,Defensive rebound by Team,,37,19
122,2,9:45.0,Turnover by N. Calathes (lost ball),,37,19
123,2,9:26.0,,Shooting foul by J. Leuer (drawn by T. Duncan),37,19
124,2,9:26.0,,T. Duncan misses free throw 1 of 2,37,19
125,2,9:26.0,,Offensive rebound by Team,37,19
126,2,9:26.0,,B. Diaw enters the game for M. Bonner,37,19
127,2,9:26.0,,T. Duncan misses free throw 2 of 2,37,19
128,2,9:26.0,Defensive rebound by J. Leuer,,37,19
