,QUARTER,TIME_REMAINING,UTAH_ACTION,BOSTON_ACTION,UTAH_SCORE,BOSTON_SCORE
0,1,11:38.0,D. Favors makes 2-pt hook shot from 12 ft,,2,0
1,1,11:23.0,,A. Bradley misses 2-pt jump shot from 19 ft,2,0
2,1,11:22.0,Defensive rebound by D. Favors,,2,0
3,1,11:00.0,D. Favors misses 2-pt jump shot from 18 ft,,2,0
4,1,10:59.0,Offensive rebound by R. Gobert,,2,0
5,1,10:56.0,R. Gobert misses 2-pt layup at rim (block by T. Zeller),,2,0
6,1,10:55.0,,Defensive rebound by T. Zeller,2,0
7,1,10:38.0,,E. Turner misses 2-pt jump shot from 5 ft,2,0
8,1,10:37.0,Defensive rebound by R. Gobert,,2,0
9,1,10:24.0,J. Ingles misses 3-pt jump shot from 24 ft,,2,0
10,1,10:22.0,,Defensive rebound by E. Turner,2,0
11,1,10:11.0,,B. Bass makes 2-pt jump shot from 14 ft (assist by E. Turner),2,2
12,1,9:54.0,Shooting foul by E. Turner (drawn by G. Hayward),,2,2
13,1,9:54.0,G. Hayward makes free throw 1 of 2,,3,2
14,1,9:54.0,G. Hayward misses free throw 2 of 2,,3,2
15,1,9:54.0,,Defensive rebound by T. Zeller,3,2
16,1,9:36.0,,B. Bass misses 2-pt jump shot from 14 ft,3,2
17,1,9:35.0,Defensive rebound by R. Gobert,,3,2
18,1,9:25.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by D. Favors),,6,2
19,1,9:03.0,,E. Turner misses 3-pt jump shot from 25 ft,6,2
20,1,9:02.0,Defensive rebound by G. Hayward,,6,2
21,1,8:56.0,R. Gobert makes 2-pt layup at rim (assist by J. Ingles),,8,2
22,1,8:40.0,,T. Zeller misses 2-pt hook shot from 7 ft,8,2
23,1,8:39.0,,Offensive rebound by T. Zeller,8,2
24,1,8:33.0,,T. Zeller makes 2-pt hook shot from 4 ft,8,4
25,1,8:15.0,D. Exum makes 3-pt jump shot from 23 ft (assist by G. Hayward),,11,4
26,1,7:54.0,,B. Bass misses 2-pt jump shot from 5 ft (block by D. Favors),11,4
27,1,7:53.0,Defensive rebound by D. Favors,,11,4
28,1,7:49.0,Turnover by G. Hayward (traveling),,11,4
29,1,7:37.0,,E. Turner misses 2-pt jump shot from 20 ft,11,4
30,1,7:36.0,Defensive rebound by G. Hayward,,11,4
31,1,7:30.0,Personal foul by M. Smart (drawn by G. Hayward),,11,4
32,1,7:14.0,G. Hayward misses 3-pt jump shot from 25 ft,,11,4
33,1,7:13.0,,Defensive rebound by B. Bass,11,4
34,1,7:04.0,,B. Bass misses 2-pt jump shot from 18 ft,11,4
35,1,7:03.0,Defensive rebound by J. Ingles,,11,4
36,1,6:53.0,D. Favors misses 2-pt layup from 1 ft,,11,4
