,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
0,1,11:38.0,M. Conley misses 2-pt jump shot from 13 ft,,0,0
1,1,11:37.0,,Defensive rebound by E. Freedom,0,0
2,1,11:23.0,,E. Freedom makes 2-pt hook shot from 1 ft (assist by G. Hayward),0,2
3,1,11:09.0,Shooting foul by G. Hayward (drawn by J. Green),,0,2
4,1,11:09.0,J. Green makes free throw 1 of 2,,1,2
5,1,11:09.0,J. Green makes free throw 2 of 2,,2,2
6,1,10:49.0,,D. Exum misses 3-pt jump shot from 23 ft,2,2
7,1,10:47.0,Defensive rebound by Team,,2,2
8,1,10:33.0,Offensive foul by M. Gasol (drawn by D. Exum),,2,2
9,1,10:33.0,Turnover by M. Gasol (offensive foul),,2,2
10,1,10:09.0,,D. Favors misses 2-pt jump shot from 16 ft,2,2
11,1,10:07.0,Defensive rebound by C. Lee,,2,2
12,1,9:59.0,M. Gasol misses 2-pt jump shot from 17 ft,,2,2
13,1,9:58.0,,Defensive rebound by D. Favors,2,2
14,1,9:46.0,,E. Freedom makes 2-pt hook shot from 3 ft,2,4
15,1,9:25.0,M. Conley misses 2-pt layup from 2 ft,,2,4
16,1,9:24.0,,Defensive rebound by D. Exum,2,4
17,1,9:19.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Exum),2,7
18,1,9:05.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),,4,7
19,1,8:59.0,,D. Exum misses 2-pt jump shot from 7 ft,4,7
20,1,8:57.0,,Offensive rebound by D. Exum,4,7
21,1,8:49.0,,Turnover by D. Favors (traveling),4,7
22,1,8:26.0,M. Gasol makes 2-pt hook shot from 4 ft (assist by J. Green),,6,7
23,1,8:06.0,,D. Favors misses 2-pt jump shot from 8 ft (block by J. Green),6,7
24,1,8:03.0,Defensive rebound by M. Conley,,6,7
25,1,8:00.0,J. Green misses 2-pt jump shot from 3 ft,,6,7
26,1,7:59.0,,Defensive rebound by J. Ingles,6,7
27,1,7:53.0,Offensive charge foul by E. Freedom (drawn by M. Gasol),,6,7
28,1,7:53.0,,Turnover by E. Freedom (offensive foul),6,7
29,1,7:28.0,J. Green makes 3-pt jump shot from 26 ft (assist by M. Gasol),,9,7
30,1,7:08.0,,E. Freedom makes 2-pt layup from 1 ft,9,9
31,1,6:56.0,Personal foul by D. Favors (drawn by M. Gasol),,9,9
32,1,6:52.0,,Violation by G. Hayward (kicked ball),9,9
33,1,6:44.0,Z. Randolph makes 2-pt jump shot from 16 ft (assist by M. Conley),,11,9
34,1,6:29.0,,D. Favors makes 2-pt jump shot from 7 ft (assist by J. Ingles),11,11
35,1,5:57.0,M. Conley makes 2-pt jump shot from 18 ft,,13,11
36,1,5:41.0,,E. Freedom misses 2-pt jump shot from 16 ft,13,11
37,1,5:40.0,Defensive rebound by M. Conley,,13,11
38,1,5:23.0,M. Gasol misses 2-pt jump shot from 17 ft,,13,11
39,1,5:22.0,,Defensive rebound by G. Hayward,13,11
40,1,5:09.0,,J. Ingles makes 2-pt layup from 1 ft,13,13
41,1,4:54.0,J. Green makes 2-pt dunk at rim,,15,13
42,1,4:53.0,,Utah full timeout,15,13
43,1,4:53.0,T. Allen enters the game for C. Lee,,15,13
44,1,4:53.0,,R. Gobert enters the game for E. Freedom,15,13
45,1,4:41.0,,D. Exum misses 3-pt jump shot from 25 ft,15,13
46,1,4:39.0,Defensive rebound by Z. Randolph,,15,13
47,1,4:24.0,M. Conley misses 3-pt jump shot from 24 ft,,15,13
48,1,4:23.0,,Defensive rebound by D. Favors,15,13
49,1,4:09.0,,D. Favors makes 2-pt jump shot from 14 ft (assist by J. Ingles),15,15
50,1,3:52.0,J. Green makes 2-pt layup from 1 ft (assist by Z. Randolph),,17,15
51,1,3:36.0,,R. Gobert misses 2-pt jump shot from 6 ft (block by T. Allen),17,15
52,1,3:34.0,Defensive rebound by T. Allen,,17,15
53,1,3:34.0,,Violation by G. Hayward (kicked ball),17,15
54,1,3:34.0,,T. Burke enters the game for D. Exum,17,15
55,1,3:24.0,Z. Randolph makes 2-pt jump shot from 16 ft,,19,15
56,1,3:06.0,,T. Burke misses 3-pt jump shot from 23 ft,19,15
57,1,3:05.0,Defensive rebound by Z. Randolph,,19,15
58,1,2:55.0,T. Allen misses 2-pt jump shot from 6 ft,,19,15
59,1,2:53.0,,Defensive rebound by R. Gobert,19,15
60,1,2:47.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by T. Burke),19,18
61,1,2:34.0,Personal foul by G. Hayward (drawn by J. Green),,19,18
62,1,2:34.0,Memphis full timeout,,19,18
63,1,2:34.0,K. Koufos enters the game for M. Gasol,,19,18
64,1,2:34.0,B. Udrih enters the game for M. Conley,,19,18
65,1,2:34.0,,E. Millsap enters the game for G. Hayward,19,18
66,1,2:23.0,Z. Randolph makes 2-pt jump shot from 18 ft (assist by J. Green),,21,18
67,1,1:59.0,,Turnover by J. Ingles (bad pass; steal by J. Green),21,18
68,1,1:56.0,Shooting foul by J. Ingles (drawn by J. Green),,21,18
69,1,1:56.0,J. Green makes free throw 1 of 2,,22,18
70,1,1:56.0,,T. Booker enters the game for D. Favors,22,18
71,1,1:56.0,J. Green makes free throw 2 of 2,,23,18
72,1,1:45.0,,Shooting foul by J. Green (drawn by E. Millsap),23,18
73,1,1:45.0,,E. Millsap misses free throw 1 of 2,23,18
74,1,1:45.0,,Offensive rebound by Team,23,18
75,1,1:45.0,,E. Millsap makes free throw 2 of 2,23,19
76,1,1:26.0,B. Udrih makes 2-pt jump shot from 19 ft (assist by J. Green),,25,19
77,1,1:09.0,,T. Booker makes 2-pt jump shot from 8 ft,25,21
78,1,0:53.0,Personal foul by T. Booker (drawn by Z. Randolph),,25,21
79,1,0:53.0,Z. Randolph makes free throw 1 of 2,,26,21
80,1,0:53.0,N. Calathes enters the game for J. Green,,26,21
81,1,0:53.0,Z. Randolph makes free throw 2 of 2,,27,21
82,1,0:39.0,,T. Burke misses 3-pt jump shot from 24 ft,27,21
83,1,0:38.0,Defensive rebound by K. Koufos,,27,21
84,1,0:19.0,N. Calathes misses 2-pt layup from 2 ft (block by R. Gobert),,27,21
85,1,0:17.0,,Defensive rebound by T. Burke,27,21
86,1,0:03.0,,Shooting foul by N. Calathes (drawn by T. Burke),27,21
87,1,0:03.0,,T. Burke makes free throw 1 of 2,27,22
88,1,0:03.0,,T. Burke makes free throw 2 of 2,27,23
89,1,0:01.0,Z. Randolph makes 3-pt jump shot from 59 ft (assist by N. Calathes),,30,23
90,2,11:36.0,,E. Millsap misses 3-pt jump shot from 24 ft,30,23
91,2,11:34.0,Defensive rebound by J. Leuer,,30,23
92,2,11:20.0,B. Udrih makes 3-pt jump shot from 25 ft (assist by N. Calathes),,33,23
93,2,10:57.0,,T. Booker misses 2-pt jump shot from 18 ft,33,23
94,2,10:56.0,Defensive rebound by T. Allen,,33,23
95,2,10:40.0,K. Koufos makes 2-pt hook shot from 7 ft (assist by J. Leuer),,35,23
96,2,10:21.0,,T. Booker misses 2-pt layup from 4 ft,35,23
97,2,10:18.0,,Offensive rebound by D. Exum,35,23
98,2,10:12.0,,E. Millsap makes 2-pt layup from 3 ft,35,25
99,2,10:12.0,,Shooting foul by B. Udrih (drawn by E. Millsap),35,25
100,2,10:12.0,,E. Millsap makes free throw 1 of 1,35,26
101,2,9:58.0,B. Udrih misses 3-pt jump shot from 25 ft,,35,26
102,2,9:57.0,,Defensive rebound by T. Booker,35,26
103,2,9:46.0,,Turnover by E. Millsap (bad pass; steal by B. Udrih),35,26
104,2,9:42.0,Personal foul by E. Millsap (drawn by T. Allen),,35,26
