,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
0,1,11:37.0,S. Hill misses 2-pt jump shot from 22 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Ingles,0,0
2,1,11:14.0,,D. Exum misses 3-pt jump shot from 24 ft,0,0
3,1,11:10.0,Defensive rebound by D. West,,0,0
4,1,10:55.0,R. Hibbert misses 2-pt jump shot from 18 ft,,0,0
5,1,10:54.0,,Defensive rebound by D. Favors,0,0
6,1,10:37.0,,G. Hayward misses 2-pt jump shot from 17 ft,0,0
7,1,10:35.0,,Offensive rebound by D. Favors,0,0
8,1,10:35.0,,D. Favors makes 2-pt layup from 1 ft,0,2
9,1,10:13.0,D. West misses 2-pt jump shot from 18 ft,,0,2
10,1,10:11.0,,Defensive rebound by R. Gobert,0,2
11,1,10:01.0,,D. Favors misses 2-pt jump shot from 16 ft,0,2
12,1,10:00.0,Defensive rebound by R. Hibbert,,0,2
13,1,9:43.0,D. West makes 2-pt jump shot from 18 ft (assist by R. Stuckey),,2,2
14,1,9:26.0,,J. Ingles makes 2-pt layup from 2 ft,2,4
15,1,9:07.0,Shooting foul by R. Gobert (drawn by R. Hibbert),,2,4
16,1,9:07.0,R. Hibbert makes free throw 1 of 2,,3,4
17,1,9:07.0,R. Hibbert makes free throw 2 of 2,,4,4
18,1,8:58.0,,Shooting foul by S. Hill (drawn by G. Hayward),4,4
19,1,8:58.0,,G. Hayward makes free throw 1 of 2,4,5
20,1,8:58.0,,G. Hayward makes free throw 2 of 2,4,6
21,1,8:44.0,C. Watson makes 3-pt jump shot from 24 ft (assist by D. West),,7,6
22,1,8:26.0,,Turnover by D. Favors (traveling),7,6
23,1,8:11.0,R. Stuckey makes 2-pt layup from 1 ft (assist by D. West),,9,6
24,1,7:55.0,,Personal foul by R. Stuckey (drawn by D. Exum),9,6
25,1,7:55.0,C. Miles enters the game for R. Stuckey,,9,6
26,1,7:43.0,,Turnover by R. Gobert (lost ball; steal by C. Watson),9,6
27,1,7:24.0,R. Hibbert makes 2-pt jump shot from 9 ft (assist by D. West),,11,6
28,1,7:07.0,,D. Exum misses 2-pt jump shot from 20 ft,11,6
29,1,7:07.0,Defensive rebound by Team,,11,6
30,1,7:07.0,,Loose ball foul by R. Gobert (drawn by C. Watson),11,6
31,1,7:07.0,,T. Booker enters the game for R. Gobert,11,6
32,1,6:49.0,D. West makes 2-pt layup from 1 ft (assist by R. Hibbert),,13,6
33,1,6:27.0,,D. Exum misses 3-pt jump shot from 24 ft,13,6
34,1,6:25.0,,Offensive rebound by Team,13,6
35,1,6:22.0,,D. Exum makes 2-pt layup from 2 ft (assist by J. Ingles),13,8
36,1,5:58.0,R. Hibbert misses 2-pt hook shot from 6 ft (block by D. Favors),,13,8
37,1,5:55.0,,Defensive rebound by G. Hayward,13,8
38,1,5:51.0,,G. Hayward makes 2-pt layup from 1 ft (assist by J. Ingles),13,10
39,1,5:37.0,C. Miles misses 3-pt jump shot from 25 ft,,13,10
40,1,5:36.0,Offensive rebound by Team,,13,10
41,1,5:36.0,Personal foul by D. Favors (drawn by R. Hibbert),,13,10
42,1,5:36.0,,Utah full timeout,13,10
43,1,5:27.0,R. Hibbert makes 2-pt hook shot from 4 ft (assist by D. West),,15,10
44,1,5:04.0,,D. Favors makes 2-pt layup from 1 ft,15,12
45,1,4:39.0,R. Hibbert makes 2-pt hook shot from 7 ft,,17,12
46,1,4:22.0,,G. Hayward misses 2-pt jump shot from 6 ft,17,12
47,1,4:21.0,Defensive rebound by C. Miles,,17,12
48,1,4:08.0,C. Miles makes 2-pt jump shot from 20 ft,,19,12
49,1,3:43.0,,D. Exum misses 3-pt jump shot from 24 ft,19,12
50,1,3:42.0,,Offensive rebound by Team,19,12
51,1,3:42.0,,E. Millsap enters the game for G. Hayward,19,12
52,1,3:42.0,L. Allen enters the game for R. Hibbert,,19,12
53,1,3:26.0,,D. Exum misses 3-pt jump shot from 24 ft,19,12
54,1,3:24.0,Defensive rebound by D. West,,19,12
55,1,3:09.0,C. Miles misses 2-pt layup from 2 ft,,19,12
