,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,,Turnover by D. Cousins (bad pass),0,0
1,1,11:34.0,R. Westbrook misses 3-pt jump shot from 23 ft,,0,0
2,1,11:33.0,Offensive rebound by S. Adams,,0,0
3,1,11:21.0,Turnover by A. Roberson (bad pass; steal by D. Collison),,0,0
4,1,11:13.0,,D. Collison makes 2-pt jump shot from 17 ft,0,2
5,1,10:54.0,R. Westbrook misses 2-pt jump shot from 6 ft,,0,2
6,1,10:54.0,,Defensive rebound by D. Cousins,0,2
7,1,10:49.0,,D. Collison misses 2-pt layup from 2 ft,0,2
8,1,10:47.0,Defensive rebound by A. Roberson,,0,2
9,1,10:25.0,R. Westbrook misses 3-pt jump shot from 25 ft,,0,2
10,1,10:25.0,,Defensive rebound by Team,0,2
11,1,10:05.0,,D. Cousins misses 2-pt jump shot from 5 ft (block by S. Adams),0,2
12,1,10:03.0,Defensive rebound by R. Westbrook,,0,2
13,1,9:59.0,Shooting foul by B. McLemore (drawn by A. Roberson),,0,2
14,1,9:59.0,A. Roberson misses free throw 1 of 2,,0,2
15,1,9:59.0,Offensive rebound by Team,,0,2
16,1,9:59.0,A. Roberson makes free throw 2 of 2,,1,2
17,1,9:44.0,,B. McLemore misses 2-pt layup from 1 ft,1,2
18,1,9:43.0,Defensive rebound by S. Ibaka,,1,2
19,1,9:27.0,Turnover by S. Adams (3 sec),,1,2
20,1,9:13.0,,Personal block foul by S. Adams (drawn by D. Collison),1,2
21,1,9:07.0,,R. Gay makes 2-pt jump shot from 15 ft (assist by D. Collison),1,4
22,1,8:55.0,K. Durant misses 2-pt jump shot from 14 ft,,1,4
23,1,8:54.0,,Defensive rebound by J. Thompson,1,4
24,1,8:47.0,,B. McLemore misses 3-pt jump shot from 25 ft,1,4
25,1,8:46.0,Defensive rebound by K. Durant,,1,4
26,1,8:37.0,K. Durant misses 3-pt jump shot from 24 ft,,1,4
27,1,8:36.0,,Defensive rebound by J. Thompson,1,4
28,1,8:33.0,,R. Gay misses 2-pt jump shot from 3 ft (block by K. Durant),1,4
29,1,8:33.0,,Offensive rebound by Team,1,4
30,1,8:24.0,,R. Gay makes 2-pt hook shot from 4 ft,1,6
31,1,8:12.0,R. Westbrook makes 2-pt dunk at rim,,3,6
32,1,7:52.0,,Shooting foul by S. Adams (drawn by D. Cousins),3,6
33,1,7:52.0,,D. Cousins makes free throw 1 of 2,3,7
34,1,7:52.0,K. Perkins enters the game for S. Adams,,3,7
35,1,7:52.0,,D. Cousins makes free throw 2 of 2,3,8
36,1,7:47.0,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),,5,8
