,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
0,1,11:37.0,,D. Gallinari misses 2-pt layup at rim,0,0
1,1,11:35.0,,Offensive rebound by K. Faried,0,0
2,1,11:35.0,,K. Faried makes 2-pt tip-in from 1 ft,0,2
3,1,11:19.0,D. Lee misses 2-pt layup from 2 ft,,0,2
4,1,11:18.0,,Defensive rebound by K. Faried,0,2
5,1,11:17.0,,Turnover by J. Nelson (bad pass),0,2
6,1,11:04.0,Turnover by D. Green (bad pass),,0,2
7,1,10:47.0,,J. Nelson misses 3-pt jump shot from 24 ft,0,2
8,1,10:46.0,,Offensive rebound by K. Faried,0,2
9,1,10:43.0,,K. Faried misses 2-pt layup from 1 ft,0,2
10,1,10:42.0,Defensive rebound by H. Barnes,,0,2
11,1,10:33.0,H. Barnes misses 3-pt jump shot from 25 ft,,0,2
12,1,10:31.0,,Defensive rebound by K. Faried,0,2
13,1,10:23.0,,J. Nelson makes 2-pt layup from 1 ft,0,4
14,1,10:13.0,Shooting foul by K. Faried (drawn by D. Lee),,0,4
15,1,10:13.0,D. Lee misses free throw 1 of 2,,0,4
16,1,10:13.0,Offensive rebound by Team,,0,4
17,1,10:13.0,D. Lee makes free throw 2 of 2,,1,4
18,1,9:56.0,,Shooting foul by S. Livingston (drawn by W. Chandler),1,4
19,1,9:56.0,,W. Chandler misses free throw 1 of 2,1,4
20,1,9:56.0,,Offensive rebound by Team,1,4
21,1,9:56.0,,W. Chandler misses free throw 2 of 2,1,4
22,1,9:54.0,Defensive rebound by H. Barnes,,1,4
23,1,9:41.0,J. Holiday misses 3-pt jump shot from 25 ft,,1,4
24,1,9:40.0,,Defensive rebound by R. Foye,1,4
25,1,9:33.0,,R. Foye makes 3-pt jump shot from 25 ft,1,7
26,1,9:23.0,D. Green makes 2-pt layup from 1 ft,,3,7
27,1,9:07.0,,D. Gallinari makes 2-pt dunk at rim (assist by J. Nelson),3,9
28,1,8:56.0,J. Holiday misses 3-pt jump shot from 22 ft,,3,9
29,1,8:55.0,,Defensive rebound by D. Gallinari,3,9
30,1,8:49.0,,R. Foye misses 3-pt jump shot from 26 ft,3,9
31,1,8:49.0,,Offensive rebound by Team,3,9
32,1,8:49.0,Loose ball foul by H. Barnes (drawn by K. Faried),,3,9
33,1,8:38.0,,K. Faried makes 2-pt dunk at rim (assist by R. Foye),3,11
34,1,8:25.0,D. Green misses 3-pt jump shot from 25 ft,,3,11
35,1,8:24.0,,Defensive rebound by Team,3,11
36,1,8:04.0,,W. Chandler makes 2-pt layup from 1 ft (assist by J. Nelson),3,13
37,1,8:00.0,Golden State full timeout,,3,13
38,1,7:52.0,Personal foul by W. Chandler (drawn by H. Barnes),,3,13
39,1,7:45.0,Turnover by H. Barnes (bad pass; steal by R. Foye),,3,13
40,1,7:43.0,,Turnover by R. Foye (bad pass),3,13
41,1,7:31.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Lee),,6,13
42,1,7:18.0,,K. Faried makes 2-pt dunk at rim (assist by R. Foye),6,15
43,1,7:03.0,Shooting foul by J. Nelson (drawn by S. Livingston),,6,15
44,1,7:03.0,S. Livingston makes free throw 1 of 2,,7,15
45,1,7:03.0,S. Livingston makes free throw 2 of 2,,8,15
46,1,6:50.0,,R. Foye misses 3-pt jump shot from 24 ft,8,15
47,1,6:49.0,Defensive rebound by D. Green,,8,15
48,1,6:33.0,D. Lee makes 2-pt hook shot from 8 ft (assist by H. Barnes),,10,15
49,1,6:23.0,,W. Chandler misses 2-pt layup from 3 ft,10,15
50,1,6:21.0,,Offensive rebound by K. Faried,10,15
51,1,6:21.0,,K. Faried makes 2-pt layup at rim,10,17
52,1,6:09.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by S. Livingston),,13,17
53,1,5:57.0,,D. Gallinari misses 3-pt jump shot from 25 ft,13,17
54,1,5:56.0,,Offensive rebound by K. Faried,13,17
55,1,5:55.0,,K. Faried misses 2-pt layup from 2 ft,13,17
56,1,5:54.0,Defensive rebound by S. Livingston,,13,17
57,1,5:53.0,D. Green makes 2-pt jump shot from 3 ft (assist by S. Livingston),,15,17
58,1,5:53.0,Shooting foul by D. Gallinari (drawn by D. Green),,15,17
