,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,Turnover by Z. Randolph (lost ball; steal by K. Middleton),0,0
1,1,11:37.0,Turnover by K. Middleton (bad pass; steal by Z. Randolph),,0,0
2,1,11:20.0,,J. Green makes 2-pt layup from 1 ft (assist by Z. Randolph),0,2
3,1,11:02.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by T. Ennis),,3,2
4,1,10:41.0,,J. Green misses 3-pt jump shot from 25 ft,3,2
5,1,10:40.0,Defensive rebound by E. İlyasova,,3,2
6,1,10:33.0,G. Antetokounmpo makes 2-pt layup at rim,,5,2
7,1,10:11.0,,J. Green misses 2-pt jump shot from 5 ft,5,2
8,1,10:11.0,,Offensive rebound by Team,5,2
9,1,10:08.0,,C. Lee misses 2-pt jump shot from 12 ft,5,2
10,1,10:07.0,,Offensive rebound by J. Green,5,2
11,1,10:06.0,,Turnover by Team (shot clock),5,2
12,1,9:55.0,Personal foul by Z. Randolph (drawn by E. İlyasova),,5,2
13,1,9:42.0,Z. Pachulia misses 2-pt jump shot from 14 ft,,5,2
14,1,9:41.0,,Defensive rebound by Z. Randolph,5,2
15,1,9:32.0,,C. Lee makes 2-pt layup at rim (assist by M. Gasol),5,4
16,1,9:16.0,G. Antetokounmpo makes 2-pt jump shot from 15 ft,,7,4
17,1,8:57.0,,Turnover by B. Udrih (bad pass; steal by T. Ennis),7,4
18,1,8:51.0,E. İlyasova makes 2-pt jump shot from 15 ft (assist by T. Ennis),,9,4
19,1,8:35.0,,Personal foul by G. Antetokounmpo (drawn by M. Gasol),9,4
20,1,8:31.0,,Turnover by J. Green (dbl dribble),9,4
21,1,8:23.0,Shooting foul by B. Udrih (drawn by G. Antetokounmpo),,9,4
22,1,8:23.0,G. Antetokounmpo makes 2-pt dunk at rim,,11,4
23,1,8:23.0,,Memphis full timeout,11,4
24,1,8:23.0,,T. Allen enters the game for J. Green,11,4
25,1,8:23.0,G. Antetokounmpo misses free throw 1 of 1,,11,4
26,1,8:22.0,Offensive rebound by Team,,11,4
27,1,8:19.0,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by T. Ennis),,13,4
28,1,7:53.0,,C. Lee misses 2-pt jump shot from 11 ft,13,4
29,1,7:51.0,Defensive rebound by T. Ennis,,13,4
30,1,7:47.0,Shooting foul by M. Gasol (drawn by E. İlyasova),,13,4
31,1,7:47.0,E. İlyasova misses free throw 1 of 2,,13,4
32,1,7:47.0,Offensive rebound by Team,,13,4
33,1,7:47.0,E. İlyasova makes free throw 2 of 2,,14,4
34,1,7:32.0,,Shooting foul by E. İlyasova (drawn by Z. Randolph),14,4
35,1,7:32.0,,Z. Randolph makes free throw 1 of 2,14,5
36,1,7:32.0,,Z. Randolph makes free throw 2 of 2,14,6
37,1,7:17.0,E. İlyasova misses 2-pt jump shot from 18 ft,,14,6
38,1,7:16.0,,Defensive rebound by B. Udrih,14,6
39,1,7:04.0,,T. Allen misses 2-pt layup from 1 ft,14,6
40,1,7:02.0,,Offensive rebound by M. Gasol,14,6
41,1,6:59.0,,Z. Randolph misses 2-pt layup from 1 ft,14,6
42,1,6:59.0,,Offensive rebound by Team,14,6
43,1,6:59.0,Loose ball foul by E. İlyasova (drawn by Z. Randolph),,14,6
44,1,6:52.0,,B. Udrih makes 2-pt jump shot from 17 ft,14,8
45,1,6:38.0,E. İlyasova misses 3-pt jump shot from 26 ft,,14,8
46,1,6:37.0,,Defensive rebound by T. Allen,14,8
47,1,6:26.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by B. Udrih),14,10
48,1,6:03.0,E. İlyasova misses 3-pt jump shot from 26 ft,,14,10
49,1,6:03.0,,Defensive rebound by Team,14,10
50,1,5:54.0,,Turnover by Z. Randolph (bad pass),14,10
51,1,5:54.0,Milwaukee full timeout,,14,10
52,1,5:54.0,J. O'Bryant enters the game for E. İlyasova,,14,10
53,1,5:39.0,K. Middleton misses 2-pt jump shot from 21 ft,,14,10
54,1,5:38.0,Offensive rebound by Z. Pachulia,,14,10
55,1,5:21.0,K. Middleton misses 2-pt jump shot from 21 ft,,14,10
56,1,5:20.0,,Defensive rebound by C. Lee,14,10
57,1,5:02.0,,Turnover by Z. Randolph (lost ball),14,10
58,1,4:39.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by T. Ennis),,16,10
59,1,4:24.0,,B. Udrih makes 2-pt jump shot from 15 ft (assist by M. Gasol),16,12
60,1,4:05.0,Turnover by Z. Pachulia (bad pass; steal by M. Gasol),,16,12
61,1,3:52.0,,Personal foul by J. O'Bryant (drawn by Z. Randolph),16,12
62,1,3:48.0,,Turnover by B. Udrih (lost ball; steal by T. Ennis),16,12
