,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
0,1,11:39.0,,Shooting foul by M. Williams (drawn by G. Hayward),0,0
1,1,11:39.0,,G. Hayward makes free throw 1 of 2,0,1
2,1,11:39.0,,G. Hayward makes free throw 2 of 2,0,2
3,1,11:23.0,A. Jefferson makes 2-pt jump shot from 18 ft (assist by M. Williams),,2,2
4,1,10:58.0,,D. Exum misses 3-pt jump shot from 25 ft,2,2
5,1,10:57.0,Defensive rebound by G. Henderson,,2,2
6,1,10:44.0,Turnover by A. Jefferson (lost ball; steal by R. Hood),,2,2
7,1,10:30.0,,D. Favors makes 2-pt jump shot from 19 ft (assist by R. Hood),2,4
8,1,10:17.0,Personal foul by R. Hood (drawn by A. Jefferson),,2,4
9,1,10:14.0,Personal foul by R. Hood (drawn by G. Henderson),,2,4
10,1,10:14.0,,J. Ingles enters the game for R. Hood,2,4
11,1,10:00.0,M. Williams misses 2-pt jump shot from 6 ft,,2,4
12,1,9:59.0,,Defensive rebound by R. Gobert,2,4
13,1,9:42.0,,G. Hayward misses 2-pt jump shot from 19 ft,2,4
14,1,9:39.0,,Offensive rebound by R. Gobert,2,4
15,1,9:29.0,,D. Favors misses 2-pt jump shot from 7 ft,2,4
16,1,9:28.0,Defensive rebound by A. Jefferson,,2,4
17,1,9:14.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,2,4
18,1,9:13.0,,Defensive rebound by R. Gobert,2,4
19,1,9:03.0,,R. Gobert makes 2-pt jump shot from 4 ft (assist by G. Hayward),2,6
20,1,8:48.0,M. Williams makes 2-pt jump shot from 18 ft,,4,6
21,1,8:34.0,,Turnover by D. Favors (bad pass),4,6
22,1,8:14.0,M. Kidd-Gilchrist makes 2-pt jump shot from 9 ft,,6,6
23,1,7:57.0,,D. Exum makes 3-pt jump shot from 24 ft (assist by G. Hayward),6,9
24,1,7:45.0,M. Williams makes 2-pt jump shot from 18 ft,,8,9
25,1,7:20.0,,D. Exum makes 3-pt jump shot from 24 ft (assist by R. Gobert),8,12
26,1,7:13.0,Charlotte full timeout,,8,12
27,1,7:07.0,M. Williams misses 3-pt jump shot from 25 ft,,8,12
28,1,7:05.0,,Defensive rebound by D. Favors,8,12
29,1,6:48.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Favors),8,15
30,1,6:28.0,A. Jefferson makes 2-pt jump shot from 3 ft (assist by M. Williams),,10,15
31,1,6:14.0,,G. Hayward misses 2-pt jump shot from 9 ft,10,15
32,1,6:13.0,,Offensive rebound by R. Gobert,10,15
33,1,5:56.0,,G. Hayward makes 3-pt jump shot from 23 ft (assist by J. Ingles),10,18
34,1,5:32.0,M. Williams misses 3-pt jump shot from 24 ft,,10,18
35,1,5:31.0,,Defensive rebound by R. Gobert,10,18
36,1,5:31.0,,R. Gobert misses 2-pt layup from 3 ft,10,18
37,1,5:10.0,Defensive rebound by M. Williams,,10,18
38,1,5:03.0,Shooting foul by D. Favors (drawn by M. Kidd-Gilchrist),,10,18
39,1,5:03.0,M. Kidd-Gilchrist makes free throw 1 of 2,,11,18
40,1,5:03.0,,E. Millsap enters the game for J. Ingles,11,18
41,1,5:03.0,M. Kidd-Gilchrist makes free throw 2 of 2,,12,18
42,1,4:51.0,,Turnover by R. Gobert (bad pass; steal by A. Jefferson),12,18
43,1,4:47.0,Shooting block foul by D. Exum (drawn by M. Kidd-Gilchrist),,12,18
44,1,4:47.0,M. Kidd-Gilchrist misses free throw 1 of 2,,12,18
45,1,4:47.0,Offensive rebound by Team,,12,18
46,1,4:47.0,K. Walker enters the game for G. Henderson,,12,18
47,1,4:47.0,M. Kidd-Gilchrist makes free throw 2 of 2,,13,18
48,1,4:38.0,,D. Exum misses 2-pt jump shot from 12 ft,13,18
49,1,4:37.0,Defensive rebound by A. Jefferson,,13,18
50,1,4:18.0,M. Williams misses 3-pt jump shot from 26 ft,,13,18
51,1,4:16.0,,Defensive rebound by Team,13,18
52,1,4:02.0,Violation by M. Williams (kicked ball),,13,18
53,1,4:02.0,B. Biyombo enters the game for A. Jefferson,,13,18
54,1,3:51.0,,Turnover by D. Favors (lost ball; steal by M. Williams),13,18
55,1,3:46.0,M. Kidd-Gilchrist misses 2-pt jump shot from 3 ft (block by G. Hayward),,13,18
56,1,3:46.0,Offensive rebound by Team,,13,18
57,1,3:46.0,,T. Burke enters the game for D. Exum,13,18
58,1,3:46.0,,T. Booker enters the game for D. Favors,13,18
59,1,3:35.0,K. Walker misses 2-pt layup from 2 ft,,13,18
60,1,3:34.0,,Defensive rebound by T. Burke,13,18
61,1,3:21.0,,G. Hayward makes 3-pt jump shot from 25 ft,13,21
62,1,3:03.0,M. Kidd-Gilchrist misses 2-pt jump shot from 7 ft,,13,21
63,1,3:02.0,,Defensive rebound by T. Burke,13,21
64,1,2:54.0,,T. Burke makes 3-pt jump shot from 23 ft (assist by E. Millsap),13,24
65,1,2:47.0,Charlotte full timeout,,13,24
66,1,2:47.0,,Utah full timeout,13,24
