,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CLEVELAND_ACTION,MINNESOTA_SCORE,CLEVELAND_SCORE
0,1,11:46.0,,K. Love misses 2-pt layup at rim,0,0
1,1,11:45.0,Defensive rebound by G. Dieng,,0,0
2,1,11:31.0,T. Young misses 2-pt jump shot from 4 ft,,0,0
3,1,11:27.0,,Defensive rebound by K. Love,0,0
4,1,11:24.0,,Personal foul by S. Muhammad (drawn by A. Varejão),0,0
5,1,11:14.0,,Shooting foul by A. Wiggins (drawn by L. James),0,0
6,1,11:14.0,,L. James makes free throw 1 of 2,0,1
7,1,11:14.0,,L. James makes free throw 2 of 2,0,2
8,1,11:03.0,S. Muhammad misses 2-pt jump shot from 17 ft,,0,2
9,1,11:02.0,,Defensive rebound by L. James,0,2
10,1,10:54.0,,Turnover by K. Irving (bad pass),0,2
11,1,10:41.0,A. Wiggins makes 2-pt layup at rim (assist by T. Young),,2,2
12,1,10:34.0,,Shooting foul by Z. LaVine (drawn by K. Irving),2,2
13,1,10:34.0,,K. Irving makes free throw 1 of 2,2,3
14,1,10:34.0,,K. Irving makes free throw 2 of 2,2,4
15,1,10:17.0,S. Muhammad makes 2-pt jump shot from 21 ft (assist by G. Dieng),,4,4
16,1,9:58.0,,A. Varejão misses 2-pt hook shot from 6 ft,4,4
17,1,9:55.0,,Offensive rebound by A. Varejão,4,4
18,1,9:45.0,,K. Irving misses 2-pt jump shot from 11 ft,4,4
19,1,9:44.0,Defensive rebound by Z. LaVine,,4,4
20,1,9:32.0,T. Young makes 2-pt layup from 1 ft (assist by Z. LaVine),,6,4
21,1,9:16.0,,A. Varejão makes 2-pt layup from 1 ft (assist by M. Miller),6,6
22,1,9:02.0,Personal foul by M. Miller (drawn by A. Wiggins),,6,6
23,1,8:53.0,Shooting foul by M. Miller (drawn by A. Wiggins),,6,6
24,1,8:53.0,A. Wiggins makes free throw 1 of 2,,7,6
25,1,8:53.0,A. Wiggins makes free throw 2 of 2,,8,6
26,1,8:36.0,,K. Irving makes 2-pt jump shot from 4 ft,8,8
27,1,8:24.0,Shooting foul by M. Miller (drawn by S. Muhammad),,8,8
28,1,8:24.0,S. Muhammad misses free throw 1 of 2,,8,8
29,1,8:24.0,Offensive rebound by Team,,8,8
30,1,8:24.0,,D. Waiters enters the game for M. Miller,8,8
31,1,8:24.0,S. Muhammad makes free throw 2 of 2,,9,8
32,1,8:10.0,,A. Varejão makes 2-pt layup at rim (assist by K. Love),9,10
33,1,7:43.0,G. Dieng misses 2-pt jump shot from 12 ft,,9,10
34,1,7:40.0,Offensive rebound by A. Wiggins,,9,10
