,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
0,1,11:44.0,,P. Millsap makes 2-pt jump shot from 17 ft (assist by A. Horford),0,2
1,1,11:29.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by H. Barnes),,2,2
2,1,11:06.0,,Personal foul by D. Green (drawn by D. Carroll),2,2
3,1,11:01.0,,A. Horford misses 2-pt jump shot from 20 ft,2,2
4,1,11:00.0,Defensive rebound by S. Curry,,2,2
5,1,10:53.0,K. Thompson misses 2-pt jump shot from 4 ft,,2,2
6,1,10:52.0,,Defensive rebound by A. Horford,2,2
7,1,10:46.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by A. Horford),2,5
8,1,10:31.0,D. Green misses 3-pt jump shot from 25 ft,,2,5
9,1,10:30.0,,Defensive rebound by K. Korver,2,5
10,1,10:22.0,,J. Teague misses 2-pt jump shot from 7 ft,2,5
11,1,10:21.0,Defensive rebound by A. Bogut,,2,5
12,1,10:12.0,Turnover by A. Bogut (bad pass; steal by P. Millsap),,2,5
13,1,10:06.0,,D. Carroll misses 3-pt jump shot from 25 ft,2,5
14,1,10:05.0,,Offensive rebound by P. Millsap,2,5
15,1,10:02.0,,P. Millsap makes 2-pt jump shot from 14 ft,2,7
16,1,9:42.0,K. Thompson makes 2-pt layup from 1 ft (assist by A. Bogut),,4,7
17,1,9:21.0,,Turnover by P. Millsap (bad pass; steal by K. Thompson),4,7
18,1,9:16.0,H. Barnes makes 2-pt dunk at rim (assist by K. Thompson),,6,7
19,1,8:54.0,,P. Millsap makes 2-pt jump shot from 6 ft (assist by J. Teague),6,9
20,1,8:47.0,D. Green misses 2-pt layup from 2 ft,,6,9
21,1,8:45.0,Offensive rebound by D. Green,,6,9
22,1,8:45.0,Personal foul by K. Korver (drawn by D. Green),,6,9
23,1,8:41.0,S. Curry misses 3-pt jump shot from 25 ft,,6,9
24,1,8:40.0,,Defensive rebound by D. Carroll,6,9
25,1,8:25.0,,J. Teague misses 3-pt jump shot from 24 ft,6,9
26,1,8:24.0,Defensive rebound by D. Green,,6,9
27,1,8:07.0,S. Curry misses 3-pt jump shot from 23 ft,,6,9
28,1,8:06.0,,Defensive rebound by D. Carroll,6,9
29,1,7:50.0,,P. Millsap misses 2-pt jump shot from 20 ft,6,9
30,1,7:48.0,Defensive rebound by K. Thompson,,6,9
31,1,7:31.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,9,9
32,1,7:02.0,,A. Horford misses 2-pt jump shot from 19 ft,9,9
33,1,7:01.0,Defensive rebound by A. Bogut,,9,9
34,1,6:50.0,H. Barnes misses 3-pt jump shot from 24 ft,,9,9
35,1,6:49.0,,Defensive rebound by A. Horford,9,9
36,1,6:42.0,,A. Horford misses 2-pt jump shot from 5 ft,9,9
37,1,6:40.0,Defensive rebound by D. Green,,9,9
38,1,6:22.0,A. Bogut misses 2-pt jump shot from 3 ft,,9,9
39,1,6:20.0,Offensive rebound by A. Bogut,,9,9
40,1,6:18.0,S. Curry misses 3-pt jump shot from 24 ft (block by J. Teague),,9,9
41,1,6:16.0,,Defensive rebound by K. Korver,9,9
42,1,6:13.0,,J. Teague makes 2-pt dunk at rim (assist by K. Korver),9,11
43,1,6:06.0,Golden State full timeout,,9,11
44,1,6:06.0,,P. Antić enters the game for A. Horford,9,11
45,1,6:06.0,,K. Bazemore enters the game for K. Korver,9,11
46,1,6:02.0,Turnover by A. Bogut (bad pass),,9,11
47,1,5:52.0,,Turnover by J. Teague (bad pass; steal by K. Thompson),9,11
48,1,5:47.0,H. Barnes makes 2-pt dunk at rim (assist by K. Thompson),,11,11
49,1,5:24.0,,J. Teague misses 3-pt jump shot from 24 ft,11,11
50,1,5:22.0,,Offensive rebound by P. Millsap,11,11
51,1,5:14.0,,K. Bazemore misses 2-pt jump shot from 5 ft (block by A. Bogut),11,11
52,1,5:11.0,Defensive rebound by D. Green,,11,11
53,1,5:02.0,Personal foul by D. Carroll (drawn by K. Thompson),,11,11
54,1,4:57.0,S. Curry misses 2-pt jump shot from 21 ft,,11,11
55,1,4:55.0,,Defensive rebound by K. Bazemore,11,11
56,1,4:35.0,,P. Millsap misses 2-pt jump shot from 9 ft,11,11
57,1,4:33.0,Defensive rebound by D. Green,,11,11
58,1,4:30.0,D. Green makes 2-pt layup from 1 ft,,13,11
