,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DETROIT_ACTION,ORLANDO_SCORE,DETROIT_SCORE
0,1,11:34.0,,A. Drummond misses 2-pt layup from 1 ft,0,0
1,1,11:32.0,Defensive rebound by V. Oladipo,,0,0
2,1,11:20.0,Turnover by V. Oladipo (bad pass),,0,0
3,1,10:59.0,,B. Jennings makes 3-pt jump shot from 26 ft (assist by J. Smith),0,3
4,1,10:46.0,E. Fournier makes 2-pt layup from 1 ft (assist by C. Frye),,2,3
5,1,10:26.0,,G. Monroe makes 2-pt layup from 1 ft,2,5
6,1,10:09.0,C. Frye misses 3-pt jump shot from 25 ft,,2,5
7,1,10:08.0,,Defensive rebound by A. Drummond,2,5
8,1,10:02.0,,Personal foul by V. Oladipo (drawn by B. Jennings),2,5
9,1,9:44.0,,J. Smith misses 3-pt jump shot from 27 ft,2,5
10,1,9:43.0,,Offensive rebound by A. Drummond,2,5
11,1,9:42.0,,Shooting foul by C. Frye (drawn by A. Drummond),2,5
12,1,9:42.0,,A. Drummond misses free throw 1 of 2,2,5
13,1,9:42.0,,Offensive rebound by Team,2,5
14,1,9:42.0,,A. Drummond misses free throw 2 of 2,2,5
15,1,9:41.0,Defensive rebound by T. Harris,,2,5
16,1,9:29.0,N. Vučević misses 2-pt jump shot from 17 ft,,2,5
17,1,9:28.0,,Defensive rebound by B. Jennings,2,5
18,1,9:19.0,,A. Drummond misses 2-pt layup at rim,2,5
19,1,9:18.0,,Offensive rebound by A. Drummond,2,5
20,1,9:16.0,,A. Drummond makes 2-pt tip-in at rim,2,7
21,1,9:00.0,Turnover by E. Fournier (bad pass; steal by J. Smith),,2,7
22,1,8:52.0,,B. Jennings makes 3-pt jump shot from 22 ft (assist by K. Caldwell-Pope),2,10
23,1,8:50.0,Orlando full timeout,,2,10
24,1,8:36.0,T. Harris makes 3-pt jump shot from 25 ft (assist by E. Fournier),,5,10
25,1,8:12.0,,G. Monroe makes 2-pt layup from 1 ft (assist by B. Jennings),5,12
26,1,7:58.0,N. Vučević misses 2-pt jump shot from 3 ft (block by J. Smith),,5,12
27,1,7:56.0,,Defensive rebound by B. Jennings,5,12
28,1,7:47.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,5,12
29,1,7:46.0,Defensive rebound by T. Harris,,5,12
30,1,7:33.0,Turnover by E. Fournier (traveling),,5,12
31,1,7:14.0,,B. Jennings misses 2-pt jump shot from 21 ft,5,12
32,1,7:14.0,,Offensive rebound by Team,5,12
33,1,6:59.0,,Turnover by B. Jennings (bad pass; steal by E. Fournier),5,12
34,1,6:58.0,Shooting foul by K. Caldwell-Pope (drawn by E. Fournier),,5,12
35,1,6:58.0,E. Fournier misses free throw 1 of 2,,5,12
36,1,6:58.0,Offensive rebound by Team,,5,12
37,1,6:58.0,E. Fournier makes free throw 2 of 2,,6,12
38,1,6:36.0,,G. Monroe misses 2-pt layup at rim,6,12
39,1,6:35.0,Defensive rebound by N. Vučević,,6,12
40,1,6:24.0,Shooting foul by J. Smith (drawn by N. Vučević),,6,12
41,1,6:24.0,N. Vučević makes free throw 1 of 2,,7,12
42,1,6:24.0,N. Vučević makes free throw 2 of 2,,8,12
43,1,6:00.0,,Turnover by A. Drummond (bad pass; steal by T. Harris),8,12
44,1,5:55.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by T. Harris),,11,12
45,1,5:30.0,,B. Jennings makes 2-pt jump shot from 5 ft,11,14
46,1,5:30.0,,Shooting foul by V. Oladipo (drawn by B. Jennings),11,14
47,1,5:30.0,,C. Butler enters the game for G. Monroe,11,14
48,1,5:30.0,E. Payton enters the game for C. Frye,,11,14
49,1,5:30.0,,B. Jennings misses free throw 1 of 1,11,14
50,1,5:28.0,Defensive rebound by N. Vučević,,11,14
51,1,5:11.0,N. Vučević misses 2-pt jump shot from 12 ft,,11,14
52,1,5:09.0,,Defensive rebound by A. Drummond,11,14
53,1,4:54.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by J. Smith),11,17
54,1,4:40.0,E. Fournier misses 3-pt jump shot from 24 ft,,11,17
55,1,4:39.0,Offensive rebound by N. Vučević,,11,17
56,1,4:38.0,N. Vučević misses 2-pt tip-in at rim,,11,17
57,1,4:37.0,,Defensive rebound by K. Caldwell-Pope,11,17
58,1,4:31.0,,J. Smith makes 2-pt layup at rim (assist by B. Jennings),11,19
59,1,4:19.0,E. Payton makes 2-pt jump shot from 19 ft,,13,19
60,1,3:59.0,Loose ball foul by T. Harris (drawn by A. Drummond),,13,19
61,1,3:59.0,M. Harkless enters the game for E. Fournier,,13,19
62,1,3:42.0,,C. Butler misses 2-pt jump shot from 16 ft,13,19
63,1,3:41.0,Defensive rebound by V. Oladipo,,13,19
64,1,3:37.0,V. Oladipo makes 2-pt layup at rim,,15,19
65,1,3:37.0,Shooting foul by K. Caldwell-Pope (drawn by V. Oladipo),,15,19
66,1,3:37.0,,K. Singler enters the game for K. Caldwell-Pope,15,19
67,1,3:37.0,V. Oladipo makes free throw 1 of 1,,16,19
68,1,3:24.0,,B. Jennings makes 3-pt jump shot from 23 ft,16,22
69,1,3:24.0,,Shooting foul by E. Payton (drawn by B. Jennings),16,22
70,1,3:24.0,,B. Jennings makes free throw 1 of 1,16,23
71,1,3:07.0,N. Vučević makes 2-pt layup from 1 ft (assist by M. Harkless),,18,23
72,1,3:07.0,Shooting foul by B. Jennings (drawn by N. Vučević),,18,23
73,1,3:07.0,W. Green enters the game for V. Oladipo,,18,23
74,1,3:07.0,N. Vučević makes free throw 1 of 1,,19,23
75,1,2:48.0,,J. Smith misses 2-pt jump shot from 6 ft,19,23
76,1,2:46.0,Defensive rebound by N. Vučević,,19,23
77,1,2:33.0,,Violation by C. Butler (kicked ball),19,23
78,1,2:33.0,,Detroit full timeout,19,23
79,1,2:33.0,,J. Jerebko enters the game for J. Smith,19,23
80,1,2:33.0,,G. Monroe enters the game for A. Drummond,19,23
81,1,2:26.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by M. Harkless),,21,23
82,1,2:00.0,,B. Jennings misses 2-pt jump shot from 17 ft,21,23
83,1,1:59.0,Defensive rebound by M. Harkless,,21,23
84,1,1:48.0,W. Green makes 3-pt jump shot from 23 ft (assist by T. Harris),,24,23
85,1,1:35.0,,Turnover by B. Jennings (bad pass; steal by T. Harris),24,23
86,1,1:33.0,Personal foul by J. Jerebko (drawn by T. Harris),,24,23
87,1,1:33.0,T. Harris misses free throw 1 of 2,,24,23
88,1,1:33.0,Offensive rebound by Team,,24,23
89,1,1:33.0,C. Frye enters the game for N. Vučević,,24,23
90,1,1:33.0,T. Harris makes free throw 2 of 2,,25,23
91,1,1:09.0,,Turnover by G. Monroe (lost ball; steal by E. Payton),25,23
92,1,0:58.0,M. Harkless misses 3-pt jump shot from 24 ft,,25,23
93,1,0:57.0,,Defensive rebound by J. Jerebko,25,23
94,1,0:44.0,,C. Butler makes 3-pt jump shot from 22 ft (assist by B. Jennings),25,26
95,1,0:31.0,E. Payton misses 2-pt jump shot from 19 ft,,25,26
96,1,0:30.0,,Defensive rebound by C. Butler,25,26
97,1,0:23.0,,Personal foul by E. Payton (drawn by C. Butler),25,26
98,1,0:23.0,A. Nicholson enters the game for T. Harris,,25,26
99,1,0:23.0,,C. Butler makes free throw 1 of 2,25,27
100,1,0:23.0,,C. Butler makes free throw 2 of 2,25,28
101,1,0:03.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by E. Payton),,28,28
102,1,0:01.0,,B. Jennings misses 3-pt jump shot from 38 ft,28,28
103,1,0:00.0,,Offensive rebound by Team,28,28
104,2,11:45.0,A. Nicholson misses 2-pt hook shot from 4 ft,,28,28
105,2,11:43.0,,Defensive rebound by G. Monroe,28,28
106,2,11:27.0,,J. Jerebko misses 2-pt jump shot from 17 ft,28,28
107,2,11:26.0,Defensive rebound by L. Ridnour,,28,28
108,2,11:13.0,A. Nicholson misses 2-pt jump shot from 17 ft,,28,28
109,2,11:12.0,,Defensive rebound by C. Butler,28,28
110,2,11:02.0,,J. Jerebko misses 2-pt jump shot from 19 ft,28,28
111,2,11:01.0,Defensive rebound by A. Nicholson,,28,28
112,2,10:47.0,A. Nicholson misses 2-pt layup from 1 ft,,28,28
113,2,10:46.0,,Defensive rebound by D. Augustin,28,28
114,2,10:37.0,,D. Augustin makes 2-pt jump shot from 18 ft,28,30
115,2,10:15.0,A. Nicholson makes 2-pt layup at rim (assist by L. Ridnour),,30,30
116,2,10:02.0,,Shooting foul by W. Green (drawn by C. Butler),30,30
117,2,10:02.0,,C. Butler makes free throw 1 of 2,30,31
118,2,10:02.0,,C. Butler makes free throw 2 of 2,30,32
119,2,9:49.0,L. Ridnour makes 2-pt layup from 1 ft,,32,32
120,2,9:42.0,,Detroit full timeout,32,32
121,2,9:31.0,,Shooting foul by C. Frye (drawn by G. Monroe),32,32
122,2,9:31.0,,G. Monroe makes free throw 1 of 2,32,33
123,2,9:31.0,,G. Monroe makes free throw 2 of 2,32,34
124,2,9:20.0,Personal foul by J. Jerebko (drawn by L. Ridnour),,32,34
125,2,9:12.0,M. Harkless makes 2-pt layup from 1 ft (assist by A. Nicholson),,34,34
126,2,8:59.0,,J. Jerebko misses 3-pt jump shot from 26 ft,34,34
127,2,8:57.0,Defensive rebound by L. Ridnour,,34,34
128,2,8:56.0,Offensive foul by C. Frye (drawn by D. Augustin),,34,34
129,2,8:56.0,Turnover by C. Frye (offensive foul),,34,34
130,2,8:56.0,T. Harris enters the game for C. Frye,,34,34
131,2,8:39.0,,Turnover by G. Monroe (lost ball),34,34
132,2,8:17.0,W. Green misses 2-pt jump shot from 20 ft,,34,34
133,2,8:16.0,,Defensive rebound by G. Monroe,34,34
134,2,8:04.0,,C. Butler misses 2-pt jump shot from 5 ft,34,34
135,2,8:03.0,,Offensive rebound by G. Monroe,34,34
136,2,8:03.0,,G. Monroe misses 2-pt tip-in from 18 ft,34,34
137,2,8:02.0,,Offensive rebound by G. Monroe,34,34
138,2,8:01.0,,G. Monroe misses 2-pt layup at rim (block by T. Harris),34,34
139,2,8:00.0,,Offensive rebound by C. Butler,34,34
140,2,7:59.0,,C. Butler misses 2-pt layup at rim,34,34
141,2,7:58.0,,Offensive rebound by J. Jerebko,34,34
142,2,7:55.0,,J. Jerebko makes 2-pt layup at rim,34,36
143,2,7:44.0,Personal foul by J. Jerebko (drawn by T. Harris),,34,36
144,2,7:44.0,,A. Drummond enters the game for C. Butler,34,36
145,2,7:44.0,,J. Smith enters the game for J. Jerebko,34,36
146,2,7:44.0,E. Fournier enters the game for M. Harkless,,34,36
147,2,7:44.0,V. Oladipo enters the game for W. Green,,34,36
148,2,7:44.0,N. Vučević enters the game for A. Nicholson,,34,36
149,2,7:31.0,T. Harris misses 2-pt jump shot from 16 ft,,34,36
150,2,7:30.0,,Defensive rebound by A. Drummond,34,36
151,2,7:10.0,,D. Augustin makes 2-pt jump shot from 7 ft,34,38
152,2,6:53.0,N. Vučević misses 2-pt jump shot from 6 ft,,34,38
153,2,6:52.0,,Defensive rebound by G. Monroe,34,38
154,2,6:35.0,,Turnover by J. Smith (3 sec),34,38
155,2,6:35.0,,K. Caldwell-Pope enters the game for G. Monroe,34,38
156,2,6:20.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by V. Oladipo),,36,38
157,2,5:56.0,,K. Singler misses 2-pt jump shot from 16 ft,36,38
158,2,5:56.0,Defensive rebound by Team,,36,38
