,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
0,1,11:38.0,,N. Hilário makes 2-pt jump shot from 18 ft,0,2
1,1,11:23.0,Turnover by J. Calderón (bad pass; steal by N. Hilário),,0,2
2,1,11:19.0,,J. Wall makes 2-pt dunk at rim (assist by N. Hilário),0,4
3,1,10:53.0,T. Hardaway makes 2-pt layup at rim,,2,4
4,1,10:28.0,,N. Hilário misses 2-pt jump shot from 16 ft,2,4
5,1,10:27.0,,Offensive rebound by M. Gortat,2,4
6,1,10:26.0,,M. Gortat makes 2-pt tip-in from 1 ft,2,6
7,1,10:07.0,C. Aldrich makes 2-pt hook shot from 13 ft,,4,6
8,1,9:54.0,,B. Beal misses 2-pt jump shot from 21 ft,4,6
9,1,9:53.0,Defensive rebound by Q. Acy,,4,6
10,1,9:39.0,T. Hardaway misses 3-pt jump shot from 26 ft,,4,6
11,1,9:38.0,,Defensive rebound by O. Porter,4,6
12,1,9:34.0,,Personal take foul by P. Prigioni (drawn by J. Wall),4,6
13,1,9:29.0,,Turnover by N. Hilário (lost ball; steal by P. Prigioni),4,6
14,1,9:29.0,,Loose ball foul by N. Hilário (drawn by P. Prigioni),4,6
15,1,9:16.0,Turnover by C. Aldrich (bad pass),,4,6
16,1,9:06.0,,O. Porter misses 3-pt jump shot from 26 ft,4,6
17,1,9:05.0,Defensive rebound by J. Calderón,,4,6
18,1,8:57.0,J. Calderón misses 2-pt jump shot from 15 ft,,4,6
19,1,8:55.0,,Defensive rebound by M. Gortat,4,6
20,1,8:51.0,,Turnover by J. Wall (lost ball; steal by T. Hardaway),4,6
21,1,8:35.0,C. Aldrich makes 2-pt hook shot from 11 ft (assist by T. Hardaway),,6,6
22,1,8:20.0,,N. Hilário makes 2-pt layup from 2 ft,6,8
23,1,8:04.0,J. Calderón makes 2-pt jump shot from 17 ft,,8,8
24,1,7:42.0,,N. Hilário makes 2-pt layup from 1 ft (assist by M. Gortat),8,10
25,1,7:28.0,Q. Acy misses 3-pt jump shot from 26 ft,,8,10
26,1,7:25.0,Offensive rebound by C. Aldrich,,8,10
27,1,7:10.0,C. Aldrich misses 2-pt jump shot from 9 ft,,8,10
28,1,7:09.0,,Defensive rebound by N. Hilário,8,10
29,1,7:01.0,,B. Beal misses 3-pt jump shot from 25 ft,8,10
30,1,7:00.0,Defensive rebound by T. Hardaway,,8,10
31,1,6:54.0,New York full timeout,,8,10
32,1,6:51.0,Turnover by C. Aldrich (bad pass),,8,10
33,1,6:41.0,,N. Hilário misses 2-pt jump shot from 11 ft,8,10
34,1,6:39.0,Defensive rebound by J. Calderón,,8,10
35,1,6:22.0,J. Calderón misses 3-pt jump shot from 25 ft,,8,10
36,1,6:21.0,,Defensive rebound by N. Hilário,8,10
37,1,6:08.0,,Shooting foul by Q. Acy (drawn by M. Gortat),8,10
