,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
0,1,11:42.0,,T. Ross misses 2-pt jump shot from 10 ft,0,0
1,1,11:40.0,Defensive rebound by J. Johnson,,0,0
2,1,11:25.0,D. Williams makes 3-pt jump shot from 27 ft (assist by M. Teletović),,3,0
3,1,11:10.0,,J. Valančiūnas misses 2-pt jump shot from 5 ft (block by M. Plumlee),3,0
4,1,11:10.0,,Offensive rebound by J. Valančiūnas,3,0
5,1,11:05.0,,Shooting foul by D. Williams (drawn by K. Lowry),3,0
6,1,11:05.0,,K. Lowry makes free throw 1 of 2,3,1
7,1,11:05.0,,K. Lowry makes free throw 2 of 2,3,2
8,1,10:53.0,Turnover by M. Teletović (bad pass; steal by L. Fields),,3,2
9,1,10:43.0,,T. Ross misses 2-pt jump shot from 13 ft,3,2
10,1,10:41.0,Defensive rebound by M. Teletović,,3,2
11,1,10:31.0,J. Johnson misses 2-pt jump shot from 17 ft,,3,2
12,1,10:30.0,,Defensive rebound by T. Ross,3,2
13,1,10:21.0,,A. Johnson makes 2-pt layup from 2 ft (assist by K. Lowry),3,4
14,1,9:59.0,M. Teletović misses 3-pt jump shot from 26 ft,,3,4
15,1,9:58.0,,Defensive rebound by J. Valančiūnas,3,4
16,1,9:49.0,,T. Ross misses 3-pt jump shot from 23 ft,3,4
17,1,9:48.0,Defensive rebound by M. Teletović,,3,4
18,1,9:41.0,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Teletović),,5,4
19,1,9:22.0,,L. Fields makes 2-pt jump shot from 10 ft (assist by K. Lowry),5,6
20,1,9:01.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by D. Williams),,8,6
21,1,8:42.0,,Turnover by J. Valančiūnas (lost ball; steal by J. Johnson),8,6
22,1,8:37.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Williams),,10,6
23,1,8:23.0,,K. Lowry misses 2-pt jump shot from 19 ft,10,6
24,1,8:22.0,Defensive rebound by J. Johnson,,10,6
25,1,8:15.0,J. Johnson makes 2-pt jump shot from 9 ft,,12,6
26,1,8:06.0,,Toronto full timeout,12,6
27,1,7:56.0,,A. Johnson makes 2-pt layup from 2 ft (assist by K. Lowry),12,8
28,1,7:37.0,,Violation by T. Ross (kicked ball),12,8
29,1,7:30.0,A. Anderson misses 3-pt jump shot from 25 ft,,12,8
30,1,7:29.0,,Defensive rebound by J. Valančiūnas,12,8
31,1,7:17.0,,A. Johnson misses 2-pt hook shot from 3 ft (block by M. Plumlee),12,8
32,1,7:16.0,Defensive rebound by A. Anderson,,12,8
33,1,7:10.0,D. Williams misses 2-pt jump shot from 6 ft,,12,8
34,1,7:09.0,,Defensive rebound by J. Valančiūnas,12,8
35,1,6:59.0,,Turnover by J. Valančiūnas (traveling),12,8
36,1,6:49.0,M. Plumlee makes 2-pt hook shot from 4 ft,,14,8
37,1,6:36.0,,Turnover by K. Lowry (bad pass),14,8
38,1,6:27.0,Personal foul by K. Lowry (drawn by D. Williams),,14,8
39,1,6:17.0,M. Teletović makes 2-pt layup from 4 ft (assist by D. Williams),,16,8
40,1,6:08.0,,Shooting foul by D. Williams (drawn by K. Lowry),16,8
41,1,6:08.0,,K. Lowry makes free throw 1 of 2,16,9
42,1,6:08.0,J. Jack enters the game for D. Williams,,16,9
43,1,6:08.0,,P. Patterson enters the game for A. Johnson,16,9
44,1,6:08.0,,L. Williams enters the game for T. Ross,16,9
45,1,6:08.0,,K. Lowry makes free throw 2 of 2,16,10
46,1,5:52.0,J. Johnson misses 2-pt jump shot from 4 ft,,16,10
47,1,5:51.0,,Defensive rebound by J. Valančiūnas,16,10
48,1,5:30.0,,J. Valančiūnas makes 2-pt layup at rim (assist by K. Lowry),16,12
49,1,5:05.0,J. Jack makes 2-pt jump shot from 6 ft (assist by J. Johnson),,18,12
50,1,4:49.0,,P. Patterson misses 2-pt jump shot from 10 ft,18,12
51,1,4:48.0,Defensive rebound by J. Johnson,,18,12
52,1,4:39.0,J. Johnson makes 2-pt jump shot from 4 ft,,20,12
53,1,4:20.0,,L. Williams makes 2-pt jump shot from 18 ft,20,14
54,1,4:01.0,J. Johnson misses 2-pt jump shot from 3 ft,,20,14
55,1,4:00.0,,Defensive rebound by J. Valančiūnas,20,14
56,1,3:47.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by L. Fields),20,17
57,1,3:39.0,Brooklyn full timeout,,20,17
58,1,3:39.0,,T. Hansbrough enters the game for J. Valančiūnas,20,17
59,1,3:22.0,A. Anderson makes 3-pt jump shot from 23 ft,,23,17
60,1,2:48.0,,L. Fields misses 3-pt jump shot from 22 ft,23,17
61,1,2:48.0,,Offensive rebound by Team,23,17
62,1,2:48.0,,Turnover by Team (shot clock),23,17
63,1,2:34.0,M. Plumlee makes 2-pt layup from 1 ft (assist by J. Johnson),,25,17
64,1,2:09.0,,P. Patterson misses 2-pt jump shot from 14 ft,25,17
65,1,2:08.0,Defensive rebound by M. Plumlee,,25,17
66,1,2:02.0,M. Teletović misses 3-pt jump shot from 25 ft,,25,17
67,1,2:01.0,,Defensive rebound by L. Fields,25,17
68,1,1:53.0,,L. Williams misses 2-pt jump shot from 15 ft,25,17
69,1,1:52.0,Defensive rebound by M. Teletović,,25,17
70,1,1:38.0,M. Teletović makes 3-pt jump shot from 25 ft (assist by J. Jack),,28,17
71,1,1:21.0,,P. Patterson makes 2-pt jump shot from 18 ft (assist by K. Lowry),28,19
72,1,1:03.0,J. Johnson makes 2-pt hook shot from 6 ft,,30,19
73,1,0:56.0,,K. Lowry misses 2-pt layup from 3 ft,30,19
74,1,0:55.0,,Offensive rebound by T. Hansbrough,30,19
75,1,0:53.0,,T. Hansbrough misses 2-pt layup at rim,30,19
76,1,0:52.0,Defensive rebound by M. Plumlee,,30,19
77,1,0:44.0,M. Teletović misses 2-pt jump shot from 16 ft,,30,19
78,1,0:43.0,,Defensive rebound by K. Lowry,30,19
79,1,0:34.0,,K. Lowry makes 3-pt jump shot from 25 ft,30,22
80,1,0:20.0,J. Jordan enters the game for M. Teletović,,30,22
81,1,0:20.0,C. Jefferson enters the game for M. Plumlee,,30,22
82,1,0:20.0,,G. Vásquez enters the game for K. Lowry,30,22
83,1,0:20.0,,J. Johnson enters the game for L. Fields,30,22
84,1,0:10.0,A. Anderson misses 3-pt jump shot from 26 ft,,30,22
85,1,0:09.0,,Defensive rebound by Team,30,22
86,1,0:09.0,Loose ball foul by J. Jordan (drawn by T. Hansbrough),,30,22
87,1,0:00.0,,L. Williams misses 2-pt jump shot from 19 ft,30,22
88,1,0:00.0,,Offensive rebound by Team,30,22
89,2,11:34.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by C. Jefferson),,33,22
90,2,11:18.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by G. Vásquez),33,25
91,2,11:05.0,D. Williams misses 2-pt jump shot from 18 ft,,33,25
92,2,11:04.0,,Defensive rebound by P. Patterson,33,25
93,2,10:48.0,,G. Vásquez makes 2-pt jump shot from 6 ft,33,27
94,2,10:34.0,C. Jefferson makes 2-pt jump shot from 20 ft (assist by D. Williams),,35,27
95,2,10:18.0,,Turnover by G. Vásquez (lost ball; steal by J. Jack),35,27
96,2,10:18.0,,Loose ball foul by P. Patterson (drawn by J. Jack),35,27
97,2,10:18.0,B. Davies enters the game for C. Jefferson,,35,27
98,2,9:58.0,J. Jordan misses 2-pt layup from 2 ft,,35,27
99,2,9:57.0,,Defensive rebound by T. Hansbrough,35,27
100,2,9:49.0,,T. Hansbrough misses 2-pt hook shot from 5 ft (block by J. Jordan),35,27
101,2,9:47.0,Defensive rebound by B. Davies,,35,27
102,2,9:41.0,B. Bogdanović misses 2-pt jump shot from 19 ft,,35,27
103,2,9:40.0,,Defensive rebound by Team,35,27
104,2,9:32.0,,Offensive foul by J. Johnson (drawn by D. Williams),35,27
105,2,9:32.0,,Turnover by J. Johnson (offensive foul),35,27
106,2,9:12.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,35,27
107,2,9:11.0,Offensive rebound by J. Jordan,,35,27
108,2,8:56.0,J. Jack misses 2-pt jump shot from 7 ft,,35,27
109,2,8:55.0,Offensive rebound by J. Jordan,,35,27
110,2,8:51.0,Shooting foul by P. Patterson (drawn by J. Jordan),,35,27
111,2,8:51.0,Official timeout,,35,27
112,2,8:51.0,,A. Johnson enters the game for P. Patterson,35,27
