,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
0,1,11:33.0,,N. Hilário misses 2-pt jump shot from 3 ft,0,0
1,1,11:32.0,,Offensive rebound by O. Porter,0,0
2,1,11:30.0,,O. Porter makes 2-pt layup from 2 ft,0,2
3,1,11:03.0,J. Sampson misses 3-pt jump shot from 25 ft,,0,2
4,1,11:01.0,,Defensive rebound by N. Hilário,0,2
5,1,10:54.0,,O. Porter makes 2-pt jump shot from 17 ft (assist by J. Wall),0,4
6,1,10:30.0,J. Sampson misses 2-pt layup from 1 ft,,0,4
7,1,10:29.0,,Defensive rebound by M. Gortat,0,4
8,1,10:17.0,,J. Wall misses 2-pt jump shot from 16 ft,0,4
9,1,10:15.0,Defensive rebound by N. Noel,,0,4
10,1,10:12.0,Turnover by I. Smith (bad pass; steal by O. Porter),,0,4
11,1,10:02.0,,M. Gortat makes 2-pt layup from 1 ft (assist by N. Hilário),0,6
12,1,10:02.0,,Shooting foul by J. Grant (drawn by M. Gortat),0,6
13,1,10:02.0,,M. Gortat makes free throw 1 of 1,0,7
14,1,9:55.0,I. Smith makes 2-pt layup from 2 ft,,2,7
15,1,9:32.0,,B. Beal misses 2-pt jump shot from 9 ft,2,7
16,1,9:31.0,,Offensive rebound by Team,2,7
17,1,9:31.0,,Turnover by Team (shot clock),2,7
18,1,9:17.0,Turnover by J. Sampson (bad pass; steal by J. Wall),,2,7
19,1,9:05.0,,N. Hilário makes 2-pt jump shot from 17 ft (assist by B. Beal),2,9
20,1,8:50.0,I. Smith makes 2-pt layup from 1 ft,,4,9
21,1,8:36.0,,B. Beal makes 2-pt jump shot from 19 ft (assist by J. Wall),4,11
22,1,8:17.0,J. Grant misses 3-pt jump shot from 28 ft,,4,11
23,1,8:16.0,,Defensive rebound by J. Wall,4,11
24,1,8:03.0,,B. Beal misses 2-pt jump shot from 14 ft,4,11
25,1,8:02.0,Defensive rebound by J. Sampson,,4,11
26,1,7:56.0,J. Grant misses 2-pt layup from 1 ft,,4,11
27,1,7:55.0,,Defensive rebound by N. Hilário,4,11
28,1,7:50.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),4,13
29,1,7:49.0,Philadelphia full timeout,,4,13
30,1,7:49.0,R. Covington enters the game for J. Sampson,,4,13
31,1,7:36.0,N. Noel makes 2-pt layup from 1 ft (assist by F. Aldemir),,6,13
32,1,7:17.0,,B. Beal makes 2-pt jump shot from 15 ft (assist by M. Gortat),6,15
33,1,6:58.0,I. Smith makes 2-pt jump shot from 4 ft,,8,15
34,1,6:41.0,,Turnover by J. Wall (bad pass; steal by N. Noel),8,15
35,1,6:19.0,I. Smith makes 2-pt layup from 1 ft (assist by N. Noel),,10,15
36,1,6:12.0,,Personal foul by R. Covington (drawn by J. Wall),10,15
37,1,6:12.0,J. Richardson enters the game for J. Grant,,10,15
38,1,5:57.0,,M. Gortat makes 2-pt jump shot from 3 ft (assist by B. Beal),10,17
39,1,5:43.0,Personal foul by M. Gortat (drawn by N. Noel),,10,17
40,1,5:43.0,H. Sims enters the game for F. Aldemir,,10,17
41,1,5:34.0,J. Richardson misses 3-pt jump shot from 26 ft,,10,17
42,1,5:33.0,Offensive rebound by Team,,10,17
43,1,5:32.0,,D. Gooden enters the game for N. Hilário,10,17
44,1,5:29.0,H. Sims misses 2-pt jump shot from 17 ft,,10,17
45,1,5:28.0,,Defensive rebound by M. Gortat,10,17
46,1,5:17.0,,J. Wall makes 2-pt jump shot from 16 ft,10,19
47,1,4:59.0,Offensive foul by H. Sims (drawn by D. Gooden),,10,19
48,1,4:59.0,Turnover by H. Sims (offensive foul),,10,19
49,1,4:35.0,,B. Beal misses 2-pt layup from 2 ft,10,19
50,1,4:34.0,Defensive rebound by R. Covington,,10,19
51,1,4:15.0,I. Canaan enters the game for I. Smith,,10,19
52,1,4:15.0,R. Covington misses 3-pt jump shot from 23 ft,,10,19
53,1,4:15.0,,Defensive rebound by M. Gortat,10,19
54,1,4:06.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),10,21
55,1,3:54.0,R. Covington makes 3-pt jump shot from 25 ft (assist by N. Noel),,13,21
56,1,3:31.0,,B. Beal misses 2-pt jump shot from 17 ft,13,21
57,1,3:30.0,,Offensive rebound by D. Gooden,13,21
58,1,3:29.0,,D. Gooden misses 2-pt layup at rim,13,21
59,1,3:28.0,,Offensive rebound by O. Porter,13,21
60,1,3:24.0,,Offensive foul by J. Wall (drawn by H. Sims),13,21
61,1,3:24.0,,Turnover by J. Wall (offensive foul),13,21
62,1,3:24.0,L. Mbah a Moute enters the game for N. Noel,,13,21
63,1,3:24.0,,R. Butler enters the game for B. Beal,13,21
64,1,3:08.0,H. Sims misses 2-pt jump shot from 7 ft,,13,21
65,1,3:07.0,,Defensive rebound by Team,13,21
66,1,2:45.0,,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),13,23
67,1,2:25.0,H. Sims makes 2-pt layup from 1 ft (assist by R. Covington),,15,23
68,1,2:15.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),15,25
69,1,2:01.0,L. Mbah a Moute misses 3-pt jump shot from 26 ft,,15,25
70,1,2:00.0,,Defensive rebound by J. Wall,15,25
71,1,1:55.0,,Personal foul by L. Mbah a Moute (drawn by M. Gortat),15,25
72,1,1:55.0,,Washington full timeout,15,25
73,1,1:44.0,,J. Wall makes 2-pt layup from 1 ft,15,27
74,1,1:35.0,Shooting foul by D. Gooden (drawn by H. Sims),,15,27
75,1,1:35.0,H. Sims misses free throw 1 of 2,,15,27
76,1,1:35.0,Offensive rebound by Team,,15,27
77,1,1:35.0,H. Sims makes free throw 2 of 2,,16,27
78,1,1:26.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),16,29
79,1,1:12.0,I. Canaan makes 3-pt jump shot from 24 ft,,19,29
80,1,0:58.0,,D. Gooden makes 2-pt jump shot from 17 ft (assist by O. Porter),19,31
81,1,0:46.0,Turnover by J. Richardson (lost ball; steal by D. Gooden),,19,31
82,1,0:40.0,,J. Wall misses 2-pt jump shot from 21 ft,19,31
83,1,0:37.0,,Offensive rebound by M. Gortat,19,31
84,1,0:22.0,,Turnover by J. Wall (lost ball),19,31
85,1,0:22.0,,R. Sessions enters the game for J. Wall,19,31
86,1,0:03.0,I. Canaan makes 2-pt jump shot from 17 ft,,21,31
87,1,0:02.0,,O. Porter misses 2-pt layup at rim,21,31
88,1,0:01.0,Defensive rebound by J. Richardson,,21,31
89,1,0:01.0,J. Richardson misses 3-pt jump shot from 32 ft,,21,31
90,1,0:00.0,Offensive rebound by Team,,21,31
91,2,11:49.0,L. Mbah a Moute misses 3-pt jump shot from 27 ft,,21,31
92,2,11:47.0,,Defensive rebound by Team,21,31
93,2,11:26.0,,B. Beal makes 2-pt jump shot from 17 ft,21,33
94,2,11:07.0,T. Robinson misses 2-pt layup from 1 ft,,21,33
95,2,11:06.0,,Defensive rebound by B. Beal,21,33
96,2,10:55.0,,K. Séraphin makes 2-pt hook shot from 5 ft (assist by D. Gooden),21,35
