,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
0,1,11:39.0,,Personal foul by M. Williams (drawn by C. Boozer),0,0
1,1,11:28.0,,J. Lin misses 3-pt jump shot from 23 ft,0,0
2,1,11:26.0,Defensive rebound by C. Brewer,,0,0
3,1,11:21.0,Turnover by A. Wiggins (step out of bounds),,0,0
4,1,10:59.0,,J. Lin misses 2-pt jump shot from 19 ft,0,0
5,1,10:58.0,Defensive rebound by C. Brewer,,0,0
6,1,10:50.0,M. Williams makes 3-pt jump shot from 25 ft (assist by C. Brewer),,3,0
7,1,10:34.0,,K. Bryant makes 2-pt jump shot from 18 ft (assist by W. Johnson),3,2
8,1,10:12.0,T. Young misses 2-pt jump shot from 14 ft,,3,2
9,1,10:09.0,,Defensive rebound by W. Johnson,3,2
10,1,10:01.0,,W. Johnson makes 3-pt jump shot from 22 ft (assist by K. Bryant),3,5
11,1,9:41.0,M. Williams makes 2-pt jump shot from 15 ft (assist by G. Dieng),,5,5
12,1,9:33.0,,J. Lin makes 2-pt jump shot from 17 ft,5,7
13,1,9:16.0,G. Dieng misses 2-pt jump shot from 12 ft,,5,7
14,1,9:12.0,,Defensive rebound by J. Lin,5,7
15,1,9:11.0,,Shooting foul by G. Dieng (drawn by J. Hill),5,7
16,1,9:11.0,,J. Hill makes free throw 1 of 2,5,8
17,1,9:11.0,,J. Hill makes free throw 2 of 2,5,9
18,1,8:57.0,Turnover by M. Williams (bad pass; steal by J. Lin),,5,9
19,1,8:56.0,,Personal foul by G. Dieng (drawn by J. Hill),5,9
20,1,8:56.0,A. Bennett enters the game for G. Dieng,,5,9
21,1,8:44.0,,W. Johnson misses 3-pt jump shot from 25 ft,5,9
22,1,8:43.0,Defensive rebound by A. Wiggins,,5,9
23,1,8:32.0,A. Bennett misses 2-pt jump shot from 18 ft,,5,9
24,1,8:30.0,,Defensive rebound by J. Lin,5,9
25,1,8:15.0,,C. Boozer makes 2-pt jump shot from 3 ft (assist by J. Lin),5,11
26,1,7:58.0,A. Wiggins makes 2-pt layup from 1 ft (assist by M. Williams),,7,11
27,1,7:58.0,Shooting foul by J. Hill (drawn by A. Wiggins),,7,11
28,1,7:58.0,A. Wiggins makes free throw 1 of 1,,8,11
29,1,7:43.0,,J. Lin misses 3-pt jump shot from 24 ft,8,11
30,1,7:41.0,Defensive rebound by A. Wiggins,,8,11
31,1,7:32.0,T. Young misses 2-pt layup from 1 ft,,8,11
32,1,7:30.0,Offensive rebound by A. Bennett,,8,11
33,1,7:26.0,A. Bennett makes 2-pt layup from 1 ft,,10,11
34,1,7:08.0,,C. Boozer makes 2-pt layup from 1 ft (assist by K. Bryant),10,13
35,1,6:55.0,A. Wiggins misses 2-pt jump shot from 9 ft,,10,13
36,1,6:54.0,,Defensive rebound by C. Boozer,10,13
37,1,6:40.0,,C. Boozer misses 2-pt jump shot from 16 ft,10,13
38,1,6:38.0,Defensive rebound by C. Brewer,,10,13
39,1,6:30.0,M. Williams makes 3-pt jump shot from 24 ft (assist by C. Brewer),,13,13
40,1,6:09.0,,C. Boozer makes 2-pt layup at rim (assist by J. Lin),13,15
41,1,5:52.0,C. Brewer misses 3-pt jump shot from 23 ft,,13,15
42,1,5:50.0,,Defensive rebound by K. Bryant,13,15
43,1,5:45.0,,Turnover by W. Johnson (lost ball),13,15
44,1,5:45.0,,LA Lakers full timeout,13,15
45,1,5:33.0,T. Young makes 2-pt layup at rim (assist by M. Williams),,15,15
46,1,5:07.0,,J. Hill makes 2-pt hook shot from 3 ft,15,17
47,1,4:52.0,A. Wiggins misses 3-pt jump shot from 23 ft,,15,17
48,1,4:50.0,Offensive rebound by C. Brewer,,15,17
49,1,4:47.0,Turnover by A. Bennett (lost ball),,15,17
50,1,4:47.0,,N. Young enters the game for W. Johnson,15,17
51,1,4:24.0,,Shooting foul by A. Wiggins (drawn by K. Bryant),15,17
52,1,4:24.0,,K. Bryant makes free throw 1 of 2,15,18
53,1,4:24.0,,K. Bryant makes free throw 2 of 2,15,19
54,1,4:14.0,Turnover by A. Wiggins (lost ball; steal by K. Bryant),,15,19
55,1,4:10.0,,K. Bryant makes 2-pt dunk at rim (assist by J. Lin),15,21
56,1,4:10.0,Minnesota full timeout,,15,21
