,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BROOKLYN_ACTION,PHILADELPHIA_SCORE,BROOKLYN_SCORE
0,1,11:43.0,M. Carter-Williams misses 2-pt layup from 1 ft,,0,0
1,1,11:42.0,Offensive rebound by N. Noel,,0,0
2,1,11:39.0,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by R. Covington),,3,0
3,1,11:20.0,,M. Plumlee misses 2-pt dunk at rim,3,0
4,1,11:19.0,Defensive rebound by M. Carter-Williams,,3,0
5,1,11:11.0,H. Thompson misses 3-pt jump shot from 24 ft,,3,0
6,1,11:10.0,,Defensive rebound by K. Garnett,3,0
7,1,11:01.0,,D. Williams misses 3-pt jump shot from 25 ft,3,0
8,1,11:00.0,,Offensive rebound by S. Karasev,3,0
9,1,10:56.0,,Turnover by M. Plumlee (lost ball),3,0
10,1,10:42.0,N. Noel misses 2-pt jump shot from 10 ft,,3,0
11,1,10:41.0,,Defensive rebound by K. Garnett,3,0
12,1,10:23.0,,S. Karasev makes 2-pt jump shot from 21 ft (assist by J. Johnson),3,2
13,1,10:00.0,Turnover by N. Noel (lost ball; steal by M. Plumlee),,3,2
14,1,9:43.0,,J. Johnson misses 3-pt jump shot from 24 ft,3,2
15,1,9:42.0,Defensive rebound by N. Noel,,3,2
16,1,9:36.0,R. Covington makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,6,2
17,1,9:18.0,,K. Garnett makes 2-pt jump shot from 19 ft (assist by D. Williams),6,4
18,1,9:01.0,Turnover by N. Noel (lost ball; steal by J. Johnson),,6,4
19,1,8:58.0,,Turnover by J. Johnson (lost ball),6,4
20,1,8:43.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by K. Garnett),,6,4
21,1,8:42.0,,Defensive rebound by M. Plumlee,6,4
22,1,8:33.0,,M. Plumlee misses 2-pt layup from 3 ft (block by N. Noel),6,4
23,1,8:32.0,Defensive rebound by R. Covington,,6,4
24,1,8:21.0,H. Thompson misses 2-pt jump shot from 18 ft,,6,4
25,1,8:20.0,,Defensive rebound by M. Plumlee,6,4
26,1,8:08.0,,Shooting foul by N. Noel (drawn by D. Williams),6,4
27,1,8:08.0,,D. Williams makes free throw 1 of 2,6,5
28,1,8:08.0,,D. Williams makes free throw 2 of 2,6,6
29,1,7:59.0,Shooting foul by S. Karasev (drawn by M. Carter-Williams),,6,6
30,1,7:59.0,M. Carter-Williams misses free throw 1 of 2,,6,6
31,1,7:59.0,Offensive rebound by Team,,6,6
32,1,7:59.0,M. Carter-Williams makes free throw 2 of 2,,7,6
33,1,7:43.0,,J. Johnson misses 2-pt layup from 2 ft (block by H. Thompson),7,6
34,1,7:42.0,Defensive rebound by L. Mbah a Moute,,7,6
35,1,7:32.0,M. Carter-Williams makes 3-pt jump shot from 24 ft (assist by R. Covington),,10,6
36,1,7:11.0,,J. Johnson misses 2-pt jump shot from 6 ft,10,6
37,1,7:10.0,,Offensive rebound by K. Garnett,10,6
38,1,7:07.0,,S. Karasev misses 3-pt jump shot from 24 ft,10,6
39,1,7:06.0,,Offensive rebound by M. Plumlee,10,6
40,1,6:49.0,,S. Karasev makes 2-pt jump shot from 20 ft (assist by D. Williams),10,8
41,1,6:35.0,H. Thompson misses 3-pt jump shot from 25 ft,,10,8
42,1,6:34.0,,Defensive rebound by D. Williams,10,8
43,1,6:26.0,,Turnover by K. Garnett (3 sec),10,8
44,1,6:26.0,Philadelphia full timeout,,10,8
45,1,6:26.0,,A. Anderson enters the game for J. Johnson,10,8
46,1,6:26.0,,C. Jefferson enters the game for K. Garnett,10,8
47,1,6:20.0,Personal foul by M. Plumlee (drawn by N. Noel),,10,8
48,1,6:20.0,T. Wroten enters the game for H. Thompson,,10,8
49,1,6:20.0,K. McDaniels enters the game for R. Covington,,10,8
50,1,6:14.0,L. Mbah a Moute misses 2-pt jump shot from 19 ft,,10,8
51,1,6:13.0,,Defensive rebound by D. Williams,10,8
52,1,6:03.0,,Turnover by M. Plumlee (bad pass; steal by N. Noel),10,8
53,1,5:56.0,T. Wroten makes 2-pt layup from 2 ft,,12,8
54,1,5:37.0,,S. Karasev misses 2-pt jump shot from 6 ft,12,8
55,1,5:36.0,Defensive rebound by M. Carter-Williams,,12,8
56,1,5:22.0,N. Noel misses 2-pt layup from 1 ft,,12,8
57,1,5:21.0,Offensive rebound by N. Noel,,12,8
58,1,5:18.0,Turnover by N. Noel (lost ball; steal by D. Williams),,12,8
59,1,5:10.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Williams),12,10
60,1,4:50.0,Shooting foul by S. Karasev (drawn by T. Wroten),,12,10
61,1,4:50.0,T. Wroten makes free throw 1 of 2,,13,10
62,1,4:50.0,,B. Bogdanović enters the game for S. Karasev,13,10
63,1,4:50.0,H. Sims enters the game for N. Noel,,13,10
64,1,4:50.0,T. Wroten makes free throw 2 of 2,,14,10
65,1,4:33.0,,A. Anderson makes 2-pt jump shot from 12 ft,14,12
66,1,4:13.0,H. Sims makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),,16,12
67,1,4:05.0,,Turnover by D. Williams (lost ball),16,12
68,1,4:05.0,J. Grant enters the game for L. Mbah a Moute,,16,12
69,1,3:50.0,Turnover by K. McDaniels (traveling),,16,12
70,1,3:37.0,,D. Williams misses 3-pt jump shot from 24 ft,16,12
71,1,3:36.0,,Offensive rebound by M. Plumlee,16,12
72,1,3:35.0,,M. Plumlee makes 2-pt dunk at rim,16,14
73,1,3:22.0,T. Wroten misses 3-pt jump shot from 23 ft,,16,14
74,1,3:21.0,,Defensive rebound by M. Plumlee,16,14
75,1,3:02.0,,M. Plumlee makes 2-pt layup from 2 ft,16,16
76,1,2:56.0,,Offensive charge foul by J. Grant (drawn by C. Jefferson),16,16
77,1,2:56.0,Turnover by J. Grant (offensive foul),,16,16
78,1,2:56.0,,Brooklyn full timeout,16,16
79,1,2:56.0,A. Shved enters the game for M. Carter-Williams,,16,16
80,1,2:43.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Williams),16,19
81,1,2:26.0,T. Wroten misses 2-pt layup from 2 ft (block by C. Jefferson),,16,19
82,1,2:25.0,Offensive rebound by Team,,16,19
83,1,2:21.0,A. Shved misses 2-pt layup from 1 ft,,16,19
84,1,2:20.0,,Defensive rebound by C. Jefferson,16,19
85,1,2:15.0,,A. Anderson makes 2-pt jump shot from 5 ft (assist by D. Williams),16,21
86,1,2:15.0,,Shooting foul by A. Shved (drawn by A. Anderson),16,21
87,1,2:15.0,,J. Jack enters the game for D. Williams,16,21
88,1,2:15.0,,A. Anderson makes free throw 1 of 1,16,22
89,1,1:54.0,T. Wroten misses 3-pt jump shot from 26 ft,,16,22
90,1,1:53.0,,Defensive rebound by C. Jefferson,16,22
91,1,1:29.0,,J. Jack misses 2-pt jump shot from 13 ft,16,22
92,1,1:28.0,,Offensive rebound by B. Bogdanović,16,22
