,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
0,1,11:41.0,D. Cousins misses 2-pt jump shot from 20 ft (block by A. Horford),,0,0
1,1,11:39.0,,Defensive rebound by P. Millsap,0,0
2,1,11:31.0,,D. Carroll misses 3-pt jump shot from 25 ft,0,0
3,1,11:30.0,Defensive rebound by D. Cousins,,0,0
4,1,11:19.0,B. McLemore misses 3-pt jump shot from 23 ft,,0,0
5,1,11:17.0,Offensive rebound by D. Cousins,,0,0
6,1,11:16.0,D. Cousins misses 2-pt layup from 2 ft (block by A. Horford),,0,0
7,1,11:14.0,Offensive rebound by R. McCallum,,0,0
8,1,11:09.0,R. Gay makes 2-pt jump shot from 15 ft (assist by R. McCallum),,2,0
9,1,10:56.0,,Personal foul by B. McLemore (drawn by P. Millsap),2,0
10,1,10:45.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by P. Millsap),2,3
11,1,10:23.0,R. Gay makes 3-pt jump shot from 23 ft (assist by B. McLemore),,5,3
12,1,10:10.0,,D. Carroll makes 2-pt layup from 1 ft (assist by P. Millsap),5,5
13,1,9:56.0,Turnover by R. Gay (bad pass; steal by D. Carroll),,5,5
14,1,9:52.0,,D. Carroll misses 2-pt layup at rim,5,5
15,1,9:50.0,,Offensive rebound by A. Horford,5,5
16,1,9:50.0,,A. Horford makes 2-pt dunk at rim,5,7
17,1,9:26.0,B. McLemore makes 2-pt jump shot from 17 ft (assist by R. Gay),,7,7
18,1,9:07.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),7,10
19,1,8:50.0,C. Landry misses 2-pt layup from 1 ft (block by A. Horford),,7,10
20,1,8:49.0,,Defensive rebound by A. Horford,7,10
21,1,8:43.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),7,13
22,1,8:20.0,Turnover by R. Gay (bad pass),,7,13
23,1,8:11.0,,K. Korver misses 3-pt jump shot from 25 ft,7,13
24,1,8:10.0,Defensive rebound by D. Cousins,,7,13
25,1,7:54.0,B. McLemore misses 3-pt jump shot from 24 ft,,7,13
26,1,7:52.0,,Defensive rebound by J. Teague,7,13
27,1,7:46.0,,J. Teague misses 2-pt jump shot from 17 ft,7,13
28,1,7:44.0,Defensive rebound by D. Cousins,,7,13
29,1,7:34.0,R. McCallum makes 2-pt jump shot from 16 ft,,9,13
30,1,7:15.0,,J. Teague misses 2-pt jump shot from 4 ft,9,13
31,1,7:13.0,,Offensive rebound by P. Millsap,9,13
32,1,7:10.0,,K. Korver makes 3-pt jump shot from 22 ft (assist by P. Millsap),9,16
33,1,6:44.0,Turnover by R. McCallum (lost ball; steal by P. Millsap),,9,16
34,1,6:38.0,,D. Carroll makes 2-pt dunk at rim (assist by J. Teague),9,18
35,1,6:37.0,Sacramento full timeout,,9,18
36,1,6:15.0,B. McLemore misses 3-pt jump shot from 23 ft,,9,18
37,1,6:13.0,Offensive rebound by C. Landry,,9,18
38,1,6:12.0,C. Landry makes 2-pt dunk at rim,,11,18
39,1,5:46.0,,A. Horford makes 2-pt dunk at rim (assist by J. Teague),11,20
40,1,5:35.0,B. McLemore misses 3-pt jump shot from 24 ft,,11,20
41,1,5:33.0,,Defensive rebound by J. Teague,11,20
42,1,5:27.0,,K. Korver misses 3-pt jump shot from 23 ft,11,20
43,1,5:26.0,Defensive rebound by R. Gay,,11,20
44,1,5:20.0,Personal foul by D. Carroll (drawn by R. Gay),,11,20
45,1,5:20.0,,K. Bazemore enters the game for K. Korver,11,20
46,1,5:20.0,,E. Brand enters the game for A. Horford,11,20
47,1,5:20.0,A. Miller enters the game for R. McCallum,,11,20
48,1,5:12.0,R. Gay misses 2-pt jump shot from 9 ft,,11,20
49,1,5:10.0,Offensive rebound by R. Gay,,11,20
50,1,5:10.0,R. Gay makes 2-pt layup at rim,,13,20
51,1,4:54.0,,J. Teague misses 3-pt jump shot from 24 ft,13,20
52,1,4:53.0,Defensive rebound by C. Landry,,13,20
53,1,4:40.0,Shooting foul by K. Bazemore (drawn by C. Landry),,13,20
54,1,4:40.0,C. Landry makes free throw 1 of 2,,14,20
55,1,4:40.0,O. Casspi enters the game for B. McLemore,,14,20
56,1,4:40.0,C. Landry makes free throw 2 of 2,,15,20
57,1,4:28.0,,J. Teague misses 2-pt jump shot from 12 ft,15,20
58,1,4:26.0,Defensive rebound by O. Casspi,,15,20
59,1,4:20.0,R. Gay makes 3-pt jump shot from 23 ft (assist by A. Miller),,18,20
60,1,3:59.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by J. Teague),18,23
61,1,3:34.0,Turnover by A. Miller (traveling),,18,23
62,1,3:34.0,D. Williams enters the game for R. Gay,,18,23
63,1,3:34.0,,Atlanta full timeout,18,23
64,1,3:34.0,,D. Schröder enters the game for J. Teague,18,23
65,1,3:34.0,R. Gay enters the game for C. Landry,,18,23
66,1,3:13.0,,Turnover by P. Millsap (lost ball; steal by A. Miller),18,23
67,1,3:09.0,Turnover by O. Casspi (traveling),,18,23
