,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
0,1,11:46.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,0,0
1,1,11:45.0,,Defensive rebound by D. West,0,0
2,1,11:28.0,,Turnover by I. Mahinmi (lost ball; steal by Z. Pachulia),0,0
3,1,11:18.0,K. Middleton misses 2-pt jump shot from 9 ft,,0,0
4,1,11:17.0,,Defensive rebound by I. Mahinmi,0,0
5,1,11:07.0,,D. West misses 2-pt jump shot from 10 ft,0,0
6,1,11:05.0,Defensive rebound by E. İlyasova,,0,0
7,1,10:57.0,Turnover by M. Carter-Williams (bad pass; steal by G. Hill),,0,0
8,1,10:54.0,,G. Hill makes 2-pt layup at rim (assist by I. Mahinmi),0,2
9,1,10:36.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by Z. Pachulia),,2,2
10,1,10:23.0,,G. Hill misses 3-pt jump shot from 26 ft,2,2
11,1,10:22.0,Defensive rebound by G. Antetokounmpo,,2,2
12,1,10:07.0,M. Carter-Williams misses 2-pt jump shot from 17 ft,,2,2
13,1,10:06.0,,Defensive rebound by C. Miles,2,2
14,1,9:53.0,,Turnover by D. West (bad pass; steal by M. Carter-Williams),2,2
15,1,9:47.0,E. İlyasova makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,4,2
16,1,9:24.0,,I. Mahinmi makes 2-pt jump shot from 17 ft (assist by G. Hill),4,4
17,1,9:07.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by M. Carter-Williams),,6,4
18,1,8:56.0,,Personal block foul by E. İlyasova (drawn by G. Hill),6,4
19,1,8:48.0,,C. Miles misses 3-pt jump shot from 22 ft,6,4
20,1,8:46.0,Defensive rebound by E. İlyasova,,6,4
21,1,8:38.0,K. Middleton misses 2-pt jump shot from 20 ft,,6,4
22,1,8:36.0,,Defensive rebound by D. West,6,4
23,1,8:17.0,,G. Hill misses 2-pt jump shot from 8 ft,6,4
24,1,8:15.0,Defensive rebound by G. Antetokounmpo,,6,4
25,1,8:08.0,G. Antetokounmpo misses 2-pt layup at rim,,6,4
26,1,8:07.0,,Defensive rebound by I. Mahinmi,6,4
27,1,7:47.0,,S. Hill makes 2-pt layup from 1 ft (assist by C. Miles),6,6
28,1,7:34.0,Shooting foul by C. Miles (drawn by K. Middleton),,6,6
29,1,7:34.0,K. Middleton makes free throw 1 of 2,,7,6
30,1,7:34.0,K. Middleton makes free throw 2 of 2,,8,6
31,1,7:12.0,,Turnover by G. Hill (lost ball; steal by M. Carter-Williams),8,6
32,1,7:09.0,Shooting foul by S. Hill (drawn by Z. Pachulia),,8,6
33,1,7:09.0,Z. Pachulia makes free throw 1 of 2,,9,6
34,1,7:09.0,Z. Pachulia makes free throw 2 of 2,,10,6
35,1,6:55.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by D. West),10,9
36,1,6:30.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,13,9
37,1,6:18.0,,Offensive foul by D. West (drawn by E. İlyasova),13,9
38,1,6:18.0,,Turnover by D. West (offensive foul),13,9
39,1,6:11.0,Z. Pachulia makes 2-pt dunk at rim (assist by M. Carter-Williams),,15,9
40,1,6:11.0,,Indiana full timeout,15,9
41,1,5:54.0,,Turnover by D. West (lost ball; steal by M. Carter-Williams),15,9
42,1,5:45.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),,18,9
43,1,5:31.0,,Offensive foul by D. West (drawn by E. İlyasova),18,9
44,1,5:31.0,,Turnover by D. West (offensive foul),18,9
45,1,5:31.0,C. Johnson enters the game for K. Middleton,,18,9
46,1,5:31.0,,L. Scola enters the game for D. West,18,9
47,1,5:31.0,,R. Stuckey enters the game for C. Miles,18,9
48,1,5:07.0,G. Antetokounmpo misses 2-pt jump shot from 13 ft,,18,9
49,1,5:05.0,,Defensive rebound by R. Stuckey,18,9
50,1,4:59.0,,G. Hill makes 3-pt jump shot from 24 ft (assist by R. Stuckey),18,12
51,1,4:43.0,Turnover by M. Carter-Williams (bad pass; steal by I. Mahinmi),,18,12
52,1,4:33.0,,L. Scola misses 2-pt jump shot from 10 ft,18,12
53,1,4:33.0,Defensive rebound by G. Antetokounmpo,,18,12
54,1,4:33.0,,Loose ball foul by S. Hill (drawn by G. Antetokounmpo),18,12
55,1,4:16.0,M. Carter-Williams misses 3-pt jump shot from 26 ft,,18,12
56,1,4:15.0,,Defensive rebound by L. Scola,18,12
57,1,4:03.0,,Turnover by S. Hill (lost ball),18,12
58,1,4:03.0,,D. Rudež enters the game for S. Hill,18,12
59,1,3:57.0,Personal foul by D. Rudež (drawn by G. Antetokounmpo),,18,12
60,1,3:57.0,M. Plumlee enters the game for Z. Pachulia,,18,12
61,1,3:39.0,M. Carter-Williams makes 2-pt jump shot from 15 ft,,20,12
62,1,3:26.0,,G. Hill misses 2-pt layup from 1 ft,20,12
63,1,3:25.0,Defensive rebound by G. Antetokounmpo,,20,12
64,1,3:12.0,M. Carter-Williams makes 2-pt layup at rim,,22,12
65,1,3:07.0,,Personal foul by G. Antetokounmpo (drawn by G. Hill),22,12
66,1,3:07.0,J. Dudley enters the game for E. İlyasova,,22,12
67,1,3:07.0,,L. Allen enters the game for I. Mahinmi,22,12
68,1,3:02.0,,G. Hill misses 3-pt jump shot from 25 ft,22,12
69,1,3:00.0,Defensive rebound by J. Dudley,,22,12
70,1,2:42.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,22,12
71,1,2:41.0,,Defensive rebound by L. Scola,22,12
72,1,2:34.0,,L. Scola makes 2-pt layup from 1 ft (assist by R. Stuckey),22,14
73,1,2:34.0,,Shooting foul by G. Antetokounmpo (drawn by L. Scola),22,14
74,1,2:34.0,Milwaukee full timeout,,22,14
75,1,2:34.0,,C. Watson enters the game for G. Hill,22,14
76,1,2:34.0,K. Middleton enters the game for G. Antetokounmpo,,22,14
77,1,2:34.0,,L. Scola makes free throw 1 of 1,22,15
78,1,2:22.0,M. Carter-Williams misses 2-pt jump shot from 4 ft,,22,15
79,1,2:21.0,,Defensive rebound by R. Stuckey,22,15
80,1,2:10.0,,R. Stuckey misses 2-pt jump shot from 18 ft,22,15
81,1,2:08.0,,Offensive rebound by L. Scola,22,15
82,1,2:04.0,,L. Scola misses 2-pt layup at rim (block by M. Plumlee),22,15
83,1,2:02.0,Defensive rebound by M. Carter-Williams,,22,15
84,1,1:50.0,Shooting foul by L. Scola (drawn by M. Carter-Williams),,22,15
85,1,1:50.0,M. Carter-Williams makes free throw 1 of 2,,23,15
86,1,1:50.0,M. Carter-Williams makes free throw 2 of 2,,24,15
87,1,1:37.0,,Personal foul by C. Johnson (drawn by R. Stuckey),24,15
88,1,1:37.0,,R. Stuckey misses free throw 1 of 2,24,15
89,1,1:37.0,,Offensive rebound by Team,24,15
90,1,1:37.0,,R. Stuckey misses free throw 2 of 2,24,15
91,1,1:35.0,Defensive rebound by Team,,24,15
92,1,1:34.0,Personal foul by C. Watson (drawn by M. Carter-Williams),,24,15
93,1,1:34.0,M. Carter-Williams misses free throw 1 of 2,,24,15
94,1,1:34.0,Offensive rebound by Team,,24,15
95,1,1:34.0,M. Carter-Williams makes free throw 2 of 2,,25,15
96,1,1:15.0,,C. Watson misses 2-pt jump shot from 13 ft,25,15
97,1,1:14.0,,Offensive rebound by L. Scola,25,15
98,1,1:14.0,,L. Scola makes 2-pt layup from 1 ft,25,17
99,1,0:50.0,Personal foul by C. Watson (drawn by M. Carter-Williams),,25,17
100,1,0:50.0,M. Carter-Williams makes free throw 1 of 2,,26,17
101,1,0:50.0,M. Carter-Williams makes free throw 2 of 2,,27,17
102,1,0:32.0,,Turnover by C. Watson (bad pass; steal by K. Middleton),27,17
103,1,0:27.0,Shooting foul by L. Scola (drawn by C. Johnson),,27,17
104,1,0:27.0,C. Johnson makes free throw 1 of 2,,28,17
105,1,0:27.0,T. Ennis enters the game for M. Carter-Williams,,28,17
106,1,0:27.0,C. Johnson makes free throw 2 of 2,,29,17
107,1,0:09.0,,Shooting block foul by C. Johnson (drawn by R. Stuckey),29,17
108,1,0:09.0,,R. Stuckey makes free throw 1 of 2,29,18
109,1,0:09.0,,G. Hill enters the game for C. Watson,29,18
110,1,0:09.0,,I. Mahinmi enters the game for L. Scola,29,18
111,1,0:09.0,,R. Stuckey makes free throw 2 of 2,29,19
112,1,0:01.0,K. Middleton makes 2-pt jump shot from 6 ft,,31,19
113,2,11:45.0,,R. Stuckey makes 2-pt jump shot from 15 ft,31,21
114,2,11:32.0,M. Plumlee makes 2-pt layup from 2 ft (assist by T. Ennis),,33,21
115,2,11:15.0,,C. Watson makes 3-pt jump shot from 25 ft (assist by R. Stuckey),33,24
116,2,11:15.0,,Shooting foul by T. Ennis (drawn by C. Watson),33,24
117,2,11:15.0,,C. Watson makes free throw 1 of 1,33,25
118,2,11:03.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by T. Ennis),,36,25
119,2,10:48.0,,Turnover by R. Stuckey (step out of bounds),36,25
120,2,10:34.0,K. Middleton misses 2-pt jump shot from 22 ft,,36,25
121,2,10:32.0,,Defensive rebound by L. Allen,36,25
122,2,10:18.0,,Turnover by D. Rudež (back court),36,25
123,2,10:04.0,Turnover by J. Dudley (bad pass; steal by L. Scola),,36,25
124,2,10:00.0,,Shooting foul by T. Ennis (drawn by C. Watson),36,25
125,2,10:00.0,,C. Watson makes free throw 1 of 2,36,26
126,2,10:00.0,,C. Watson makes free throw 2 of 2,36,27
127,2,9:46.0,T. Ennis makes 2-pt jump shot from 7 ft,,38,27
128,2,9:35.0,,L. Scola makes 2-pt jump shot from 16 ft (assist by C. Watson),38,29
129,2,9:27.0,Offensive foul by J. Dudley (drawn by C. Watson),,38,29
130,2,9:27.0,Turnover by J. Dudley (offensive foul),,38,29
131,2,9:19.0,,L. Scola makes 2-pt jump shot from 21 ft (assist by C. Watson),38,31
132,2,8:53.0,C. Johnson misses 2-pt layup from 1 ft (block by L. Allen),,38,31
133,2,8:51.0,,Defensive rebound by L. Scola,38,31
134,2,8:48.0,,R. Stuckey makes 2-pt layup from 1 ft,38,33
135,2,8:47.0,Milwaukee full timeout,,38,33
136,2,8:47.0,J. Henson enters the game for M. Plumlee,,38,33
137,2,8:23.0,T. Ennis misses 2-pt jump shot from 8 ft,,38,33
138,2,8:22.0,,Defensive rebound by R. Stuckey,38,33
139,2,8:09.0,,R. Stuckey misses 2-pt jump shot from 13 ft,38,33
140,2,8:08.0,Defensive rebound by T. Ennis,,38,33
141,2,8:06.0,Turnover by T. Ennis (bad pass),,38,33
142,2,8:06.0,Violation by Team (delay of game),,38,33
143,2,8:03.0,,Offensive foul by L. Allen (drawn by K. Middleton),38,33
144,2,8:03.0,,Turnover by L. Allen (offensive foul),38,33
145,2,7:48.0,K. Middleton misses 2-pt jump shot from 17 ft,,38,33
146,2,7:46.0,,Defensive rebound by L. Scola,38,33
147,2,7:36.0,,L. Scola misses 2-pt jump shot from 5 ft,38,33
148,2,7:34.0,,Offensive rebound by L. Scola,38,33
149,2,7:32.0,,L. Scola makes 2-pt layup from 2 ft,38,35
150,2,7:14.0,T. Ennis makes 2-pt jump shot from 13 ft,,40,35
151,2,7:01.0,,Personal foul by J. Henson (drawn by L. Scola),40,35
152,2,7:01.0,,G. Hill enters the game for D. Rudež,40,35
153,2,6:54.0,,Personal foul by C. Johnson (drawn by G. Hill),40,35
154,2,6:54.0,M. Carter-Williams enters the game for C. Johnson,,40,35
155,2,6:49.0,,Shooting foul by J. Henson (drawn by R. Stuckey),40,35
156,2,6:49.0,Technical foul by J. Henson,,40,35
157,2,6:49.0,,C. Watson makes technical free throw,40,36
158,2,6:49.0,,R. Stuckey makes free throw 1 of 2,40,37
159,2,6:49.0,,I. Mahinmi enters the game for L. Allen,40,37
160,2,6:49.0,,R. Stuckey makes free throw 2 of 2,40,38
161,2,6:37.0,K. Middleton misses 2-pt layup from 2 ft,,40,38
162,2,6:36.0,,Defensive rebound by L. Scola,40,38
163,2,6:30.0,,G. Hill makes 3-pt jump shot from 26 ft (assist by R. Stuckey),40,41
164,2,6:19.0,Shooting foul by R. Stuckey (drawn by M. Carter-Williams),,40,41
