,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
0,1,11:38.0,,Turnover by H. Sims (traveling),0,0
1,1,11:32.0,Personal foul by H. Sims (drawn by K. Love),,0,0
2,1,11:26.0,K. Love makes 2-pt jump shot from 16 ft,,2,0
3,1,11:10.0,,Turnover by K. McDaniels (step out of bounds),2,0
4,1,10:58.0,M. Miller misses 3-pt jump shot from 25 ft,,2,0
5,1,10:56.0,,Defensive rebound by K. McDaniels,2,0
6,1,10:45.0,,K. McDaniels makes 2-pt dunk at rim (assist by M. Carter-Williams),2,2
7,1,10:31.0,Turnover by M. Dellavedova (bad pass; steal by M. Carter-Williams),,2,2
8,1,10:20.0,,H. Sims misses 2-pt jump shot from 14 ft,2,2
9,1,10:19.0,Defensive rebound by M. Miller,,2,2
10,1,10:09.0,K. Love makes 2-pt layup from 1 ft,,4,2
11,1,9:58.0,,Def 3 sec tech foul by T. Thompson,4,2
12,1,9:58.0,,R. Covington misses technical free throw,4,2
13,1,9:58.0,,Offensive rebound by Team,4,2
14,1,9:47.0,,Turnover by H. Sims (bad pass; steal by J. Harris),4,2
15,1,9:38.0,J. Harris misses 3-pt jump shot from 24 ft,,4,2
16,1,9:36.0,Offensive rebound by T. Thompson,,4,2
17,1,9:19.0,M. Miller misses 2-pt jump shot from 20 ft,,4,2
18,1,9:17.0,,Defensive rebound by N. Noel,4,2
19,1,9:08.0,,N. Noel makes 2-pt hook shot from 4 ft (assist by K. McDaniels),4,4
20,1,8:53.0,J. Harris makes 3-pt jump shot from 27 ft (assist by K. Love),,7,4
21,1,8:30.0,,N. Noel makes 2-pt hook shot from 5 ft (assist by M. Carter-Williams),7,6
22,1,8:15.0,K. Love misses 2-pt layup from 1 ft,,7,6
23,1,8:14.0,Offensive rebound by K. Love,,7,6
24,1,8:12.0,K. Love misses 2-pt jump shot from 5 ft,,7,6
25,1,8:11.0,,Defensive rebound by Team,7,6
26,1,8:11.0,Loose ball foul by T. Thompson (drawn by N. Noel),,7,6
27,1,8:01.0,,R. Covington misses 2-pt jump shot from 17 ft,7,6
28,1,7:59.0,Defensive rebound by K. Love,,7,6
29,1,7:45.0,K. Love misses 3-pt jump shot from 26 ft,,7,6
30,1,7:42.0,,Defensive rebound by K. McDaniels,7,6
31,1,7:30.0,,M. Carter-Williams misses 2-pt jump shot from 18 ft,7,6
32,1,7:29.0,Defensive rebound by K. Love,,7,6
33,1,7:17.0,K. Love makes 3-pt jump shot from 23 ft (assist by J. Harris),,10,6
34,1,6:57.0,,M. Carter-Williams makes 2-pt jump shot from 11 ft (assist by K. McDaniels),10,8
35,1,6:38.0,M. Miller misses 2-pt jump shot from 22 ft,,10,8
36,1,6:38.0,,Defensive rebound by Team,10,8
