,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
0,1,11:42.0,,R. Gobert makes 2-pt layup at rim (assist by D. Exum),0,2
1,1,11:17.0,W. Ellington misses 2-pt jump shot from 8 ft,,0,2
2,1,11:16.0,,Defensive rebound by R. Gobert,0,2
3,1,11:09.0,,G. Hayward misses 2-pt layup from 3 ft,0,2
4,1,11:08.0,Defensive rebound by R. Kelly,,0,2
5,1,10:59.0,R. Sacre makes 2-pt jump shot from 17 ft (assist by J. Clarkson),,2,2
6,1,10:41.0,,J. Ingles misses 2-pt jump shot from 20 ft,2,2
7,1,10:40.0,,Offensive rebound by D. Favors,2,2
8,1,10:37.0,,Personal foul by R. Kelly (drawn by R. Gobert),2,2
9,1,10:28.0,,G. Hayward makes 2-pt layup at rim,2,4
10,1,10:11.0,J. Clarkson makes 2-pt jump shot from 20 ft,,4,4
11,1,9:53.0,,Turnover by D. Exum (lost ball),4,4
12,1,9:37.0,J. Clarkson misses 3-pt jump shot from 24 ft,,4,4
13,1,9:35.0,,Defensive rebound by D. Favors,4,4
14,1,9:24.0,,D. Exum makes 3-pt jump shot from 24 ft (assist by J. Ingles),4,7
15,1,9:12.0,Shooting foul by J. Ingles (drawn by R. Sacre),,4,7
16,1,9:12.0,R. Sacre makes free throw 1 of 2,,5,7
17,1,9:12.0,R. Sacre makes free throw 2 of 2,,6,7
18,1,9:06.0,,Personal foul by R. Kelly (drawn by G. Hayward),6,7
19,1,9:06.0,W. Johnson enters the game for R. Kelly,,6,7
20,1,8:54.0,,G. Hayward makes 2-pt jump shot from 8 ft,6,9
21,1,8:37.0,W. Johnson makes 2-pt jump shot from 17 ft (assist by R. Sacre),,8,9
22,1,8:22.0,,Shooting foul by W. Johnson (drawn by G. Hayward),8,9
23,1,8:22.0,,G. Hayward makes free throw 1 of 2,8,10
24,1,8:22.0,,G. Hayward makes free throw 2 of 2,8,11
25,1,7:59.0,C. Boozer misses 2-pt jump shot from 19 ft,,8,11
26,1,7:58.0,Offensive rebound by W. Johnson,,8,11
27,1,7:55.0,W. Johnson misses 2-pt layup from 2 ft,,8,11
28,1,7:55.0,,Defensive rebound by Team,8,11
29,1,7:39.0,,G. Hayward makes 2-pt jump shot from 17 ft,8,13
30,1,7:27.0,J. Clarkson makes 2-pt jump shot from 19 ft,,10,13
31,1,7:03.0,,G. Hayward misses 2-pt jump shot from 15 ft,10,13
32,1,7:00.0,Defensive rebound by C. Boozer,,10,13
33,1,6:55.0,,Offensive charge foul by J. Clarkson (drawn by D. Exum),10,13
34,1,6:55.0,Turnover by J. Clarkson (offensive foul),,10,13
35,1,6:36.0,,D. Favors misses 2-pt jump shot from 5 ft,10,13
36,1,6:36.0,,Offensive rebound by R. Gobert,10,13
37,1,6:36.0,,R. Gobert misses 2-pt tip-in from 1 ft,10,13
38,1,6:36.0,,Offensive rebound by Team,10,13
39,1,6:31.0,,Turnover by R. Gobert (bad pass),10,13
40,1,6:22.0,Personal foul by J. Ingles (drawn by C. Boozer),,10,13
41,1,6:22.0,,E. Millsap enters the game for J. Ingles,10,13
42,1,6:17.0,W. Johnson misses 3-pt jump shot from 23 ft,,10,13
43,1,6:16.0,,Defensive rebound by D. Favors,10,13
44,1,6:01.0,,D. Exum misses 3-pt jump shot from 24 ft,10,13
45,1,6:00.0,Defensive rebound by W. Ellington,,10,13
46,1,5:43.0,J. Clarkson makes 2-pt jump shot from 16 ft,,12,13
47,1,5:27.0,,R. Gobert makes 2-pt layup at rim (assist by G. Hayward),12,15
48,1,5:09.0,Shooting block foul by D. Exum (drawn by C. Boozer),,12,15
49,1,5:09.0,,Utah full timeout,12,15
50,1,5:09.0,,T. Burke enters the game for D. Exum,12,15
51,1,5:09.0,C. Boozer makes free throw 1 of 2,,13,15
52,1,5:09.0,C. Boozer makes free throw 2 of 2,,14,15
53,1,5:00.0,,T. Burke misses 3-pt jump shot from 25 ft,14,15
54,1,4:59.0,Defensive rebound by W. Ellington,,14,15
