,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
0,1,11:47.0,E. Freedom misses 2-pt jump shot from 13 ft,,0,0
1,1,11:45.0,,Defensive rebound by Team,0,0
2,1,11:25.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,0,0
3,1,11:24.0,Defensive rebound by D. Waiters,,0,0
4,1,11:16.0,Turnover by E. Freedom (bad pass; steal by M. Ellis),,0,0
5,1,11:16.0,,Clear path foul by R. Westbrook,0,0
6,1,11:16.0,,M. Ellis makes clear path free throw 1 of 2,0,1
7,1,11:16.0,,M. Ellis makes clear path free throw 2 of 2,0,2
8,1,11:02.0,,M. Ellis misses 2-pt jump shot from 12 ft,0,2
9,1,11:00.0,Defensive rebound by E. Freedom,,0,2
10,1,10:54.0,Turnover by R. Westbrook (bad pass; steal by M. Ellis),,0,2
11,1,10:47.0,,C. Parsons makes 3-pt jump shot from 26 ft (assist by R. Rondo),0,5
12,1,10:25.0,Turnover by A. Roberson (bad pass; steal by C. Parsons),,0,5
13,1,10:18.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by R. Rondo),0,7
14,1,10:11.0,Oklahoma City full timeout,,0,7
15,1,10:02.0,Turnover by R. Westbrook (bad pass; steal by T. Chandler),,0,7
16,1,9:58.0,,C. Parsons makes 2-pt layup from 1 ft (assist by R. Rondo),0,9
17,1,9:31.0,R. Westbrook misses 2-pt jump shot from 19 ft,,0,9
18,1,9:29.0,Offensive rebound by Team,,0,9
19,1,9:22.0,D. Waiters makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,3,9
20,1,9:04.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,3,9
21,1,9:03.0,Defensive rebound by E. Freedom,,3,9
22,1,8:53.0,Turnover by D. Waiters (bad pass; steal by M. Ellis),,3,9
23,1,8:48.0,,Shooting foul by A. Roberson (drawn by C. Parsons),3,9
24,1,8:48.0,,C. Parsons makes free throw 1 of 2,3,10
25,1,8:48.0,,C. Parsons makes free throw 2 of 2,3,11
26,1,8:26.0,A. Roberson makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,6,11
27,1,8:15.0,,Personal foul by A. Roberson (drawn by R. Rondo),6,11
28,1,8:15.0,A. Morrow enters the game for A. Roberson,,6,11
29,1,8:07.0,,Turnover by M. Ellis (bad pass; steal by R. Westbrook),6,11
30,1,8:06.0,Personal take foul by D. Nowitzki (drawn by R. Westbrook),,6,11
31,1,7:53.0,R. Westbrook makes 2-pt layup from 1 ft,,8,11
32,1,7:43.0,,R. Rondo misses 2-pt layup from 1 ft,8,11
33,1,7:41.0,Defensive rebound by E. Freedom,,8,11
34,1,7:37.0,R. Westbrook misses 2-pt jump shot from 3 ft,,8,11
35,1,7:35.0,,Defensive rebound by M. Ellis,8,11
36,1,7:24.0,,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by R. Rondo),8,13
37,1,7:13.0,Personal block foul by M. Ellis (drawn by D. Waiters),,8,13
38,1,7:09.0,E. Freedom makes 2-pt jump shot from 17 ft (assist by R. Westbrook),,10,13
39,1,6:52.0,,M. Ellis makes 2-pt jump shot from 19 ft (assist by R. Rondo),10,15
40,1,6:39.0,A. Morrow makes 2-pt jump shot from 12 ft (assist by R. Westbrook),,12,15
41,1,6:30.0,,Personal foul by D. Waiters (drawn by M. Ellis),12,15
42,1,6:30.0,,C. Villanueva enters the game for D. Nowitzki,12,15
43,1,6:23.0,,M. Ellis makes 2-pt jump shot from 19 ft,12,17
44,1,6:08.0,D. Waiters misses 2-pt layup from 2 ft,,12,17
45,1,6:06.0,,Defensive rebound by M. Ellis,12,17
46,1,5:49.0,,C. Parsons makes 3-pt jump shot from 23 ft (assist by R. Rondo),12,20
47,1,5:32.0,S. Adams misses 2-pt jump shot from 13 ft,,12,20
48,1,5:30.0,,Defensive rebound by M. Ellis,12,20
49,1,5:25.0,,M. Ellis makes 2-pt jump shot from 19 ft (assist by R. Rondo),12,22
50,1,5:12.0,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),,14,22
51,1,4:58.0,,M. Ellis misses 2-pt jump shot from 18 ft,14,22
52,1,4:57.0,Defensive rebound by S. Adams,,14,22
53,1,4:52.0,Shooting foul by R. Rondo (drawn by R. Westbrook),,14,22
54,1,4:52.0,R. Westbrook makes free throw 1 of 2,,15,22
55,1,4:52.0,N. Collison enters the game for S. Adams,,15,22
56,1,4:52.0,R. Westbrook makes free throw 2 of 2,,16,22
57,1,4:33.0,,C. Villanueva misses 3-pt jump shot from 25 ft,16,22
58,1,4:32.0,Defensive rebound by R. Westbrook,,16,22
59,1,4:26.0,A. Morrow misses 3-pt jump shot from 23 ft,,16,22
60,1,4:25.0,,Defensive rebound by R. Rondo,16,22
61,1,4:20.0,,C. Villanueva misses 2-pt dunk at rim,16,22
62,1,4:19.0,Defensive rebound by A. Morrow,,16,22
63,1,4:19.0,Personal foul by R. Rondo (drawn by A. Morrow),,16,22
64,1,4:19.0,,D. Harris enters the game for R. Rondo,16,22
65,1,4:05.0,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),,18,22
66,1,4:03.0,,Dallas full timeout,18,22
67,1,4:03.0,,A. Stoudemire enters the game for T. Chandler,18,22
68,1,3:51.0,,M. Ellis misses 2-pt layup from 1 ft,18,22
69,1,3:49.0,,Offensive rebound by A. Stoudemire,18,22
70,1,3:49.0,,A. Stoudemire misses 2-pt tip-in from 3 ft,18,22
71,1,3:47.0,Defensive rebound by R. Westbrook,,18,22
72,1,3:43.0,D. Waiters misses 3-pt jump shot from 26 ft,,18,22
73,1,3:41.0,Offensive rebound by N. Collison,,18,22
74,1,3:41.0,Personal foul by C. Villanueva (drawn by N. Collison),,18,22
75,1,3:41.0,N. Collison misses free throw 1 of 2,,18,22
76,1,3:41.0,Offensive rebound by Team,,18,22
77,1,3:41.0,N. Collison makes free throw 2 of 2,,19,22
78,1,3:25.0,,A. Stoudemire misses 2-pt hook shot from 6 ft (block by E. Freedom),19,22
79,1,3:23.0,,Offensive rebound by A. Stoudemire,19,22
80,1,3:22.0,,A. Stoudemire makes 2-pt hook shot from 4 ft,19,24
81,1,3:11.0,A. Morrow makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,22,24
82,1,3:02.0,,Turnover by C. Villanueva (traveling),22,24
83,1,3:02.0,M. McGary enters the game for E. Freedom,,22,24
84,1,2:52.0,M. McGary makes 2-pt layup from 1 ft (assist by R. Westbrook),,24,24
85,1,2:29.0,,C. Parsons misses 3-pt jump shot from 26 ft,24,24
86,1,2:28.0,Defensive rebound by M. McGary,,24,24
87,1,2:22.0,D. Waiters misses 2-pt layup at rim,,24,24
88,1,2:18.0,Offensive rebound by M. McGary,,24,24
89,1,2:18.0,M. McGary misses 2-pt layup from 2 ft,,24,24
90,1,2:16.0,,Defensive rebound by C. Villanueva,24,24
91,1,2:09.0,,Shooting block foul by N. Collison (drawn by M. Ellis),24,24
92,1,2:09.0,,M. Ellis makes free throw 1 of 2,24,25
93,1,2:09.0,,D. Nowitzki enters the game for C. Villanueva,24,25
94,1,2:09.0,,R. Jefferson enters the game for C. Parsons,24,25
95,1,2:09.0,,M. Ellis misses free throw 2 of 2,24,25
96,1,2:09.0,Defensive rebound by M. McGary,,24,25
97,1,2:07.0,,Technical foul by A. Stoudemire,24,25
98,1,2:07.0,Technical foul by N. Collison,,24,25
99,1,2:07.0,,J. Barea enters the game for M. Ellis,24,25
100,1,1:55.0,D. Waiters misses 2-pt layup from 2 ft,,24,25
101,1,1:53.0,,Defensive rebound by A. Stoudemire,24,25
102,1,1:43.0,,R. Jefferson misses 2-pt jump shot from 5 ft,24,25
103,1,1:41.0,Defensive rebound by R. Westbrook,,24,25
104,1,1:34.0,R. Westbrook makes 3-pt jump shot from 24 ft,,27,25
105,1,1:24.0,D. Augustin enters the game for D. Waiters,,27,25
106,1,1:23.0,,Personal foul by A. Morrow (drawn by R. Jefferson),27,25
107,1,1:23.0,,R. Jefferson makes free throw 1 of 2,27,26
108,1,1:23.0,,R. Jefferson makes free throw 2 of 2,27,27
109,1,1:12.0,D. Augustin misses 3-pt jump shot from 25 ft,,27,27
110,1,1:10.0,,Defensive rebound by A. Stoudemire,27,27
111,1,1:00.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,27,27
112,1,1:00.0,Defensive rebound by M. McGary,,27,27
113,1,0:54.0,A. Morrow misses 2-pt jump shot from 7 ft,,27,27
114,1,0:52.0,Offensive rebound by M. McGary,,27,27
115,1,0:52.0,M. McGary makes 2-pt layup at rim,,29,27
116,1,0:38.0,,J. Barea misses 2-pt jump shot from 5 ft,29,27
117,1,0:34.0,Defensive rebound by D. Augustin,,29,27
118,1,0:27.0,R. Westbrook misses 3-pt jump shot from 25 ft,,29,27
119,1,0:24.0,,Defensive rebound by R. Jefferson,29,27
120,1,0:02.0,,D. Harris misses 2-pt jump shot from 14 ft,29,27
121,1,0:00.0,Defensive rebound by M. McGary,,29,27
122,2,11:49.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by J. Barea),29,29
123,2,11:41.0,Personal block foul by J. Barea (drawn by D. Augustin),,29,29
124,2,11:24.0,M. McGary misses 2-pt layup from 3 ft,,29,29
125,2,11:20.0,Offensive rebound by M. McGary,,29,29
126,2,11:20.0,M. McGary makes 2-pt tip-in from 1 ft,,31,29
127,2,11:11.0,,A. Stoudemire makes 2-pt layup from 1 ft (assist by J. Barea),31,31
128,2,11:11.0,,Shooting foul by K. Singler (drawn by A. Stoudemire),31,31
129,2,11:11.0,,A. Stoudemire misses free throw 1 of 1,31,31
130,2,11:10.0,Defensive rebound by M. McGary,,31,31
131,2,11:00.0,Shooting foul by R. Jefferson (drawn by K. Singler),,31,31
132,2,11:00.0,K. Singler makes free throw 1 of 2,,32,31
133,2,11:00.0,K. Singler makes free throw 2 of 2,,33,31
134,2,10:44.0,,A. Stoudemire makes 2-pt jump shot from 6 ft,33,33
135,2,10:23.0,K. Singler misses 3-pt jump shot from 24 ft,,33,33
136,2,10:21.0,,Defensive rebound by J. Barea,33,33
137,2,10:13.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,33,33
138,2,10:12.0,Defensive rebound by M. McGary,,33,33
139,2,10:06.0,D. Augustin misses 3-pt jump shot from 25 ft,,33,33
140,2,10:05.0,Offensive rebound by N. Collison,,33,33
