,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:37.0,R. Gay misses 3-pt jump shot from 23 ft,,0,0
1,1,11:37.0,Offensive rebound by Team,,0,0
2,1,11:37.0,,Loose ball foul by G. Dieng,0,0
3,1,11:30.0,J. Thompson misses 2-pt jump shot from 10 ft,,0,0
4,1,11:29.0,,Defensive rebound by G. Dieng,0,0
5,1,11:17.0,,G. Dieng misses 2-pt jump shot from 7 ft,0,0
6,1,11:16.0,Defensive rebound by R. Gay,,0,0
7,1,11:02.0,B. McLemore misses 2-pt jump shot from 20 ft,,0,0
8,1,11:01.0,,Defensive rebound by Team,0,0
9,1,10:55.0,,Turnover by C. Brewer (bad pass),0,0
10,1,10:34.0,R. Gay makes 2-pt jump shot from 16 ft (assist by D. Collison),,2,0
11,1,10:17.0,,A. Wiggins makes 2-pt jump shot from 6 ft,2,2
12,1,9:59.0,D. Collison misses 3-pt jump shot from 24 ft,,2,2
13,1,9:58.0,,Defensive rebound by M. Williams,2,2
14,1,9:51.0,,M. Williams misses 2-pt jump shot from 14 ft,2,2
15,1,9:49.0,,Offensive rebound by G. Dieng,2,2
16,1,9:43.0,,Turnover by M. Williams (lost ball; steal by R. Gay),2,2
17,1,9:37.0,D. Collison misses 2-pt layup from 2 ft (block by A. Wiggins),,2,2
18,1,9:35.0,Offensive rebound by B. McLemore,,2,2
19,1,9:33.0,B. McLemore misses 2-pt layup from 1 ft,,2,2
20,1,9:30.0,Offensive rebound by D. Cousins,,2,2
21,1,9:30.0,D. Cousins makes 2-pt tip-in from 2 ft,,4,2
22,1,9:23.0,,C. Brewer makes 2-pt layup from 1 ft (assist by A. Bennett),4,4
23,1,9:02.0,Turnover by B. McLemore (traveling),,4,4
24,1,8:48.0,,Turnover by G. Dieng (traveling),4,4
25,1,8:32.0,D. Collison misses 3-pt jump shot from 23 ft,,4,4
26,1,8:31.0,,Defensive rebound by A. Wiggins,4,4
27,1,8:21.0,,A. Wiggins misses 2-pt jump shot from 14 ft,4,4
28,1,8:20.0,Defensive rebound by D. Cousins,,4,4
29,1,8:12.0,Turnover by D. Cousins (lost ball; steal by A. Wiggins),,4,4
30,1,8:06.0,,C. Brewer makes 2-pt dunk at rim (assist by M. Williams),4,6
31,1,8:06.0,Sacramento full timeout,,4,6
32,1,7:53.0,Turnover by D. Cousins (3 sec),,4,6
33,1,7:43.0,,A. Wiggins misses 2-pt jump shot from 17 ft,4,6
34,1,7:42.0,Defensive rebound by B. McLemore,,4,6
35,1,7:30.0,Turnover by R. Gay (bad pass),,4,6
