,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PORTLAND_ACTION,HOUSTON_SCORE,PORTLAND_SCORE
0,1,11:44.0,D. Motiejūnas makes 3-pt jump shot from 22 ft (assist by J. Harden),,3,0
1,1,11:17.0,,R. Lopez makes 2-pt hook shot from 14 ft (assist by D. Lillard),3,2
2,1,11:00.0,Shooting foul by R. Lopez (drawn by T. Jones),,3,2
3,1,11:00.0,T. Jones makes free throw 1 of 2,,4,2
4,1,11:00.0,T. Jones misses free throw 2 of 2,,4,2
5,1,11:00.0,,Defensive rebound by N. Batum,4,2
6,1,10:39.0,,A. Afflalo misses 2-pt jump shot from 9 ft,4,2
7,1,10:38.0,,Offensive rebound by L. Aldridge,4,2
8,1,10:36.0,,L. Aldridge makes 3-pt jump shot from 22 ft,4,5
9,1,10:23.0,Turnover by J. Harden (bad pass),,4,5
10,1,10:05.0,,L. Aldridge misses 2-pt jump shot from 20 ft,4,5
11,1,10:04.0,Defensive rebound by T. Jones,,4,5
12,1,9:49.0,J. Harden misses 3-pt jump shot from 24 ft,,4,5
13,1,9:46.0,,Defensive rebound by D. Lillard,4,5
14,1,9:42.0,,Turnover by D. Lillard (bad pass; steal by T. Ariza),4,5
15,1,9:36.0,J. Harden misses 2-pt jump shot from 4 ft,,4,5
16,1,9:35.0,Offensive rebound by T. Jones,,4,5
17,1,9:35.0,T. Jones makes 2-pt tip-in at rim,,6,5
18,1,9:17.0,,R. Lopez makes 2-pt hook shot from 3 ft (assist by D. Lillard),6,7
19,1,9:07.0,T. Ariza misses 3-pt jump shot from 25 ft,,6,7
20,1,9:06.0,,Defensive rebound by D. Lillard,6,7
21,1,8:53.0,,N. Batum makes 2-pt dunk at rim (assist by D. Lillard),6,9
22,1,8:35.0,D. Motiejūnas misses 2-pt jump shot from 6 ft,,6,9
23,1,8:34.0,,Defensive rebound by A. Afflalo,6,9
24,1,8:24.0,,L. Aldridge misses 3-pt jump shot from 24 ft,6,9
25,1,8:24.0,Defensive rebound by Team,,6,9
26,1,8:16.0,P. Beverley misses 2-pt jump shot from 8 ft,,6,9
27,1,8:16.0,,Defensive rebound by N. Batum,6,9
28,1,8:12.0,,Turnover by N. Batum (bad pass),6,9
29,1,7:59.0,T. Jones misses 3-pt jump shot from 24 ft,,6,9
30,1,7:57.0,,Defensive rebound by R. Lopez,6,9
31,1,7:44.0,,L. Aldridge misses 2-pt jump shot from 13 ft,6,9
32,1,7:42.0,Defensive rebound by P. Beverley,,6,9
33,1,7:39.0,J. Harden makes 2-pt layup from 1 ft (assist by P. Beverley),,8,9
34,1,7:23.0,,L. Aldridge makes 2-pt layup from 2 ft,8,11
35,1,7:05.0,T. Jones makes 2-pt hook shot from 3 ft (assist by T. Ariza),,10,11
36,1,6:57.0,,D. Lillard misses 2-pt layup at rim,10,11
37,1,6:55.0,Defensive rebound by D. Motiejūnas,,10,11
38,1,6:45.0,T. Jones misses 2-pt jump shot from 3 ft,,10,11
39,1,6:44.0,,Defensive rebound by N. Batum,10,11
40,1,6:35.0,Offensive charge foul by L. Aldridge (drawn by D. Motiejūnas),,10,11
41,1,6:35.0,,Turnover by L. Aldridge (offensive foul),10,11
42,1,6:16.0,Turnover by J. Harden (traveling),,10,11
43,1,6:02.0,,D. Lillard misses 2-pt jump shot from 5 ft,10,11
44,1,6:01.0,,Offensive rebound by D. Lillard,10,11
45,1,6:00.0,,D. Lillard makes 2-pt layup from 1 ft,10,13
46,1,5:45.0,D. Motiejūnas makes 3-pt jump shot from 24 ft (assist by P. Beverley),,13,13
47,1,5:44.0,,Portland full timeout,13,13
48,1,5:44.0,,C. Kaman enters the game for R. Lopez,13,13
49,1,5:44.0,,C. McCollum enters the game for A. Afflalo,13,13
50,1,5:25.0,,N. Batum makes 2-pt layup at rim (assist by L. Aldridge),13,15
51,1,5:16.0,Shooting foul by C. Kaman (drawn by T. Jones),,13,15
52,1,5:16.0,T. Jones makes free throw 1 of 2,,14,15
53,1,5:16.0,,A. Gee enters the game for C. McCollum,14,15
54,1,5:16.0,T. Jones misses free throw 2 of 2,,14,15
55,1,5:15.0,,Defensive rebound by L. Aldridge,14,15
56,1,4:58.0,,D. Lillard misses 2-pt layup from 2 ft (block by D. Motiejūnas),14,15
57,1,4:57.0,Defensive rebound by T. Jones,,14,15
58,1,4:51.0,J. Harden makes 2-pt layup from 1 ft (assist by P. Beverley),,16,15
59,1,4:32.0,,Personal foul by T. Jones (drawn by C. Kaman),16,15
60,1,4:32.0,J. Smith enters the game for T. Ariza,,16,15
61,1,4:32.0,C. Brewer enters the game for T. Jones,,16,15
62,1,4:21.0,,A. Gee misses 3-pt jump shot from 22 ft,16,15
63,1,4:21.0,Defensive rebound by D. Motiejūnas,,16,15
64,1,4:17.0,Personal foul by A. Gee (drawn by J. Harden),,16,15
65,1,4:08.0,Shooting foul by A. Gee (drawn by J. Harden),,16,15
66,1,4:08.0,J. Harden makes free throw 1 of 3,,17,15
67,1,4:08.0,J. Harden makes free throw 2 of 3,,18,15
68,1,4:08.0,J. Harden misses free throw 3 of 3,,18,15
