,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
88,1,1:06.0,,K. Thompson misses 2-pt layup from 1 ft (block by J. Lin),28,28
89,1,1:03.0,,Offensive rebound by S. Livingston,28,28
90,1,0:58.0,,F. Ezeli makes 2-pt dunk at rim (assist by A. Iguodala),28,30
91,1,0:42.0,C. Boozer misses 2-pt layup from 1 ft (block by D. Green),,28,30
92,1,0:40.0,Offensive rebound by C. Boozer,,28,30
93,1,0:37.0,Turnover by C. Boozer (bad pass; steal by D. Green),,28,30
94,1,0:30.0,,K. Thompson misses 3-pt jump shot from 25 ft,28,30
95,1,0:29.0,Defensive rebound by E. Davis,,28,30
96,1,0:26.0,J. Brown makes 2-pt dunk at rim (assist by W. Johnson),,30,30
97,1,0:02.0,,Turnover by Team (shot clock),30,30
98,2,11:42.0,J. Lin misses 2-pt layup from 2 ft (block by A. Iguodala),,30,30
99,2,11:42.0,Offensive rebound by Team,,30,30
100,2,11:35.0,J. Lin misses 2-pt jump shot from 7 ft,,30,30
101,2,11:34.0,Offensive rebound by J. Lin,,30,30
102,2,11:31.0,Turnover by E. Davis (lost ball; steal by A. Iguodala),,30,30
103,2,11:24.0,,Turnover by A. Iguodala (bad pass; steal by J. Brown),30,30
104,2,11:22.0,,Shooting foul by R. Kelly (drawn by D. Lee),30,30
105,2,11:22.0,,D. Lee makes free throw 2 of 2,30,31
106,2,11:22.0,,D. Lee misses free throw 1 of 2,30,30
107,2,11:22.0,,Offensive rebound by Team,30,30
108,2,11:22.0,Turnover by J. Brown (bad pass; steal by J. Holiday),,30,30
109,2,11:07.0,Turnover by J. Brown (lost ball; steal by J. Holiday),,30,31
110,2,11:04.0,,Personal foul by C. Boozer (drawn by D. Lee),30,31
111,2,10:48.0,,S. Livingston misses 2-pt jump shot from 11 ft,30,31
112,2,10:47.0,Defensive rebound by E. Davis,,30,31
113,2,10:37.0,C. Boozer misses 2-pt layup from 2 ft (block by F. Ezeli),,30,31
114,2,10:36.0,Offensive rebound by C. Boozer,,30,31
115,2,10:34.0,C. Boozer misses 2-pt hook shot from 4 ft,,30,31
116,2,10:32.0,,Defensive rebound by D. Lee,30,31
117,2,10:23.0,,Personal foul by C. Boozer (drawn by S. Livingston),30,31
118,2,10:21.0,,Offensive foul by J. Holiday (drawn by J. Brown),30,31
119,2,10:21.0,,Turnover by J. Holiday (offensive foul),30,31
120,2,10:09.0,C. Boozer misses 2-pt jump shot from 6 ft,,30,31
121,2,10:08.0,,Defensive rebound by J. Holiday,30,31
122,2,9:52.0,,A. Iguodala misses 2-pt jump shot from 17 ft,30,31
123,2,9:51.0,,F. Ezeli makes 2-pt dunk at rim,30,33
124,2,9:51.0,,Offensive rebound by F. Ezeli,30,31
125,2,9:39.0,C. Boozer misses 2-pt jump shot from 14 ft,,30,33
126,2,9:38.0,,Defensive rebound by F. Ezeli,30,33
127,2,9:28.0,,Shooting foul by C. Boozer (drawn by D. Lee),30,33
128,2,9:28.0,,D. Lee makes free throw 1 of 2,30,34
129,2,9:28.0,W. Johnson enters the game for C. Boozer,,30,34
130,2,9:28.0,,H. Barnes enters the game for F. Ezeli,30,34
131,2,9:28.0,,D. Lee makes free throw 2 of 2,30,35
132,2,9:18.0,J. Brown misses 3-pt jump shot from 25 ft,,30,35
133,2,9:15.0,,Defensive rebound by A. Iguodala,30,35
134,2,9:12.0,,D. Lee makes 2-pt layup from 1 ft (assist by A. Iguodala),30,37
135,2,9:04.0,Shooting foul by D. Lee (drawn by J. Lin),,30,37
136,2,9:04.0,J. Lin makes free throw 2 of 2,,31,37
137,2,9:04.0,J. Lin misses free throw 1 of 2,,30,37
138,2,9:04.0,Offensive rebound by Team,,30,37
139,2,8:48.0,,J. Holiday makes 2-pt jump shot from 13 ft (assist by S. Livingston),31,39
140,2,8:35.0,Turnover by J. Lin (bad pass; steal by J. Holiday),,31,39
141,2,8:29.0,,A. Iguodala misses 2-pt layup from 1 ft,31,39
142,2,8:28.0,Defensive rebound by W. Johnson,,31,39
143,2,8:25.0,J. Brown makes 2-pt layup at rim (assist by J. Lin),,33,39
144,2,8:25.0,Shooting foul by H. Barnes (drawn by J. Brown),,33,39
145,2,8:25.0,J. Brown makes free throw 1 of 1,,34,39
146,2,8:25.0,Official timeout,,33,39
147,2,8:08.0,,J. Holiday misses 3-pt jump shot from 24 ft,34,39
148,2,8:06.0,,Offensive rebound by H. Barnes,34,39
149,2,8:02.0,,A. Iguodala makes 2-pt layup from 1 ft (assist by H. Barnes),34,41
150,2,7:45.0,W. Johnson makes 3-pt jump shot from 26 ft (assist by E. Davis),,37,41
151,2,7:32.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by S. Livingston),37,44
152,2,7:18.0,Shooting foul by D. Lee (drawn by E. Davis),,37,44
153,2,7:18.0,E. Davis makes free throw 1 of 2,,38,44
154,2,7:18.0,E. Davis makes free throw 2 of 2,,39,44
155,2,7:04.0,,Shooting foul by R. Kelly (drawn by H. Barnes),39,44
