,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
0,1,11:38.0,Turnover by R. Westbrook (bad pass; steal by A. Drummond),,0,0
1,1,11:13.0,,A. Drummond misses 2-pt hook shot from 6 ft,0,0
2,1,11:10.0,Defensive rebound by K. Durant,,0,0
3,1,10:53.0,K. Durant makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,2,0
4,1,10:41.0,,Turnover by B. Jennings (lost ball; steal by A. Roberson),2,0
5,1,10:38.0,R. Westbrook misses 2-pt jump shot from 10 ft,,2,0
6,1,10:38.0,Offensive rebound by S. Ibaka,,2,0
7,1,10:35.0,S. Ibaka misses 2-pt jump shot from 15 ft,,2,0
8,1,10:35.0,,Defensive rebound by A. Drummond,2,0
9,1,10:35.0,,Personal foul by S. Adams (drawn by A. Drummond),2,0
10,1,10:21.0,,Personal foul by A. Roberson (drawn by K. Caldwell-Pope),2,0
11,1,10:21.0,,K. Caldwell-Pope makes free throw 1 of 3,2,1
12,1,10:21.0,,K. Caldwell-Pope makes free throw 2 of 3,2,2
13,1,10:21.0,,K. Caldwell-Pope makes free throw 3 of 3,2,3
14,1,10:11.0,Shooting foul by J. Smith (drawn by S. Adams),,2,3
15,1,10:11.0,S. Adams misses free throw 1 of 2,,2,3
16,1,10:11.0,Offensive rebound by Team,,2,3
17,1,10:11.0,S. Adams makes free throw 2 of 2,,3,3
18,1,9:56.0,,J. Smith misses 2-pt jump shot from 4 ft,3,3
19,1,9:55.0,,Offensive rebound by A. Drummond,3,3
20,1,9:54.0,,A. Drummond misses 2-pt tip-in at rim,3,3
21,1,9:53.0,Defensive rebound by R. Westbrook,,3,3
22,1,9:49.0,R. Westbrook misses 2-pt layup at rim,,3,3
23,1,9:48.0,,Defensive rebound by J. Smith,3,3
24,1,9:40.0,,K. Singler makes 3-pt jump shot from 23 ft (assist by B. Jennings),3,6
25,1,9:20.0,A. Roberson misses 3-pt jump shot from 23 ft,,3,6
26,1,9:19.0,,Defensive rebound by A. Drummond,3,6
27,1,9:14.0,Violation by S. Ibaka (kicked ball),,3,6
28,1,9:03.0,,J. Smith makes 2-pt jump shot from 20 ft (assist by K. Caldwell-Pope),3,8
29,1,8:54.0,Shooting foul by A. Drummond (drawn by R. Westbrook),,3,8
30,1,8:54.0,R. Westbrook makes free throw 1 of 2,,4,8
31,1,8:54.0,R. Westbrook makes free throw 2 of 2,,5,8
32,1,8:39.0,,Personal foul by S. Ibaka (drawn by J. Smith),5,8
33,1,8:30.0,,J. Smith makes 2-pt layup at rim (assist by B. Jennings),5,10
34,1,8:18.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by K. Durant),,7,10
35,1,8:06.0,,Shooting foul by K. Durant (drawn by J. Smith),7,10
36,1,8:06.0,,J. Smith misses free throw 1 of 2,7,10
37,1,8:06.0,,Offensive rebound by Team,7,10
38,1,8:06.0,A. Morrow enters the game for K. Durant,,7,10
39,1,8:06.0,,J. Smith misses free throw 2 of 2,7,10
40,1,8:05.0,Defensive rebound by S. Ibaka,,7,10
41,1,7:59.0,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),,9,10
42,1,7:38.0,,J. Smith makes 2-pt hook shot from 5 ft,9,12
43,1,7:25.0,Turnover by S. Adams (3 sec),,9,12
44,1,7:11.0,,Turnover by K. Caldwell-Pope (traveling),9,12
45,1,6:58.0,R. Westbrook makes 2-pt layup at rim,,11,12
46,1,6:43.0,,K. Singler makes 2-pt jump shot from 16 ft (assist by B. Jennings),11,14
47,1,6:25.0,S. Adams misses 2-pt layup at rim,,11,14
48,1,6:24.0,,Defensive rebound by J. Smith,11,14
49,1,6:18.0,,K. Caldwell-Pope misses 2-pt layup at rim,11,14
50,1,6:17.0,,Offensive rebound by K. Caldwell-Pope,11,14
51,1,6:16.0,,K. Caldwell-Pope makes 2-pt tip-in from 1 ft,11,16
52,1,5:52.0,R. Westbrook misses 3-pt jump shot from 27 ft,,11,16
53,1,5:51.0,,Defensive rebound by Team,11,16
54,1,5:51.0,Loose ball foul by S. Adams (drawn by A. Drummond),,11,16
55,1,5:51.0,,Detroit full timeout,11,16
56,1,5:51.0,K. Perkins enters the game for S. Adams,,11,16
57,1,5:51.0,,A. Drummond makes free throw 1 of 2,11,17
58,1,5:51.0,,A. Drummond misses free throw 2 of 2,11,17
59,1,5:51.0,Defensive rebound by S. Ibaka,,11,17
60,1,5:38.0,R. Westbrook makes 2-pt dunk at rim,,13,17
61,1,5:21.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by B. Jennings),13,20
62,1,5:07.0,R. Westbrook misses 2-pt layup at rim,,13,20
63,1,5:05.0,,Defensive rebound by J. Smith,13,20
64,1,4:57.0,,Personal foul by K. Perkins (drawn by K. Caldwell-Pope),13,20
