,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,INDIANA_ACTION,OKLAHOMA CITY_SCORE,INDIANA_SCORE
0,1,11:45.0,E. Freedom misses 2-pt jump shot from 15 ft (block by D. West),,0,0
1,1,11:44.0,,Defensive rebound by S. Hill,0,0
2,1,11:40.0,,S. Hill makes 2-pt layup from 1 ft,0,2
3,1,11:25.0,Turnover by S. Adams (lost ball),,0,2
4,1,11:03.0,,R. Hibbert makes 2-pt hook shot from 12 ft (assist by G. Hill),0,4
5,1,10:50.0,D. Waiters makes 2-pt jump shot from 22 ft,,2,4
6,1,10:36.0,,G. Hill misses 2-pt jump shot from 9 ft,2,4
7,1,10:35.0,Defensive rebound by E. Freedom,,2,4
8,1,10:28.0,R. Westbrook misses 2-pt jump shot from 21 ft,,2,4
9,1,10:27.0,,Defensive rebound by R. Hibbert,2,4
10,1,10:16.0,,Shooting foul by S. Adams (drawn by R. Hibbert),2,4
11,1,10:16.0,,R. Hibbert misses free throw 1 of 2,2,4
12,1,10:16.0,,Offensive rebound by Team,2,4
13,1,10:16.0,,R. Hibbert makes free throw 2 of 2,2,5
14,1,10:04.0,R. Westbrook makes 3-pt jump shot from 26 ft (assist by E. Freedom),,5,5
15,1,9:43.0,,D. West makes 2-pt jump shot from 12 ft,5,7
16,1,9:31.0,S. Adams misses 2-pt jump shot from 5 ft,,5,7
17,1,9:29.0,,Defensive rebound by R. Hibbert,5,7
18,1,9:15.0,,Turnover by R. Hibbert (traveling),5,7
19,1,9:06.0,R. Westbrook makes 2-pt layup from 1 ft,,7,7
20,1,8:49.0,,R. Hibbert makes 2-pt hook shot from 8 ft,7,9
21,1,8:38.0,D. Waiters misses 3-pt jump shot from 27 ft,,7,9
22,1,8:36.0,Offensive rebound by S. Adams,,7,9
23,1,8:29.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,9,9
24,1,8:14.0,,Turnover by S. Hill (lost ball; steal by D. Waiters),9,9
25,1,8:09.0,D. Waiters makes 2-pt layup from 1 ft (assist by R. Westbrook),,11,9
26,1,7:47.0,,R. Hibbert makes 2-pt dunk at rim (assist by D. West),11,11
27,1,7:31.0,Def 3 sec tech foul by D. West,,11,11
28,1,7:31.0,R. Westbrook makes technical free throw,,12,11
29,1,7:23.0,R. Westbrook makes 2-pt jump shot from 15 ft,,14,11
30,1,7:23.0,Shooting foul by S. Hill (drawn by R. Westbrook),,14,11
31,1,7:23.0,R. Westbrook makes free throw 1 of 1,,15,11
32,1,7:07.0,,Personal foul by E. Freedom (drawn by R. Hibbert),15,11
33,1,6:58.0,,D. West misses 2-pt jump shot from 6 ft,15,11
34,1,6:56.0,,Offensive rebound by S. Hill,15,11
35,1,6:55.0,,S. Hill makes 2-pt layup from 1 ft,15,13
36,1,6:36.0,R. Westbrook makes 2-pt layup at rim,,17,13
37,1,6:21.0,,G. Hill makes 3-pt jump shot from 26 ft (assist by R. Hibbert),17,16
38,1,6:08.0,R. Westbrook makes 2-pt jump shot from 12 ft,,19,16
39,1,6:06.0,,Indiana full timeout,19,16
40,1,6:06.0,,P. George enters the game for S. Hill,19,16
41,1,5:51.0,,R. Hibbert makes 2-pt layup at rim (assist by D. West),19,18
42,1,5:36.0,E. Freedom misses 2-pt jump shot from 19 ft,,19,18
43,1,5:33.0,,Defensive rebound by Team,19,18
44,1,5:20.0,,Offensive foul by D. West (drawn by R. Westbrook),19,18
45,1,5:20.0,,Turnover by D. West (offensive foul),19,18
46,1,5:11.0,R. Westbrook misses 3-pt jump shot from 25 ft,,19,18
47,1,5:08.0,Offensive rebound by R. Westbrook,,19,18
48,1,4:59.0,R. Westbrook makes 2-pt layup at rim,,21,18
49,1,4:43.0,,D. West makes 2-pt jump shot from 19 ft (assist by G. Hill),21,20
50,1,4:33.0,D. Waiters misses 2-pt jump shot from 20 ft,,21,20
51,1,4:32.0,,Defensive rebound by C. Miles,21,20
52,1,4:27.0,,C. Miles makes 2-pt dunk at rim,21,22
53,1,4:18.0,Oklahoma City full timeout,,21,22
54,1,4:18.0,N. Collison enters the game for A. Roberson,,21,22
55,1,4:18.0,A. Morrow enters the game for S. Adams,,21,22
56,1,4:18.0,,I. Mahinmi enters the game for R. Hibbert,21,22
57,1,4:18.0,,R. Stuckey enters the game for C. Miles,21,22
58,1,4:03.0,R. Westbrook misses 3-pt jump shot from 25 ft,,21,22
59,1,4:02.0,,Defensive rebound by P. George,21,22
60,1,3:44.0,,Shooting foul by E. Freedom (drawn by I. Mahinmi),21,22
61,1,3:44.0,,I. Mahinmi misses free throw 1 of 2,21,22
62,1,3:44.0,,Offensive rebound by Team,21,22
63,1,3:44.0,M. McGary enters the game for E. Freedom,,21,22
64,1,3:44.0,,Turnover by D. West (lane violation.),21,22
65,1,3:30.0,N. Collison misses 2-pt jump shot from 21 ft,,21,22
66,1,3:28.0,,Defensive rebound by R. Stuckey,21,22
67,1,3:23.0,,Personal block foul by N. Collison (drawn by R. Stuckey),21,22
68,1,3:22.0,,Shooting foul by M. McGary (drawn by P. George),21,22
69,1,3:22.0,,P. George misses free throw 1 of 2,21,22
70,1,3:22.0,,Offensive rebound by Team,21,22
