,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
0,1,11:44.0,,Z. Randolph misses 2-pt jump shot from 18 ft,0,0
1,1,11:43.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:25.0,Turnover by K. Durant (lost ball; steal by M. Gasol),,0,0
3,1,11:13.0,,J. Green misses 3-pt jump shot from 25 ft,0,0
4,1,11:12.0,,Offensive rebound by M. Conley,0,0
5,1,11:09.0,,M. Conley makes 2-pt jump shot from 12 ft,0,2
6,1,10:54.0,R. Westbrook makes 2-pt jump shot from 17 ft,,2,2
7,1,10:38.0,,M. Gasol misses 2-pt hook shot from 8 ft,2,2
8,1,10:35.0,Defensive rebound by R. Westbrook,,2,2
9,1,10:29.0,,Violation by M. Gasol (kicked ball),2,2
10,1,10:20.0,K. Durant makes 2-pt jump shot from 13 ft (assist by R. Westbrook),,4,2
11,1,10:03.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by C. Lee),4,5
12,1,9:42.0,R. Westbrook misses 2-pt jump shot from 14 ft,,4,5
13,1,9:41.0,,Defensive rebound by Team,4,5
14,1,9:24.0,,M. Conley misses 2-pt layup at rim (block by S. Ibaka),4,5
15,1,9:23.0,Defensive rebound by R. Westbrook,,4,5
16,1,9:09.0,R. Westbrook makes 2-pt jump shot from 15 ft,,6,5
17,1,8:53.0,,Z. Randolph makes 2-pt jump shot from 15 ft,6,7
18,1,8:38.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by K. Durant),,8,7
19,1,8:19.0,,Z. Randolph makes 2-pt layup from 1 ft,8,9
20,1,8:00.0,S. Ibaka misses 2-pt jump shot from 17 ft,,8,9
21,1,7:59.0,,Defensive rebound by M. Gasol,8,9
22,1,7:47.0,,C. Lee misses 3-pt jump shot from 25 ft,8,9
23,1,7:46.0,Defensive rebound by S. Ibaka,,8,9
24,1,7:29.0,R. Westbrook misses 2-pt jump shot from 10 ft,,8,9
25,1,7:28.0,,Defensive rebound by M. Gasol,8,9
26,1,7:28.0,Loose ball foul by R. Westbrook (drawn by M. Gasol),,8,9
27,1,7:11.0,,J. Green misses 2-pt hook shot from 6 ft,8,9
28,1,7:10.0,Defensive rebound by K. Durant,,8,9
29,1,6:58.0,S. Ibaka makes 3-pt jump shot from 22 ft (assist by S. Adams),,11,9
30,1,6:43.0,,J. Green makes 2-pt layup from 1 ft,11,11
31,1,6:36.0,R. Westbrook makes 2-pt jump shot from 17 ft,,13,11
32,1,6:22.0,,M. Gasol misses 2-pt jump shot from 12 ft,13,11
33,1,6:20.0,Defensive rebound by K. Durant,,13,11
34,1,6:06.0,R. Westbrook misses 3-pt jump shot from 26 ft,,13,11
35,1,6:05.0,,Defensive rebound by Z. Randolph,13,11
36,1,5:56.0,,Personal foul by S. Adams (drawn by M. Gasol),13,11
37,1,5:56.0,,Memphis full timeout,13,11
38,1,5:46.0,,C. Lee makes 2-pt jump shot from 17 ft (assist by M. Gasol),13,13
39,1,5:29.0,K. Durant makes 2-pt jump shot from 20 ft (assist by R. Westbrook),,15,13
40,1,5:04.0,,M. Conley misses 2-pt jump shot from 11 ft,15,13
41,1,5:03.0,,Offensive rebound by M. Conley,15,13
42,1,5:00.0,,M. Conley makes 2-pt jump shot from 8 ft,15,15
43,1,4:52.0,R. Westbrook misses 2-pt jump shot from 11 ft,,15,15
44,1,4:50.0,,Defensive rebound by M. Gasol,15,15
45,1,4:43.0,,C. Lee misses 2-pt jump shot from 11 ft,15,15
46,1,4:41.0,Defensive rebound by A. Roberson,,15,15
47,1,4:34.0,Offensive foul by S. Adams (drawn by M. Conley),,15,15
48,1,4:34.0,Turnover by S. Adams (offensive foul),,15,15
49,1,4:34.0,D. Waiters enters the game for A. Roberson,,15,15
50,1,4:34.0,K. Perkins enters the game for S. Adams,,15,15
51,1,4:34.0,,T. Allen enters the game for J. Green,15,15
52,1,4:17.0,,M. Conley makes 3-pt jump shot from 23 ft (assist by M. Gasol),15,18
53,1,4:02.0,S. Ibaka misses 2-pt jump shot from 4 ft (block by M. Gasol),,15,18
54,1,3:59.0,,Defensive rebound by Z. Randolph,15,18
55,1,3:46.0,,M. Gasol misses 2-pt jump shot from 20 ft,15,18
56,1,3:46.0,,Offensive rebound by Z. Randolph,15,18
57,1,3:38.0,,M. Conley misses 3-pt jump shot from 26 ft,15,18
58,1,3:37.0,Defensive rebound by D. Waiters,,15,18
59,1,3:29.0,R. Westbrook misses 2-pt jump shot from 11 ft,,15,18
60,1,3:27.0,,Defensive rebound by M. Gasol,15,18
