,QUARTER,TIME_REMAINING,PHOENIX_ACTION,INDIANA_ACTION,PHOENIX_SCORE,INDIANA_SCORE
0,1,11:38.0,,C. Copeland makes 3-pt jump shot from 26 ft (assist by R. Hibbert),0,3
1,1,11:14.0,M. Morris makes 2-pt jump shot from 14 ft (assist by G. Dragić),,2,3
2,1,10:57.0,,R. Hibbert misses 2-pt jump shot from 14 ft,2,3
3,1,10:55.0,Defensive rebound by E. Bledsoe,,2,3
4,1,10:49.0,Turnover by E. Bledsoe (bad pass),,2,3
5,1,10:34.0,,C. Copeland misses 2-pt jump shot from 5 ft (block by M. Morris),2,3
6,1,10:32.0,Defensive rebound by E. Bledsoe,,2,3
7,1,10:18.0,M. Morris makes 2-pt jump shot from 16 ft,,4,3
8,1,10:02.0,,Personal foul by M. Plumlee (drawn by R. Hibbert),4,3
9,1,9:54.0,,C. Copeland makes 3-pt jump shot from 26 ft (assist by D. Sloan),4,6
10,1,9:36.0,M. Morris misses 2-pt jump shot from 12 ft,,4,6
11,1,9:35.0,,Defensive rebound by L. Scola,4,6
12,1,9:25.0,,Turnover by S. Hill (bad pass; steal by M. Morris),4,6
13,1,9:09.0,M. Plumlee makes 2-pt hook shot from 7 ft,,6,6
14,1,8:55.0,,Shooting foul by M. Morris (drawn by R. Hibbert),6,6
15,1,8:55.0,,R. Hibbert makes free throw 1 of 2,6,7
16,1,8:55.0,,R. Hibbert makes free throw 2 of 2,6,8
17,1,8:38.0,M. Morris makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,9,8
18,1,8:17.0,,S. Hill misses 2-pt layup from 2 ft (block by M. Plumlee),9,8
19,1,8:15.0,Defensive rebound by M. Plumlee,,9,8
20,1,7:58.0,M. Plumlee misses 2-pt layup from 1 ft (block by R. Hibbert),,9,8
21,1,7:58.0,Offensive rebound by Team,,9,8
22,1,7:54.0,M. Morris makes 2-pt jump shot from 14 ft,,11,8
23,1,7:33.0,,C. Copeland misses 3-pt jump shot from 25 ft,11,8
24,1,7:31.0,Defensive rebound by E. Bledsoe,,11,8
25,1,7:25.0,E. Bledsoe misses 2-pt jump shot from 20 ft,,11,8
26,1,7:22.0,,Defensive rebound by Team,11,8
27,1,7:04.0,,L. Scola misses 2-pt jump shot from 20 ft,11,8
28,1,7:04.0,,Offensive rebound by R. Hibbert,11,8
29,1,7:04.0,Loose ball foul by M. Plumlee (drawn by R. Hibbert),,11,8
30,1,7:04.0,A. Len enters the game for M. Plumlee,,11,8
31,1,7:00.0,,C. Copeland makes 2-pt layup at rim (assist by R. Hibbert),11,10
32,1,6:44.0,G. Dragić misses 2-pt jump shot from 7 ft,,11,10
33,1,6:42.0,Offensive rebound by A. Len,,11,10
34,1,6:40.0,Shooting foul by R. Hibbert (drawn by E. Bledsoe),,11,10
35,1,6:40.0,E. Bledsoe makes free throw 1 of 2,,12,10
36,1,6:40.0,,I. Mahinmi enters the game for R. Hibbert,12,10
37,1,6:40.0,E. Bledsoe makes free throw 2 of 2,,13,10
38,1,6:24.0,,C. Copeland misses 3-pt jump shot from 26 ft,13,10
39,1,6:24.0,Defensive rebound by M. Morris,,13,10
40,1,6:19.0,M. Morris misses 2-pt layup from 1 ft,,13,10
41,1,6:18.0,Offensive rebound by G. Dragić,,13,10
42,1,6:13.0,G. Dragić misses 3-pt jump shot from 23 ft,,13,10
43,1,6:13.0,,Defensive rebound by S. Hill,13,10
44,1,6:02.0,,Turnover by C. Copeland (bad pass; steal by G. Dragić),13,10
45,1,6:01.0,Personal foul by S. Hill (drawn by G. Dragić),,13,10
46,1,6:01.0,P. Tucker enters the game for M. Morris,,13,10
47,1,5:54.0,,Offensive charge foul by E. Bledsoe (drawn by L. Scola),13,10
48,1,5:54.0,Turnover by E. Bledsoe (offensive foul),,13,10
49,1,5:54.0,,Indiana full timeout,13,10
50,1,5:34.0,,I. Mahinmi makes 2-pt jump shot from 18 ft (assist by D. Sloan),13,12
51,1,5:08.0,A. Len makes 2-pt jump shot from 4 ft (assist by M. Morris),,15,12
52,1,4:58.0,,D. Sloan makes 3-pt jump shot from 23 ft (assist by L. Scola),15,15
53,1,4:43.0,M. Morris misses 2-pt layup at rim,,15,15
54,1,4:42.0,,Defensive rebound by L. Scola,15,15
55,1,4:32.0,,Turnover by L. Scola (bad pass; steal by M. Morris),15,15
56,1,4:32.0,Personal take foul by L. Scola (drawn by M. Morris),,15,15
57,1,4:32.0,,R. Stuckey enters the game for S. Hill,15,15
58,1,4:12.0,E. Bledsoe misses 2-pt layup from 1 ft,,15,15
59,1,4:11.0,Offensive rebound by M. Morris,,15,15
60,1,4:11.0,M. Morris misses 2-pt tip-in at rim,,15,15
61,1,4:10.0,,Defensive rebound by R. Stuckey,15,15
62,1,4:05.0,,Shooting foul by A. Len (drawn by R. Stuckey),15,15
63,1,4:05.0,,R. Stuckey makes free throw 1 of 2,15,16
64,1,4:05.0,G. Green enters the game for E. Bledsoe,,15,16
65,1,4:05.0,,R. Stuckey makes free throw 2 of 2,15,17
66,1,3:43.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by G. Green),,18,17
67,1,3:24.0,,R. Stuckey makes 3-pt jump shot from 24 ft (assist by L. Scola),18,20
68,1,3:06.0,G. Green makes 3-pt jump shot from 25 ft (assist by G. Dragić),,21,20
69,1,2:41.0,,I. Mahinmi misses 2-pt jump shot from 18 ft,21,20
70,1,2:40.0,Defensive rebound by M. Morris,,21,20
71,1,2:32.0,Turnover by G. Dragić (lost ball; steal by I. Mahinmi),,21,20
72,1,2:26.0,,R. Stuckey misses 3-pt jump shot from 23 ft,21,20
73,1,2:25.0,Defensive rebound by P. Tucker,,21,20
74,1,2:21.0,Shooting foul by I. Mahinmi (drawn by G. Green),,21,20
75,1,2:21.0,Phoenix full timeout,,21,20
76,1,2:21.0,,L. Allen enters the game for L. Scola,21,20
77,1,2:21.0,,A. Price enters the game for D. Sloan,21,20
78,1,2:21.0,G. Green makes free throw 1 of 2,,22,20
79,1,2:21.0,G. Green makes free throw 2 of 2,,23,20
80,1,2:01.0,,Turnover by C. Copeland (bad pass; steal by A. Len),23,20
81,1,1:54.0,G. Green misses 3-pt jump shot from 26 ft,,23,20
82,1,1:53.0,,Defensive rebound by L. Allen,23,20
83,1,1:44.0,,Personal foul by A. Len (drawn by I. Mahinmi),23,20
84,1,1:44.0,,I. Mahinmi makes free throw 1 of 2,23,21
85,1,1:44.0,A. Tolliver enters the game for M. Morris,,23,21
86,1,1:44.0,,I. Mahinmi misses free throw 2 of 2,23,21
87,1,1:44.0,Defensive rebound by P. Tucker,,23,21
88,1,1:24.0,G. Dragić misses 3-pt jump shot from 27 ft,,23,21
89,1,1:23.0,,Defensive rebound by L. Allen,23,21
90,1,1:06.0,,R. Stuckey misses 2-pt layup from 1 ft,23,21
91,1,1:06.0,,Offensive rebound by I. Mahinmi,23,21
92,1,1:06.0,,I. Mahinmi misses 2-pt tip-in at rim,23,21
93,1,1:04.0,,Offensive rebound by I. Mahinmi,23,21
94,1,1:00.0,,A. Price misses 3-pt jump shot from 25 ft,23,21
95,1,0:59.0,,Offensive rebound by R. Stuckey,23,21
96,1,0:57.0,,R. Stuckey makes 2-pt layup from 1 ft,23,23
97,1,0:47.0,G. Green makes 2-pt jump shot from 14 ft,,25,23
98,1,0:36.0,,Shooting foul by G. Green (drawn by R. Stuckey),25,23
99,1,0:36.0,,R. Stuckey makes free throw 1 of 2,25,24
100,1,0:36.0,,R. Stuckey makes free throw 2 of 2,25,25
101,1,0:32.0,G. Green makes 2-pt dunk at rim (assist by G. Dragić),,27,25
102,1,0:07.0,,L. Allen makes 2-pt jump shot from 19 ft (assist by A. Price),27,27
103,1,0:02.0,G. Green makes 3-pt jump shot from 25 ft,,30,27
104,2,11:49.0,G. Green misses 3-pt jump shot from 27 ft,,30,27
105,2,11:48.0,,Defensive rebound by L. Allen,30,27
106,2,11:27.0,,A. Price misses 2-pt jump shot from 16 ft,30,27
107,2,11:26.0,Defensive rebound by I. Thomas,,30,27
108,2,11:13.0,P. Tucker makes 2-pt jump shot from 19 ft,,32,27
109,2,10:57.0,,A. Price misses 3-pt jump shot from 26 ft,32,27
