,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHARLOTTE_ACTION,TORONTO_SCORE,CHARLOTTE_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:34.0,,K. Walker misses 2-pt layup from 1 ft,0,0
2,1,11:32.0,,Offensive rebound by B. Biyombo,0,0
3,1,11:32.0,,B. Biyombo makes 2-pt dunk at rim,0,2
4,1,11:19.0,G. Vásquez misses 2-pt jump shot from 10 ft,,0,2
5,1,11:16.0,Offensive rebound by D. DeRozan,,0,2
6,1,10:58.0,D. DeRozan misses 3-pt jump shot from 25 ft,,0,2
7,1,10:56.0,Offensive rebound by J. Valančiūnas,,0,2
8,1,10:49.0,G. Vásquez misses 3-pt jump shot from 26 ft,,0,2
9,1,10:49.0,Offensive rebound by Team,,0,2
10,1,10:49.0,,Loose ball foul by B. Biyombo (drawn by J. Valančiūnas),0,2
11,1,10:27.0,T. Hansbrough makes 2-pt jump shot from 4 ft (assist by G. Vásquez),,2,2
12,1,10:09.0,,B. Biyombo makes 2-pt dunk at rim (assist by M. Williams),2,4
13,1,9:49.0,D. DeRozan makes 2-pt jump shot from 16 ft,,4,4
14,1,9:27.0,,Personal foul by J. Valančiūnas (drawn by K. Walker),4,4
15,1,9:20.0,,G. Henderson misses 2-pt layup from 2 ft (block by J. Valančiūnas),4,4
16,1,9:18.0,Defensive rebound by J. Valančiūnas,,4,4
17,1,9:07.0,J. Valančiūnas makes 2-pt dunk at rim (assist by G. Vásquez),,6,4
18,1,8:52.0,,J. Taylor misses 2-pt jump shot from 5 ft,6,4
19,1,8:51.0,Defensive rebound by J. Valančiūnas,,6,4
20,1,8:45.0,Turnover by J. Valančiūnas (offensive foul),,6,4
21,1,8:45.0,Offensive foul by J. Valančiūnas (drawn by K. Walker),,6,4
22,1,8:45.0,P. Patterson enters the game for J. Valančiūnas,,6,4
23,1,8:28.0,,G. Henderson misses 3-pt jump shot from 23 ft,6,4
24,1,8:27.0,Defensive rebound by P. Patterson,,6,4
25,1,8:16.0,D. DeRozan misses 2-pt jump shot from 9 ft,,6,4
26,1,8:14.0,,Defensive rebound by K. Walker,6,4
27,1,8:05.0,,K. Walker misses 2-pt jump shot from 16 ft,6,4
28,1,8:05.0,Defensive rebound by Team,,6,4
29,1,7:50.0,T. Hansbrough makes 2-pt layup from 1 ft (assist by D. DeRozan),,8,4
30,1,7:38.0,,J. Taylor makes 3-pt jump shot from 25 ft (assist by K. Walker),8,7
31,1,7:21.0,G. Vásquez misses 2-pt jump shot from 9 ft,,8,7
32,1,7:20.0,,Defensive rebound by M. Williams,8,7
33,1,7:16.0,,G. Henderson misses 2-pt layup from 1 ft,8,7
34,1,7:13.0,Defensive rebound by P. Patterson,,8,7
