,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PORTLAND_ACTION,NEW YORK_SCORE,PORTLAND_SCORE
0,1,11:35.0,T. Hardaway misses 3-pt jump shot from 24 ft,,0,0
1,1,11:34.0,,Defensive rebound by T. Robinson,0,0
2,1,11:16.0,,W. Matthews misses 3-pt jump shot from 24 ft,0,0
3,1,11:15.0,Defensive rebound by C. Aldrich,,0,0
4,1,10:59.0,T. Hardaway misses 2-pt layup from 1 ft,,0,0
5,1,10:57.0,,Defensive rebound by Team,0,0
6,1,10:43.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by W. Matthews),0,3
7,1,10:25.0,,Violation by T. Robinson (def goaltending),0,3
8,1,10:25.0,C. Aldrich makes 2-pt hook shot from 3 ft (assist by T. Hardaway),,2,3
9,1,10:09.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by W. Matthews),2,6
10,1,9:52.0,C. Anthony misses 2-pt jump shot from 18 ft,,2,6
11,1,9:51.0,,Defensive rebound by W. Matthews,2,6
12,1,9:41.0,,T. Robinson makes 2-pt jump shot from 20 ft (assist by W. Matthews),2,8
13,1,9:28.0,Shooting foul by W. Matthews (drawn by T. Hardaway),,2,8
14,1,9:28.0,T. Hardaway misses free throw 1 of 2,,2,8
15,1,9:28.0,Offensive rebound by Team,,2,8
16,1,9:28.0,T. Hardaway misses free throw 2 of 2,,2,8
17,1,9:27.0,,Defensive rebound by J. Freeland,2,8
18,1,9:17.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Lillard),2,11
19,1,8:59.0,T. Hardaway makes 2-pt jump shot from 4 ft (assist by J. Smith),,4,11
20,1,8:43.0,,Shooting foul by T. Hardaway (drawn by T. Robinson),4,11
21,1,8:43.0,,T. Robinson misses free throw 1 of 2,4,11
22,1,8:43.0,,Offensive rebound by Team,4,11
23,1,8:43.0,,T. Robinson makes free throw 2 of 2,4,12
24,1,8:24.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by C. Aldrich),,6,12
25,1,8:04.0,,J. Freeland makes 2-pt hook shot from 3 ft (assist by D. Lillard),6,14
26,1,7:52.0,J. Calderón misses 3-pt jump shot from 25 ft,,6,14
27,1,7:50.0,Offensive rebound by C. Aldrich,,6,14
28,1,7:41.0,C. Anthony misses 2-pt jump shot from 5 ft,,6,14
29,1,7:40.0,Offensive rebound by C. Aldrich,,6,14
30,1,7:39.0,C. Aldrich misses 2-pt layup from 1 ft,,6,14
31,1,7:37.0,,Defensive rebound by J. Freeland,6,14
32,1,7:27.0,,W. Matthews makes 2-pt jump shot from 15 ft,6,16
33,1,7:22.0,New York full timeout,,6,16
34,1,7:22.0,Q. Acy enters the game for C. Aldrich,,6,16
35,1,7:16.0,C. Anthony makes 2-pt layup from 2 ft (assist by Q. Acy),,8,16
36,1,6:56.0,,T. Robinson makes 2-pt dunk at rim (assist by N. Batum),8,18
37,1,6:37.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Smith),,11,18
38,1,6:15.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by J. Freeland),11,21
39,1,5:50.0,C. Anthony makes 2-pt jump shot from 19 ft,,13,21
40,1,5:34.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by N. Batum),13,24
41,1,5:25.0,T. Hardaway misses 3-pt jump shot from 24 ft,,13,24
42,1,5:25.0,,Defensive rebound by Team,13,24
43,1,5:25.0,Loose ball foul by Q. Acy (drawn by J. Freeland),,13,24
44,1,5:25.0,,S. Blake enters the game for J. Freeland,13,24
45,1,5:25.0,,C. Kaman enters the game for W. Matthews,13,24
46,1,5:25.0,S. Larkin enters the game for J. Calderón,,13,24
47,1,5:25.0,P. Prigioni enters the game for T. Hardaway,,13,24
48,1,5:11.0,,Turnover by T. Robinson (bad pass),13,24
49,1,4:52.0,J. Smith misses 2-pt jump shot from 16 ft,,13,24
50,1,4:52.0,,Defensive rebound by S. Blake,13,24
51,1,4:45.0,Violation by J. Smith (kicked ball),,13,24
52,1,4:40.0,,T. Robinson misses 2-pt dunk at rim,13,24
53,1,4:39.0,Defensive rebound by Q. Acy,,13,24
54,1,4:33.0,C. Anthony misses 3-pt jump shot from 25 ft,,13,24
55,1,4:32.0,,Defensive rebound by S. Blake,13,24
56,1,4:20.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by S. Blake),13,27
57,1,4:03.0,J. Smith misses 2-pt jump shot from 19 ft,,13,27
58,1,4:02.0,Offensive rebound by S. Larkin,,13,27
59,1,3:57.0,Q. Acy misses 2-pt jump shot from 20 ft,,13,27
60,1,3:57.0,,Defensive rebound by N. Batum,13,27
61,1,3:45.0,,C. Kaman misses 2-pt hook shot from 3 ft,13,27
62,1,3:44.0,Defensive rebound by S. Larkin,,13,27
63,1,3:40.0,,Violation by C. Kaman (def goaltending),13,27
64,1,3:40.0,Q. Acy makes 2-pt layup at rim (assist by S. Larkin),,15,27
65,1,3:40.0,,Portland full timeout,15,27
66,1,3:40.0,,D. Wright enters the game for T. Robinson,15,27
67,1,3:40.0,T. Wear enters the game for C. Anthony,,15,27
68,1,3:40.0,C. Aldrich enters the game for J. Smith,,15,27
