,QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
0,1,11:36.0,E. Turner misses 3-pt jump shot from 25 ft,,0,0
1,1,11:34.0,,Defensive rebound by E. Payton,0,0
2,1,11:18.0,,C. Frye misses 3-pt jump shot from 23 ft,0,0
3,1,11:16.0,Defensive rebound by E. Turner,,0,0
4,1,11:00.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by B. Bass),,3,0
5,1,10:48.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by E. Payton),3,2
6,1,10:39.0,T. Zeller makes 2-pt hook shot from 3 ft (assist by E. Turner),,5,2
7,1,10:24.0,,V. Oladipo misses 2-pt layup from 2 ft,5,2
8,1,10:24.0,,Offensive rebound by Team,5,2
9,1,10:15.0,,T. Harris misses 3-pt jump shot from 23 ft,5,2
10,1,10:13.0,Defensive rebound by B. Bass,,5,2
11,1,10:04.0,B. Bass misses 2-pt jump shot from 18 ft,,5,2
12,1,10:03.0,,Defensive rebound by E. Payton,5,2
13,1,9:51.0,,C. Frye misses 2-pt jump shot from 1 ft,5,2
14,1,9:50.0,,Offensive rebound by C. Frye,5,2
15,1,9:50.0,,C. Frye misses 2-pt tip-in from 1 ft,5,2
16,1,9:48.0,,Offensive rebound by C. Frye,5,2
17,1,9:48.0,,C. Frye misses 2-pt tip-in from 1 ft,5,2
18,1,9:48.0,,Offensive rebound by D. Dedmon,5,2
19,1,9:48.0,,Shooting foul by J. Crowder (drawn by D. Dedmon),5,2
20,1,9:48.0,,D. Dedmon misses free throw 1 of 2,5,2
21,1,9:48.0,,Offensive rebound by Team,5,2
22,1,9:48.0,,D. Dedmon makes free throw 2 of 2,5,3
23,1,9:33.0,M. Smart misses 2-pt jump shot from 15 ft,,5,3
24,1,9:32.0,,Defensive rebound by V. Oladipo,5,3
25,1,9:25.0,,V. Oladipo misses 2-pt jump shot from 9 ft,5,3
26,1,9:24.0,Defensive rebound by Team,,5,3
27,1,9:09.0,J. Crowder misses 2-pt jump shot from 13 ft,,5,3
28,1,9:08.0,Offensive rebound by B. Bass,,5,3
29,1,9:08.0,B. Bass makes 2-pt dunk at rim,,7,3
30,1,8:57.0,,Turnover by D. Dedmon (bad pass; steal by M. Smart),7,3
31,1,8:53.0,B. Bass makes 2-pt dunk at rim (assist by J. Crowder),,9,3
32,1,8:38.0,,E. Payton misses 2-pt jump shot from 6 ft,9,3
33,1,8:37.0,Defensive rebound by J. Crowder,,9,3
34,1,8:30.0,M. Smart misses 3-pt jump shot from 25 ft,,9,3
35,1,8:29.0,,Defensive rebound by D. Dedmon,9,3
36,1,8:12.0,,E. Payton misses 3-pt jump shot from 24 ft,9,3
37,1,8:11.0,Defensive rebound by J. Crowder,,9,3
38,1,8:03.0,M. Smart makes 3-pt jump shot from 24 ft,,12,3
39,1,7:45.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by C. Frye),12,5
40,1,7:45.0,,Shooting foul by T. Zeller (drawn by T. Harris),12,5
41,1,7:45.0,,T. Harris makes free throw 1 of 1,12,6
42,1,7:34.0,T. Zeller misses 2-pt jump shot from 7 ft,,12,6
43,1,7:32.0,Offensive rebound by B. Bass,,12,6
44,1,7:32.0,B. Bass makes 2-pt dunk at rim,,14,6
45,1,7:23.0,,C. Frye makes 2-pt layup from 2 ft,14,8
46,1,7:11.0,M. Smart makes 3-pt jump shot from 25 ft (assist by B. Bass),,17,8
47,1,6:44.0,,C. Frye misses 3-pt jump shot from 28 ft,17,8
48,1,6:43.0,,Offensive rebound by D. Dedmon,17,8
49,1,6:36.0,,V. Oladipo misses 2-pt layup from 1 ft,17,8
50,1,6:36.0,,Offensive rebound by D. Dedmon,17,8
51,1,6:36.0,,Shooting foul by T. Zeller (drawn by D. Dedmon),17,8
52,1,6:36.0,,D. Dedmon misses free throw 1 of 2,17,8
53,1,6:36.0,,Offensive rebound by Team,17,8
54,1,6:36.0,K. Olynyk enters the game for T. Zeller,,17,8
55,1,6:36.0,I. Thomas enters the game for E. Turner,,17,8
56,1,6:36.0,,D. Dedmon makes free throw 2 of 2,17,9
57,1,6:21.0,M. Smart misses 2-pt jump shot from 18 ft,,17,9
58,1,6:20.0,,Defensive rebound by T. Harris,17,9
59,1,5:56.0,,Turnover by C. Frye (bad pass; steal by I. Thomas),17,9
60,1,5:55.0,Personal take foul by V. Oladipo (drawn by I. Thomas),,17,9
61,1,5:55.0,,Orlando full timeout,17,9
62,1,5:55.0,,A. Nicholson enters the game for C. Frye,17,9
