,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW ORLEANS_ACTION,CHARLOTTE_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,L. Stephenson misses 2-pt jump shot from 5 ft,,0,0
1,1,11:39.0,,Defensive rebound by A. Davis,0,0
2,1,11:21.0,,Shooting foul by M. Williams (drawn by Ö. Aşık),0,0
3,1,11:21.0,,Ö. Aşık makes free throw 1 of 2,0,1
4,1,11:21.0,,Ö. Aşık makes free throw 2 of 2,0,2
5,1,11:08.0,M. Williams misses 2-pt jump shot from 21 ft,,0,2
6,1,11:07.0,,Defensive rebound by A. Davis,0,2
7,1,10:56.0,,A. Davis misses 2-pt jump shot from 16 ft,0,2
8,1,10:55.0,Defensive rebound by K. Walker,,0,2
9,1,10:33.0,Turnover by L. Stephenson (lost ball; steal by E. Gordon),,0,2
10,1,10:30.0,,Turnover by T. Evans (offensive foul),0,2
11,1,10:30.0,Offensive charge foul by T. Evans (drawn by K. Walker),,0,2
12,1,10:11.0,A. Jefferson makes 2-pt layup from 2 ft,,2,2
13,1,9:57.0,,J. Holiday makes 2-pt jump shot from 7 ft,2,4
14,1,9:33.0,K. Walker makes 3-pt jump shot from 25 ft (assist by A. Jefferson),,5,4
15,1,9:21.0,,J. Holiday misses 3-pt jump shot from 25 ft,5,4
16,1,9:20.0,Defensive rebound by L. Stephenson,,5,4
17,1,9:13.0,L. Stephenson misses 2-pt jump shot from 18 ft,,5,4
18,1,9:11.0,,Defensive rebound by Ö. Aşık,5,4
19,1,9:00.0,,E. Gordon misses 3-pt jump shot from 25 ft,5,4
20,1,8:59.0,Defensive rebound by M. Williams,,5,4
21,1,8:45.0,L. Stephenson makes 2-pt layup from 3 ft (assist by M. Williams),,7,4
22,1,8:26.0,,J. Holiday makes 2-pt jump shot from 5 ft (assist by Ö. Aşık),7,6
23,1,8:11.0,Shooting foul by E. Gordon (drawn by A. Jefferson),,7,6
24,1,8:11.0,A. Jefferson makes free throw 1 of 2,,8,6
25,1,8:11.0,A. Jefferson makes free throw 2 of 2,,9,6
26,1,8:00.0,,Personal foul by K. Walker (drawn by J. Holiday),9,6
27,1,7:51.0,,Ö. Aşık makes 2-pt dunk at rim (assist by E. Gordon),9,8
28,1,7:35.0,A. Jefferson misses 2-pt jump shot from 16 ft,,9,8
29,1,7:34.0,,Defensive rebound by T. Evans,9,8
30,1,7:28.0,,Turnover by T. Evans (offensive foul),9,8
31,1,7:28.0,Offensive charge foul by T. Evans (drawn by G. Henderson),,9,8
32,1,7:28.0,,A. Rivers enters the game for T. Evans,9,8
33,1,7:16.0,M. Williams makes 2-pt jump shot from 5 ft (assist by L. Stephenson),,11,8
34,1,6:59.0,,Shooting foul by A. Jefferson (drawn by E. Gordon),11,8
35,1,6:59.0,,E. Gordon makes free throw 1 of 2,11,9
