,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BROOKLYN_ACTION,LA CLIPPERS_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,A. Anderson misses 3-pt jump shot from 24 ft,0,0
1,1,11:42.0,Defensive rebound by B. Griffin,,0,0
2,1,11:27.0,Shooting foul by J. Johnson (drawn by D. Jordan),,0,0
3,1,11:27.0,D. Jordan misses free throw 1 of 2,,0,0
4,1,11:27.0,Offensive rebound by Team,,0,0
5,1,11:27.0,D. Jordan misses free throw 2 of 2,,0,0
6,1,11:26.0,,Defensive rebound by M. Plumlee,0,0
7,1,11:01.0,,K. Garnett misses 2-pt jump shot from 15 ft,0,0
8,1,11:00.0,Defensive rebound by D. Jordan,,0,0
9,1,10:47.0,Turnover by M. Barnes (bad pass),,0,0
10,1,10:31.0,,A. Anderson makes 2-pt layup from 2 ft,0,2
11,1,10:10.0,Shooting foul by M. Plumlee (drawn by D. Jordan),,0,2
12,1,10:10.0,D. Jordan misses free throw 1 of 2,,0,2
13,1,10:10.0,Offensive rebound by Team,,0,2
14,1,10:10.0,D. Jordan misses free throw 2 of 2,,0,2
15,1,10:09.0,Offensive rebound by J. Redick,,0,2
16,1,10:06.0,J. Redick misses 3-pt jump shot from 25 ft,,0,2
17,1,10:05.0,,Defensive rebound by K. Garnett,0,2
18,1,9:51.0,,Personal foul by M. Barnes (drawn by K. Garnett),0,2
19,1,9:45.0,,J. Jack misses 2-pt jump shot from 18 ft,0,2
20,1,9:44.0,Defensive rebound by C. Paul,,0,2
21,1,9:34.0,B. Griffin misses 2-pt jump shot from 16 ft,,0,2
22,1,9:32.0,,Defensive rebound by J. Johnson,0,2
23,1,9:26.0,,K. Garnett misses 2-pt jump shot from 10 ft,0,2
24,1,9:25.0,,Offensive rebound by K. Garnett,0,2
25,1,9:24.0,,Turnover by K. Garnett (bad pass),0,2
26,1,9:07.0,Personal foul by K. Garnett (drawn by B. Griffin),,0,2
27,1,9:05.0,Offensive foul by B. Griffin (drawn by K. Garnett),,0,2
28,1,9:05.0,Turnover by B. Griffin (offensive foul),,0,2
29,1,8:52.0,,A. Anderson misses 3-pt jump shot from 23 ft,0,2
30,1,8:51.0,Defensive rebound by M. Barnes,,0,2
31,1,8:42.0,C. Paul misses 3-pt jump shot from 23 ft,,0,2
32,1,8:41.0,,Defensive rebound by K. Garnett,0,2
33,1,8:21.0,,J. Johnson misses 3-pt jump shot from 24 ft,0,2
34,1,8:20.0,Defensive rebound by D. Jordan,,0,2
35,1,8:13.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,2,2
36,1,7:55.0,,K. Garnett makes 2-pt jump shot from 8 ft (assist by J. Johnson),2,4
37,1,7:49.0,LA Clippers full timeout,,2,4
38,1,7:49.0,J. Crawford enters the game for J. Redick,,2,4
39,1,7:41.0,D. Jordan makes 2-pt dunk at rim (assist by J. Crawford),,4,4
40,1,7:20.0,,A. Anderson misses 2-pt jump shot from 5 ft,4,4
41,1,7:19.0,Defensive rebound by D. Jordan,,4,4
42,1,7:12.0,C. Paul misses 2-pt jump shot from 20 ft,,4,4
43,1,7:11.0,Offensive rebound by D. Jordan,,4,4
44,1,7:10.0,Shooting foul by K. Garnett (drawn by D. Jordan),,4,4
45,1,7:10.0,D. Jordan misses free throw 1 of 2,,4,4
46,1,7:10.0,Offensive rebound by Team,,4,4
47,1,7:10.0,,B. Lopez enters the game for K. Garnett,4,4
48,1,7:10.0,D. Jordan misses free throw 2 of 2,,4,4
49,1,7:09.0,,Defensive rebound by B. Lopez,4,4
50,1,6:52.0,,J. Jack misses 2-pt jump shot from 8 ft,4,4
51,1,6:51.0,,Offensive rebound by M. Plumlee,4,4
52,1,6:49.0,,Turnover by M. Plumlee (bad pass; steal by M. Barnes),4,4
53,1,6:45.0,B. Griffin makes 2-pt dunk at rim (assist by M. Barnes),,6,4
54,1,6:35.0,,Personal foul by D. Jordan (drawn by B. Lopez),6,4
55,1,6:22.0,,J. Johnson misses 2-pt jump shot from 5 ft,6,4
56,1,6:21.0,Defensive rebound by D. Jordan,,6,4
57,1,6:12.0,J. Crawford misses 3-pt jump shot from 24 ft,,6,4
58,1,6:11.0,Offensive rebound by Team,,6,4
59,1,6:10.0,,D. Williams enters the game for A. Anderson,6,4
60,1,6:06.0,B. Griffin makes 2-pt hook shot from 5 ft (assist by C. Paul),,8,4
61,1,5:59.0,,Offensive foul by D. Williams (drawn by J. Crawford),8,4
62,1,5:59.0,,Turnover by D. Williams (offensive foul),8,4
63,1,5:59.0,,C. Jefferson enters the game for M. Plumlee,8,4
64,1,5:41.0,M. Barnes misses 3-pt jump shot from 23 ft,,8,4
65,1,5:40.0,,Defensive rebound by J. Jack,8,4
66,1,5:32.0,,B. Lopez makes 2-pt hook shot from 5 ft (assist by J. Johnson),8,6
67,1,5:25.0,Personal foul by C. Jefferson (drawn by D. Jordan),,8,6
68,1,5:25.0,D. Jordan misses free throw 1 of 2,,8,6
69,1,5:25.0,Offensive rebound by Team,,8,6
70,1,5:25.0,D. Jordan misses free throw 2 of 2,,8,6
71,1,5:23.0,Offensive rebound by J. Crawford,,8,6
72,1,5:09.0,Turnover by D. Jordan (bad pass; steal by B. Lopez),,8,6
73,1,5:04.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by J. Johnson),8,9
74,1,4:54.0,Shooting foul by C. Jefferson (drawn by D. Jordan),,8,9
75,1,4:54.0,D. Jordan makes 2-pt layup from 2 ft (assist by B. Griffin),,10,9
76,1,4:54.0,D. Jordan makes free throw 1 of 1,,11,9
77,1,4:47.0,,Personal foul by J. Crawford (drawn by D. Williams),11,9
78,1,4:39.0,,J. Jack misses 3-pt jump shot from 24 ft,11,9
79,1,4:38.0,Defensive rebound by J. Crawford,,11,9
80,1,4:34.0,J. Crawford makes 2-pt jump shot from 18 ft,,13,9
81,1,4:18.0,,C. Jefferson misses 2-pt jump shot from 20 ft,13,9
82,1,4:17.0,Defensive rebound by J. Crawford,,13,9
83,1,4:15.0,B. Griffin makes 2-pt dunk at rim (assist by J. Crawford),,15,9
84,1,4:13.0,,Brooklyn full timeout,15,9
85,1,4:00.0,,J. Johnson makes 2-pt jump shot from 18 ft,15,11
86,1,3:43.0,J. Crawford misses 2-pt jump shot from 20 ft,,15,11
87,1,3:42.0,Offensive rebound by Team,,15,11
88,1,3:40.0,Offensive foul by J. Crawford (drawn by D. Williams),,15,11
89,1,3:40.0,Turnover by J. Crawford (offensive foul),,15,11
90,1,3:28.0,,Turnover by C. Jefferson (lost ball; steal by C. Paul),15,11
91,1,3:19.0,Turnover by C. Paul (bad pass; steal by J. Jack),,15,11
92,1,3:15.0,,J. Johnson makes 2-pt layup from 1 ft (assist by J. Jack),15,13
93,1,3:02.0,C. Paul makes 3-pt jump shot from 23 ft,,18,13
94,1,2:50.0,,B. Lopez misses 2-pt jump shot from 19 ft,18,13
95,1,2:49.0,Defensive rebound by D. Jordan,,18,13
96,1,2:39.0,Turnover by D. Jordan (offensive goaltending),,18,13
