,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,HOUSTON_ACTION,CLEVELAND_SCORE,HOUSTON_SCORE
0,1,11:49.0,,T. Ariza misses 3-pt jump shot from 24 ft,0,0
1,1,11:48.0,Defensive rebound by T. Mozgov,,0,0
2,1,11:30.0,L. James makes 2-pt layup at rim,,2,0
3,1,11:12.0,,J. Harden misses 2-pt jump shot from 20 ft,2,0
4,1,11:11.0,Defensive rebound by L. James,,2,0
5,1,11:05.0,J. Smith misses 2-pt layup at rim,,2,0
6,1,11:05.0,,Defensive rebound by T. Jones,2,0
7,1,10:57.0,,D. Motiejūnas makes 3-pt jump shot from 25 ft (assist by T. Ariza),2,3
8,1,10:38.0,K. Love misses 2-pt hook shot from 8 ft,,2,3
9,1,10:37.0,,Defensive rebound by T. Ariza,2,3
10,1,10:26.0,,J. Harden makes 2-pt layup at rim,2,5
11,1,10:05.0,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),,5,5
12,1,9:49.0,,Turnover by D. Motiejūnas (lost ball),5,5
13,1,9:29.0,L. James misses 2-pt hook shot from 8 ft,,5,5
14,1,9:27.0,Offensive rebound by T. Mozgov,,5,5
15,1,9:27.0,T. Mozgov makes 2-pt tip-in at rim,,7,5
16,1,9:15.0,,D. Motiejūnas misses 3-pt jump shot from 23 ft,7,5
17,1,9:14.0,Defensive rebound by K. Love,,7,5
18,1,8:58.0,T. Mozgov makes 2-pt hook shot from 4 ft,,9,5
19,1,8:53.0,,Turnover by P. Beverley (bad pass),9,5
20,1,8:43.0,T. Mozgov makes 2-pt hook shot from 8 ft (assist by K. Love),,11,5
21,1,8:30.0,,J. Harden makes 3-pt jump shot from 24 ft,11,8
22,1,8:13.0,K. Love misses 3-pt jump shot from 24 ft,,11,8
23,1,8:11.0,Offensive rebound by J. Smith,,11,8
24,1,8:07.0,M. Dellavedova misses 3-pt jump shot from 24 ft,,11,8
25,1,8:05.0,,Defensive rebound by D. Motiejūnas,11,8
26,1,7:58.0,,J. Harden misses 2-pt layup from 1 ft (block by L. James),11,8
27,1,7:56.0,,Offensive rebound by T. Jones,11,8
28,1,7:54.0,,T. Jones misses 2-pt layup at rim,11,8
29,1,7:53.0,,Offensive rebound by J. Harden,11,8
30,1,7:43.0,,P. Beverley makes 3-pt jump shot from 24 ft,11,11
31,1,7:22.0,L. James makes 2-pt layup from 1 ft,,13,11
32,1,7:08.0,,P. Beverley misses 3-pt jump shot from 23 ft,13,11
33,1,7:05.0,,Offensive rebound by J. Harden,13,11
34,1,7:04.0,,J. Harden misses 2-pt jump shot from 5 ft,13,11
35,1,7:03.0,Defensive rebound by J. Smith,,13,11
36,1,6:42.0,T. Mozgov misses 2-pt jump shot from 18 ft,,13,11
37,1,6:42.0,,Defensive rebound by Team,13,11
38,1,6:42.0,Offensive foul by K. Love (drawn by J. Harden),,13,11
39,1,6:27.0,,D. Motiejūnas makes 2-pt hook shot from 6 ft,13,13
40,1,6:12.0,T. Mozgov makes 2-pt dunk at rim (assist by K. Love),,15,13
41,1,5:54.0,,Turnover by J. Harden (lost ball; steal by L. James),15,13
42,1,5:52.0,,Houston full timeout,15,13
43,1,5:52.0,I. Shumpert enters the game for L. James,,15,13
44,1,5:40.0,K. Love misses 2-pt jump shot from 21 ft,,15,13
45,1,5:39.0,Offensive rebound by K. Love,,15,13
46,1,5:34.0,I. Shumpert misses 3-pt jump shot from 23 ft,,15,13
47,1,5:32.0,Offensive rebound by K. Love,,15,13
48,1,5:18.0,T. Mozgov misses 2-pt jump shot from 5 ft,,15,13
49,1,5:17.0,,Defensive rebound by T. Jones,15,13
50,1,5:06.0,,J. Harden misses 3-pt jump shot from 22 ft,15,13
51,1,5:04.0,Defensive rebound by K. Love,,15,13
52,1,4:50.0,Turnover by T. Mozgov (bad pass; steal by T. Ariza),,15,13
53,1,4:39.0,,D. Motiejūnas makes 3-pt jump shot from 24 ft (assist by J. Harden),15,16
54,1,4:22.0,Turnover by M. Dellavedova (bad pass; steal by T. Ariza),,15,16
55,1,4:17.0,,T. Ariza makes 2-pt dunk at rim,15,18
56,1,3:55.0,J. Smith misses 2-pt dunk at rim,,15,18
57,1,3:54.0,,Defensive rebound by T. Ariza,15,18
58,1,3:47.0,,J. Harden makes 2-pt layup from 1 ft (assist by P. Beverley),15,20
59,1,3:44.0,Clear path foul by T. Ariza,,15,20
60,1,3:44.0,J. Smith makes clear path free throw 1 of 2,,16,20
61,1,3:44.0,J. Smith misses clear path free throw 2 of 2,,16,20
62,1,3:44.0,Offensive rebound by Team,,16,20
63,1,3:44.0,,J. Smith enters the game for T. Jones,16,20
64,1,3:44.0,T. Thompson enters the game for T. Mozgov,,16,20
65,1,3:33.0,K. Love makes 2-pt jump shot from 6 ft (assist by J. Smith),,18,20
66,1,3:21.0,,J. Smith misses 3-pt jump shot from 24 ft,18,20
67,1,3:19.0,Defensive rebound by I. Shumpert,,18,20
68,1,3:09.0,K. Love makes 2-pt layup from 1 ft,,20,20
69,1,3:02.0,,Personal foul by T. Thompson (drawn by D. Motiejūnas),20,20
70,1,3:02.0,,C. Brewer enters the game for T. Ariza,20,20
71,1,3:02.0,L. James enters the game for J. Smith,,20,20
72,1,2:51.0,,J. Harden misses 2-pt jump shot from 16 ft,20,20
73,1,2:50.0,Defensive rebound by L. James,,20,20
74,1,2:41.0,Shooting foul by J. Smith (drawn by L. James),,20,20
75,1,2:41.0,Cleveland full timeout,,20,20
76,1,2:41.0,,T. Jones enters the game for D. Motiejūnas,20,20
77,1,2:41.0,,J. Terry enters the game for P. Beverley,20,20
78,1,2:41.0,K. Love makes free throw 1 of 2,,21,20
79,1,2:41.0,K. Love makes free throw 2 of 2,,22,20
80,1,2:22.0,,T. Jones makes 2-pt dunk at rim (assist by C. Brewer),22,22
81,1,1:59.0,K. Love makes 2-pt layup at rim,,24,22
82,1,1:52.0,,Turnover by C. Brewer (bad pass; steal by L. James),24,22
83,1,1:48.0,L. James makes 2-pt dunk at rim,,26,22
84,1,1:28.0,,Shooting foul by K. Love (drawn by J. Harden),26,22
85,1,1:28.0,,J. Harden makes free throw 1 of 2,26,23
86,1,1:28.0,J. Jones enters the game for K. Love,,26,23
87,1,1:28.0,,J. Harden makes free throw 2 of 2,26,24
88,1,1:19.0,Turnover by J. Jones (lost ball; steal by J. Smith),,26,24
89,1,1:14.0,,T. Jones makes 2-pt dunk at rim (assist by J. Smith),26,26
90,1,1:06.0,Personal foul by J. Harden (drawn by L. James),,26,26
91,1,1:00.0,M. Dellavedova misses 3-pt jump shot from 24 ft,,26,26
92,1,1:00.0,,Defensive rebound by J. Smith,26,26
93,1,0:54.0,,T. Jones makes 2-pt layup at rim (assist by J. Smith),26,28
94,1,0:52.0,Turnover by M. Dellavedova (bad pass; steal by C. Brewer),,26,28
95,1,0:50.0,,Shooting block foul by M. Dellavedova (drawn by T. Jones),26,28
96,1,0:50.0,,T. Jones makes free throw 1 of 2,26,29
97,1,0:50.0,J. Smith enters the game for M. Dellavedova,,26,29
98,1,0:50.0,,T. Jones misses free throw 2 of 2,26,29
99,1,0:50.0,Defensive rebound by T. Thompson,,26,29
