,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BROOKLYN_ACTION,NEW ORLEANS_SCORE,BROOKLYN_SCORE
0,1,11:40.0,A. Davis makes 2-pt jump shot from 20 ft (assist by E. Gordon),,2,0
1,1,11:16.0,,T. Young makes 2-pt layup from 2 ft,2,2
2,1,10:55.0,N. Cole misses 2-pt jump shot from 20 ft,,2,2
3,1,10:54.0,,Defensive rebound by M. Brown,2,2
4,1,10:45.0,,T. Young makes 3-pt jump shot from 24 ft (assist by D. Williams),2,5
5,1,10:25.0,E. Gordon misses 3-pt jump shot from 24 ft,,2,5
6,1,10:24.0,,Defensive rebound by B. Lopez,2,5
7,1,10:18.0,,T. Young makes 2-pt layup from 1 ft,2,7
8,1,9:58.0,E. Gordon misses 2-pt jump shot from 20 ft,,2,7
9,1,9:57.0,,Defensive rebound by B. Lopez,2,7
10,1,9:49.0,,T. Young misses 3-pt jump shot from 24 ft,2,7
11,1,9:48.0,Defensive rebound by Ö. Aşık,,2,7
12,1,9:34.0,N. Cole misses 2-pt jump shot from 5 ft (block by B. Lopez),,2,7
13,1,9:32.0,,Defensive rebound by J. Johnson,2,7
14,1,9:22.0,,D. Williams misses 3-pt jump shot from 25 ft,2,7
15,1,9:21.0,,Offensive rebound by B. Lopez,2,7
16,1,9:16.0,,D. Williams misses 3-pt jump shot from 24 ft,2,7
17,1,9:15.0,Defensive rebound by Ö. Aşık,,2,7
18,1,9:07.0,E. Gordon misses 2-pt layup from 1 ft (block by D. Williams),,2,7
19,1,9:05.0,,Defensive rebound by J. Johnson,2,7
20,1,8:55.0,,J. Johnson makes 2-pt jump shot from 5 ft,2,9
21,1,8:55.0,New Orleans full timeout,,2,9
22,1,8:39.0,Turnover by N. Cole (lost ball; steal by D. Williams),,2,9
23,1,8:27.0,,J. Johnson misses 2-pt hook shot from 5 ft,2,9
24,1,8:26.0,Defensive rebound by Team,,2,9
25,1,8:12.0,Ö. Aşık makes 2-pt dunk at rim (assist by E. Gordon),,4,9
26,1,7:55.0,,B. Lopez makes 2-pt jump shot from 8 ft (assist by D. Williams),4,11
27,1,7:40.0,A. Davis misses 2-pt jump shot from 19 ft,,4,11
28,1,7:39.0,,Defensive rebound by J. Johnson,4,11
29,1,7:36.0,,Shooting foul by A. Davis (drawn by T. Young),4,11
30,1,7:36.0,,T. Young misses free throw 1 of 2,4,11
31,1,7:36.0,,Offensive rebound by Team,4,11
32,1,7:36.0,,T. Young makes free throw 2 of 2,4,12
33,1,7:18.0,E. Gordon misses 3-pt jump shot from 25 ft,,4,12
34,1,7:17.0,,Defensive rebound by M. Brown,4,12
35,1,7:02.0,,Turnover by T. Young (bad pass; steal by Ö. Aşık),4,12
36,1,6:55.0,Q. Pondexter misses 3-pt jump shot from 23 ft,,4,12
37,1,6:54.0,,Defensive rebound by T. Young,4,12
38,1,6:32.0,,B. Lopez makes 2-pt layup from 1 ft (assist by J. Johnson),4,14
39,1,6:11.0,Q. Pondexter misses 2-pt jump shot from 19 ft,,4,14
40,1,6:10.0,,Defensive rebound by D. Williams,4,14
41,1,5:55.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by T. Young),4,17
42,1,5:39.0,N. Cole makes 2-pt jump shot from 20 ft (assist by A. Davis),,6,17
43,1,5:27.0,,Turnover by J. Johnson (bad pass; steal by N. Cole),6,17
44,1,5:23.0,N. Cole makes 2-pt layup from 1 ft,,8,17
45,1,5:05.0,,Shooting foul by N. Cole (drawn by D. Williams),8,17
46,1,5:05.0,,D. Williams makes free throw 1 of 2,8,18
47,1,5:05.0,D. Cunningham enters the game for Q. Pondexter,,8,18
48,1,5:05.0,,D. Williams makes free throw 2 of 2,8,19
49,1,4:50.0,N. Cole makes 3-pt jump shot from 24 ft (assist by E. Gordon),,11,19
50,1,4:32.0,,B. Lopez makes 2-pt dunk at rim (assist by J. Johnson),11,21
51,1,4:14.0,A. Davis misses 2-pt jump shot from 6 ft,,11,21
52,1,4:13.0,,Defensive rebound by J. Johnson,11,21
53,1,4:02.0,,Turnover by J. Johnson (bad pass; steal by N. Cole),11,21
54,1,3:50.0,Personal block foul by T. Young (drawn by N. Cole),,11,21
55,1,3:47.0,Personal foul by M. Brown (drawn by E. Gordon),,11,21
56,1,3:40.0,E. Gordon misses 2-pt jump shot from 6 ft,,11,21
57,1,3:39.0,,Defensive rebound by T. Young,11,21
58,1,3:24.0,,B. Lopez makes 2-pt layup from 3 ft (assist by D. Williams),11,23
59,1,3:08.0,Turnover by N. Cole (bad pass; steal by M. Brown),,11,23
60,1,3:02.0,,Personal foul by N. Cole (drawn by D. Williams),11,23
61,1,3:02.0,,B. Bogdanović enters the game for M. Brown,11,23
62,1,3:02.0,A. Ajinça enters the game for Ö. Aşık,,11,23
63,1,3:02.0,,Brooklyn full timeout,11,23
64,1,3:02.0,E. Williams enters the game for N. Cole,,11,23
65,1,2:48.0,,B. Lopez makes 2-pt jump shot from 16 ft (assist by T. Young),11,25
66,1,2:27.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by A. Davis),,14,25
67,1,2:00.0,,J. Johnson misses 2-pt jump shot from 17 ft,14,25
68,1,1:58.0,Defensive rebound by Team,,14,25
69,1,1:58.0,,J. Jack enters the game for D. Williams,14,25
70,1,1:47.0,Shooting foul by B. Bogdanović (drawn by A. Davis),,14,25
71,1,1:47.0,A. Davis makes free throw 1 of 2,,15,25
72,1,1:47.0,A. Davis makes free throw 2 of 2,,16,25
73,1,1:29.0,,T. Young misses 2-pt jump shot from 16 ft,16,25
74,1,1:28.0,Defensive rebound by E. Gordon,,16,25
75,1,1:22.0,Personal foul by B. Bogdanović (drawn by E. Gordon),,16,25
76,1,1:22.0,E. Gordon misses free throw 1 of 2,,16,25
77,1,1:22.0,Offensive rebound by Team,,16,25
78,1,1:22.0,,A. Anderson enters the game for B. Bogdanović,16,25
79,1,1:22.0,E. Gordon makes free throw 2 of 2,,17,25
80,1,1:02.0,,Turnover by A. Anderson (bad pass; steal by A. Ajinça),17,25
81,1,0:58.0,D. Cunningham makes 2-pt layup from 2 ft (assist by E. Gordon),,19,25
82,1,0:47.0,,T. Young misses 2-pt layup at rim (block by A. Davis),19,25
83,1,0:45.0,,Offensive rebound by T. Young,19,25
84,1,0:42.0,,J. Johnson misses 3-pt jump shot from 23 ft,19,25
