,QUARTER,TIME_REMAINING,NEW YORK_ACTION,NEW ORLEANS_ACTION,NEW YORK_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,J. Holiday misses 2-pt jump shot from 12 ft,0,0
1,1,11:41.0,Defensive rebound by A. Stoudemire,,0,0
2,1,11:20.0,Turnover by J. Calderón (lost ball; steal by J. Holiday),,0,0
3,1,11:19.0,,Turnover by T. Evans (traveling),0,0
4,1,10:57.0,A. Stoudemire misses 2-pt jump shot from 18 ft,,0,0
5,1,10:55.0,,Defensive rebound by A. Davis,0,0
6,1,10:44.0,,L. Babbitt makes 3-pt jump shot from 23 ft (assist by T. Evans),0,3
7,1,10:31.0,Personal foul by T. Evans (drawn by I. Shumpert),,0,3
8,1,10:23.0,I. Shumpert misses 2-pt jump shot from 14 ft,,0,3
9,1,10:20.0,Offensive rebound by J. Calderón,,0,3
10,1,10:16.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by J. Calderón),,3,3
11,1,9:58.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by T. Evans),3,6
12,1,9:42.0,C. Anthony misses 2-pt jump shot from 11 ft,,3,6
13,1,9:40.0,,Defensive rebound by Ö. Aşık,3,6
14,1,9:37.0,,Turnover by T. Evans (lost ball; steal by I. Shumpert),3,6
15,1,9:25.0,A. Stoudemire makes 2-pt hook shot from 7 ft,,5,6
16,1,9:18.0,,A. Davis misses 2-pt jump shot from 5 ft,5,6
17,1,9:16.0,Defensive rebound by A. Stoudemire,,5,6
18,1,8:59.0,Turnover by A. Stoudemire (lost ball; steal by J. Holiday),,5,6
19,1,8:53.0,,T. Evans makes 2-pt layup from 2 ft (assist by J. Holiday),5,8
20,1,8:41.0,A. Stoudemire makes 2-pt layup from 1 ft,,7,8
21,1,8:28.0,,A. Davis misses 2-pt jump shot from 19 ft,7,8
22,1,8:27.0,Defensive rebound by I. Shumpert,,7,8
23,1,8:14.0,A. Stoudemire misses 2-pt layup from 2 ft,,7,8
24,1,8:13.0,,Defensive rebound by L. Babbitt,7,8
25,1,8:05.0,,T. Evans makes 2-pt layup from 1 ft,7,10
26,1,7:52.0,I. Shumpert makes 2-pt jump shot from 14 ft (assist by Q. Acy),,9,10
27,1,7:31.0,,L. Babbitt misses 3-pt jump shot from 23 ft,9,10
28,1,7:30.0,Defensive rebound by Team,,9,10
29,1,7:15.0,A. Stoudemire misses 2-pt jump shot from 3 ft (block by Ö. Aşık),,9,10
30,1,7:15.0,Offensive rebound by Team,,9,10
31,1,7:12.0,I. Shumpert misses 2-pt jump shot from 14 ft,,9,10
32,1,7:11.0,,Defensive rebound by Ö. Aşık,9,10
33,1,7:02.0,,Turnover by T. Evans (bad pass; steal by J. Calderón),9,10
34,1,6:57.0,Q. Acy makes 2-pt layup from 2 ft (assist by J. Calderón),,11,10
35,1,6:57.0,,New Orleans full timeout,11,10
36,1,6:34.0,,T. Evans misses 3-pt jump shot from 24 ft,11,10
37,1,6:33.0,Defensive rebound by C. Anthony,,11,10
38,1,6:18.0,A. Stoudemire misses 2-pt layup from 2 ft,,11,10
39,1,6:17.0,,Defensive rebound by Ö. Aşık,11,10
40,1,6:05.0,,T. Evans makes 3-pt jump shot from 24 ft (assist by J. Holiday),11,13
41,1,5:53.0,C. Anthony misses 3-pt jump shot from 24 ft,,11,13
42,1,5:52.0,,Defensive rebound by T. Evans,11,13
43,1,5:39.0,,Shooting foul by J. Calderón (drawn by Ö. Aşık),11,13
44,1,5:39.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by T. Evans),11,15
45,1,5:39.0,C. Aldrich enters the game for A. Stoudemire,,11,15
46,1,5:39.0,,Ö. Aşık makes free throw 1 of 1,11,16
47,1,5:25.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,14,16
48,1,5:03.0,,A. Davis misses 2-pt jump shot from 14 ft,14,16
49,1,5:01.0,,Offensive rebound by T. Evans,14,16
50,1,4:58.0,,T. Evans makes 2-pt layup from 2 ft,14,18
51,1,4:43.0,C. Anthony makes 2-pt jump shot from 21 ft,,16,18
52,1,4:21.0,,J. Holiday makes 2-pt layup from 1 ft,16,20
53,1,4:06.0,I. Shumpert misses 2-pt jump shot from 12 ft,,16,20
54,1,4:05.0,,Defensive rebound by A. Davis,16,20
55,1,4:05.0,,Personal foul by C. Aldrich (drawn by A. Davis),16,20
56,1,4:05.0,J. Smith enters the game for Q. Acy,,16,20
57,1,3:53.0,,A. Davis misses 2-pt jump shot from 16 ft,16,20
58,1,3:52.0,Defensive rebound by I. Shumpert,,16,20
59,1,3:38.0,J. Calderón misses 2-pt jump shot from 15 ft,,16,20
60,1,3:37.0,,Defensive rebound by A. Davis,16,20
61,1,3:27.0,,L. Babbitt misses 3-pt jump shot from 24 ft,16,20
62,1,3:26.0,,Offensive rebound by Ö. Aşık,16,20
63,1,3:23.0,,Ö. Aşık misses 2-pt layup from 1 ft (block by C. Aldrich),16,20
64,1,3:21.0,Defensive rebound by I. Shumpert,,16,20
65,1,3:19.0,Personal foul by J. Holiday (drawn by I. Shumpert),,16,20
66,1,3:19.0,J. Smith enters the game for I. Shumpert,,16,20
67,1,3:19.0,,R. Anderson enters the game for Ö. Aşık,16,20
68,1,3:19.0,,A. Rivers enters the game for T. Evans,16,20
69,1,3:00.0,C. Aldrich misses 2-pt jump shot from 6 ft (block by A. Davis),,16,20
70,1,2:57.0,Offensive rebound by C. Aldrich,,16,20
71,1,2:54.0,C. Aldrich makes 2-pt jump shot from 2 ft,,18,20
72,1,2:43.0,,Turnover by A. Rivers (bad pass; steal by J. Calderón),18,20
73,1,2:38.0,J. Smith makes 2-pt layup from 1 ft (assist by J. Calderón),,20,20
74,1,2:25.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),20,22
75,1,2:05.0,C. Anthony misses 3-pt jump shot from 25 ft,,20,22
76,1,2:03.0,Offensive rebound by J. Smith,,20,22
77,1,2:00.0,J. Smith makes 3-pt jump shot from 24 ft,,23,22
78,1,1:45.0,,Shooting foul by C. Aldrich (drawn by R. Anderson),23,22
79,1,1:45.0,New York full timeout,,23,22
80,1,1:45.0,,D. Cunningham enters the game for L. Babbitt,23,22
81,1,1:45.0,Q. Acy enters the game for J. Calderón,,23,22
82,1,1:45.0,P. Prigioni enters the game for C. Aldrich,,23,22
83,1,1:45.0,,A. Davis makes free throw 1 of 2,23,23
84,1,1:45.0,,A. Davis makes free throw 2 of 2,23,24
85,1,1:25.0,J. Smith misses 2-pt jump shot from 5 ft,,23,24
86,1,1:23.0,,Defensive rebound by R. Anderson,23,24
87,1,1:23.0,,Personal foul by P. Prigioni (drawn by R. Anderson),23,24
88,1,1:23.0,,R. Anderson makes free throw 1 of 2,23,25
89,1,1:23.0,,G. Mekel enters the game for J. Holiday,23,25
90,1,1:23.0,,R. Anderson makes free throw 2 of 2,23,26
91,1,1:00.0,Q. Acy makes 2-pt jump shot from 20 ft (assist by P. Prigioni),,25,26
92,1,0:45.0,,A. Rivers makes 2-pt jump shot from 5 ft (assist by R. Anderson),25,28
93,1,0:31.0,J. Smith misses 3-pt jump shot from 25 ft,,25,28
94,1,0:29.0,,Defensive rebound by D. Cunningham,25,28
95,1,0:23.0,,A. Davis misses 2-pt layup from 1 ft,25,28
96,1,0:21.0,Defensive rebound by P. Prigioni,,25,28
97,1,0:01.0,J. Smith misses 2-pt jump shot from 19 ft,,25,28
98,1,0:00.0,Offensive rebound by J. Smith,,25,28
99,1,0:00.0,J. Smith makes 2-pt layup from 19 ft,,27,28
100,2,11:43.0,A. Stoudemire makes 2-pt dunk at rim (assist by P. Prigioni),,29,28
101,2,11:26.0,,R. Anderson misses 2-pt jump shot from 17 ft,29,28
102,2,11:24.0,Defensive rebound by J. Smith,,29,28
103,2,11:14.0,J. Smith makes 2-pt jump shot from 9 ft,,31,28
104,2,11:06.0,,D. Cunningham makes 2-pt jump shot from 20 ft (assist by R. Anderson),31,30
105,2,10:49.0,A. Stoudemire makes 2-pt dunk at rim (assist by J. Smith),,33,30
106,2,10:29.0,,R. Anderson makes 2-pt jump shot from 21 ft (assist by D. Cunningham),33,32
107,2,10:11.0,J. Smith misses 2-pt layup from 1 ft (block by R. Anderson),,33,32
108,2,10:10.0,,Defensive rebound by A. Ajinça,33,32
109,2,10:10.0,Loose ball foul by A. Stoudemire (drawn by A. Ajinça),,33,32
110,2,9:53.0,,A. Ajinça makes 2-pt layup from 1 ft (assist by G. Mekel),33,34
111,2,9:42.0,J. Smith misses 2-pt jump shot from 19 ft,,33,34
112,2,9:40.0,,Defensive rebound by Team,33,34
113,2,9:36.0,,Turnover by D. Cunningham (bad pass; steal by P. Prigioni),33,34
114,2,9:19.0,A. Stoudemire makes 2-pt layup from 2 ft (assist by T. Hardaway),,35,34
115,2,8:58.0,,G. Mekel misses 2-pt jump shot from 13 ft,35,34
116,2,8:58.0,,Offensive rebound by Team,35,34
117,2,8:58.0,Loose ball foul by J. Smith (drawn by R. Anderson),,35,34
118,2,8:58.0,Official timeout,,35,34
119,2,8:48.0,,Turnover by R. Anderson (bad pass; steal by T. Hardaway),35,34
120,2,8:32.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by J. Smith),,38,34
121,2,8:19.0,,Shooting foul by J. Smith (drawn by A. Ajinça),38,34
122,2,8:19.0,,A. Ajinça makes free throw 1 of 2,38,35
123,2,8:19.0,,A. Ajinça makes free throw 2 of 2,38,36
