,QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
0,1,11:33.0,,D. Exum makes 2-pt jump shot from 21 ft,0,2
1,1,11:18.0,Turnover by J. Harden (bad pass; steal by R. Hood),,0,2
2,1,11:12.0,,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),0,4
3,1,11:05.0,T. Ariza misses 2-pt layup from 2 ft (block by D. Favors),,0,4
4,1,11:03.0,Offensive rebound by T. Ariza,,0,4
5,1,10:59.0,D. Motiejūnas misses 3-pt jump shot from 25 ft,,0,4
6,1,10:57.0,,Defensive rebound by R. Gobert,0,4
7,1,10:43.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by D. Favors),0,7
8,1,10:25.0,D. Motiejūnas misses 2-pt hook shot from 5 ft,,0,7
9,1,10:23.0,Offensive rebound by T. Jones,,0,7
10,1,10:12.0,J. Harden misses 2-pt layup from 3 ft (block by D. Favors),,0,7
11,1,10:12.0,Offensive rebound by Team,,0,7
12,1,10:07.0,T. Jones misses 2-pt jump shot from 7 ft,,0,7
13,1,10:06.0,,Defensive rebound by R. Gobert,0,7
14,1,9:53.0,,D. Favors misses 2-pt jump shot from 15 ft,0,7
15,1,9:51.0,Defensive rebound by T. Jones,,0,7
16,1,9:32.0,T. Jones makes 2-pt jump shot from 4 ft,,2,7
17,1,9:06.0,,D. Favors makes 2-pt hook shot from 1 ft (assist by R. Hood),2,9
18,1,8:45.0,P. Beverley makes 2-pt jump shot from 5 ft,,4,9
19,1,8:38.0,,Turnover by D. Exum (step out of bounds),4,9
20,1,8:26.0,T. Ariza misses 3-pt jump shot from 24 ft,,4,9
21,1,8:24.0,,Defensive rebound by Team,4,9
22,1,8:24.0,Loose ball foul by D. Motiejūnas (drawn by R. Gobert),,4,9
23,1,8:10.0,,G. Hayward misses 3-pt jump shot from 24 ft,4,9
24,1,8:09.0,Defensive rebound by T. Jones,,4,9
25,1,8:02.0,T. Jones misses 2-pt jump shot from 6 ft (block by R. Gobert),,4,9
26,1,8:01.0,,Defensive rebound by G. Hayward,4,9
27,1,7:52.0,,R. Hood misses 3-pt jump shot from 23 ft,4,9
28,1,7:50.0,,Offensive rebound by D. Favors,4,9
29,1,7:44.0,,G. Hayward makes 2-pt dunk at rim,4,11
30,1,7:43.0,Houston full timeout,,4,11
31,1,7:31.0,D. Motiejūnas makes 2-pt jump shot from 12 ft (assist by P. Beverley),,6,11
32,1,7:08.0,,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),6,13
