,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
0,1,11:42.0,Turnover by M. Ellis (bad pass; steal by R. Lopez),,0,0
1,1,11:30.0,,Turnover by W. Matthews (bad pass),0,0
2,1,11:16.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,0,0
3,1,11:15.0,,Defensive rebound by N. Batum,0,0
4,1,11:09.0,,W. Matthews misses 3-pt jump shot from 24 ft,0,0
5,1,11:08.0,,Offensive rebound by Team,0,0
6,1,11:05.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by N. Batum),0,2
7,1,10:48.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by R. Rondo),,2,2
8,1,10:30.0,,N. Batum misses 2-pt jump shot from 11 ft,2,2
9,1,10:27.0,Defensive rebound by T. Chandler,,2,2
10,1,10:24.0,R. Jefferson makes 2-pt dunk at rim (assist by M. Ellis),,4,2
11,1,10:01.0,,R. Lopez misses 2-pt hook shot from 10 ft,4,2
12,1,10:00.0,Defensive rebound by T. Chandler,,4,2
13,1,9:53.0,R. Rondo makes 2-pt layup from 2 ft,,6,2
14,1,9:39.0,Violation by D. Nowitzki (kicked ball),,6,2
15,1,9:30.0,,N. Batum misses 3-pt jump shot from 25 ft,6,2
16,1,9:30.0,Defensive rebound by T. Chandler,,6,2
17,1,9:21.0,M. Ellis makes 2-pt jump shot from 18 ft,,8,2
18,1,9:05.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by N. Batum),8,4
19,1,8:54.0,Shooting foul by R. Lopez (drawn by T. Chandler),,8,4
20,1,8:54.0,T. Chandler makes free throw 1 of 2,,9,4
21,1,8:54.0,T. Chandler makes free throw 2 of 2,,10,4
22,1,8:39.0,,R. Lopez makes 2-pt layup from 1 ft (assist by W. Matthews),10,6
23,1,8:27.0,Turnover by R. Rondo (bad pass; steal by W. Matthews),,10,6
24,1,8:18.0,,L. Aldridge makes 3-pt jump shot from 25 ft (assist by W. Matthews),10,9
25,1,8:00.0,M. Ellis misses 2-pt jump shot from 16 ft,,10,9
26,1,7:59.0,,Defensive rebound by N. Batum,10,9
27,1,7:49.0,,N. Batum misses 3-pt jump shot from 24 ft,10,9
28,1,7:47.0,Defensive rebound by R. Jefferson,,10,9
29,1,7:41.0,Turnover by M. Ellis (bad pass; steal by W. Matthews),,10,9
30,1,7:24.0,,W. Matthews misses 3-pt jump shot from 26 ft,10,9
31,1,7:22.0,,Offensive rebound by R. Lopez,10,9
32,1,7:22.0,,R. Lopez makes 2-pt dunk at rim,10,11
33,1,7:05.0,R. Rondo misses 2-pt hook shot from 5 ft,,10,11
34,1,7:03.0,,Defensive rebound by L. Aldridge,10,11
35,1,6:56.0,,L. Aldridge misses 3-pt jump shot from 26 ft,10,11
36,1,6:55.0,Defensive rebound by D. Nowitzki,,10,11
37,1,6:48.0,,Loose ball foul by N. Batum (drawn by M. Ellis),10,11
38,1,6:42.0,M. Ellis misses 2-pt jump shot from 18 ft,,10,11
39,1,6:41.0,,Defensive rebound by N. Batum,10,11
40,1,6:38.0,,Turnover by N. Batum (bad pass; steal by M. Ellis),10,11
41,1,6:31.0,T. Chandler makes 2-pt dunk at rim (assist by R. Rondo),,12,11
42,1,6:15.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),12,13
43,1,5:54.0,M. Ellis misses 2-pt jump shot from 6 ft,,12,13
44,1,5:53.0,,Defensive rebound by R. Lopez,12,13
45,1,5:44.0,,Turnover by D. Lillard (bad pass; steal by M. Ellis),12,13
46,1,5:38.0,,Portland full timeout,12,13
47,1,5:38.0,,A. Afflalo enters the game for W. Matthews,12,13
48,1,5:38.0,A. Aminu enters the game for D. Nowitzki,,12,13
49,1,5:23.0,R. Rondo misses 2-pt layup from 1 ft (block by R. Lopez),,12,13
50,1,5:21.0,,Defensive rebound by D. Lillard,12,13
51,1,5:15.0,,N. Batum misses 2-pt jump shot from 15 ft,12,13
52,1,5:13.0,Defensive rebound by T. Chandler,,12,13
53,1,5:06.0,M. Ellis makes 2-pt layup from 1 ft (assist by R. Rondo),,14,13
