,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA LAKERS_ACTION,CLEVELAND_SCORE,LA LAKERS_SCORE
0,1,11:45.0,T. Mozgov misses 2-pt layup from 2 ft (block by J. Hill),,0,0
1,1,11:41.0,Offensive rebound by K. Irving,,0,0
2,1,11:41.0,K. Irving makes 2-pt tip-in at rim,,2,0
3,1,11:27.0,,K. Bryant misses 3-pt jump shot from 25 ft,2,0
4,1,11:25.0,Defensive rebound by K. Love,,2,0
5,1,11:11.0,Turnover by K. Irving (bad pass; steal by J. Hill),,2,0
6,1,11:03.0,,R. Price misses 3-pt jump shot from 23 ft,2,0
7,1,11:01.0,Defensive rebound by K. Love,,2,0
8,1,10:43.0,L. James misses 3-pt jump shot from 28 ft,,2,0
9,1,10:41.0,Offensive rebound by K. Love,,2,0
10,1,10:36.0,K. Love makes 2-pt jump shot from 14 ft (assist by J. Smith),,4,0
11,1,10:12.0,,J. Hill misses 2-pt hook shot from 9 ft,4,0
12,1,10:11.0,Defensive rebound by T. Mozgov,,4,0
13,1,10:04.0,K. Love misses 3-pt jump shot from 24 ft,,4,0
14,1,10:01.0,,Defensive rebound by K. Bryant,4,0
15,1,9:56.0,,W. Johnson misses 3-pt jump shot from 23 ft,4,0
16,1,9:54.0,Defensive rebound by K. Love,,4,0
17,1,9:49.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,6,0
18,1,9:30.0,,K. Bryant makes 2-pt jump shot from 20 ft (assist by W. Johnson),6,2
19,1,9:08.0,J. Smith makes 3-pt jump shot from 26 ft,,9,2
20,1,8:56.0,,J. Hill makes 2-pt layup from 1 ft (assist by K. Bryant),9,4
21,1,8:44.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Irving),,12,4
22,1,8:26.0,,Turnover by E. Davis (lost ball; steal by L. James),12,4
23,1,8:20.0,K. Irving makes 2-pt layup from 1 ft (assist by K. Love),,14,4
24,1,8:03.0,,J. Hill makes 2-pt jump shot from 16 ft (assist by W. Johnson),14,6
25,1,7:49.0,Shooting foul by J. Hill (drawn by K. Love),,14,6
26,1,7:49.0,K. Love makes 2-pt hook shot from 7 ft,,16,6
27,1,7:49.0,K. Love makes free throw 1 of 1,,17,6
28,1,7:28.0,,J. Hill makes 2-pt jump shot from 10 ft (assist by K. Bryant),17,8
29,1,7:03.0,L. James makes 2-pt layup from 1 ft,,19,8
30,1,6:46.0,,J. Hill makes 2-pt jump shot from 18 ft (assist by K. Bryant),19,10
31,1,6:35.0,Turnover by K. Irving (bad pass; steal by J. Hill),,19,10
32,1,6:26.0,,W. Johnson makes 3-pt jump shot from 22 ft (assist by K. Bryant),19,13
33,1,6:04.0,Shooting foul by E. Davis (drawn by K. Love),,19,13
34,1,6:04.0,K. Love makes free throw 1 of 2,,20,13
35,1,6:04.0,K. Love makes free throw 2 of 2,,21,13
36,1,5:41.0,,E. Davis misses 2-pt layup from 2 ft,21,13
37,1,5:38.0,,Offensive rebound by E. Davis,21,13
38,1,5:38.0,,Shooting foul by T. Mozgov (drawn by E. Davis),21,13
39,1,5:38.0,,LA Lakers full timeout,21,13
40,1,5:38.0,,E. Davis misses free throw 1 of 2,21,13
41,1,5:38.0,,Offensive rebound by Team,21,13
42,1,5:38.0,,E. Davis misses free throw 2 of 2,21,13
43,1,5:33.0,,Offensive rebound by K. Bryant,21,13
44,1,5:23.0,,J. Hill makes 2-pt jump shot from 11 ft (assist by K. Bryant),21,15
45,1,5:12.0,T. Mozgov misses 2-pt layup at rim,,21,15
46,1,5:10.0,Offensive rebound by L. James,,21,15
47,1,5:05.0,K. Love misses 3-pt jump shot from 24 ft,,21,15
48,1,5:03.0,,Defensive rebound by R. Price,21,15
49,1,4:56.0,,W. Johnson misses 3-pt jump shot from 25 ft,21,15
50,1,4:54.0,Defensive rebound by K. Love,,21,15
51,1,4:50.0,Personal foul by R. Price (drawn by L. James),,21,15
52,1,4:50.0,S. Marion enters the game for L. James,,21,15
53,1,4:50.0,,C. Boozer enters the game for E. Davis,21,15
54,1,4:50.0,,T. Black enters the game for J. Hill,21,15
55,1,4:50.0,T. Thompson enters the game for T. Mozgov,,21,15
56,1,4:42.0,J. Smith misses 3-pt jump shot from 22 ft,,21,15
57,1,4:42.0,Offensive rebound by Team,,21,15
58,1,4:42.0,,Loose ball foul by T. Black (drawn by T. Thompson),21,15
59,1,4:28.0,K. Irving misses 3-pt jump shot from 25 ft,,21,15
60,1,4:26.0,,Defensive rebound by W. Johnson,21,15
61,1,4:09.0,,C. Boozer makes 2-pt jump shot from 15 ft (assist by K. Bryant),21,17
62,1,3:47.0,K. Love misses 2-pt jump shot from 3 ft,,21,17
63,1,3:46.0,,Defensive rebound by T. Black,21,17
64,1,3:41.0,,Turnover by K. Bryant (bad pass; steal by S. Marion),21,17
65,1,3:36.0,Turnover by K. Irving (bad pass; steal by R. Price),,21,17
66,1,3:31.0,,Shooting foul by K. Irving (drawn by R. Price),21,17
67,1,3:31.0,,R. Price makes free throw 1 of 2,21,18
68,1,3:31.0,,R. Kelly enters the game for W. Johnson,21,18
69,1,3:31.0,,R. Price makes free throw 2 of 2,21,19
70,1,3:12.0,K. Love misses 2-pt jump shot from 21 ft,,21,19
71,1,3:11.0,,Defensive rebound by K. Bryant,21,19
72,1,3:04.0,,K. Bryant makes 2-pt jump shot from 22 ft,21,21
73,1,3:02.0,Cleveland full timeout,,21,21
74,1,3:02.0,T. Mozgov enters the game for K. Love,,21,21
75,1,2:44.0,K. Irving misses 2-pt layup from 2 ft,,21,21
76,1,2:42.0,,Defensive rebound by T. Black,21,21
77,1,2:22.0,,C. Boozer makes 2-pt jump shot from 17 ft (assist by R. Price),21,23
78,1,1:57.0,T. Mozgov makes 2-pt hook shot from 2 ft,,23,23
79,1,1:43.0,,T. Black makes 2-pt layup from 2 ft (assist by K. Bryant),23,25
80,1,1:29.0,J. Smith makes 3-pt jump shot from 24 ft,,26,25
81,1,1:15.0,,K. Bryant makes 3-pt jump shot from 25 ft,26,28
82,1,0:59.0,K. Irving makes 2-pt jump shot from 23 ft (assist by T. Mozgov),,28,28
83,1,0:45.0,,T. Black makes 2-pt hook shot from 2 ft (assist by K. Bryant),28,30
84,1,0:37.0,Personal foul by R. Price (drawn by K. Irving),,28,30
85,1,0:37.0,K. Irving makes free throw 1 of 2,,29,30
86,1,0:37.0,,J. Lin enters the game for R. Price,29,30
