,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,0,0
1,1,11:40.0,,Defensive rebound by Ö. Aşık,0,0
2,1,11:19.0,,Q. Pondexter makes 3-pt jump shot from 25 ft (assist by T. Evans),0,3
3,1,11:04.0,M. Morris misses 2-pt jump shot from 15 ft,,0,3
4,1,11:02.0,,Defensive rebound by Ö. Aşık,0,3
5,1,10:58.0,,Turnover by T. Evans (lost ball; steal by B. Wright),0,3
6,1,10:50.0,M. Morris makes 2-pt jump shot from 18 ft,,2,3
7,1,10:34.0,,T. Evans misses 3-pt jump shot from 22 ft,2,3
8,1,10:33.0,,Offensive rebound by Q. Pondexter,2,3
9,1,10:18.0,,A. Davis misses 2-pt layup from 2 ft,2,3
10,1,10:16.0,Defensive rebound by B. Wright,,2,3
11,1,10:09.0,P. Tucker makes 2-pt jump shot from 17 ft (assist by B. Wright),,4,3
12,1,9:51.0,,Ö. Aşık misses 2-pt dunk at rim (block by B. Wright),4,3
13,1,9:50.0,Defensive rebound by M. Morris,,4,3
14,1,9:46.0,E. Bledsoe misses 2-pt layup from 2 ft,,4,3
15,1,9:45.0,Offensive rebound by M. Morris,,4,3
16,1,9:45.0,M. Morris makes 2-pt dunk at rim,,6,3
17,1,9:21.0,,Q. Pondexter misses 3-pt jump shot from 26 ft,6,3
18,1,9:18.0,,Offensive rebound by A. Davis,6,3
19,1,9:12.0,,A. Davis makes 2-pt layup from 2 ft (assist by T. Evans),6,5
20,1,8:56.0,B. Wright makes 2-pt layup from 2 ft (assist by M. Morris),,8,5
21,1,8:34.0,,T. Evans makes 2-pt layup from 1 ft (assist by A. Davis),8,7
22,1,8:18.0,P. Tucker misses 2-pt jump shot from 14 ft,,8,7
23,1,8:17.0,,Defensive rebound by A. Davis,8,7
24,1,8:08.0,,T. Evans makes 2-pt layup from 1 ft,8,9
25,1,7:51.0,M. Morris makes 2-pt jump shot from 8 ft (assist by E. Bledsoe),,10,9
26,1,7:32.0,,Shooting foul by M. Morris (drawn by A. Davis),10,9
27,1,7:32.0,,A. Davis makes free throw 1 of 2,10,10
28,1,7:32.0,,A. Davis makes free throw 2 of 2,10,11
29,1,7:15.0,Shooting foul by E. Gordon (drawn by E. Bledsoe),,10,11
30,1,7:15.0,E. Bledsoe makes free throw 1 of 2,,11,11
31,1,7:15.0,E. Bledsoe makes free throw 2 of 2,,12,11
32,1,6:53.0,,T. Evans misses 2-pt layup from 1 ft (block by E. Bledsoe),12,11
33,1,6:52.0,Defensive rebound by B. Wright,,12,11
34,1,6:35.0,M. Morris makes 2-pt jump shot from 12 ft (assist by P. Tucker),,14,11
35,1,6:17.0,,Personal foul by P. Tucker (drawn by E. Gordon),14,11
36,1,6:17.0,T. Warren enters the game for M. Morris,,14,11
37,1,6:06.0,,Q. Pondexter misses 2-pt layup from 1 ft,14,11
38,1,6:03.0,Defensive rebound by M. Morris,,14,11
39,1,5:59.0,Phoenix full timeout,,14,11
40,1,5:41.0,P. Tucker misses 2-pt jump shot from 4 ft (block by T. Evans),,14,11
41,1,5:39.0,Offensive rebound by P. Tucker,,14,11
42,1,5:37.0,P. Tucker misses 2-pt jump shot from 6 ft,,14,11
43,1,5:35.0,,Defensive rebound by Ö. Aşık,14,11
44,1,5:26.0,,A. Davis makes 2-pt layup from 2 ft (assist by T. Evans),14,13
45,1,5:26.0,,Shooting foul by M. Morris (drawn by A. Davis),14,13
46,1,5:26.0,,A. Davis makes free throw 1 of 1,14,14
47,1,5:02.0,E. Bledsoe misses 2-pt jump shot from 13 ft (block by E. Gordon),,14,14
48,1,5:01.0,,Defensive rebound by Ö. Aşık,14,14
49,1,4:58.0,,A. Davis makes 2-pt dunk at rim (assist by E. Gordon),14,16
50,1,4:30.0,T. Warren makes 2-pt jump shot from 9 ft (assist by B. Wright),,16,16
51,1,4:10.0,,A. Davis misses 2-pt jump shot from 18 ft,16,16
52,1,4:07.0,Defensive rebound by B. Wright,,16,16
53,1,3:53.0,M. Morris misses 2-pt layup from 1 ft,,16,16
54,1,3:51.0,,Defensive rebound by Ö. Aşık,16,16
55,1,3:41.0,,Shooting foul by B. Wright (drawn by A. Davis),16,16
56,1,3:41.0,,A. Davis misses free throw 1 of 2,16,16
57,1,3:41.0,,Offensive rebound by Team,16,16
58,1,3:41.0,A. Goodwin enters the game for P. Tucker,,16,16
59,1,3:41.0,,D. Cunningham enters the game for Q. Pondexter,16,16
60,1,3:41.0,M. Morris enters the game for M. Morris,,16,16
61,1,3:41.0,,N. Cole enters the game for E. Gordon,16,16
62,1,3:41.0,,A. Davis makes free throw 2 of 2,16,17
63,1,3:19.0,M. Morris misses 2-pt layup from 1 ft (block by D. Cunningham),,16,17
64,1,3:18.0,,Defensive rebound by Ö. Aşık,16,17
65,1,3:10.0,,T. Evans makes 2-pt layup from 2 ft (assist by A. Davis),16,19
66,1,2:48.0,T. Warren misses 2-pt jump shot from 14 ft,,16,19
67,1,2:47.0,,Defensive rebound by D. Cunningham,16,19
68,1,2:41.0,,Shooting foul by M. Morris (drawn by A. Davis),16,19
69,1,2:41.0,,New Orleans full timeout,16,19
70,1,2:41.0,G. Green enters the game for E. Bledsoe,,16,19
71,1,2:41.0,,A. Davis misses free throw 1 of 2,16,19
72,1,2:41.0,,Offensive rebound by Team,16,19
73,1,2:41.0,,A. Davis makes free throw 2 of 2,16,20
74,1,2:20.0,B. Wright makes 2-pt layup from 2 ft,,18,20
75,1,2:00.0,,N. Cole makes 2-pt jump shot from 20 ft,18,22
76,1,1:38.0,G. Green misses 3-pt jump shot from 26 ft,,18,22
77,1,1:36.0,Offensive rebound by T. Warren,,18,22
78,1,1:30.0,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Goodwin),,21,22
79,1,1:08.0,,T. Evans misses 2-pt jump shot from 8 ft,21,22
80,1,1:07.0,,Offensive rebound by Ö. Aşık,21,22
81,1,1:06.0,,Ö. Aşık misses 2-pt layup from 3 ft,21,22
82,1,1:05.0,,Offensive rebound by Ö. Aşık,21,22
83,1,1:05.0,,Shooting foul by M. Morris (drawn by Ö. Aşık),21,22
84,1,1:05.0,,Ö. Aşık makes free throw 1 of 2,21,23
85,1,1:05.0,,J. Holiday enters the game for T. Evans,21,23
86,1,1:05.0,E. Barron enters the game for B. Wright,,21,23
87,1,1:05.0,,Ö. Aşık misses free throw 2 of 2,21,23
88,1,1:04.0,Defensive rebound by E. Barron,,21,23
89,1,0:47.0,E. Barron misses 2-pt jump shot from 21 ft,,21,23
90,1,0:46.0,,Defensive rebound by Ö. Aşık,21,23
91,1,0:37.0,,N. Cole makes 2-pt jump shot from 20 ft (assist by Ö. Aşık),21,25
92,1,0:25.0,A. Goodwin misses 2-pt layup from 1 ft (block by A. Davis),,21,25
93,1,0:24.0,,Defensive rebound by A. Davis,21,25
94,1,0:17.0,,A. Davis makes 2-pt layup at rim (assist by J. Holiday),21,27
