,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,,K. Thompson misses 2-pt jump shot from 18 ft,0,0
1,1,11:46.0,Defensive rebound by J. Nurkić,,0,0
2,1,11:26.0,W. Chandler misses 3-pt jump shot from 25 ft,,0,0
3,1,11:24.0,,Defensive rebound by A. Bogut,0,0
4,1,11:16.0,,Turnover by D. Green (lost ball; steal by W. Chandler),0,0
5,1,11:07.0,Turnover by J. Nurkić (step out of bounds),,0,0
6,1,11:04.0,,Turnover by S. Curry (bad pass),0,0
7,1,10:47.0,G. Harris misses 2-pt jump shot from 15 ft,,0,0
8,1,10:46.0,,Defensive rebound by H. Barnes,0,0
9,1,10:39.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),0,3
10,1,10:20.0,Turnover by J. Nurkić (bad pass; steal by S. Curry),,0,3
11,1,10:15.0,,S. Curry misses 2-pt jump shot from 5 ft,0,3
12,1,10:13.0,,Offensive rebound by H. Barnes,0,3
13,1,10:13.0,,H. Barnes makes 2-pt tip-in from 1 ft,0,5
14,1,9:56.0,T. Lawson misses 2-pt jump shot from 13 ft,,0,5
15,1,9:55.0,Offensive rebound by J. Nurkić,,0,5
16,1,9:53.0,J. Nurkić misses 2-pt jump shot from 6 ft (block by A. Bogut),,0,5
17,1,9:52.0,Offensive rebound by J. Nurkić,,0,5
18,1,9:52.0,Shooting foul by A. Bogut (drawn by J. Nurkić),,0,5
19,1,9:52.0,J. Nurkić misses free throw 1 of 2,,0,5
20,1,9:52.0,Offensive rebound by Team,,0,5
21,1,9:52.0,J. Nurkić makes free throw 2 of 2,,1,5
22,1,9:41.0,,K. Thompson misses 3-pt jump shot from 26 ft,1,5
23,1,9:40.0,Defensive rebound by D. Gallinari,,1,5
24,1,9:33.0,D. Gallinari makes 2-pt jump shot from 19 ft,,3,5
25,1,9:18.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by S. Curry),3,8
26,1,9:00.0,W. Chandler misses 3-pt jump shot from 26 ft,,3,8
27,1,8:59.0,Offensive rebound by Team,,3,8
28,1,8:41.0,D. Gallinari makes 2-pt hook shot from 6 ft,,5,8
29,1,8:30.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by S. Curry),5,11
30,1,8:21.0,,Violation by A. Bogut (kicked ball),5,11
31,1,8:14.0,D. Gallinari misses 2-pt jump shot from 17 ft,,5,11
32,1,8:13.0,,Defensive rebound by K. Thompson,5,11
33,1,8:00.0,,K. Thompson makes 2-pt layup from 1 ft (assist by A. Bogut),5,13
34,1,7:43.0,J. Nurkić makes 2-pt jump shot from 8 ft (assist by T. Lawson),,7,13
35,1,7:33.0,,K. Thompson misses 3-pt jump shot from 23 ft,7,13
36,1,7:32.0,,Offensive rebound by S. Curry,7,13
37,1,7:27.0,,S. Curry makes 2-pt jump shot from 11 ft,7,15
38,1,7:12.0,Shooting foul by H. Barnes (drawn by J. Nurkić),,7,15
39,1,7:12.0,J. Nurkić makes 2-pt layup from 1 ft (assist by T. Lawson),,9,15
40,1,7:12.0,J. Nurkić makes free throw 1 of 1,,10,15
41,1,6:57.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by A. Bogut),10,18
42,1,6:49.0,Denver full timeout,,10,18
43,1,6:43.0,Offensive foul by G. Harris (drawn by A. Bogut),,10,18
44,1,6:43.0,Turnover by G. Harris (offensive foul),,10,18
45,1,6:23.0,,D. Green makes 2-pt jump shot from 17 ft (assist by A. Bogut),10,20
46,1,6:18.0,Turnover by T. Lawson (bad pass; steal by S. Curry),,10,20
47,1,6:14.0,,S. Curry misses 2-pt jump shot from 22 ft,10,20
48,1,6:12.0,Defensive rebound by D. Gallinari,,10,20
49,1,5:59.0,W. Chandler misses 2-pt jump shot from 9 ft,,10,20
50,1,5:58.0,,Defensive rebound by D. Green,10,20
51,1,5:42.0,,K. Thompson makes 2-pt jump shot from 16 ft,10,22
52,1,5:30.0,T. Lawson makes 2-pt layup from 1 ft,,12,22
53,1,5:16.0,,D. Green misses 3-pt jump shot from 26 ft,12,22
54,1,5:15.0,Defensive rebound by J. Nurkić,,12,22
55,1,5:05.0,T. Lawson misses 3-pt jump shot from 26 ft,,12,22
56,1,5:03.0,,Defensive rebound by H. Barnes,12,22
57,1,4:54.0,,H. Barnes misses 2-pt jump shot from 18 ft,12,22
58,1,4:53.0,Defensive rebound by J. Nurkić,,12,22
