,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MINNESOTA_ACTION,CHICAGO_SCORE,MINNESOTA_SCORE
0,1,11:43.0,P. Gasol misses 2-pt layup from 2 ft,,0,0
1,1,11:42.0,,Defensive rebound by N. Peković,0,0
2,1,11:31.0,,T. Young makes 2-pt jump shot from 3 ft,0,2
3,1,11:05.0,Shooting foul by A. Wiggins (drawn by J. Butler),,0,2
4,1,11:05.0,J. Butler makes free throw 1 of 2,,1,2
5,1,11:05.0,J. Butler misses free throw 2 of 2,,1,2
6,1,11:04.0,,Defensive rebound by A. Wiggins,1,2
7,1,10:49.0,,A. Wiggins misses 3-pt jump shot from 24 ft,1,2
8,1,10:47.0,Defensive rebound by P. Gasol,,1,2
9,1,10:34.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,1,2
10,1,10:33.0,,Defensive rebound by R. Rubio,1,2
11,1,10:25.0,,N. Peković misses 2-pt layup from 1 ft (block by P. Gasol),1,2
12,1,10:24.0,Defensive rebound by Team,,1,2
13,1,10:07.0,J. Butler makes 2-pt layup at rim,,3,2
14,1,10:07.0,Shooting foul by R. Rubio (drawn by J. Butler),,3,2
15,1,10:07.0,J. Butler makes free throw 1 of 1,,4,2
16,1,9:57.0,,R. Rubio makes 2-pt layup at rim (assist by N. Peković),4,4
17,1,9:50.0,K. Hinrich makes 2-pt jump shot from 10 ft,,6,4
18,1,9:31.0,,N. Peković makes 2-pt layup from 2 ft (assist by R. Rubio),6,6
19,1,9:11.0,J. Butler makes 2-pt jump shot from 15 ft (assist by P. Gasol),,8,6
20,1,8:57.0,,K. Martin makes 2-pt jump shot from 19 ft (assist by R. Rubio),8,8
21,1,8:39.0,K. Hinrich misses 3-pt jump shot from 23 ft,,8,8
22,1,8:38.0,,Defensive rebound by T. Young,8,8
23,1,8:29.0,,T. Young misses 2-pt jump shot from 17 ft,8,8
24,1,8:28.0,Defensive rebound by P. Gasol,,8,8
25,1,8:15.0,J. Noah misses 2-pt layup from 1 ft,,8,8
26,1,8:13.0,,Defensive rebound by K. Martin,8,8
27,1,8:09.0,,Shooting foul by M. Dunleavy (drawn by K. Martin),8,8
28,1,8:09.0,,K. Martin makes free throw 1 of 2,8,9
29,1,8:09.0,,K. Martin makes free throw 2 of 2,8,10
30,1,7:51.0,K. Hinrich misses 2-pt jump shot from 11 ft,,8,10
31,1,7:50.0,Offensive rebound by J. Noah,,8,10
32,1,7:47.0,P. Gasol misses 2-pt dunk at rim,,8,10
33,1,7:46.0,Offensive rebound by J. Noah,,8,10
34,1,7:44.0,J. Noah makes 2-pt layup from 1 ft,,10,10
35,1,7:26.0,,N. Peković makes 2-pt hook shot from 7 ft,10,12
36,1,7:12.0,M. Dunleavy makes 3-pt jump shot from 22 ft (assist by J. Butler),,13,12
37,1,6:53.0,,R. Rubio misses 2-pt layup from 1 ft,13,12
38,1,6:52.0,Defensive rebound by P. Gasol,,13,12
39,1,6:47.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,13,12
40,1,6:44.0,,Defensive rebound by K. Martin,13,12
41,1,6:27.0,,R. Rubio misses 2-pt jump shot from 18 ft,13,12
42,1,6:26.0,,Offensive rebound by Team,13,12
43,1,6:26.0,,Minnesota full timeout,13,12
44,1,6:23.0,,K. Martin misses 3-pt jump shot from 24 ft,13,12
45,1,6:22.0,Defensive rebound by P. Gasol,,13,12
46,1,6:09.0,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by K. Hinrich),,16,12
47,1,5:46.0,,Turnover by A. Wiggins (lost ball; steal by M. Dunleavy),16,12
48,1,5:31.0,J. Noah misses 2-pt hook shot from 5 ft,,16,12
49,1,5:29.0,,Defensive rebound by N. Peković,16,12
50,1,5:20.0,,T. Young makes 2-pt hook shot from 13 ft (assist by R. Rubio),16,14
51,1,4:53.0,P. Gasol misses 2-pt jump shot from 14 ft,,16,14
52,1,4:53.0,Offensive rebound by Team,,16,14
53,1,4:53.0,Turnover by Team (shot clock),,16,14
54,1,4:53.0,,C. Brewer enters the game for A. Wiggins,16,14
55,1,4:53.0,,G. Dieng enters the game for N. Peković,16,14
56,1,4:53.0,A. Brooks enters the game for K. Hinrich,,16,14
57,1,4:53.0,N. Mirotić enters the game for J. Noah,,16,14
58,1,4:34.0,,R. Rubio misses 2-pt jump shot from 20 ft,16,14
59,1,4:33.0,Defensive rebound by N. Mirotić,,16,14
60,1,4:17.0,P. Gasol makes 2-pt jump shot from 5 ft,,18,14
61,1,4:17.0,Shooting foul by G. Dieng (drawn by P. Gasol),,18,14
62,1,4:17.0,P. Gasol makes free throw 1 of 1,,19,14
63,1,4:00.0,,T. Young misses 2-pt jump shot from 15 ft,19,14
64,1,3:59.0,Defensive rebound by J. Butler,,19,14
65,1,3:49.0,Personal foul by T. Young (drawn by N. Mirotić),,19,14
66,1,3:40.0,J. Butler misses 3-pt jump shot from 24 ft,,19,14
67,1,3:39.0,,Defensive rebound by Team,19,14
68,1,3:27.0,,K. Martin makes 3-pt jump shot from 24 ft (assist by R. Rubio),19,17
69,1,3:18.0,P. Gasol makes 2-pt layup at rim (assist by A. Brooks),,21,17
70,1,2:53.0,,R. Rubio misses 2-pt jump shot from 14 ft,21,17
71,1,2:51.0,,Offensive rebound by G. Dieng,21,17
72,1,2:46.0,,C. Brewer makes 2-pt jump shot from 17 ft (assist by R. Rubio),21,19
73,1,2:32.0,M. Dunleavy misses 2-pt layup at rim,,21,19
74,1,2:31.0,Offensive rebound by J. Butler,,21,19
75,1,2:31.0,J. Butler makes 2-pt dunk at rim,,23,19
76,1,2:31.0,Technical foul by M. Dunleavy,,23,19
77,1,2:31.0,,K. Martin makes technical free throw,23,20
78,1,2:31.0,Chicago full timeout,,23,20
79,1,2:18.0,,T. Young misses 3-pt jump shot from 24 ft,23,20
80,1,2:17.0,Defensive rebound by N. Mirotić,,23,20
81,1,2:04.0,,M. Williams enters the game for K. Martin,23,20
82,1,1:57.0,Turnover by P. Gasol (lost ball; steal by R. Rubio),,23,20
83,1,1:51.0,,C. Brewer misses 2-pt layup at rim (block by P. Gasol),23,20
84,1,1:49.0,,Offensive rebound by Team,23,20
85,1,1:39.0,,T. Young makes 2-pt jump shot from 9 ft (assist by R. Rubio),23,22
86,1,1:21.0,Turnover by P. Gasol (lost ball; steal by R. Rubio),,23,22
87,1,1:16.0,,C. Brewer makes 2-pt layup at rim (assist by R. Rubio),23,24
88,1,1:01.0,A. Brooks makes 3-pt jump shot from 25 ft,,26,24
89,1,0:44.0,,T. Young misses 2-pt hook shot from 5 ft,26,24
90,1,0:43.0,,Offensive rebound by G. Dieng,26,24
91,1,0:42.0,,Shooting foul by P. Gasol (drawn by G. Dieng),26,24
92,1,0:42.0,,G. Dieng makes free throw 1 of 2,26,25
93,1,0:42.0,,A. Bennett enters the game for T. Young,26,25
94,1,0:42.0,,G. Dieng misses free throw 2 of 2,26,25
95,1,0:41.0,Defensive rebound by M. Dunleavy,,26,25
96,1,0:29.0,Turnover by J. Butler (lost ball; steal by C. Brewer),,26,25
97,1,0:24.0,,C. Brewer misses 2-pt layup from 1 ft,26,25
98,1,0:22.0,Defensive rebound by A. Brooks,,26,25
99,1,0:18.0,Shooting foul by M. Williams (drawn by J. Butler),,26,25
100,1,0:18.0,J. Butler misses free throw 1 of 2,,26,25
101,1,0:18.0,Offensive rebound by Team,,26,25
102,1,0:18.0,E. Moore enters the game for A. Brooks,,26,25
103,1,0:18.0,J. Butler makes free throw 2 of 2,,27,25
104,2,11:47.0,,G. Dieng makes 2-pt dunk at rim,27,27
105,2,11:32.0,J. Noah makes 2-pt layup at rim (assist by N. Mirotić),,29,27
106,2,11:16.0,,M. Williams misses 2-pt jump shot from 5 ft,29,27
107,2,11:15.0,Defensive rebound by J. Noah,,29,27
108,2,11:11.0,A. Brooks makes 2-pt layup at rim (assist by J. Noah),,31,27
109,2,10:49.0,,A. Bennett makes 2-pt jump shot from 19 ft (assist by M. Williams),31,29
110,2,10:34.0,T. Snell misses 2-pt jump shot from 20 ft,,31,29
111,2,10:33.0,,Defensive rebound by A. Bennett,31,29
112,2,10:23.0,,S. Muhammad misses 2-pt hook shot from 12 ft,31,29
113,2,10:22.0,,Offensive rebound by G. Dieng,31,29
114,2,10:18.0,,G. Dieng misses 2-pt jump shot from 5 ft,31,29
115,2,10:17.0,Defensive rebound by J. Noah,,31,29
116,2,10:02.0,D. McDermott misses 3-pt jump shot from 23 ft,,31,29
117,2,10:02.0,,Defensive rebound by A. Bennett,31,29
118,2,9:51.0,,M. Williams misses 2-pt jump shot from 19 ft,31,29
119,2,9:49.0,Defensive rebound by T. Snell,,31,29
120,2,9:34.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by A. Brooks),,34,29
121,2,9:12.0,,A. Bennett misses 2-pt layup from 1 ft (block by J. Noah),34,29
122,2,9:11.0,,Offensive rebound by G. Dieng,34,29
123,2,9:11.0,,G. Dieng makes 2-pt layup at rim,34,31
124,2,9:11.0,,Shooting foul by J. Noah (drawn by G. Dieng),34,31
125,2,9:11.0,,G. Dieng makes free throw 1 of 1,34,32
126,2,9:00.0,A. Brooks makes 3-pt jump shot from 26 ft,,37,32
127,2,8:42.0,,A. Bennett makes 2-pt jump shot from 20 ft,37,34
128,2,8:28.0,A. Brooks makes 2-pt jump shot from 20 ft,,39,34
129,2,8:11.0,,S. Muhammad misses 2-pt jump shot from 9 ft,39,34
130,2,8:10.0,Defensive rebound by N. Mirotić,,39,34
131,2,8:02.0,N. Mirotić misses 3-pt jump shot from 24 ft,,39,34
132,2,8:01.0,,Defensive rebound by G. Dieng,39,34
133,2,7:56.0,,Shooting foul by T. Snell (drawn by S. Muhammad),39,34
134,2,7:56.0,,Minnesota full timeout,39,34
135,2,7:56.0,,N. Peković enters the game for G. Dieng,39,34
136,2,7:56.0,,S. Muhammad misses free throw 1 of 2,39,34
137,2,7:56.0,,Offensive rebound by Team,39,34
138,2,7:56.0,,S. Muhammad makes free throw 2 of 2,39,35
139,2,7:37.0,N. Mirotić makes 2-pt hook shot from 11 ft,,41,35
140,2,7:16.0,,Turnover by S. Muhammad (bad pass),41,35
141,2,7:16.0,,A. Wiggins enters the game for C. Brewer,41,35
142,2,7:08.0,Turnover by A. Brooks (bad pass; steal by A. Bennett),,41,35
143,2,7:06.0,,Personal foul by N. Mirotić (drawn by M. Williams),41,35
144,2,7:00.0,,Personal foul by N. Mirotić (drawn by A. Bennett),41,35
145,2,6:49.0,,N. Peković misses 2-pt hook shot from 5 ft,41,35
146,2,6:48.0,Defensive rebound by T. Snell,,41,35
147,2,6:41.0,Shooting foul by A. Bennett (drawn by N. Mirotić),,41,35
148,2,6:41.0,N. Mirotić makes free throw 1 of 2,,42,35
149,2,6:41.0,N. Mirotić makes free throw 2 of 2,,43,35
150,2,6:29.0,,Shooting foul by D. McDermott (drawn by A. Wiggins),43,35
151,2,6:29.0,,A. Wiggins makes free throw 1 of 2,43,36
152,2,6:29.0,,T. Young enters the game for A. Bennett,43,36
153,2,6:29.0,,K. Martin enters the game for S. Muhammad,43,36
154,2,6:29.0,,A. Wiggins makes free throw 2 of 2,43,37
155,2,6:17.0,A. Brooks misses 2-pt jump shot from 6 ft,,43,37
156,2,6:16.0,,Defensive rebound by K. Martin,43,37
157,2,6:15.0,,Personal foul by A. Brooks (drawn by K. Martin),43,37
158,2,6:15.0,,K. Martin makes free throw 1 of 2,43,38
159,2,6:15.0,,K. Martin makes free throw 2 of 2,43,39
160,2,6:02.0,Shooting foul by T. Young (drawn by N. Mirotić),,43,39
161,2,6:02.0,N. Mirotić makes free throw 1 of 2,,44,39
162,2,6:02.0,K. Hinrich enters the game for T. Snell,,44,39
163,2,6:02.0,N. Mirotić makes free throw 2 of 2,,45,39
164,2,5:47.0,,A. Wiggins misses 2-pt jump shot from 19 ft,45,39
165,2,5:46.0,Defensive rebound by N. Mirotić,,45,39
166,2,5:35.0,J. Noah makes 2-pt jump shot from 15 ft (assist by A. Brooks),,47,39
167,2,5:34.0,Violation by Team (delay of game),,47,39
168,2,5:34.0,,Minnesota full timeout,47,39
169,2,5:34.0,,R. Rubio enters the game for M. Williams,47,39
170,2,5:26.0,,Turnover by R. Rubio (lost ball),47,39
171,2,5:03.0,A. Brooks makes 3-pt jump shot from 23 ft,,50,39
172,2,4:41.0,,Turnover by A. Wiggins (lost ball),50,39
173,2,4:41.0,P. Gasol enters the game for J. Noah,,50,39
174,2,4:41.0,J. Butler enters the game for D. McDermott,,50,39
175,2,4:31.0,A. Brooks misses 2-pt jump shot from 15 ft,,50,39
176,2,4:30.0,,Defensive rebound by A. Wiggins,50,39
177,2,4:19.0,,A. Wiggins misses 2-pt jump shot from 19 ft,50,39
178,2,4:17.0,Defensive rebound by N. Mirotić,,50,39
179,2,3:59.0,Shooting foul by K. Martin (drawn by K. Hinrich),,50,39
180,2,3:59.0,,Minnesota full timeout,50,39
181,2,3:59.0,K. Hinrich makes free throw 1 of 2,,51,39
182,2,3:59.0,K. Hinrich makes free throw 2 of 2,,52,39
183,2,3:40.0,,T. Young makes 2-pt jump shot from 6 ft,52,41
184,2,3:27.0,N. Mirotić misses 3-pt jump shot from 26 ft,,52,41
185,2,3:26.0,,Defensive rebound by R. Rubio,52,41
186,2,3:12.0,,N. Peković makes 2-pt layup at rim (assist by T. Young),52,43
187,2,2:58.0,Turnover by P. Gasol (bad pass; steal by N. Peković),,52,43
188,2,2:54.0,,Shooting foul by P. Gasol (drawn by K. Martin),52,43
189,2,2:54.0,Chicago full timeout,,52,43
190,2,2:54.0,M. Dunleavy enters the game for A. Brooks,,52,43
191,2,2:54.0,,K. Martin makes free throw 1 of 2,52,44
192,2,2:54.0,,K. Martin makes free throw 2 of 2,52,45
193,2,2:36.0,P. Gasol makes 2-pt jump shot from 6 ft,,54,45
194,2,2:17.0,,N. Peković makes 2-pt jump shot from 4 ft (assist by T. Young),54,47
195,2,1:56.0,J. Butler makes 2-pt layup at rim (assist by P. Gasol),,56,47
196,2,1:38.0,,Turnover by R. Rubio (bad pass; steal by J. Butler),56,47
197,2,1:33.0,J. Butler makes 2-pt layup at rim,,58,47
198,2,1:09.0,,N. Peković misses 2-pt jump shot from 4 ft (block by P. Gasol),58,47
199,2,1:08.0,,Offensive rebound by N. Peković,58,47
200,2,1:07.0,,Turnover by Team (shot clock),58,47
201,2,0:51.0,P. Gasol makes 2-pt jump shot from 17 ft (assist by J. Butler),,60,47
202,2,0:37.0,,T. Young misses 2-pt jump shot from 4 ft,60,47
203,2,0:35.0,Defensive rebound by J. Butler,,60,47
204,2,0:35.0,Personal foul by T. Young (drawn by J. Butler),,60,47
205,2,0:35.0,,A. Bennett enters the game for T. Young,60,47
206,2,0:23.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by K. Hinrich),,63,47
207,2,0:00.0,,K. Martin makes 2-pt jump shot from 12 ft,63,49
208,3,11:46.0,,A. Bennett makes 2-pt jump shot from 11 ft (assist by K. Martin),63,51
209,3,11:29.0,Shooting foul by R. Rubio (drawn by P. Gasol),,63,51
210,3,11:29.0,P. Gasol makes free throw 1 of 2,,64,51
211,3,11:29.0,P. Gasol makes free throw 2 of 2,,65,51
212,3,11:12.0,,A. Bennett makes 2-pt jump shot from 21 ft (assist by R. Rubio),65,53
213,3,10:44.0,K. Hinrich makes 2-pt jump shot from 19 ft (assist by J. Noah),,67,53
214,3,10:31.0,,N. Peković makes 2-pt layup from 1 ft (assist by R. Rubio),67,55
215,3,10:16.0,,Offensive charge foul by J. Butler (drawn by K. Martin),67,55
216,3,10:16.0,Turnover by J. Butler (offensive foul),,67,55
217,3,10:05.0,,R. Rubio makes 2-pt layup from 1 ft,67,57
218,3,9:55.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,67,57
219,3,9:54.0,,Defensive rebound by R. Rubio,67,57
220,3,9:47.0,,A. Wiggins makes 2-pt jump shot from 17 ft (assist by R. Rubio),67,59
221,3,9:45.0,Chicago full timeout,,67,59
222,3,9:27.0,Turnover by P. Gasol (lost ball; steal by A. Wiggins),,67,59
223,3,9:23.0,,K. Martin misses 3-pt jump shot from 24 ft,67,59
224,3,9:18.0,,Offensive rebound by A. Wiggins,67,59
225,3,9:10.0,,R. Rubio misses 2-pt jump shot from 20 ft,67,59
226,3,9:08.0,,Offensive rebound by K. Martin,67,59
227,3,9:08.0,,K. Martin makes 2-pt tip-in at rim,67,61
228,3,8:51.0,P. Gasol makes 2-pt jump shot from 12 ft,,69,61
