,QUARTER,TIME_REMAINING,ORLANDO_ACTION,UTAH_ACTION,ORLANDO_SCORE,UTAH_SCORE
0,1,11:34.0,,R. Hood makes 2-pt jump shot from 18 ft (assist by T. Burke),0,2
1,1,11:13.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by T. Harris),,2,2
2,1,10:58.0,,E. Freedom makes 2-pt layup at rim (assist by T. Burke),2,4
3,1,10:41.0,C. Frye misses 3-pt jump shot from 24 ft,,2,4
4,1,10:39.0,,Defensive rebound by D. Favors,2,4
5,1,10:22.0,,T. Burke misses 2-pt jump shot from 19 ft,2,4
6,1,10:20.0,Defensive rebound by E. Fournier,,2,4
7,1,10:16.0,Personal foul by E. Freedom (drawn by C. Frye),,2,4
8,1,10:06.0,T. Harris misses 2-pt layup from 2 ft (block by D. Favors),,2,4
9,1,10:04.0,Offensive rebound by E. Fournier,,2,4
10,1,10:01.0,Turnover by K. O'Quinn (bad pass; steal by G. Hayward),,2,4
11,1,9:51.0,,D. Favors makes 2-pt jump shot from 4 ft (assist by T. Burke),2,6
12,1,9:32.0,K. O'Quinn makes 2-pt jump shot from 19 ft,,4,6
13,1,9:06.0,,T. Burke misses 2-pt jump shot from 19 ft,4,6
14,1,9:06.0,,Offensive rebound by Team,4,6
15,1,9:06.0,,Turnover by Team (shot clock),4,6
16,1,8:49.0,Shooting foul by R. Hood (drawn by E. Fournier),,4,6
17,1,8:49.0,E. Fournier makes free throw 1 of 2,,5,6
18,1,8:49.0,E. Fournier misses free throw 2 of 2,,5,6
19,1,8:48.0,,Defensive rebound by D. Favors,5,6
20,1,8:35.0,,Turnover by E. Freedom (lost ball),5,6
21,1,8:18.0,T. Harris makes 2-pt jump shot from 6 ft,,7,6
22,1,7:59.0,,Turnover by D. Favors (traveling),7,6
23,1,7:37.0,K. O'Quinn makes 2-pt jump shot from 7 ft,,9,6
24,1,7:22.0,,D. Favors misses 2-pt layup from 2 ft,9,6
25,1,7:21.0,Defensive rebound by C. Frye,,9,6
26,1,7:12.0,T. Harris misses 2-pt jump shot from 5 ft,,9,6
27,1,7:09.0,,Defensive rebound by G. Hayward,9,6
28,1,7:05.0,,G. Hayward misses 2-pt jump shot from 11 ft,9,6
29,1,7:04.0,Defensive rebound by C. Frye,,9,6
30,1,6:48.0,Turnover by K. O'Quinn (bad pass),,9,6
31,1,6:32.0,,Shooting foul by K. O'Quinn (drawn by R. Hood),9,6
32,1,6:32.0,,R. Hood makes free throw 1 of 2,9,7
33,1,6:32.0,D. Dedmon enters the game for K. O'Quinn,,9,7
34,1,6:32.0,,R. Hood misses free throw 2 of 2,9,7
35,1,6:31.0,Defensive rebound by C. Frye,,9,7
36,1,6:14.0,Turnover by E. Fournier (bad pass),,9,7
37,1,6:14.0,,Utah full timeout,9,7
38,1,6:14.0,,J. Ingles enters the game for R. Hood,9,7
39,1,6:04.0,,Personal foul by E. Fournier (drawn by G. Hayward),9,7
40,1,5:57.0,,G. Hayward makes 2-pt jump shot from 20 ft,9,9
41,1,5:44.0,D. Dedmon makes 2-pt dunk at rim (assist by V. Oladipo),,11,9
42,1,5:21.0,,T. Burke misses 2-pt jump shot from 5 ft,11,9
43,1,5:19.0,,Offensive rebound by E. Freedom,11,9
44,1,5:19.0,,E. Freedom makes 2-pt layup from 1 ft,11,11
45,1,5:06.0,V. Oladipo makes 2-pt jump shot from 7 ft,,13,11
46,1,4:47.0,,Shooting foul by D. Dedmon (drawn by T. Burke),13,11
47,1,4:47.0,,T. Burke makes free throw 1 of 2,13,12
48,1,4:47.0,E. Payton enters the game for E. Fournier,,13,12
49,1,4:47.0,,T. Burke misses free throw 2 of 2,13,12
50,1,4:45.0,Defensive rebound by D. Dedmon,,13,12
51,1,4:33.0,C. Frye makes 3-pt jump shot from 24 ft (assist by V. Oladipo),,16,12
52,1,4:26.0,,Utah full timeout,16,12
53,1,4:26.0,K. O'Quinn enters the game for C. Frye,,16,12
