,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,A. Davis misses 2-pt jump shot from 20 ft,0,0
1,1,11:42.0,Defensive rebound by E. Fournier,,0,0
2,1,11:31.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,2,0
3,1,11:18.0,,Turnover by J. Holiday (bad pass; steal by K. O'Quinn),2,0
4,1,11:18.0,Turnover by E. Fournier (traveling),,2,0
5,1,11:06.0,,A. Davis misses 2-pt jump shot from 18 ft,2,0
6,1,11:05.0,Defensive rebound by N. Vučević,,2,0
7,1,10:54.0,E. Payton misses 2-pt layup from 1 ft (block by J. Holiday),,2,0
8,1,10:52.0,,Defensive rebound by T. Evans,2,0
9,1,10:50.0,,Shooting foul by K. O'Quinn (drawn by T. Evans),2,0
10,1,10:50.0,,T. Evans makes free throw 1 of 2,2,1
11,1,10:50.0,,T. Evans misses free throw 2 of 2,2,1
12,1,10:49.0,,Offensive rebound by Ö. Aşık,2,1
13,1,10:46.0,,Shooting foul by N. Vučević (drawn by Ö. Aşık),2,1
14,1,10:46.0,,Ö. Aşık misses free throw 1 of 2,2,1
15,1,10:46.0,,Offensive rebound by Team,2,1
16,1,10:46.0,,Ö. Aşık misses free throw 2 of 2,2,1
17,1,10:45.0,Defensive rebound by T. Harris,,2,1
18,1,10:33.0,Turnover by T. Harris (bad pass; steal by A. Davis),,2,1
19,1,10:29.0,,A. Davis makes 2-pt dunk at rim,2,3
20,1,10:19.0,N. Vučević misses 2-pt hook shot from 6 ft,,2,3
21,1,10:17.0,,Defensive rebound by J. Holiday,2,3
22,1,10:14.0,,Personal foul by K. O'Quinn (drawn by A. Davis),2,3
23,1,10:05.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by T. Evans),2,5
24,1,9:51.0,T. Harris misses 2-pt jump shot from 15 ft,,2,5
25,1,9:50.0,,Defensive rebound by J. Holiday,2,5
26,1,9:38.0,,Ö. Aşık misses 2-pt layup from 2 ft (block by N. Vučević),2,5
27,1,9:36.0,,Offensive rebound by Ö. Aşık,2,5
28,1,9:28.0,,T. Evans misses 2-pt jump shot from 4 ft (block by K. O'Quinn),2,5
29,1,9:27.0,,Offensive rebound by Ö. Aşık,2,5
30,1,9:18.0,,T. Evans makes 2-pt layup from 2 ft,2,7
31,1,8:56.0,E. Fournier misses 2-pt jump shot from 20 ft,,2,7
32,1,8:53.0,Offensive rebound by N. Vučević,,2,7
33,1,8:47.0,K. O'Quinn makes 2-pt layup from 1 ft,,4,7
34,1,8:24.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by T. Evans),4,9
35,1,8:04.0,E. Fournier misses 2-pt jump shot from 10 ft (block by A. Davis),,4,9
36,1,8:02.0,Offensive rebound by E. Payton,,4,9
37,1,7:58.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by K. O'Quinn),,6,9
38,1,7:40.0,,T. Evans misses 3-pt jump shot from 22 ft,6,9
39,1,7:39.0,Defensive rebound by N. Vučević,,6,9
40,1,7:30.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by E. Payton),,9,9
41,1,7:13.0,,Ö. Aşık makes 2-pt dunk at rim (assist by T. Evans),9,11
42,1,6:58.0,E. Payton misses 2-pt layup from 2 ft (block by Ö. Aşık),,9,11
43,1,6:58.0,,Defensive rebound by Team,9,11
44,1,6:45.0,,Turnover by E. Gordon (bad pass; steal by E. Payton),9,11
45,1,6:41.0,T. Harris makes 2-pt dunk at rim (assist by E. Payton),,11,11
46,1,6:22.0,,A. Davis misses 2-pt jump shot from 5 ft,11,11
47,1,6:21.0,Defensive rebound by N. Vučević,,11,11
48,1,6:15.0,Turnover by N. Vučević (traveling),,11,11
49,1,6:02.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by Ö. Aşık),11,14
50,1,5:46.0,N. Vučević makes 2-pt dunk at rim (assist by K. O'Quinn),,13,14
51,1,5:35.0,,J. Holiday misses 3-pt jump shot from 24 ft,13,14
52,1,5:34.0,Defensive rebound by T. Harris,,13,14
53,1,5:25.0,T. Harris misses 2-pt jump shot from 7 ft,,13,14
54,1,5:24.0,Offensive rebound by N. Vučević,,13,14
55,1,5:24.0,N. Vučević makes 2-pt layup from 3 ft,,15,14
56,1,5:24.0,,New Orleans full timeout,15,14
57,1,5:17.0,,Personal foul by K. O'Quinn (drawn by A. Davis),15,14
58,1,5:17.0,A. Gordon enters the game for K. O'Quinn,,15,14
59,1,5:12.0,,Ö. Aşık misses 2-pt layup from 2 ft,15,14
60,1,5:08.0,Defensive rebound by E. Payton,,15,14
61,1,4:51.0,T. Harris makes 2-pt layup from 2 ft,,17,14
62,1,4:51.0,Shooting foul by A. Davis (drawn by T. Harris),,17,14
63,1,4:51.0,,R. Anderson enters the game for Ö. Aşık,17,14
64,1,4:51.0,T. Harris makes free throw 1 of 1,,18,14
65,1,4:35.0,,Shooting foul by T. Harris (drawn by E. Gordon),18,14
66,1,4:35.0,,E. Gordon misses free throw 1 of 2,18,14
67,1,4:35.0,,Offensive rebound by Team,18,14
68,1,4:35.0,,J. Salmons enters the game for T. Evans,18,14
69,1,4:35.0,B. Gordon enters the game for E. Fournier,,18,14
70,1,4:35.0,,E. Gordon misses free throw 2 of 2,18,14
71,1,4:34.0,Defensive rebound by N. Vučević,,18,14
72,1,4:14.0,N. Vučević makes 2-pt layup from 2 ft,,20,14
73,1,3:55.0,,R. Anderson misses 3-pt jump shot from 26 ft,20,14
74,1,3:54.0,Defensive rebound by N. Vučević,,20,14
75,1,3:37.0,Turnover by E. Payton (lost ball),,20,14
76,1,3:37.0,L. Ridnour enters the game for E. Payton,,20,14
