,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PHOENIX_ACTION,PHILADELPHIA_SCORE,PHOENIX_SCORE
0,1,11:40.0,Shooting foul by M. Morris (drawn by L. Mbah a Moute),,0,0
1,1,11:40.0,L. Mbah a Moute makes free throw 1 of 2,,1,0
2,1,11:40.0,L. Mbah a Moute misses free throw 2 of 2,,1,0
3,1,11:39.0,Offensive rebound by R. Covington,,1,0
4,1,11:34.0,R. Covington misses 3-pt jump shot from 24 ft,,1,0
5,1,11:33.0,Offensive rebound by L. Mbah a Moute,,1,0
6,1,11:31.0,L. Mbah a Moute makes 2-pt layup at rim,,3,0
7,1,11:08.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,3,0
8,1,11:07.0,Defensive rebound by L. Mbah a Moute,,3,0
9,1,10:52.0,Turnover by R. Covington (traveling),,3,0
10,1,10:35.0,,M. Morris misses 2-pt jump shot from 11 ft,3,0
11,1,10:34.0,Defensive rebound by N. Noel,,3,0
12,1,10:23.0,N. Noel misses 2-pt layup from 2 ft (block by A. Len),,3,0
13,1,10:22.0,,Defensive rebound by A. Len,3,0
14,1,10:15.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),3,3
15,1,10:00.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,5,3
16,1,9:45.0,,P. Tucker misses 3-pt jump shot from 24 ft,5,3
17,1,9:44.0,,Offensive rebound by A. Len,5,3
18,1,9:39.0,,G. Dragić misses 3-pt jump shot from 25 ft,5,3
19,1,9:38.0,Defensive rebound by L. Mbah a Moute,,5,3
20,1,9:31.0,M. Carter-Williams misses 2-pt jump shot from 17 ft,,5,3
21,1,9:30.0,,Defensive rebound by A. Len,5,3
22,1,9:17.0,,E. Bledsoe makes 2-pt jump shot from 14 ft,5,5
23,1,9:04.0,M. Carter-Williams misses 2-pt layup from 1 ft (block by M. Morris),,5,5
24,1,9:02.0,Offensive rebound by L. Mbah a Moute,,5,5
25,1,8:58.0,N. Noel misses 2-pt dunk from 1 ft (block by A. Len),,5,5
26,1,8:57.0,Offensive rebound by Team,,5,5
27,1,8:46.0,M. Carter-Williams makes 2-pt jump shot from 6 ft,,7,5
28,1,8:35.0,,Turnover by M. Morris (lost ball; steal by R. Covington),7,5
29,1,8:30.0,L. Mbah a Moute makes 2-pt dunk at rim,,9,5
30,1,8:18.0,,Turnover by A. Len (bad pass),9,5
31,1,8:03.0,Personal foul by E. Bledsoe (drawn by M. Carter-Williams),,9,5
32,1,7:51.0,L. Mbah a Moute misses 2-pt layup at rim (block by A. Len),,9,5
33,1,7:49.0,Offensive rebound by N. Noel,,9,5
34,1,7:48.0,N. Noel misses 2-pt jump shot from 7 ft,,9,5
35,1,7:48.0,Offensive rebound by N. Noel,,9,5
36,1,7:48.0,Shooting foul by A. Len (drawn by N. Noel),,9,5
37,1,7:48.0,L. Mbah a Moute misses free throw 1 of 2,,9,5
38,1,7:48.0,Offensive rebound by Team,,9,5
39,1,7:48.0,L. Mbah a Moute makes free throw 2 of 2,,10,5
40,1,7:30.0,,Shooting foul by R. Covington (drawn by P. Tucker),10,5
41,1,7:30.0,,P. Tucker makes free throw 1 of 2,10,6
42,1,7:30.0,,P. Tucker makes free throw 2 of 2,10,7
43,1,7:13.0,M. Carter-Williams misses 2-pt layup from 2 ft (block by G. Dragić),,10,7
44,1,7:11.0,,Defensive rebound by G. Dragić,10,7
45,1,7:03.0,,M. Morris makes 2-pt layup at rim,10,9
46,1,6:48.0,R. Covington makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,13,9
47,1,6:35.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),13,12
48,1,6:18.0,M. Carter-Williams misses 2-pt jump shot from 19 ft,,13,12
49,1,6:17.0,,Defensive rebound by M. Morris,13,12
50,1,6:02.0,,Turnover by G. Dragić (bad pass; steal by R. Covington),13,12
51,1,5:54.0,,Violation by A. Len (def goaltending),13,12
52,1,5:54.0,M. Carter-Williams makes 2-pt layup from 1 ft,,15,12
53,1,5:44.0,,G. Dragić makes 2-pt layup at rim,15,14
54,1,5:44.0,,Shooting foul by N. Noel (drawn by G. Dragić),15,14
55,1,5:44.0,,Phoenix full timeout,15,14
56,1,5:44.0,,G. Dragić makes free throw 1 of 1,15,15
57,1,5:28.0,Turnover by M. Carter-Williams (bad pass),,15,15
58,1,5:16.0,,Shooting foul by M. Carter-Williams (drawn by E. Bledsoe),15,15
59,1,5:16.0,,E. Bledsoe makes free throw 1 of 2,15,16
60,1,5:16.0,T. Wroten enters the game for K. McDaniels,,15,16
61,1,5:16.0,H. Sims enters the game for N. Noel,,15,16
62,1,5:16.0,,E. Bledsoe makes free throw 2 of 2,15,17
63,1,5:02.0,Shooting foul by A. Len (drawn by H. Sims),,15,17
64,1,5:02.0,H. Sims makes free throw 1 of 2,,16,17
65,1,5:02.0,,M. Plumlee enters the game for A. Len,16,17
66,1,5:02.0,H. Sims makes free throw 2 of 2,,17,17
67,1,4:38.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by M. Morris),17,20
68,1,4:19.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,17,20
69,1,4:18.0,,Defensive rebound by E. Bledsoe,17,20
70,1,4:10.0,,M. Morris misses 3-pt jump shot from 24 ft,17,20
71,1,4:09.0,Defensive rebound by R. Covington,,17,20
72,1,3:53.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,19,20
73,1,3:44.0,,I. Thomas enters the game for G. Dragić,19,20
74,1,3:44.0,,M. Morris enters the game for M. Morris,19,20
75,1,3:44.0,J. Grant enters the game for L. Mbah a Moute,,19,20
76,1,3:36.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,19,20
77,1,3:35.0,,Offensive rebound by M. Morris,19,20
78,1,3:31.0,,M. Morris misses 2-pt layup from 1 ft,19,20
79,1,3:30.0,,Offensive rebound by M. Morris,19,20
80,1,3:28.0,,M. Morris misses 2-pt tip-in from 2 ft,19,20
81,1,3:27.0,Defensive rebound by M. Carter-Williams,,19,20
82,1,3:10.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,19,20
83,1,3:09.0,,Defensive rebound by M. Plumlee,19,20
84,1,3:01.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by I. Thomas),19,23
85,1,2:58.0,Philadelphia full timeout,,19,23
