,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
0,1,11:46.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by E. Turner),0,2
1,1,11:20.0,N. Noel misses 2-pt jump shot from 6 ft,,0,2
2,1,11:19.0,,Defensive rebound by M. Smart,0,2
3,1,11:11.0,,M. Smart misses 2-pt jump shot from 12 ft,0,2
4,1,11:10.0,Defensive rebound by I. Canaan,,0,2
5,1,11:03.0,I. Canaan misses 3-pt jump shot from 25 ft,,0,2
6,1,11:01.0,Offensive rebound by J. Richardson,,0,2
7,1,11:01.0,J. Richardson misses 2-pt tip-in from 2 ft,,0,2
8,1,11:00.0,Offensive rebound by J. Richardson,,0,2
9,1,10:59.0,J. Richardson misses 2-pt layup at rim,,0,2
10,1,10:58.0,,Defensive rebound by T. Zeller,0,2
11,1,10:36.0,,B. Bass makes 2-pt jump shot from 7 ft,0,4
12,1,10:19.0,L. Mbah a Moute misses 2-pt jump shot from 19 ft,,0,4
13,1,10:18.0,,Defensive rebound by A. Bradley,0,4
14,1,10:06.0,,B. Bass misses 2-pt jump shot from 7 ft,0,4
15,1,10:05.0,Defensive rebound by I. Canaan,,0,4
16,1,10:01.0,Turnover by I. Canaan (lost ball; steal by A. Bradley),,0,4
17,1,9:50.0,,A. Bradley makes 3-pt jump shot from 25 ft,0,7
18,1,9:25.0,H. Thompson makes 2-pt jump shot from 10 ft,,2,7
19,1,9:13.0,,E. Turner misses 2-pt jump shot from 15 ft,2,7
20,1,9:12.0,Defensive rebound by I. Canaan,,2,7
21,1,9:07.0,H. Thompson misses 3-pt jump shot from 25 ft,,2,7
22,1,9:06.0,,Defensive rebound by A. Bradley,2,7
23,1,8:57.0,,T. Zeller makes 2-pt hook shot from 6 ft (assist by A. Bradley),2,9
24,1,8:42.0,J. Richardson misses 2-pt jump shot from 21 ft,,2,9
25,1,8:41.0,,Defensive rebound by A. Bradley,2,9
26,1,8:32.0,,A. Bradley misses 2-pt jump shot from 18 ft,2,9
27,1,8:31.0,Defensive rebound by J. Richardson,,2,9
28,1,8:10.0,N. Noel makes 2-pt hook shot from 5 ft (assist by H. Thompson),,4,9
29,1,7:55.0,,T. Zeller makes 2-pt jump shot from 18 ft (assist by M. Smart),4,11
30,1,7:44.0,Personal foul by T. Zeller (drawn by N. Noel),,4,11
31,1,7:35.0,I. Canaan makes 3-pt jump shot from 23 ft (assist by L. Mbah a Moute),,7,11
32,1,7:20.0,,T. Zeller makes 2-pt dunk at rim,7,13
33,1,7:04.0,N. Noel misses 2-pt jump shot from 11 ft,,7,13
34,1,7:03.0,,Defensive rebound by E. Turner,7,13
35,1,6:58.0,,T. Zeller makes 2-pt layup at rim (assist by E. Turner),7,15
36,1,6:58.0,Philadelphia full timeout,,7,15
37,1,6:58.0,I. Smith enters the game for I. Canaan,,7,15
38,1,6:38.0,L. Mbah a Moute misses 2-pt layup at rim,,7,15
39,1,6:37.0,,Defensive rebound by M. Smart,7,15
40,1,6:29.0,,Shooting foul by N. Noel (drawn by T. Zeller),7,15
41,1,6:29.0,,T. Zeller makes free throw 1 of 2,7,16
42,1,6:29.0,,T. Zeller makes free throw 2 of 2,7,17
43,1,6:14.0,J. Richardson misses 3-pt jump shot from 25 ft,,7,17
44,1,6:13.0,,Defensive rebound by T. Zeller,7,17
45,1,5:52.0,,A. Bradley makes 2-pt jump shot from 20 ft,7,19
46,1,5:31.0,N. Noel misses 2-pt hook shot from 6 ft,,7,19
47,1,5:30.0,Offensive rebound by J. Richardson,,7,19
