,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
0,1,11:47.0,D. Green misses 3-pt jump shot from 30 ft,,0,0
1,1,11:46.0,,Defensive rebound by M. Gortat,0,0
2,1,11:34.0,,Turnover by N. Hilário (bad pass),0,0
3,1,11:23.0,T. Parker makes 2-pt jump shot from 19 ft,,2,0
4,1,11:02.0,,N. Hilário misses 2-pt jump shot from 16 ft,2,0
5,1,11:01.0,Defensive rebound by D. Green,,2,0
6,1,10:47.0,A. Daye makes 2-pt jump shot from 17 ft (assist by T. Duncan),,4,0
7,1,10:35.0,,B. Beal misses 2-pt jump shot from 5 ft,4,0
8,1,10:34.0,Defensive rebound by A. Daye,,4,0
9,1,10:26.0,D. Green misses 3-pt jump shot from 23 ft,,4,0
10,1,10:25.0,,Defensive rebound by N. Hilário,4,0
11,1,10:10.0,,M. Gortat makes 2-pt hook shot from 8 ft,4,2
12,1,9:55.0,T. Parker misses 2-pt jump shot from 18 ft,,4,2
13,1,9:54.0,,Defensive rebound by M. Gortat,4,2
14,1,9:42.0,,N. Hilário misses 2-pt layup from 2 ft,4,2
15,1,9:41.0,Defensive rebound by T. Duncan,,4,2
16,1,9:29.0,A. Daye misses 2-pt jump shot from 19 ft,,4,2
17,1,9:28.0,,Defensive rebound by M. Gortat,4,2
18,1,9:11.0,,J. Wall misses 2-pt jump shot from 17 ft,4,2
19,1,9:10.0,Defensive rebound by A. Daye,,4,2
20,1,9:00.0,T. Duncan makes 2-pt layup from 1 ft (assist by T. Splitter),,6,2
21,1,8:39.0,,P. Pierce makes 2-pt jump shot from 15 ft,6,4
22,1,8:21.0,A. Daye misses 3-pt jump shot from 27 ft,,6,4
23,1,8:20.0,,Defensive rebound by N. Hilário,6,4
24,1,8:08.0,,M. Gortat makes 2-pt jump shot from 12 ft,6,6
25,1,7:51.0,T. Duncan makes 2-pt jump shot from 12 ft (assist by T. Parker),,8,6
26,1,7:39.0,,P. Pierce makes 3-pt jump shot from 25 ft (assist by J. Wall),8,9
27,1,7:16.0,T. Parker makes 2-pt layup from 1 ft,,10,9
28,1,7:11.0,,Shooting foul by D. Green (drawn by B. Beal),10,9
29,1,7:11.0,,B. Beal makes free throw 1 of 2,10,10
30,1,7:11.0,C. Joseph enters the game for A. Daye,,10,10
31,1,7:11.0,,B. Beal makes free throw 2 of 2,10,11
32,1,6:56.0,T. Duncan misses 2-pt jump shot from 18 ft,,10,11
33,1,6:55.0,,Defensive rebound by N. Hilário,10,11
34,1,6:47.0,,P. Pierce makes 3-pt jump shot from 26 ft (assist by J. Wall),10,14
35,1,6:45.0,San Antonio full timeout,,10,14
36,1,6:45.0,M. Ginóbili enters the game for D. Green,,10,14
37,1,6:21.0,M. Ginóbili makes 3-pt jump shot from 27 ft,,13,14
38,1,6:09.0,,Personal foul by M. Ginóbili (drawn by P. Pierce),13,14
39,1,6:09.0,B. Diaw enters the game for T. Splitter,,13,14
40,1,5:57.0,,P. Pierce misses 2-pt jump shot from 9 ft,13,14
41,1,5:56.0,,Offensive rebound by Team,13,14
42,1,5:56.0,Loose ball foul by B. Diaw (drawn by M. Gortat),,13,14
43,1,5:56.0,,R. Butler enters the game for B. Beal,13,14
44,1,5:40.0,,N. Hilário misses 2-pt layup from 2 ft (block by T. Duncan),13,14
45,1,5:38.0,Defensive rebound by T. Duncan,,13,14
46,1,5:26.0,T. Duncan misses 2-pt jump shot from 4 ft,,13,14
47,1,5:25.0,,Defensive rebound by R. Butler,13,14
48,1,5:18.0,,R. Butler makes 3-pt jump shot from 25 ft (assist by J. Wall),13,17
49,1,4:56.0,B. Diaw misses 3-pt jump shot from 26 ft,,13,17
50,1,4:56.0,,Defensive rebound by Team,13,17
51,1,4:56.0,P. Mills enters the game for T. Parker,,13,17
52,1,4:41.0,,M. Gortat makes 2-pt dunk at rim (assist by P. Pierce),13,19
53,1,4:27.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,13,19
54,1,4:26.0,,Defensive rebound by N. Hilário,13,19
55,1,4:15.0,,J. Wall makes 2-pt layup from 1 ft,13,21
56,1,4:00.0,Personal foul by R. Butler (drawn by M. Ginóbili),,13,21
57,1,4:00.0,J. Ayres enters the game for T. Duncan,,13,21
58,1,4:00.0,,K. Humphries enters the game for N. Hilário,13,21
59,1,3:51.0,C. Joseph makes 2-pt layup at rim (assist by M. Ginóbili),,15,21
60,1,3:31.0,,Turnover by R. Butler (bad pass; steal by B. Diaw),15,21
61,1,3:14.0,P. Mills misses 3-pt jump shot from 24 ft (block by J. Wall),,15,21
62,1,3:12.0,,Defensive rebound by M. Gortat,15,21
63,1,3:07.0,,Turnover by R. Butler (lost ball),15,21
64,1,3:07.0,,M. Webster enters the game for P. Pierce,15,21
65,1,2:55.0,Personal foul by M. Webster (drawn by M. Ginóbili),,15,21
66,1,2:55.0,,Washington full timeout,15,21
67,1,2:45.0,P. Mills makes 3-pt jump shot from 26 ft (assist by M. Ginóbili),,18,21
68,1,2:29.0,,J. Wall makes 2-pt jump shot from 11 ft,18,23
69,1,2:07.0,C. Joseph misses 2-pt jump shot from 14 ft,,18,23
70,1,2:06.0,,Defensive rebound by M. Gortat,18,23
71,1,1:55.0,,R. Butler misses 3-pt jump shot from 23 ft,18,23
72,1,1:55.0,Defensive rebound by J. Ayres,,18,23
73,1,1:41.0,B. Diaw makes 2-pt jump shot from 12 ft,,20,23
74,1,1:20.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by K. Humphries),20,26
75,1,1:09.0,B. Diaw misses 2-pt jump shot from 5 ft,,20,26
76,1,1:08.0,,Defensive rebound by M. Gortat,20,26
77,1,1:03.0,,J. Wall makes 3-pt jump shot from 26 ft,20,29
78,1,0:50.0,J. Ayres makes 2-pt dunk at rim (assist by C. Joseph),,22,29
79,1,0:37.0,,Shooting block foul by P. Mills (drawn by J. Wall),22,29
80,1,0:37.0,,J. Wall makes free throw 1 of 2,22,30
81,1,0:37.0,,K. Séraphin enters the game for M. Gortat,22,30
82,1,0:37.0,M. Bonner enters the game for B. Diaw,,22,30
83,1,0:37.0,T. Parker enters the game for C. Joseph,,22,30
84,1,0:37.0,,J. Wall makes free throw 2 of 2,22,31
85,1,0:32.0,M. Ginóbili misses 2-pt jump shot from 10 ft (block by R. Butler),,22,31
86,1,0:31.0,Offensive rebound by Team,,22,31
87,1,0:15.0,T. Parker makes 2-pt jump shot from 17 ft,,24,31
88,1,0:01.0,,Turnover by J. Wall (bad pass; steal by J. Ayres),24,31
89,2,11:40.0,,K. Humphries misses 2-pt jump shot from 17 ft,24,31
90,2,11:39.0,Defensive rebound by Team,,24,31
91,2,11:25.0,T. Parker misses 2-pt jump shot from 10 ft,,24,31
92,2,11:24.0,,Defensive rebound by K. Séraphin,24,31
93,2,11:05.0,,M. Webster misses 2-pt jump shot from 12 ft,24,31
94,2,11:04.0,Defensive rebound by J. Ayres,,24,31
95,2,10:46.0,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by P. Mills),,27,31
96,2,10:23.0,,K. Humphries makes 2-pt jump shot from 15 ft (assist by A. Miller),27,33
97,2,10:01.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),,30,33
98,2,9:40.0,,K. Humphries makes 2-pt jump shot from 16 ft (assist by A. Miller),30,35
99,2,9:25.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Bonner),,33,35
100,2,9:11.0,,Turnover by B. Beal (bad pass),33,35
101,2,9:11.0,D. Green enters the game for M. Ginóbili,,33,35
102,2,8:57.0,D. Green misses 3-pt jump shot from 27 ft,,33,35
103,2,8:56.0,,Defensive rebound by K. Séraphin,33,35
104,2,8:43.0,,K. Séraphin makes 2-pt jump shot from 17 ft (assist by M. Webster),33,37
105,2,8:41.0,San Antonio full timeout,,33,37
