,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,R. Hibbert makes 2-pt jump shot from 13 ft (assist by C. Watson),,2,0
1,1,11:24.0,,M. Barnes misses 3-pt jump shot from 23 ft,2,0
2,1,11:23.0,Defensive rebound by Team,,2,0
3,1,11:16.0,Turnover by C. Watson (lost ball; steal by C. Paul),,2,0
4,1,11:11.0,,B. Griffin makes 2-pt dunk from 1 ft (assist by M. Barnes),2,2
5,1,10:52.0,S. Hill makes 3-pt jump shot from 24 ft (assist by R. Stuckey),,5,2
6,1,10:34.0,,B. Griffin misses 2-pt jump shot from 18 ft,5,2
7,1,10:32.0,Defensive rebound by S. Hill,,5,2
8,1,10:17.0,R. Hibbert misses 2-pt hook shot from 6 ft,,5,2
9,1,10:14.0,,Defensive rebound by C. Paul,5,2
10,1,10:06.0,,M. Barnes makes 2-pt layup from 1 ft (assist by B. Griffin),5,4
11,1,9:49.0,D. West makes 2-pt jump shot from 17 ft (assist by S. Hill),,7,4
12,1,9:44.0,,Shooting foul by D. West (drawn by B. Griffin),7,4
13,1,9:44.0,,B. Griffin makes free throw 1 of 2,7,5
14,1,9:44.0,,B. Griffin makes free throw 2 of 2,7,6
15,1,9:25.0,R. Hibbert misses 2-pt jump shot from 17 ft,,7,6
16,1,9:24.0,,Defensive rebound by D. Jordan,7,6
17,1,9:15.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by M. Barnes),7,9
18,1,9:02.0,R. Stuckey makes 2-pt jump shot from 18 ft (assist by S. Hill),,9,9
19,1,8:50.0,,C. Paul makes 2-pt jump shot from 12 ft,9,11
20,1,8:34.0,D. West misses 2-pt jump shot from 6 ft,,9,11
21,1,8:32.0,,Defensive rebound by B. Griffin,9,11
22,1,8:23.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by M. Barnes),9,14
23,1,8:00.0,R. Stuckey misses 2-pt jump shot from 17 ft,,9,14
24,1,7:59.0,,Defensive rebound by B. Griffin,9,14
25,1,7:54.0,,Shooting foul by R. Hibbert (drawn by B. Griffin),9,14
26,1,7:54.0,,B. Griffin makes free throw 1 of 2,9,15
27,1,7:54.0,,B. Griffin makes free throw 2 of 2,9,16
28,1,7:40.0,C. Watson misses 2-pt jump shot from 10 ft,,9,16
29,1,7:38.0,Offensive rebound by S. Hill,,9,16
30,1,7:36.0,S. Hill misses 2-pt layup from 2 ft,,9,16
31,1,7:35.0,,Defensive rebound by C. Paul,9,16
32,1,7:31.0,,Turnover by J. Redick (lost ball),9,16
33,1,7:20.0,D. West misses 2-pt jump shot from 11 ft,,9,16
34,1,7:18.0,,Defensive rebound by D. Jordan,9,16
35,1,7:14.0,,Shooting foul by S. Hill (drawn by B. Griffin),9,16
36,1,7:14.0,Indiana full timeout,,9,16
37,1,7:14.0,,B. Griffin makes free throw 1 of 2,9,17
38,1,7:14.0,,B. Griffin misses free throw 2 of 2,9,17
39,1,7:13.0,Defensive rebound by D. West,,9,17
40,1,6:51.0,D. West makes 2-pt layup from 1 ft (assist by S. Hill),,11,17
41,1,6:37.0,,J. Redick misses 3-pt jump shot from 22 ft,11,17
42,1,6:35.0,,Offensive rebound by D. Jordan,11,17
43,1,6:33.0,,D. Jordan makes 2-pt hook shot from 1 ft,11,19
44,1,6:11.0,R. Hibbert makes 2-pt hook shot from 11 ft,,13,19
45,1,5:51.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by M. Barnes),13,21
46,1,5:38.0,Shooting foul by B. Griffin (drawn by D. West),,13,21
47,1,5:38.0,D. West misses free throw 1 of 2,,13,21
48,1,5:38.0,Offensive rebound by Team,,13,21
49,1,5:38.0,C. Miles enters the game for R. Stuckey,,13,21
50,1,5:38.0,D. West makes free throw 2 of 2,,14,21
51,1,5:28.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),14,23
52,1,5:06.0,R. Hibbert misses 2-pt jump shot from 6 ft (block by M. Barnes),,14,23
53,1,5:02.0,,Defensive rebound by M. Barnes,14,23
54,1,4:52.0,,M. Barnes misses 3-pt jump shot from 23 ft,14,23
55,1,4:51.0,Defensive rebound by D. West,,14,23
56,1,4:31.0,R. Hibbert makes 2-pt dunk at rim (assist by S. Hill),,16,23
57,1,4:16.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),16,25
58,1,3:52.0,D. West makes 2-pt jump shot from 19 ft (assist by S. Hill),,18,25
59,1,3:33.0,,C. Paul misses 3-pt jump shot from 24 ft,18,25
60,1,3:31.0,Defensive rebound by Team,,18,25
61,1,3:31.0,,J. Crawford enters the game for J. Redick,18,25
62,1,3:31.0,L. Allen enters the game for R. Hibbert,,18,25
63,1,3:09.0,S. Hill misses 3-pt jump shot from 26 ft,,18,25
64,1,3:07.0,Offensive rebound by L. Allen,,18,25
65,1,3:03.0,C. Miles misses 3-pt jump shot from 24 ft,,18,25
66,1,3:01.0,Offensive rebound by L. Allen,,18,25
67,1,2:56.0,S. Hill makes 3-pt jump shot from 26 ft (assist by C. Watson),,21,25
68,1,2:34.0,,B. Griffin misses 2-pt layup from 1 ft (block by L. Allen),21,25
69,1,2:33.0,,Offensive rebound by B. Griffin,21,25
70,1,2:32.0,,B. Griffin makes 2-pt layup from 1 ft,21,27
71,1,2:24.0,,LA Clippers full timeout,21,27
72,1,2:24.0,,J. Farmar enters the game for C. Paul,21,27
73,1,2:24.0,D. Sloan enters the game for C. Watson,,21,27
74,1,2:10.0,Shooting foul by D. Jordan (drawn by S. Hill),,21,27
75,1,2:10.0,S. Hill makes free throw 1 of 2,,22,27
76,1,2:10.0,S. Hill makes free throw 2 of 2,,23,27
77,1,1:59.0,,Turnover by M. Barnes (lost ball),23,27
78,1,1:59.0,,G. Davis enters the game for D. Jordan,23,27
79,1,1:39.0,L. Allen makes 2-pt jump shot from 13 ft (assist by D. Sloan),,25,27
80,1,1:20.0,,Turnover by B. Griffin (lost ball; steal by D. Sloan),25,27
81,1,1:10.0,L. Allen makes 2-pt layup from 1 ft (assist by D. Sloan),,27,27
82,1,0:56.0,,G. Davis misses 2-pt layup from 2 ft (block by L. Allen),27,27
83,1,0:54.0,Defensive rebound by D. West,,27,27
84,1,0:51.0,Turnover by S. Hill (lost ball),,27,27
85,1,0:51.0,,C. Douglas-Roberts enters the game for M. Barnes,27,27
