,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ATLANTA_ACTION,HOUSTON_SCORE,ATLANTA_SCORE
0,1,11:52.0,T. Ariza makes 2-pt layup from 2 ft,,2,0
1,1,11:36.0,,Turnover by J. Teague (bad pass; steal by D. Motiejūnas),2,0
2,1,11:30.0,C. Brewer makes 2-pt layup from 1 ft (assist by T. Jones),,4,0
3,1,11:14.0,,J. Teague misses 2-pt jump shot from 22 ft,4,0
4,1,11:13.0,Defensive rebound by Team,,4,0
5,1,10:56.0,D. Motiejūnas makes 2-pt hook shot from 5 ft,,6,0
6,1,10:42.0,,K. Korver makes 2-pt layup at rim (assist by J. Teague),6,2
7,1,10:28.0,T. Ariza makes 2-pt jump shot from 19 ft (assist by D. Motiejūnas),,8,2
8,1,10:17.0,,Shooting foul by P. Beverley (drawn by J. Teague),8,2
9,1,10:17.0,,J. Teague makes free throw 1 of 2,8,3
10,1,10:17.0,,J. Teague makes free throw 2 of 2,8,4
11,1,10:00.0,T. Jones misses 2-pt layup from 3 ft,,8,4
12,1,9:58.0,,Defensive rebound by P. Millsap,8,4
13,1,9:46.0,,J. Teague makes 2-pt jump shot from 3 ft,8,6
14,1,9:35.0,D. Motiejūnas misses 3-pt jump shot from 25 ft,,8,6
15,1,9:34.0,,Defensive rebound by D. Carroll,8,6
16,1,9:19.0,,P. Millsap makes 2-pt jump shot from 19 ft,8,8
17,1,9:02.0,C. Brewer misses 2-pt jump shot from 15 ft (block by K. Korver),,8,8
18,1,9:02.0,Offensive rebound by Team,,8,8
19,1,8:58.0,P. Beverley misses 3-pt jump shot from 24 ft,,8,8
20,1,8:57.0,,Defensive rebound by A. Horford,8,8
21,1,8:55.0,,Turnover by A. Horford (bad pass),8,8
22,1,8:44.0,P. Beverley misses 3-pt jump shot from 24 ft,,8,8
23,1,8:42.0,,Defensive rebound by A. Horford,8,8
24,1,8:29.0,,P. Millsap misses 2-pt jump shot from 20 ft,8,8
25,1,8:27.0,,Offensive rebound by D. Carroll,8,8
26,1,8:26.0,,D. Carroll makes 2-pt layup from 1 ft,8,10
27,1,8:20.0,C. Brewer misses 2-pt jump shot from 21 ft,,8,10
28,1,8:18.0,Offensive rebound by T. Jones,,8,10
29,1,8:17.0,T. Jones makes 2-pt layup at rim,,10,10
30,1,8:03.0,,Turnover by A. Horford (traveling),10,10
31,1,8:03.0,,Violation by Team (delay of game),10,10
32,1,7:54.0,T. Ariza misses 3-pt jump shot from 24 ft,,10,10
33,1,7:53.0,,Defensive rebound by P. Millsap,10,10
34,1,7:46.0,,Shooting foul by D. Motiejūnas (drawn by J. Teague),10,10
35,1,7:46.0,,J. Teague makes free throw 1 of 2,10,11
36,1,7:46.0,,J. Teague makes free throw 2 of 2,10,12
37,1,7:33.0,Turnover by P. Beverley (bad pass; steal by P. Millsap),,10,12
38,1,7:29.0,,D. Carroll misses 2-pt layup from 2 ft,10,12
39,1,7:28.0,,Offensive rebound by A. Horford,10,12
40,1,7:25.0,,K. Korver misses 3-pt jump shot from 23 ft,10,12
41,1,7:24.0,Defensive rebound by P. Beverley,,10,12
42,1,7:15.0,D. Motiejūnas makes 3-pt jump shot from 25 ft (assist by P. Beverley),,13,12
43,1,6:53.0,,P. Millsap misses 2-pt layup from 2 ft (block by T. Jones),13,12
44,1,6:51.0,Defensive rebound by D. Motiejūnas,,13,12
45,1,6:48.0,C. Brewer makes 2-pt layup at rim,,15,12
46,1,6:34.0,,J. Teague makes 3-pt jump shot from 25 ft,15,15
47,1,6:21.0,C. Brewer misses 3-pt jump shot from 23 ft,,15,15
48,1,6:20.0,,Defensive rebound by J. Teague,15,15
49,1,6:13.0,,A. Horford makes 2-pt layup from 1 ft (assist by J. Teague),15,17
50,1,5:55.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),,18,17
51,1,5:46.0,,Atlanta full timeout,18,17
52,1,5:46.0,J. Smith enters the game for T. Jones,,18,17
53,1,5:45.0,,Offensive foul by A. Horford (drawn by P. Beverley),18,17
54,1,5:45.0,,Turnover by A. Horford (offensive foul),18,17
55,1,5:31.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),,21,17
56,1,5:13.0,,Turnover by J. Teague (bad pass),21,17
57,1,5:13.0,,P. Antić enters the game for A. Horford,21,17
58,1,5:13.0,,K. Bazemore enters the game for K. Korver,21,17
59,1,5:01.0,D. Motiejūnas misses 2-pt hook shot from 8 ft,,21,17
60,1,4:58.0,,Defensive rebound by P. Millsap,21,17
61,1,4:54.0,J. Terry enters the game for C. Brewer,,21,17
62,1,4:52.0,,Turnover by P. Millsap (lost ball; steal by C. Brewer),21,17
63,1,4:37.0,J. Smith makes 2-pt hook shot from 4 ft,,23,17
64,1,4:28.0,,J. Teague misses 2-pt jump shot from 17 ft,23,17
65,1,4:26.0,Defensive rebound by J. Terry,,23,17
66,1,4:17.0,Shooting foul by P. Millsap (drawn by D. Motiejūnas),,23,17
67,1,4:17.0,D. Motiejūnas misses free throw 1 of 2,,23,17
68,1,4:17.0,Offensive rebound by Team,,23,17
69,1,4:17.0,P. Prigioni enters the game for P. Beverley,,23,17
70,1,4:17.0,D. Motiejūnas makes free throw 2 of 2,,24,17
71,1,4:17.0,,Turnover by D. Carroll (bad pass),24,17
72,1,4:15.0,Turnover by J. Terry (bad pass),,24,17
73,1,3:59.0,,Personal foul by P. Prigioni (drawn by K. Bazemore),24,17
74,1,3:59.0,,D. Schröder enters the game for J. Teague,24,17
75,1,3:52.0,,P. Millsap misses 2-pt layup from 3 ft,24,17
76,1,3:49.0,Defensive rebound by J. Smith,,24,17
77,1,3:45.0,J. Terry misses 3-pt jump shot from 25 ft,,24,17
78,1,3:42.0,,Defensive rebound by D. Schröder,24,17
79,1,3:35.0,Offensive charge foul by K. Bazemore (drawn by D. Motiejūnas),,24,17
80,1,3:35.0,,Turnover by K. Bazemore (offensive foul),24,17
81,1,3:30.0,,Technical foul by Team,24,17
82,1,3:30.0,J. Terry makes technical free throw,,25,17
83,1,3:16.0,P. Prigioni misses 3-pt jump shot from 23 ft,,25,17
84,1,3:14.0,,Defensive rebound by K. Bazemore,25,17
85,1,2:53.0,Offensive charge foul by D. Carroll (drawn by D. Motiejūnas),,25,17
86,1,2:53.0,,Turnover by D. Carroll (offensive foul),25,17
87,1,2:53.0,Houston full timeout,,25,17
88,1,2:53.0,C. Brewer enters the game for T. Ariza,,25,17
89,1,2:53.0,T. Jones enters the game for D. Motiejūnas,,25,17
90,1,2:40.0,J. Smith makes 2-pt hook shot from 2 ft (assist by P. Prigioni),,27,17
91,1,2:23.0,,Personal foul by J. Smith (drawn by P. Millsap),27,17
92,1,2:17.0,,K. Bazemore misses 3-pt jump shot from 25 ft,27,17
93,1,2:16.0,Defensive rebound by T. Jones,,27,17
94,1,2:05.0,T. Jones makes 2-pt jump shot from 13 ft (assist by P. Prigioni),,29,17
95,1,1:53.0,,D. Schröder misses 2-pt layup from 2 ft (block by T. Jones),29,17
96,1,1:51.0,Defensive rebound by T. Jones,,29,17
97,1,1:45.0,C. Brewer makes 2-pt dunk at rim (assist by J. Smith),,31,17
98,1,1:45.0,,Atlanta full timeout,31,17
99,1,1:45.0,,K. Korver enters the game for D. Carroll,31,17
100,1,1:27.0,,D. Schröder makes 2-pt jump shot from 3 ft (assist by P. Antić),31,19
101,1,1:04.0,J. Smith misses 3-pt jump shot from 24 ft,,31,19
102,1,1:02.0,,Defensive rebound by K. Bazemore,31,19
103,1,0:50.0,,D. Schröder misses 2-pt layup from 1 ft,31,19
104,1,0:50.0,,Offensive rebound by Team,31,19
105,1,0:50.0,,A. Horford enters the game for P. Millsap,31,19
106,1,0:26.0,,P. Antić makes 3-pt jump shot from 26 ft (assist by D. Schröder),31,22
107,1,0:05.0,P. Prigioni misses 3-pt jump shot from 26 ft,,31,22
108,1,0:03.0,,Defensive rebound by P. Antić,31,22
109,1,0:00.0,,K. Bazemore misses 3-pt jump shot from 38 ft,31,22
110,1,0:00.0,,Offensive rebound by Team,31,22
111,2,11:42.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by P. Antić),31,25
112,2,11:20.0,J. Terry makes 3-pt jump shot from 24 ft (assist by J. Smith),,34,25
113,2,11:10.0,,D. Schröder makes 3-pt jump shot from 25 ft,34,28
114,2,10:58.0,J. Smith misses 2-pt layup from 1 ft,,34,28
115,2,10:57.0,,Defensive rebound by K. Bazemore,34,28
116,2,10:51.0,,A. Horford makes 2-pt dunk at rim (assist by D. Schröder),34,30
117,2,10:37.0,Turnover by P. Prigioni (bad pass),,34,30
118,2,10:37.0,,M. Scott enters the game for P. Antić,34,30
119,2,10:37.0,P. Beverley enters the game for P. Prigioni,,34,30
120,2,10:20.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by D. Schröder),34,32
