,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,M. Gasol misses 2-pt jump shot from 13 ft,0,0
1,1,11:38.0,Defensive rebound by T. Duncan,,0,0
2,1,11:38.0,Turnover by T. Duncan (bad pass; steal by T. Allen),,0,0
3,1,11:34.0,,Turnover by T. Allen (step out of bounds),0,0
4,1,11:21.0,T. Parker makes 2-pt jump shot from 18 ft,,2,0
5,1,11:04.0,,Z. Randolph misses 2-pt layup from 2 ft (block by K. Leonard),2,0
6,1,11:04.0,Defensive rebound by Team,,2,0
7,1,10:48.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Parker),,5,0
8,1,10:35.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),5,2
9,1,10:12.0,M. Bonner makes 3-pt jump shot from 26 ft (assist by T. Parker),,8,2
10,1,9:58.0,,Offensive foul by Z. Randolph (drawn by D. Green),8,2
11,1,9:58.0,,Turnover by Z. Randolph (offensive foul),8,2
12,1,9:43.0,D. Green misses 3-pt jump shot from 23 ft,,8,2
13,1,9:42.0,,Defensive rebound by Z. Randolph,8,2
14,1,9:33.0,,Turnover by Z. Randolph (bad pass),8,2
15,1,9:17.0,M. Bonner misses 3-pt jump shot from 25 ft,,8,2
16,1,9:15.0,,Defensive rebound by M. Gasol,8,2
17,1,9:12.0,,Z. Randolph misses 2-pt jump shot from 3 ft,8,2
18,1,9:09.0,Defensive rebound by K. Leonard,,8,2
19,1,9:01.0,T. Parker misses 2-pt jump shot from 21 ft,,8,2
20,1,8:59.0,,Defensive rebound by M. Gasol,8,2
21,1,8:58.0,,Personal foul by T. Duncan (drawn by M. Gasol),8,2
22,1,8:40.0,,M. Conley misses 2-pt jump shot from 20 ft,8,2
23,1,8:39.0,Defensive rebound by T. Duncan,,8,2
24,1,8:28.0,T. Parker misses 2-pt jump shot from 21 ft,,8,2
25,1,8:25.0,,Defensive rebound by Z. Randolph,8,2
26,1,8:15.0,,Turnover by M. Gasol (lost ball; steal by K. Leonard),8,2
27,1,8:11.0,K. Leonard makes 2-pt dunk at rim,,10,2
28,1,8:11.0,,Technical foul by M. Gasol,10,2
29,1,8:11.0,,Memphis full timeout,10,2
30,1,8:11.0,D. Green makes technical free throw,,11,2
31,1,7:57.0,,M. Gasol misses 2-pt jump shot from 15 ft,11,2
32,1,7:56.0,Defensive rebound by T. Parker,,11,2
