,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,11:45.0,,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by J. Nelson),0,2
1,1,11:24.0,Z. LaVine misses 3-pt jump shot from 26 ft,,0,2
2,1,11:23.0,,Defensive rebound by T. Chandler,0,2
3,1,11:07.0,,C. Parsons misses 3-pt jump shot from 23 ft,0,2
4,1,11:06.0,Defensive rebound by A. Bennett,,0,2
5,1,10:54.0,Personal foul by T. Chandler (drawn by N. Peković),,0,2
6,1,10:45.0,K. Martin makes 2-pt jump shot from 15 ft,,2,2
7,1,10:33.0,,C. Parsons misses 2-pt jump shot from 7 ft,2,2
8,1,10:31.0,,Offensive rebound by C. Parsons,2,2
9,1,10:31.0,,C. Parsons misses 2-pt tip-in from 2 ft,2,2
10,1,10:30.0,Defensive rebound by N. Peković,,2,2
11,1,10:25.0,A. Bennett makes 2-pt jump shot from 16 ft (assist by K. Martin),,4,2
12,1,10:06.0,,Personal foul by Z. LaVine (drawn by J. Nelson),4,2
13,1,9:51.0,,Turnover by Team (shot clock),4,2
14,1,9:39.0,A. Wiggins misses 2-pt jump shot from 19 ft,,4,2
15,1,9:38.0,,Defensive rebound by C. Parsons,4,2
16,1,9:26.0,,M. Ellis misses 2-pt jump shot from 17 ft,4,2
17,1,9:24.0,Defensive rebound by Z. LaVine,,4,2
18,1,9:21.0,,Offensive charge foul by Z. LaVine (drawn by J. Nelson),4,2
19,1,9:21.0,Turnover by Z. LaVine (offensive foul),,4,2
20,1,9:21.0,M. Williams enters the game for Z. LaVine,,4,2
21,1,9:10.0,,J. Nelson misses 3-pt jump shot from 25 ft,4,2
22,1,9:09.0,Defensive rebound by K. Martin,,4,2
23,1,9:02.0,A. Bennett misses 2-pt jump shot from 20 ft,,4,2
24,1,9:01.0,,Defensive rebound by T. Chandler,4,2
25,1,8:57.0,Offensive charge foul by M. Ellis (drawn by K. Martin),,4,2
26,1,8:57.0,,Turnover by M. Ellis (offensive foul),4,2
27,1,8:44.0,A. Wiggins misses 2-pt jump shot from 12 ft,,4,2
28,1,8:41.0,,Defensive rebound by C. Parsons,4,2
29,1,8:33.0,,J. Nelson makes 3-pt jump shot from 26 ft (assist by C. Parsons),4,5
30,1,8:15.0,N. Peković misses 2-pt jump shot from 9 ft,,4,5
31,1,8:13.0,Offensive rebound by A. Wiggins,,4,5
32,1,8:13.0,A. Wiggins makes 2-pt tip-in at rim,,6,5
33,1,8:05.0,,T. Chandler makes 2-pt dunk at rim (assist by J. Nelson),6,7
34,1,7:49.0,K. Martin makes 2-pt jump shot from 16 ft (assist by M. Williams),,8,7
35,1,7:33.0,,M. Ellis makes 2-pt jump shot from 7 ft,8,9
36,1,7:06.0,M. Williams misses 3-pt jump shot from 28 ft,,8,9
37,1,7:06.0,Offensive rebound by Team,,8,9
38,1,7:06.0,Turnover by Team (shot clock),,8,9
39,1,6:49.0,,D. Nowitzki misses 2-pt jump shot from 16 ft,8,9
40,1,6:48.0,Defensive rebound by K. Martin,,8,9
41,1,6:40.0,M. Williams misses 2-pt jump shot from 19 ft,,8,9
42,1,6:39.0,,Defensive rebound by T. Chandler,8,9
43,1,6:30.0,,M. Ellis makes 3-pt jump shot from 22 ft (assist by J. Nelson),8,12
44,1,6:29.0,Minnesota full timeout,,8,12
45,1,6:29.0,,D. Harris enters the game for D. Nowitzki,8,12
46,1,6:15.0,K. Martin makes 2-pt jump shot from 16 ft (assist by N. Peković),,10,12
47,1,5:53.0,,C. Parsons makes 2-pt layup at rim (assist by D. Harris),10,14
48,1,5:40.0,K. Martin makes 2-pt jump shot from 15 ft,,12,14
49,1,5:24.0,,D. Harris misses 2-pt jump shot from 22 ft,12,14
50,1,5:24.0,Defensive rebound by N. Peković,,12,14
51,1,4:59.0,K. Martin misses 3-pt jump shot from 28 ft,,12,14
52,1,4:58.0,,Defensive rebound by C. Parsons,12,14
53,1,4:50.0,,D. Harris misses 2-pt layup from 2 ft,12,14
54,1,4:49.0,Defensive rebound by N. Peković,,12,14
55,1,4:39.0,A. Wiggins misses 2-pt layup at rim,,12,14
56,1,4:37.0,,Defensive rebound by T. Chandler,12,14
57,1,4:32.0,,J. Nelson makes 2-pt layup from 2 ft (assist by C. Parsons),12,16
58,1,4:13.0,M. Williams makes 2-pt jump shot from 22 ft,,14,16
59,1,3:57.0,,M. Ellis misses 3-pt jump shot from 25 ft,14,16
60,1,3:57.0,Defensive rebound by A. Bennett,,14,16
61,1,3:47.0,Personal foul by C. Parsons (drawn by A. Bennett),,14,16
62,1,3:47.0,,G. Smith enters the game for T. Chandler,14,16
63,1,3:47.0,C. Budinger enters the game for A. Wiggins,,14,16
64,1,3:47.0,G. Dieng enters the game for N. Peković,,14,16
65,1,3:47.0,C. Brewer enters the game for K. Martin,,14,16
66,1,3:39.0,M. Williams makes 2-pt jump shot from 22 ft,,16,16
67,1,3:31.0,,Dallas full timeout,16,16
68,1,3:31.0,,A. Aminu enters the game for J. Nelson,16,16
69,1,3:26.0,,Personal foul by C. Budinger (drawn by A. Aminu),16,16
70,1,3:17.0,,C. Parsons makes 2-pt jump shot from 19 ft (assist by G. Smith),16,18
71,1,2:56.0,Offensive foul by C. Budinger (drawn by C. Parsons),,16,18
72,1,2:56.0,Turnover by C. Budinger (offensive foul),,16,18
73,1,2:56.0,R. Hummel enters the game for A. Bennett,,16,18
