,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,UTAH_ACTION,SACRAMENTO_SCORE,UTAH_SCORE
0,1,11:36.0,R. Gay misses 2-pt jump shot from 20 ft,,0,0
1,1,11:35.0,Offensive rebound by Team,,0,0
2,1,11:35.0,,Loose ball foul by E. Millsap (drawn by B. McLemore),0,0
3,1,11:28.0,B. McLemore misses 3-pt jump shot from 24 ft,,0,0
4,1,11:26.0,,Defensive rebound by E. Freedom,0,0
5,1,11:14.0,,G. Hayward makes 2-pt jump shot from 22 ft (assist by D. Favors),0,2
6,1,10:55.0,D. Cousins misses 2-pt hook shot from 4 ft,,0,2
7,1,10:54.0,Offensive rebound by D. Cousins,,0,2
8,1,10:44.0,D. Cousins makes 2-pt jump shot from 4 ft,,2,2
9,1,10:31.0,,E. Freedom misses 2-pt jump shot from 19 ft,2,2
10,1,10:29.0,Defensive rebound by R. Sessions,,2,2
11,1,10:19.0,R. Sessions misses 2-pt layup from 3 ft (block by D. Favors),,2,2
12,1,10:19.0,Offensive rebound by Team,,2,2
13,1,10:09.0,R. Gay misses 2-pt jump shot from 3 ft,,2,2
14,1,10:09.0,,Defensive rebound by Team,2,2
15,1,9:55.0,,Personal foul by R. Gay (drawn by G. Hayward),2,2
16,1,9:45.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by E. Freedom),2,5
17,1,9:23.0,D. Cousins makes 2-pt jump shot from 16 ft,,4,5
18,1,9:11.0,,G. Hayward misses 3-pt jump shot from 24 ft,4,5
19,1,9:09.0,Defensive rebound by D. Cousins,,4,5
20,1,8:48.0,J. Thompson misses 2-pt jump shot from 19 ft,,4,5
21,1,8:45.0,,Defensive rebound by E. Millsap,4,5
22,1,8:30.0,,D. Favors misses 2-pt jump shot from 18 ft,4,5
23,1,8:28.0,,Offensive rebound by E. Freedom,4,5
24,1,8:28.0,,E. Freedom makes 2-pt layup from 1 ft,4,7
25,1,8:10.0,D. Cousins misses 2-pt layup at rim,,4,7
26,1,8:09.0,,Defensive rebound by Team,4,7
27,1,7:48.0,,D. Favors misses 2-pt jump shot from 16 ft,4,7
28,1,7:46.0,Defensive rebound by B. McLemore,,4,7
29,1,7:39.0,B. McLemore misses 2-pt jump shot from 6 ft,,4,7
30,1,7:37.0,Offensive rebound by R. Sessions,,4,7
31,1,7:30.0,R. Gay misses 3-pt jump shot from 22 ft,,4,7
32,1,7:29.0,,Defensive rebound by D. Favors,4,7
33,1,7:13.0,,D. Favors misses 2-pt jump shot from 15 ft,4,7
34,1,7:08.0,,Offensive rebound by E. Freedom,4,7
35,1,7:08.0,,E. Freedom misses 2-pt layup from 2 ft,4,7
36,1,7:06.0,,Offensive rebound by G. Hayward,4,7
37,1,6:57.0,,Shooting foul by J. Thompson (drawn by E. Freedom),4,7
38,1,6:57.0,,E. Freedom makes free throw 1 of 2,4,8
39,1,6:57.0,,E. Freedom makes free throw 2 of 2,4,9
40,1,6:45.0,B. McLemore misses 3-pt jump shot from 24 ft,,4,9
41,1,6:43.0,,Defensive rebound by D. Favors,4,9
42,1,6:34.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Millsap),4,11
43,1,6:33.0,,Violation by Team (delay of game),4,11
44,1,6:32.0,Sacramento full timeout,,4,11
45,1,6:16.0,Shooting foul by D. Exum (drawn by R. Sessions),,4,11
46,1,6:16.0,R. Sessions makes free throw 1 of 2,,5,11
47,1,6:16.0,,T. Burke enters the game for D. Exum,5,11
48,1,6:16.0,,R. Gobert enters the game for E. Freedom,5,11
49,1,6:16.0,R. Sessions makes free throw 2 of 2,,6,11
50,1,6:02.0,,D. Favors makes 2-pt layup at rim,6,13
51,1,5:52.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by R. Sessions),,8,13
52,1,5:36.0,,Turnover by D. Favors (lost ball),8,13
53,1,5:24.0,R. Gay misses 3-pt jump shot from 23 ft,,8,13
54,1,5:22.0,,Defensive rebound by G. Hayward,8,13
55,1,5:06.0,,G. Hayward makes 2-pt jump shot from 10 ft,8,15
56,1,4:48.0,D. Cousins misses 2-pt jump shot from 4 ft (block by D. Favors),,8,15
57,1,4:45.0,,Defensive rebound by T. Burke,8,15
58,1,4:43.0,,G. Hayward makes 2-pt layup at rim (assist by T. Burke),8,17
59,1,4:18.0,D. Cousins misses 2-pt jump shot from 10 ft,,8,17
60,1,4:17.0,,Defensive rebound by R. Gobert,8,17
61,1,3:54.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),8,19
62,1,3:48.0,Sacramento full timeout,,8,19
63,1,3:48.0,R. Evans enters the game for J. Thompson,,8,19
64,1,3:42.0,B. McLemore misses 2-pt jump shot from 5 ft,,8,19
65,1,3:42.0,Offensive rebound by Team,,8,19
66,1,3:39.0,R. Evans misses 2-pt jump shot from 4 ft (block by R. Gobert),,8,19
67,1,3:37.0,,Defensive rebound by D. Favors,8,19
68,1,3:33.0,,G. Hayward misses 2-pt layup from 2 ft (block by D. Cousins),8,19
69,1,3:30.0,Defensive rebound by B. McLemore,,8,19
70,1,3:20.0,B. McLemore makes 2-pt dunk at rim (assist by R. Sessions),,10,19
71,1,3:09.0,,T. Burke makes 2-pt jump shot from 17 ft,10,21
72,1,2:41.0,D. Cousins makes 2-pt jump shot from 8 ft,,12,21
73,1,2:32.0,,Utah full timeout,12,21
74,1,2:32.0,O. Casspi enters the game for R. Gay,,12,21
75,1,2:32.0,R. McCallum enters the game for R. Sessions,,12,21
76,1,2:32.0,,S. Novak enters the game for G. Hayward,12,21
77,1,2:13.0,,S. Novak misses 3-pt jump shot from 30 ft,12,21
78,1,2:13.0,Defensive rebound by Team,,12,21
79,1,1:58.0,D. Cousins misses 2-pt jump shot from 19 ft,,12,21
80,1,1:55.0,,Defensive rebound by E. Millsap,12,21
81,1,1:51.0,,Shooting foul by B. McLemore (drawn by E. Millsap),12,21
82,1,1:51.0,,E. Millsap makes free throw 1 of 2,12,22
83,1,1:51.0,,E. Freedom enters the game for D. Favors,12,22
84,1,1:51.0,N. Stauskas enters the game for B. McLemore,,12,22
85,1,1:51.0,,E. Millsap makes free throw 2 of 2,12,23
86,1,1:40.0,Shooting foul by R. Gobert (drawn by D. Cousins),,12,23
87,1,1:40.0,D. Cousins misses free throw 1 of 2,,12,23
88,1,1:40.0,Offensive rebound by Team,,12,23
89,1,1:40.0,,D. Exum enters the game for E. Millsap,12,23
90,1,1:40.0,D. Cousins makes free throw 2 of 2,,13,23
91,1,1:26.0,,E. Freedom misses 3-pt jump shot from 23 ft,13,23
92,1,1:25.0,Defensive rebound by R. Evans,,13,23
