,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MINNESOTA_ACTION,NEW YORK_SCORE,MINNESOTA_SCORE
0,1,11:44.0,I. Shumpert misses 2-pt jump shot from 18 ft,,0,0
1,1,11:41.0,,Defensive rebound by M. Williams,0,0
2,1,11:31.0,,A. Wiggins misses 2-pt layup from 1 ft,0,0
3,1,11:30.0,Defensive rebound by I. Shumpert,,0,0
4,1,11:25.0,Q. Acy makes 2-pt dunk at rim (assist by I. Shumpert),,2,0
5,1,11:09.0,,K. Martin makes 3-pt jump shot from 25 ft (assist by S. Muhammad),2,3
6,1,10:50.0,C. Anthony misses 2-pt jump shot from 19 ft,,2,3
7,1,10:48.0,,Defensive rebound by A. Wiggins,2,3
8,1,10:37.0,,Turnover by A. Wiggins (traveling),2,3
9,1,10:18.0,I. Shumpert misses 2-pt jump shot from 12 ft,,2,3
10,1,10:16.0,Offensive rebound by Q. Acy,,2,3
11,1,9:55.0,C. Anthony makes 2-pt jump shot from 21 ft,,4,3
12,1,9:45.0,,M. Williams misses 2-pt layup at rim (block by S. Dalembert),4,3
13,1,9:44.0,,Offensive rebound by Team,4,3
14,1,9:36.0,,S. Muhammad misses 2-pt jump shot from 6 ft,4,3
15,1,9:35.0,Defensive rebound by S. Dalembert,,4,3
16,1,9:27.0,Turnover by S. Dalembert (bad pass; steal by G. Dieng),,4,3
17,1,9:23.0,,S. Muhammad makes 2-pt dunk at rim (assist by M. Williams),4,5
18,1,9:23.0,,Shooting foul by S. Dalembert (drawn by S. Muhammad),4,5
19,1,9:23.0,,S. Muhammad makes free throw 1 of 1,4,6
20,1,9:05.0,I. Shumpert misses 2-pt jump shot from 15 ft,,4,6
21,1,9:04.0,Offensive rebound by I. Shumpert,,4,6
22,1,9:00.0,Q. Acy misses 2-pt layup at rim,,4,6
23,1,8:58.0,,Defensive rebound by Team,4,6
24,1,8:42.0,,A. Wiggins misses 2-pt jump shot from 16 ft,4,6
25,1,8:41.0,,Offensive rebound by G. Dieng,4,6
26,1,8:37.0,,K. Martin misses 2-pt jump shot from 12 ft,4,6
27,1,8:36.0,,Offensive rebound by Team,4,6
28,1,8:36.0,Loose ball foul by Q. Acy (drawn by A. Wiggins),,4,6
29,1,8:26.0,,A. Wiggins misses 2-pt dunk at rim,4,6
30,1,8:25.0,Defensive rebound by I. Shumpert,,4,6
31,1,8:20.0,I. Shumpert misses 2-pt layup at rim,,4,6
32,1,8:19.0,,Defensive rebound by Team,4,6
33,1,8:05.0,,S. Muhammad misses 2-pt jump shot from 21 ft,4,6
34,1,8:03.0,Defensive rebound by I. Shumpert,,4,6
35,1,7:44.0,S. Dalembert makes 2-pt jump shot from 18 ft (assist by S. Larkin),,6,6
36,1,7:31.0,,M. Williams makes 3-pt jump shot from 24 ft,6,9
37,1,7:15.0,Turnover by I. Shumpert (lost ball; steal by G. Dieng),,6,9
38,1,7:05.0,,K. Martin misses 3-pt jump shot from 23 ft,6,9
39,1,7:04.0,Defensive rebound by C. Anthony,,6,9
40,1,6:57.0,Q. Acy misses 2-pt layup at rim,,6,9
41,1,6:56.0,Offensive rebound by Team,,6,9
42,1,6:54.0,I. Shumpert misses 2-pt jump shot from 15 ft,,6,9
43,1,6:53.0,,Defensive rebound by S. Muhammad,6,9
44,1,6:48.0,,K. Martin makes 3-pt jump shot from 25 ft (assist by M. Williams),6,12
45,1,6:48.0,,Shooting foul by S. Larkin (drawn by K. Martin),6,12
46,1,6:48.0,New York full timeout,,6,12
