,QUARTER,TIME_REMAINING,UTAH_ACTION,BROOKLYN_ACTION,UTAH_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,M. Brown misses 2-pt jump shot from 17 ft,0,0
1,1,11:39.0,Defensive rebound by R. Gobert,,0,0
2,1,11:15.0,D. Exum makes 3-pt jump shot from 24 ft (assist by R. Gobert),,3,0
3,1,11:00.0,,T. Young makes 2-pt jump shot from 17 ft,3,2
4,1,10:47.0,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),,5,2
5,1,10:33.0,,T. Young misses 2-pt hook shot from 7 ft,5,2
6,1,10:31.0,,Offensive rebound by B. Lopez,5,2
7,1,10:30.0,,B. Lopez misses 2-pt tip-in from 2 ft,5,2
8,1,10:29.0,,Offensive rebound by T. Young,5,2
9,1,10:27.0,,T. Young misses 2-pt tip-in from 2 ft,5,2
10,1,10:25.0,,Offensive rebound by B. Lopez,5,2
11,1,10:24.0,,B. Lopez makes 2-pt layup from 2 ft,5,4
12,1,10:01.0,J. Ingles misses 3-pt jump shot from 24 ft,,5,4
13,1,10:00.0,,Defensive rebound by M. Brown,5,4
14,1,9:46.0,,B. Lopez makes 2-pt hook shot from 10 ft (assist by T. Young),5,6
15,1,9:29.0,G. Hayward makes 2-pt jump shot from 17 ft (assist by D. Favors),,7,6
16,1,9:12.0,,J. Johnson makes 2-pt jump shot from 8 ft,7,8
17,1,9:05.0,Turnover by R. Gobert (lost ball),,7,8
18,1,8:47.0,,B. Lopez misses 2-pt jump shot from 4 ft,7,8
19,1,8:46.0,Defensive rebound by G. Hayward,,7,8
20,1,8:30.0,Personal foul by T. Young (drawn by D. Favors),,7,8
21,1,8:23.0,Personal foul by M. Brown (drawn by G. Hayward),,7,8
22,1,8:09.0,G. Hayward misses 3-pt jump shot from 24 ft,,7,8
23,1,8:08.0,,Defensive rebound by D. Williams,7,8
24,1,7:52.0,,B. Lopez misses 2-pt jump shot from 8 ft,7,8
25,1,7:51.0,Defensive rebound by J. Ingles,,7,8
26,1,7:38.0,D. Exum makes 3-pt jump shot from 22 ft (assist by J. Ingles),,10,8
27,1,7:24.0,,J. Johnson misses 2-pt jump shot from 17 ft,10,8
28,1,7:22.0,Defensive rebound by D. Favors,,10,8
29,1,7:10.0,D. Favors misses 2-pt hook shot from 4 ft,,10,8
30,1,7:09.0,,Defensive rebound by B. Lopez,10,8
31,1,6:55.0,,T. Young makes 2-pt hook shot from 5 ft,10,10
32,1,6:36.0,Turnover by R. Gobert (lost ball; steal by T. Young),,10,10
33,1,6:30.0,,T. Young makes 2-pt dunk at rim (assist by M. Brown),10,12
34,1,6:30.0,Utah full timeout,,10,12
35,1,6:14.0,G. Hayward misses 3-pt jump shot from 24 ft,,10,12
36,1,6:13.0,Offensive rebound by G. Hayward,,10,12
37,1,6:05.0,G. Hayward makes 3-pt jump shot from 23 ft (assist by J. Ingles),,13,12
38,1,5:42.0,,M. Brown makes 3-pt jump shot from 24 ft (assist by D. Williams),13,15
39,1,5:24.0,D. Exum misses 2-pt jump shot from 9 ft,,13,15
40,1,5:23.0,Offensive rebound by D. Exum,,13,15
41,1,5:22.0,D. Exum makes 2-pt layup at rim,,15,15
42,1,5:07.0,,J. Johnson misses 3-pt jump shot from 23 ft,15,15
43,1,5:06.0,Defensive rebound by G. Hayward,,15,15
44,1,4:54.0,Turnover by J. Ingles (bad pass; steal by T. Young),,15,15
45,1,4:36.0,,B. Lopez makes 2-pt jump shot from 9 ft,15,17
46,1,4:10.0,Turnover by Team (shot clock),,15,17
47,1,4:10.0,T. Burke enters the game for D. Exum,,15,17
48,1,4:01.0,,B. Lopez misses 2-pt jump shot from 14 ft,15,17
49,1,4:00.0,Defensive rebound by T. Burke,,15,17
50,1,3:38.0,D. Favors misses 2-pt jump shot from 11 ft,,15,17
51,1,3:37.0,,Defensive rebound by M. Brown,15,17
52,1,3:23.0,,T. Young misses 2-pt jump shot from 7 ft,15,17
53,1,3:21.0,Defensive rebound by D. Favors,,15,17
54,1,3:04.0,D. Favors misses 2-pt hook shot from 6 ft,,15,17
55,1,3:02.0,,Defensive rebound by J. Johnson,15,17
56,1,2:56.0,,M. Brown misses 3-pt jump shot from 22 ft,15,17
57,1,2:55.0,Defensive rebound by R. Gobert,,15,17
58,1,2:35.0,Turnover by D. Favors (bad pass; steal by T. Young),,15,17
59,1,2:31.0,,M. Brown misses 2-pt dunk at rim,15,17
60,1,2:29.0,Defensive rebound by Team,,15,17
61,1,2:29.0,,Brooklyn full timeout,15,17
62,1,2:29.0,E. Millsap enters the game for J. Ingles,,15,17
63,1,2:29.0,T. Booker enters the game for D. Favors,,15,17
64,1,2:04.0,G. Hayward makes 2-pt jump shot from 20 ft (assist by T. Burke),,17,17
65,1,1:48.0,,T. Young makes 2-pt layup from 3 ft (assist by J. Johnson),17,19
66,1,1:29.0,E. Millsap misses 2-pt layup from 3 ft (block by B. Lopez),,17,19
67,1,1:28.0,,Defensive rebound by D. Williams,17,19
68,1,1:22.0,,J. Johnson makes 3-pt jump shot from 22 ft (assist by D. Williams),17,22
69,1,1:00.0,G. Hayward makes 2-pt jump shot from 17 ft,,19,22
70,1,0:42.0,,J. Johnson misses 2-pt jump shot from 8 ft,19,22
71,1,0:41.0,,Offensive rebound by B. Lopez,19,22
72,1,0:40.0,,B. Lopez makes 2-pt layup from 1 ft,19,24
73,1,0:26.0,R. Hood enters the game for G. Hayward,,19,24
74,1,0:18.0,T. Burke makes 2-pt jump shot from 13 ft,,21,24
75,1,0:03.0,,B. Lopez misses 2-pt jump shot from 4 ft,21,24
76,1,0:02.0,Defensive rebound by R. Gobert,,21,24
77,1,0:01.0,T. Burke misses 3-pt jump shot from 67 ft,,21,24
78,1,0:00.0,Offensive rebound by Team,,21,24
79,2,11:44.0,T. Booker misses 3-pt jump shot from 23 ft,,21,24
80,2,11:43.0,Offensive rebound by Team,,21,24
81,2,11:43.0,,Loose ball foul by B. Lopez (drawn by R. Gobert),21,24
82,2,11:30.0,R. Hood misses 3-pt jump shot from 26 ft,,21,24
83,2,11:29.0,Offensive rebound by T. Booker,,21,24
84,2,11:27.0,T. Booker makes 2-pt layup from 1 ft,,23,24
85,2,11:01.0,,T. Young misses 2-pt jump shot from 10 ft,23,24
86,2,11:00.0,,Offensive rebound by B. Lopez,23,24
87,2,10:59.0,,B. Lopez makes 2-pt layup from 2 ft,23,26
88,2,10:43.0,Turnover by T. Booker (traveling),,23,26
89,2,10:43.0,D. Favors enters the game for R. Gobert,,23,26
90,2,10:28.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,23,26
91,2,10:27.0,Defensive rebound by D. Favors,,23,26
92,2,10:21.0,T. Burke makes 2-pt jump shot from 4 ft,,25,26
93,2,10:05.0,,Personal foul by T. Booker (drawn by B. Lopez),25,26
94,2,10:05.0,,M. Plumlee enters the game for B. Lopez,25,26
95,2,9:57.0,,T. Young makes 2-pt layup from 1 ft (assist by M. Plumlee),25,28
96,2,9:34.0,Shooting foul by M. Plumlee (drawn by D. Favors),,25,28
97,2,9:34.0,D. Favors misses free throw 1 of 2,,25,28
