,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHARLOTTE_ACTION,INDIANA_SCORE,CHARLOTTE_SCORE
0,1,11:38.0,G. Hill makes 2-pt layup from 1 ft,,2,0
1,1,11:20.0,,A. Jefferson misses 2-pt hook shot from 6 ft,2,0
2,1,11:19.0,Defensive rebound by R. Hibbert,,2,0
3,1,10:58.0,G. Hill misses 2-pt layup from 2 ft,,2,0
4,1,10:57.0,,Defensive rebound by A. Jefferson,2,0
5,1,10:43.0,,G. Henderson misses 2-pt jump shot from 11 ft,2,0
6,1,10:42.0,Defensive rebound by C. Miles,,2,0
7,1,10:25.0,R. Hibbert misses 2-pt jump shot from 15 ft,,2,0
8,1,10:24.0,Offensive rebound by D. West,,2,0
9,1,10:21.0,D. West makes 2-pt layup at rim,,4,0
10,1,9:56.0,,A. Jefferson makes 2-pt jump shot from 4 ft (assist by B. Roberts),4,2
11,1,9:40.0,C. Miles misses 3-pt jump shot from 28 ft,,4,2
12,1,9:39.0,,Defensive rebound by B. Roberts,4,2
13,1,9:27.0,,G. Henderson makes 2-pt layup at rim (assist by C. Zeller),4,4
14,1,9:13.0,R. Stuckey makes 2-pt jump shot from 15 ft,,6,4
15,1,8:57.0,,A. Jefferson makes 2-pt layup from 1 ft,6,6
16,1,8:37.0,R. Stuckey makes 2-pt layup from 2 ft (assist by D. West),,8,6
17,1,8:13.0,,A. Jefferson makes 2-pt jump shot from 15 ft,8,8
18,1,7:50.0,R. Hibbert makes 2-pt hook shot from 8 ft,,10,8
19,1,7:27.0,,A. Jefferson makes 2-pt hook shot from 5 ft,10,10
20,1,7:15.0,Personal foul by A. Jefferson (drawn by R. Hibbert),,10,10
21,1,7:04.0,D. West misses 2-pt layup from 1 ft,,10,10
22,1,7:03.0,,Defensive rebound by A. Jefferson,10,10
23,1,6:51.0,,C. Zeller makes 2-pt dunk at rim (assist by G. Henderson),10,12
24,1,6:29.0,D. West makes 2-pt jump shot from 17 ft (assist by R. Stuckey),,12,12
25,1,6:11.0,,A. Jefferson misses 2-pt jump shot from 6 ft (block by D. West),12,12
26,1,6:11.0,,Offensive rebound by Team,12,12
27,1,6:01.0,,C. Zeller misses 2-pt jump shot from 7 ft,12,12
28,1,6:00.0,,Offensive rebound by G. Henderson,12,12
29,1,5:55.0,,B. Roberts makes 3-pt jump shot from 24 ft (assist by G. Henderson),12,15
30,1,5:32.0,D. West misses 2-pt jump shot from 17 ft,,12,15
31,1,5:31.0,,Defensive rebound by J. Taylor,12,15
32,1,5:19.0,,B. Roberts makes 3-pt jump shot from 22 ft (assist by G. Henderson),12,18
33,1,5:19.0,Indiana full timeout,,12,18
34,1,5:07.0,R. Hibbert misses 2-pt hook shot from 6 ft,,12,18
35,1,5:06.0,,Defensive rebound by G. Henderson,12,18
36,1,4:53.0,,J. Taylor misses 3-pt jump shot from 25 ft,12,18
37,1,4:50.0,Defensive rebound by Team,,12,18
38,1,4:50.0,S. Hill enters the game for C. Miles,,12,18
39,1,4:50.0,C. Watson enters the game for G. Hill,,12,18
40,1,4:36.0,D. West misses 2-pt layup from 2 ft,,12,18
41,1,4:34.0,Offensive rebound by R. Hibbert,,12,18
42,1,4:29.0,R. Hibbert misses 2-pt hook shot from 6 ft,,12,18
43,1,4:28.0,,Defensive rebound by A. Jefferson,12,18
44,1,4:18.0,,B. Roberts misses 2-pt jump shot from 7 ft,12,18
45,1,4:17.0,Defensive rebound by R. Hibbert,,12,18
46,1,4:07.0,R. Hibbert misses 2-pt jump shot from 15 ft,,12,18
47,1,4:06.0,,Defensive rebound by G. Henderson,12,18
48,1,3:58.0,,G. Henderson makes 2-pt jump shot from 20 ft,12,20
49,1,3:35.0,R. Stuckey misses 3-pt jump shot from 23 ft,,12,20
50,1,3:34.0,,Defensive rebound by C. Zeller,12,20
51,1,3:24.0,,J. Taylor makes 3-pt jump shot from 24 ft (assist by B. Roberts),12,23
52,1,3:22.0,Indiana full timeout,,12,23
53,1,3:22.0,L. Scola enters the game for D. West,,12,23
54,1,3:22.0,D. Rudež enters the game for R. Stuckey,,12,23
55,1,3:22.0,,M. Williams enters the game for J. Taylor,12,23
56,1,3:22.0,,L. Stephenson enters the game for C. Zeller,12,23
57,1,3:12.0,C. Watson misses 3-pt jump shot from 24 ft,,12,23
58,1,3:11.0,,Defensive rebound by A. Jefferson,12,23
59,1,3:00.0,,L. Stephenson makes 2-pt jump shot from 17 ft,12,25
60,1,2:34.0,C. Watson misses 2-pt jump shot from 21 ft,,12,25
61,1,2:33.0,,Defensive rebound by L. Stephenson,12,25
62,1,2:25.0,,Shooting foul by R. Hibbert (drawn by G. Henderson),12,25
63,1,2:25.0,,Charlotte full timeout,12,25
64,1,2:25.0,,J. Maxiell enters the game for A. Jefferson,12,25
65,1,2:25.0,,G. Henderson makes free throw 1 of 2,12,26
66,1,2:25.0,,G. Henderson makes free throw 2 of 2,12,27
67,1,2:12.0,C. Watson misses 3-pt jump shot from 25 ft,,12,27
68,1,2:11.0,Offensive rebound by R. Hibbert,,12,27
69,1,2:07.0,S. Hill misses 3-pt jump shot from 26 ft,,12,27
70,1,2:06.0,,Defensive rebound by J. Maxiell,12,27
71,1,1:51.0,,Offensive foul by J. Maxiell (drawn by D. Rudež),12,27
72,1,1:51.0,,Turnover by J. Maxiell (offensive foul),12,27
73,1,1:49.0,S. Whittington enters the game for R. Hibbert,,12,27
74,1,1:38.0,C. Watson makes 3-pt jump shot from 23 ft (assist by S. Hill),,15,27
75,1,1:21.0,,L. Stephenson misses 2-pt jump shot from 20 ft,15,27
76,1,1:20.0,Defensive rebound by S. Whittington,,15,27
77,1,1:08.0,Turnover by L. Scola (bad pass; steal by M. Williams),,15,27
78,1,1:03.0,,M. Williams makes 2-pt dunk at rim (assist by G. Henderson),15,29
79,1,0:44.0,C. Watson makes 3-pt jump shot from 24 ft (assist by D. Rudež),,18,29
80,1,0:30.0,,B. Roberts makes 2-pt jump shot from 20 ft (assist by L. Stephenson),18,31
81,1,0:22.0,S. Hill makes 2-pt layup from 1 ft,,20,31
