,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:35.0,D. Favors misses 2-pt jump shot from 10 ft,,0,0
1,1,11:33.0,,Defensive rebound by G. Dieng,0,0
2,1,11:18.0,,Z. LaVine misses 2-pt jump shot from 21 ft,0,0
3,1,11:17.0,Defensive rebound by R. Gobert,,0,0
4,1,10:58.0,J. Ingles misses 2-pt jump shot from 15 ft,,0,0
5,1,10:57.0,,Defensive rebound by G. Dieng,0,0
6,1,10:46.0,,Shooting foul by D. Favors (drawn by T. Young),0,0
7,1,10:46.0,,T. Young makes free throw 1 of 2,0,1
8,1,10:46.0,,T. Young misses free throw 2 of 2,0,1
9,1,10:46.0,Defensive rebound by R. Gobert,,0,1
10,1,10:23.0,D. Favors misses 2-pt hook shot from 6 ft,,0,1
11,1,10:21.0,,Defensive rebound by G. Dieng,0,1
12,1,10:10.0,Violation by D. Favors (kicked ball),,0,1
13,1,9:57.0,,G. Dieng misses 2-pt hook shot from 6 ft,0,1
14,1,9:56.0,Defensive rebound by J. Ingles,,0,1
15,1,9:41.0,T. Burke misses 3-pt jump shot from 23 ft,,0,1
16,1,9:40.0,,Defensive rebound by Z. LaVine,0,1
17,1,9:26.0,,G. Dieng makes 2-pt jump shot from 14 ft,0,3
18,1,9:03.0,,Violation by T. Young (kicked ball),0,3
19,1,8:54.0,T. Burke makes 2-pt jump shot from 5 ft,,2,3
20,1,8:37.0,,Shooting foul by T. Burke (drawn by Z. LaVine),2,3
21,1,8:37.0,,Z. LaVine makes free throw 1 of 2,2,4
22,1,8:37.0,,Z. LaVine makes free throw 2 of 2,2,5
23,1,8:29.0,Shooting foul by G. Dieng (drawn by R. Gobert),,2,5
24,1,8:29.0,R. Gobert makes free throw 1 of 2,,3,5
25,1,8:29.0,R. Gobert misses free throw 2 of 2,,3,5
26,1,8:28.0,,Defensive rebound by A. Wiggins,3,5
27,1,8:14.0,,A. Wiggins misses 2-pt jump shot from 19 ft,3,5
28,1,8:14.0,Defensive rebound by T. Burke,,3,5
29,1,8:05.0,Turnover by G. Hayward (bad pass; steal by G. Dieng),,3,5
30,1,7:52.0,,T. Young misses 2-pt jump shot from 8 ft,3,5
31,1,7:51.0,Defensive rebound by T. Burke,,3,5
32,1,7:43.0,G. Hayward misses 3-pt jump shot from 24 ft,,3,5
33,1,7:42.0,,Defensive rebound by T. Young,3,5
34,1,7:32.0,,Turnover by G. Dieng (lost ball; steal by J. Ingles),3,5
35,1,7:28.0,J. Ingles makes 2-pt layup from 1 ft,,5,5
36,1,7:06.0,,S. Muhammad misses 3-pt jump shot from 25 ft,5,5
37,1,7:05.0,Defensive rebound by D. Favors,,5,5
38,1,6:47.0,T. Burke makes 3-pt jump shot from 25 ft (assist by G. Hayward),,8,5
39,1,6:31.0,,A. Wiggins misses 3-pt jump shot from 23 ft,8,5
40,1,6:30.0,Defensive rebound by R. Gobert,,8,5
41,1,6:27.0,Turnover by G. Hayward (traveling),,8,5
42,1,6:11.0,,S. Muhammad misses 2-pt jump shot from 19 ft,8,5
43,1,6:10.0,Defensive rebound by G. Hayward,,8,5
44,1,5:47.0,G. Hayward makes 2-pt jump shot from 7 ft,,10,5
45,1,5:45.0,,Minnesota full timeout,10,5
46,1,5:35.0,,S. Muhammad makes 2-pt jump shot from 5 ft (assist by Z. LaVine),10,7
47,1,5:19.0,,Offensive charge foul by D. Favors (drawn by T. Young),10,7
48,1,5:19.0,Turnover by D. Favors (offensive foul),,10,7
49,1,5:19.0,D. Exum enters the game for J. Ingles,,10,7
50,1,5:19.0,T. Booker enters the game for D. Favors,,10,7
51,1,5:09.0,,S. Muhammad makes 2-pt dunk at rim (assist by Z. LaVine),10,9
52,1,4:49.0,G. Hayward misses 2-pt layup from 2 ft (block by G. Dieng),,10,9
53,1,4:49.0,Offensive rebound by Team,,10,9
54,1,4:43.0,Shooting foul by Z. LaVine (drawn by T. Burke),,10,9
55,1,4:43.0,T. Burke misses free throw 1 of 2,,10,9
56,1,4:43.0,Offensive rebound by Team,,10,9
57,1,4:43.0,T. Burke makes free throw 2 of 2,,11,9
58,1,4:27.0,,A. Wiggins makes 2-pt jump shot from 10 ft (assist by S. Muhammad),11,11
59,1,4:11.0,Turnover by D. Exum (bad pass; steal by A. Wiggins),,11,11
60,1,4:09.0,,Personal foul by G. Hayward (drawn by Z. LaVine),11,11
61,1,3:58.0,,A. Wiggins makes 2-pt jump shot from 10 ft (assist by T. Young),11,13
62,1,3:44.0,,Violation by T. Young (kicked ball),11,13
63,1,3:44.0,Utah full timeout,,11,13
64,1,3:44.0,I. Clark enters the game for T. Burke,,11,13
65,1,3:35.0,G. Hayward misses 2-pt jump shot from 13 ft (block by A. Wiggins),,11,13
66,1,3:34.0,Offensive rebound by T. Booker,,11,13
